id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_Captain;value_Resume;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_PassEndY;value_Length;value_PassEndX;value_Zone;value_KickOff;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Defensive;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_LowGkIntervention;value_KeeperThrow;value_SwitchOfPlay;value_Chipped;value_Foul;value_Direct;value_AttemptedTackle;value_InSwinger;value_Cross;value_Assist;value_IntentionalAssist;value_LeftFooted;value_FreeKickTaken;value_FirstTouch;value_GoalmouthZ;value_Head;value_High;value_GkY;value_RelatedEventId;value_GkX;value_GoalmouthY;value_Assisted;value_SetPiece;value_BoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypeClearance;value_LayOff;value_Launch;value_HeadPass;value_TakeOnSpace;value_Unchallenged;value_TouchTypeControl;value_DeletedEventType;value_IntendedTackleTarget;value_TakeOnOvertake;value_OutSwinger;value_FastBreak;value_RightFooted;value_LowLeft;value_BigChance;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_BoxRight;value_BlockedX;value_IndividualPlay;value_Deflection;value_SwerveRight;value_BlockedY;value_NotAssisted;value_Standing;value_Hands;value_Collected;value_MediumGkIntervention;value_OverArm;value_Shove/Push;value_HighGkIntervention;value_HighClaim;value_GkKickFromHands;value_ShirtPull/Holding;value_BlockedPass;value_ThroughBall;value_LastLine;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_Weak;value_CloseRight;value_RegularPlay;value_Left;value_RecklessOffence;value_YellowCard;value_InjuredPlayerId;value_Injury;value_SwerveLeft;value_OutOfBoxDeepRight;value_HighLeft;value_Volley;value_LowCentre;value_Stooping;value_BlockedCross;value_Right;value_CornerTaken;value_FromCorner;value_SmallBoxCentre;value_HighCentre;value_HighRight;value_ParriedSafe;value_Reaching;value_AerialFoul;value_LowRight;value_OutOfBoxCentre;value_Diving;value_Minutes;value_Defensive1V1;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_SmallBoxLeft;value_SixYardBlocked;value_Blocked;value_DefBlock;value_BoxDeepLeft;value_TimeWasting;value_Overrun;value_LeadingToAttempt;value_RelatedError1Id;value_35Left;value_Dissent;value_ProfessionalFoulLastMan;value_RedCard;value_FreeKick;value_CloseHigh;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistId;value_1On1;value_Feet;value_Sliding;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700339319;232;1;1;29;20;1zgjjyruyufrkh4xjvryqsb1i;1;63,1;16,4;2024-07-11T22:32:58.787Z;2024-07-11T22:33:02Z;[{'id': 5100897523, 'qualifierId': 3}, {'id': 5100897529, 'qualifierId': 141, 'value': '17.5'}, {'id': 5100897531, 'qualifierId': 212, 'value': '13.4'}, {'id': 5100897533, 'qualifierId': 213, 'value': '0.06'}, {'id': 5100897527, 'qualifierId': 140, 'value': '75.8'}, {'id': 5100897525, 'qualifierId': 56, 'value': 'Right'}];20wmdzih6b1t0ekt1v2qd4b2s;C. Sullivan;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;0,06;17,5;13,4;75,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;75,8;17,5;;;;;;;0;0;29;20;Chattanooga;1760;AMC;1,0
2700339321;233;44;1;29;24;1zgjjyruyufrkh4xjvryqsb1i;1;73,2;20,3;2024-07-11T22:33:02.258Z;2024-07-11T22:33:03Z;[{'id': 5100897541, 'qualifierId': 233, 'value': '250'}, {'id': 5100897537, 'qualifierId': 56, 'value': 'Right'}, {'id': 5100897539, 'qualifierId': 286}];ngmdu10fjli45jvddeljv8yc;M. Anderson;;;dz5m52xyz92nsat8qdd9aeyvo;Aerial;;;;;;;;;;;;;;;;;1,0;250,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;29;24;Chattanooga;1764;FW;1,0
2700339317;250;44;1;29;24;cwnjxlibb02fuh0vwgvac6h45;0;26,8;79,7;2024-07-11T22:33:02.259Z;2024-07-11T22:33:04Z;[{'id': 5100897545, 'qualifierId': 233, 'value': '233'}, {'id': 5100897519, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100897521, 'qualifierId': 285}];at2xv960peboe9spoag2kn21g;A. McGrath;;;dz5m52xyz92nsat8qdd9aeyvo;Aerial;;;;;;;;;;;;;;;;;;233,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;29;24;Philadelphia Union II;1764;MC;1,0
2700339325;234;1;1;29;24;1zgjjyruyufrkh4xjvryqsb1i;1;75,8;17,5;2024-07-11T22:33:02.973Z;2024-07-11T22:33:21Z;[{'id': 5100897561, 'qualifierId': 212, 'value': '4.2'}, {'id': 5100897655, 'qualifierId': 210, 'value': '13'}, {'id': 5100897557, 'qualifierId': 140, 'value': '79.8'}, {'id': 5100897563, 'qualifierId': 213, 'value': '0.05'}, {'id': 5100897553, 'qualifierId': 3}, {'id': 5100897559, 'qualifierId': 141, 'value': '17.8'}, {'id': 5100897555, 'qualifierId': 56, 'value': 'Right'}];ngmdu10fjli45jvddeljv8yc;M. Anderson;1,0;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;0,05;17,8;4,2;79,8;;;;;;;;;;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;79,8;17,8;;;;;;;0;0;29;24;Chattanooga;1764;FW;1,0
2700339327;235;13;1;29;28;1zgjjyruyufrkh4xjvryqsb1i;1;86,2;19,5;2024-07-11T22:33:07.144Z;2024-07-12T10:15:26Z;[{'id': 5100897657, 'qualifierId': 120}, {'id': 5100897593, 'qualifierId': 72}, {'id': 5100897671, 'qualifierId': 215}, {'id': 5100897661, 'qualifierId': 29}, {'id': 5100897667, 'qualifierId': 102, 'value': '59.3'}, {'id': 5100897663, 'qualifierId': 55, 'value': '234'}, {'id': 5100897673, 'qualifierId': 230, 'value': '98.8'}, {'id': 5100897675, 'qualifierId': 231, 'value': '45.7'}, {'id': 5100897573, 'qualifierId': 56, 'value': 'Right'}, {'id': 5101129991, 'qualifierId': 66}, {'id': 5100897659, 'qualifierId': 77}, {'id': 5101129993, 'qualifierId': 108}, {'id': 5100897669, 'qualifierId': 103, 'value': '79.2'}, {'id': 5100897569, 'qualifierId': 22}];20wmdzih6b1t0ekt1v2qd4b2s;C. Sullivan;;;dz5m52xyz92nsat8qdd9aeyvo;Miss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;79,2;;;45,7;234,0;98,8;59,3;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;59,3;79.2;234,0;ngmdu10fjli45jvddeljv8yc;0;0;29;28;Chattanooga;1768;AMC;1,0
2700339329;236;5;1;29;29;1zgjjyruyufrkh4xjvryqsb1i;0;101,0;59,6;2024-07-11T22:33:07.234Z;2024-07-11T22:50:39Z;[{'id': 5100897581, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100897589, 'qualifierId': 233, 'value': '251'}, {'id': 5100897583, 'qualifierId': 346}];20wmdzih6b1t0ekt1v2qd4b2s;C. Sullivan;;;dz5m52xyz92nsat8qdd9aeyvo;Out;;;;;;;;;;;;;;;;;;251,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;29;29;Chattanooga;1769;AMC;1,0
2700339323;251;5;1;29;29;cwnjxlibb02fuh0vwgvac6h45;1;-1,0;40,4;2024-07-11T22:33:07.234Z;2024-07-11T22:33:09Z;[{'id': 5100897549, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100897551, 'qualifierId': 346}, {'id': 5100897585, 'qualifierId': 233, 'value': '236'}];7e8xkqlux0myjc5cwtb7rega1;D. Viáfara;;;dz5m52xyz92nsat8qdd9aeyvo;Out;;;;;;;;;;;;;;;;;;236,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;29;29;Philadelphia Union II;1769;DC;1,0
2700339337;252;1;1;29;39;cwnjxlibb02fuh0vwgvac6h45;1;2,7;50,6;2024-07-11T22:33:17.971Z;2024-07-11T22:33:20Z;[{'id': 5100897629, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100897631, 'qualifierId': 140, 'value': '8.3'}, {'id': 5100897637, 'qualifierId': 213, 'value': '1.01'}, {'id': 5100897641, 'qualifierId': 237}, {'id': 5100897633, 'qualifierId': 141, 'value': '64.3'}, {'id': 5100897627, 'qualifierId': 124}, {'id': 5100897635, 'qualifierId': 212, 'value': '11.0'}];7jaa504py8qcx30a2p1vgn8d0;J. Antoine;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;1,01;64,3;11,0;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;8,3;64,3;;;;;;;0;0;29;39;Philadelphia Union II;1779;GK;1,0
2700339343;253;1;1;29;42;cwnjxlibb02fuh0vwgvac6h45;1;9,1;73,5;2024-07-11T22:33:20.690Z;2024-07-11T22:33:23Z;[{'id': 5100897695, 'qualifierId': 141, 'value': '73.6'}, {'id': 5100897689, 'qualifierId': 157}, {'id': 5100897701, 'qualifierId': 1}, {'id': 5100897691, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100897697, 'qualifierId': 212, 'value': '47.4'}, {'id': 5100897699, 'qualifierId': 213, 'value': '0.00'}, {'id': 5100897693, 'qualifierId': 140, 'value': '54.2'}];7e8xkqlux0myjc5cwtb7rega1;D. Viáfara;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;0,0;73,6;47,4;54,2;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;54,2;73,6;;;;;;;0;0;29;42;Philadelphia Union II;1782;DC;1,0
2700339345;254;44;1;29;45;cwnjxlibb02fuh0vwgvac6h45;1;55,8;71,4;2024-07-11T22:33:23.811Z;2024-07-11T22:33:25Z;[{'id': 5100897705, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100897727, 'qualifierId': 233, 'value': '237'}, {'id': 5100897707, 'qualifierId': 286}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dz5m52xyz92nsat8qdd9aeyvo;Aerial;;;;;;;;;;;;;;;;;1,0;237,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;29;45;Philadelphia Union II;1785;FW;1,0
