id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Involved;value_JerseyNumber;value_Captain;value_TeamFormation;value_Resume;value_TeamKit;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_Angle;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Cross;value_Chipped;value_DeletedEventType;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_SwitchOfPlay;value_IntendedTackleTarget;value_Overrun;value_NextEventGoalKick;value_Low;value_GoalKick;value_PullBack;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_ShirtPull/Holding;value_LayOff;value_OutOfPlay;value_Head;value_IncorrectOutOfPlayDecision;value_Assist;value_BlockedX;value_GoalmouthY;value_Assisted;value_RegularPlay;value_LowCentre;value_BlockedY;value_RightFooted;value_GoalmouthZ;value_RelatedEventId;value_BoxRight;value_Stooping;value_Hands;value_ParriedSafe;value_KeeperThrow;value_Left;value_CornerTaken;value_InSwinger;value_IntentionalAssist;value_GkX;value_GkY;value_BigChance;value_LeftFooted;value_CloseRight;value_FirstTouch;value_SmallBoxRight;value_FromCorner;value_BoxLeft;value_IndividualPlay;value_FlickOn;value_GoalShotGameClock;value_OutOfBoxCentre;value_LowRight;value_GoalShotTimestamp;value_KeeperTouched;value_Shove/Push;value_Right;value_LowLeft;value_OutSwinger;value_PlayersCaughtOffside;value_Indirect;value_Blocked;value_DefBlock;value_Penalty;value_PenaltyTakerId;value_Scored;value_Diving;value_FantasyAssistType;value_NotAssisted;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_CausingPlayer;value_BoxCentre;value_FantasyAssistId;value_FantasyAssistTeam;value_LeadingToGoal;value_HighRight;value_RelatedError1Id;value_FastBreak;value_High;value_Collected;value_Handball;value_Volley;value_Minutes;value_YellowCard;value_RecklessOffence;value_EndType;value_CloseLeft;value_GkKickFromHands;value_NotVisible;value_BoxDeepLeft;value_SetPiece;value_LeadingToAttempt;value_MisHit;value_ThroughBall;value_1On1;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Standing;value_InjuredPlayerId;value_Injury;value_OtherObstacle;value_OtherReason;value_RefereeStop;value_BallHitsReferee;value_Straight;value_TimeWasting;value_BlockedCross;value_TacticalFoul;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706301311;392;1;1;44;12;4g68p0t2f5jzhzfr67i2rj1ex;1;77,4;30,4;2024-08-04T23:47:23.038Z;2024-08-04T23:47:25Z;[{'id': 5133848089, 'qualifierId': 141, 'value': '49.7'}, {'id': 5133848091, 'qualifierId': 212, 'value': '14.6'}, {'id': 5133848085, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133848093, 'qualifierId': 213, 'value': '1.12'}, {'id': 5133848087, 'qualifierId': 140, 'value': '83.5'}];8q2wozyqz4nveabn71hc614dm;S. Sserwadda;;;eh0tlbbhgwf3p4yblm4kxbvo4;Pass;;;;;;;;;;83,5;14,6;49,7;;1,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;83,5;49,7;;;;;;;;0;44;12;Chicago Fire II;2652;MC;1,0
2706301319;393;1;1;44;13;4g68p0t2f5jzhzfr67i2rj1ex;1;87,7;52,8;2024-08-04T23:47:23.687Z;2024-08-04T23:48:43Z;[{'id': 5133848127, 'qualifierId': 212, 'value': '9.5'}, {'id': 5133848121, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133849183, 'qualifierId': 210, 'value': '15'}, {'id': 5133848123, 'qualifierId': 140, 'value': '78.7'}, {'id': 5133848125, 'qualifierId': 141, 'value': '53.9'}, {'id': 5133849185, 'qualifierId': 154}, {'id': 5133848133, 'qualifierId': 156}, {'id': 5133848129, 'qualifierId': 213, 'value': '3.06'}];8y7kqet5swj9dmqama0z5ngus;J. Hall;1,0;;eh0tlbbhgwf3p4yblm4kxbvo4;Pass;;;;;;;;;;78,7;9,5;53,9;;3,06;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;15,0;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;78,7;53,9;;;;;;;;0;44;13;Chicago Fire II;2653;FW;1,0
2706301323;394;15;1;44;14;4g68p0t2f5jzhzfr67i2rj1ex;1;78,5;53,7;2024-08-04T23:47:24.452Z;2024-08-04T23:48:44Z;[{'id': 5133849143, 'qualifierId': 20}, {'id': 5133849221, 'qualifierId': 233, 'value': '428'}, {'id': 5133849147, 'qualifierId': 82}, {'id': 5133849205, 'qualifierId': 215}, {'id': 5133849215, 'qualifierId': 231, 'value': '50.5'}, {'id': 5133849195, 'qualifierId': 154}, {'id': 5133848155, 'qualifierId': 18}, {'id': 5133849209, 'qualifierId': 146, 'value': '85.8'}, {'id': 5133849211, 'qualifierId': 147, 'value': '52.5'}, {'id': 5133848153, 'qualifierId': 22}, {'id': 5133849193, 'qualifierId': 29}, {'id': 5133849213, 'qualifierId': 230, 'value': '98.1'}, {'id': 5133849191, 'qualifierId': 78}, {'id': 5133849197, 'qualifierId': 55, 'value': '393'}, {'id': 5133848157, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133849203, 'qualifierId': 103, 'value': '19'}, {'id': 5133849207, 'qualifierId': 328}, {'id': 5133849201, 'qualifierId': 102, 'value': '50.2'}];afqry84j23xgkhqryrontj190;I. Kasule;;;eh0tlbbhgwf3p4yblm4kxbvo4;Attempt Saved;;;;;;;;;;;;;;;;;;;;428,0;;;;;;;;;;;;;;;;;;;;;;;;;85,8;50,2;1,0;1,0;1,0;52,5;1,0;19,0;393,0;;;;;;;;;1,0;98,1;50,5;;;;1,0;;;;1,0;;;1,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;85,8;52,5;50,2;19;393,0;8y7kqet5swj9dmqama0z5ngus;;0;44;14;Chicago Fire II;2654;ML;1,0
2706301313;428;10;1;44;14;8o8m08he36u0j4w08aj2iodn8;1;14,2;47,5;2024-08-04T23:47:24.552Z;2024-08-04T23:48:44Z;[{'id': 5133848099, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133849225, 'qualifierId': 233, 'value': '394'}, {'id': 5133848097, 'qualifierId': 94}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;eh0tlbbhgwf3p4yblm4kxbvo4;Save;;;;;;;;;;;;;;;;;;;;394,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;44;14;New York RB II;2654;DL;1,0
2706301335;395;13;1;44;16;4g68p0t2f5jzhzfr67i2rj1ex;1;75,6;63,4;2024-08-04T23:47:26.909Z;2024-08-04T23:49:07Z;[{'id': 5133848209, 'qualifierId': 22}, {'id': 5133849297, 'qualifierId': 72}, {'id': 5133849303, 'qualifierId': 103, 'value': '11.1'}, {'id': 5133849301, 'qualifierId': 102, 'value': '38.5'}, {'id': 5133849307, 'qualifierId': 328}, {'id': 5133849311, 'qualifierId': 230, 'value': '98.8'}, {'id': 5133849313, 'qualifierId': 231, 'value': '50.5'}, {'id': 5133849447, 'qualifierId': 108}, {'id': 5133849309, 'qualifierId': 458}, {'id': 5133849299, 'qualifierId': 75}, {'id': 5133848213, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133848211, 'qualifierId': 18}, {'id': 5133849305, 'qualifierId': 215}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;eh0tlbbhgwf3p4yblm4kxbvo4;Miss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,5;;1,0;;;;11,1;;;;;;;;;;;98,8;50,5;;1,0;;1,0;;;;1,0;;;1,0;;;;;1,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;38,5;11.1;;;;0;44;16;Chicago Fire II;2656;DC;1,0
2706301337;396;5;1;44;18;4g68p0t2f5jzhzfr67i2rj1ex;0;100,6;40,7;2024-08-04T23:47:28.121Z;2024-08-05T00:02:05Z;[{'id': 5133848223, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133848235, 'qualifierId': 233, 'value': '429'}, {'id': 5133848225, 'qualifierId': 346}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;eh0tlbbhgwf3p4yblm4kxbvo4;Out;;;;;;;;;;;;;;;;;;;;429,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;44;18;Chicago Fire II;2658;DC;1,0
2706301325;429;5;1;44;18;8o8m08he36u0j4w08aj2iodn8;1;-0,6;59,3;2024-08-04T23:47:28.121Z;2024-08-04T23:47:31Z;[{'id': 5133848167, 'qualifierId': 346}, {'id': 5133848227, 'qualifierId': 233, 'value': '396'}, {'id': 5133848165, 'qualifierId': 56, 'value': 'Back'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;eh0tlbbhgwf3p4yblm4kxbvo4;Out;;;;;;;;;;;;;;;;;;;;396,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;44;18;New York RB II;2658;DL;1,0
2706301379;430;1;1;44;32;8o8m08he36u0j4w08aj2iodn8;1;4,7;59,6;2024-08-04T23:47:42.617Z;2024-08-05T00:03:16Z;[{'id': 5133848477, 'qualifierId': 124}, {'id': 5133848487, 'qualifierId': 213, 'value': '4.76'}, {'id': 5133848481, 'qualifierId': 140, 'value': '5.0'}, {'id': 5133848483, 'qualifierId': 141, 'value': '49.5'}, {'id': 5133848479, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133848491, 'qualifierId': 237}, {'id': 5133848485, 'qualifierId': 212, 'value': '6.9'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;eh0tlbbhgwf3p4yblm4kxbvo4;Pass;;;;;;;;;;5,0;6,9;49,5;;4,76;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;5,0;49,5;;;;;;;;0;44;32;New York RB II;2672;DC;1,0
2706301389;431;1;1;44;39;8o8m08he36u0j4w08aj2iodn8;1;15,9;45,1;2024-08-04T23:47:49.450Z;2024-08-04T23:47:52Z;[{'id': 5133848509, 'qualifierId': 140, 'value': '21.3'}, {'id': 5133848517, 'qualifierId': 213, 'value': '5.09'}, {'id': 5133848513, 'qualifierId': 141, 'value': '23.9'}, {'id': 5133848515, 'qualifierId': 212, 'value': '15.5'}, {'id': 5133848507, 'qualifierId': 56, 'value': 'Back'}];12wcwqu2liyd0zv8ramcevh1w;P. Los;;;eh0tlbbhgwf3p4yblm4kxbvo4;Pass;;;;;;;;;;21,3;15,5;23,9;;5,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;21,3;23,9;;;;;;;;0;44;39;New York RB II;2679;GK;1,0
2706301395;432;1;1;44;42;8o8m08he36u0j4w08aj2iodn8;1;23,7;21,3;2024-08-04T23:47:52.129Z;2024-08-04T23:47:54Z;[{'id': 5133848539, 'qualifierId': 212, 'value': '17.8'}, {'id': 5133848535, 'qualifierId': 140, 'value': '36.1'}, {'id': 5133848541, 'qualifierId': 213, 'value': '5.53'}, {'id': 5133848537, 'qualifierId': 141, 'value': '3.5'}, {'id': 5133848533, 'qualifierId': 56, 'value': 'Back'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;eh0tlbbhgwf3p4yblm4kxbvo4;Pass;;;;;;;;;;36,1;17,8;3,5;;5,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;36,1;3,5;;;;;;;;0;44;42;New York RB II;2682;DL;1,0
