id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamKit;value_Captain;value_JerseyNumber;value_Resume;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_PassEndY;value_Zone;value_Angle;value_KickOff;value_PassEndX;value_LongBall;value_Chipped;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_BlockedPass;value_Offensive;value_Defensive;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_RightFooted;value_Assist;value_IntentionalAssist;value_Cross;value_OutSwinger;value_GkX;value_BoxCentre;value_GoalmouthY;value_FromCorner;value_BlockedX;value_FirstTouch;value_GkY;value_Assisted;value_NotPastGoalLine;value_BlockedY;value_RelatedEventId;value_Head;value_GoalmouthZ;value_NotAssisted;value_OutOfBoxCentre;value_IndividualPlay;value_LowCentre;value_Volley;value_Weak;value_Standing;value_Hands;value_LowGkIntervention;value_Collected;value_GkKickFromHands;value_DeletedEventType;value_CloseRight;value_RegularPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_LayOff;value_TouchTypePass;value_SwerveLeft;value_BoxLeft;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_InSwinger;value_LeftFooted;value_SetPiece;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_High;value_IntendedTackleTarget;value_Shove/Push;value_HighClaim;value_HighGkIntervention;value_YellowCard;value_RecklessOffence;value_TakeOnSpace;value_Argument;value_PlayersCaughtOffside;value_NotVisible;value_ShirtPull/Holding;value_BoxRight;value_Blocked;value_DefBlock;value_Unchallenged;value_Diving;value_DrivenCross;value_Straight;value_FlickOn;value_FastBreak;value_CloseHigh;value_ThroughBall;value_CloseRightAndHigh;value_Dissent;value_Minutes;value_EndType;value_FloatedCross;value_SwitchOfPlay;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_LowLeft;value_ParriedSafe;value_BoxDeepRight;value_BigChance;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_FollowsADribble;value_BlockedCross;value_HighCentre;value_Indirect;value_BoxDeepLeft;value_HighLeft;value_Fumble;value_Stooping;value_ParriedDanger;value_FollowsShotRebound;value_TempShotOn;value_Overrun;value_HighRight;value_LowRight;value_SmallBoxCentre;value_KeeperTouched;value_SwerveRight;value_MisHit;value_GkHoof;value_Sliding;value_OtherBodyPart;value_TimeWasting;value_Fingertip;value_SixYardBlocked;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2684631765;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-09T01:35:02.746Z;2024-05-09T02:18:01Z;[{'id': 5014809987, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, 48vc423tkz4mx7oql1ahqneac, 5gg2mxmy9ff40oku3s09gavl6, 3wkej06590b61lyqm7vt1kwes, ahl3kfbfeubf6zfl7x8qrlm38, 8pl795qg2d886vtq8trzsucfe, tw82u87mw6kggtjblt1hhdzo, bxnegxnynd1glae8g0vfigfvu, 17x0wwjg47boyx7jua6vqf0gk, 6d45ccicyo6dregi9cm4ad4kq, 7ditqci7td8u4wj4dmirr3qzu, 8rq61cgteiomxej2p0nxaw6c4, 6adi81qxodibea6d0hxa3qxas, 8y2nsfsangmn1qa389y25b76c, es77zuezg8qvczh819uj6c844, btwb71g6uu6ibxpx8ppwn9tsk, 8ftpgljt7qw0wmddiw9gqaot0, 4dytdbcoh08mvuobsc31qvgbu, mm0bv35ngf0sqh2yx2eza4x6, dzo2odov052991qseshgfruju'}, {'id': 5014865229, 'qualifierId': 197, 'value': '8379'}, {'id': 5014809999, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 5014809991, 'qualifierId': 59, 'value': '95, 51, 32, 81, 42, 44, 39, 92, 12, 23, 45, 34, 38, 40, 47, 52, 53, 54, 70, 41'}, {'id': 5014810001, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014809993, 'qualifierId': 130, 'value': '2'}, {'id': 5014809997, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014809989, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cq0nhg28p3kjrvithchzjvdp0;Team set up;;8379,0;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2684632285;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-05-09T01:36:08.855Z;2024-05-16T07:16:11Z;[{'id': 5014812835, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014869665, 'qualifierId': 197, 'value': '15044'}, {'id': 5014812827, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014812825, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, en1t9w6orptzi3v7odnawg8b8, 2wj1w4opn7f0jyz1ps6ebvc6i, 4uuq2zuhmlbg7kh85v5l8723u, 2jzuij8p7eoy42aqem688ltuy, 1snfyu5dmv164k5cl87chjlsk, 77kab5634937x4txa891wg2s4, aa4ut2fmswha43fxnrxp1obo4, bk0ik8kr1gpu372ibbbv87ndg, 9qyg5hre038m06bzzupzgmsk4, 7qt4r82kyz05r8kd8cmdh1xqs, 1d43ue54zl1o9rvnwz5zfotm, 9ph8wasuz3ndre586gople49g, 3c1xz4vpfoum0jbq6bmtdrtux, azzpjrq2pndxuz0waw25p7r6y, 3my8ymhvy1bysbllwpoj3qctm, 22p6n3oird085u2kbkiqp4pg, 6ooaucn77vw73p514tlq2bnkk, n5otejqjssvxk3bzx06642z8, be85jzbz3ihrpyt6jvjs56oes'}, {'id': 5014812833, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014812829, 'qualifierId': 59, 'value': '1, 39, 3, 18, 6, 30, 15, 19, 70, 7, 21, 5, 9, 10, 11, 12, 17, 34, 35, 37'}, {'id': 5014869663, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5014812831, 'qualifierId': 130, 'value': '4'}];;;;;cq0nhg28p3kjrvithchzjvdp0;Team set up;;15044,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2684641907;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-05-09T02:03:56.122Z;2024-05-09T02:03:56Z;[{'id': 5014865457, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cq0nhg28p3kjrvithchzjvdp0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2684641913;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-09T02:03:56.122Z;2024-05-16T07:09:21Z;[{'id': 5014865489, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cq0nhg28p3kjrvithchzjvdp0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2684641917;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;49,9;49,3;2024-05-09T02:03:56.123Z;2024-05-09T02:03:59Z;[{'id': 5014865513, 'qualifierId': 212, 'value': '16.9'}, {'id': 5014865511, 'qualifierId': 141, 'value': '54.0'}, {'id': 5014865507, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014865515, 'qualifierId': 213, 'value': '2.95'}, {'id': 5014865517, 'qualifierId': 279, 'value': 'S'}, {'id': 5014865509, 'qualifierId': 140, 'value': '34.1'}];bk0ik8kr1gpu372ibbbv87ndg;J. Burbano;;;cq0nhg28p3kjrvithchzjvdp0;Pass;;;;;;;;;;16,9;54,0;;2,95;;34,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;34,1;54,0;;;;;;;0;0;0;0;Real Monarchs;0;FW;1,0
2684641929;4;1;1;0;2;7pmw399vh2v44cjle4fkklp1w;0;33,8;53,4;2024-05-09T02:03:59.016Z;2024-05-09T02:04:01Z;[{'id': 5014865593, 'qualifierId': 141, 'value': '22.4'}, {'id': 5014865595, 'qualifierId': 212, 'value': '44.2'}, {'id': 5014865599, 'qualifierId': 1}, {'id': 5014865587, 'qualifierId': 155}, {'id': 5014865589, 'qualifierId': 56, 'value': 'Center'}, {'id': 5014865591, 'qualifierId': 140, 'value': '70.8'}, {'id': 5014865597, 'qualifierId': 213, 'value': '5.79'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;cq0nhg28p3kjrvithchzjvdp0;Pass;;;;;;;;;;44,2;22,4;;5,79;;70,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;70,8;22,4;;;;;;;0;0;0;2;Real Monarchs;2;MC;1,0
2684641933;3;1;1;0;7;cbip96wzs3jc2xadoluhhxotl;0;26,2;83,5;2024-05-09T02:04:03.352Z;2024-05-09T02:04:07Z;[{'id': 5014865633, 'qualifierId': 140, 'value': '42.2'}, {'id': 5014865635, 'qualifierId': 141, 'value': '100.0'}, {'id': 5014865629, 'qualifierId': 3}, {'id': 5014865639, 'qualifierId': 213, 'value': '0.63'}, {'id': 5014865631, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014865637, 'qualifierId': 212, 'value': '20.7'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;cq0nhg28p3kjrvithchzjvdp0;Pass;;;;;;;;;;20,7;100,0;;0,63;;42,2;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;42,2;100,0;;;;;;;0;0;0;7;Houston Dynamo II;7;DC;1,0
2684641941;4;5;1;0;10;cbip96wzs3jc2xadoluhhxotl;0;40,6;101,7;2024-05-09T02:04:06.300Z;2024-05-09T02:11:24Z;[{'id': 5014865679, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014865681, 'qualifierId': 347}, {'id': 5014865721, 'qualifierId': 233, 'value': '5'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;cq0nhg28p3kjrvithchzjvdp0;Out;;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;10;Houston Dynamo II;10;DC;1,0
2684641937;5;5;1;0;10;7pmw399vh2v44cjle4fkklp1w;1;59,4;-1,7;2024-05-09T02:04:06.300Z;2024-05-09T02:04:08Z;[{'id': 5014865659, 'qualifierId': 347}, {'id': 5014865657, 'qualifierId': 56, 'value': 'Right'}, {'id': 5014865709, 'qualifierId': 233, 'value': '4'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;cq0nhg28p3kjrvithchzjvdp0;Out;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;10;Real Monarchs;10;MC;1,0
2684641993;6;1;1;0;21;7pmw399vh2v44cjle4fkklp1w;1;55,0;0,0;2024-05-09T02:04:17.360Z;2024-05-09T02:04:21Z;[{'id': 5014865979, 'qualifierId': 212, 'value': '34.6'}, {'id': 5014865971, 'qualifierId': 107}, {'id': 5014865973, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014865981, 'qualifierId': 213, 'value': '2.66'}, {'id': 5014865977, 'qualifierId': 141, 'value': '21.4'}, {'id': 5014865983, 'qualifierId': 1}, {'id': 5014865975, 'qualifierId': 140, 'value': '25.7'}];en1t9w6orptzi3v7odnawg8b8;D. Ndong Nguema;;;cq0nhg28p3kjrvithchzjvdp0;Pass;;;;;;;;;;34,6;21,4;;2,66;;25,7;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;25,7;21,4;;;;;;;0;0;0;21;Real Monarchs;21;DR;1,0
