id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_PlayerPosition;value_JerseyNumber;value_TeamKit;value_Captain;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_KickOff;value_Zone;value_PassEndX;value_PassEndY;value_Length;value_LongBall;value_Chipped;value_LowGkIntervention;value_KeeperThrow;value_Launch;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_Low;value_IntendedTackleTarget;value_SwitchOfPlay;value_RightFooted;value_BlockedPass;value_OutSwinger;value_Offensive;value_Cross;value_BlockedCross;value_AttemptedTackle;value_Defensive;value_Foul;value_Direct;value_FreeKickTaken;value_TouchTypeControl;value_ShirtPull/Holding;value_Shove/Push;value_HeadPass;value_TouchTypePass;value_OverArm;value_TakeOnSpace;value_DeletedEventType;value_TakeOnOvertake;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_PullBack;value_TouchTypeClearance;value_BlockedClearance;value_Defensive1V1;value_Straight;value_LeftFooted;value_DrivenCross;value_GkY;value_GoalmouthZ;value_BlockedY;value_BoxLeft;value_LowCentre;value_NotAssisted;value_IndividualPlay;value_RegularPlay;value_GkX;value_Blocked;value_BlockedX;value_GoalmouthY;value_DefBlock;value_NotVisible;value_Unchallenged;value_Assist;value_RelatedEventId;value_Assisted;value_Left;value_InSwinger;value_IntentionalAssist;value_CornerTaken;value_FirstTouch;value_Head;value_CloseLeftAndHigh;value_FromCorner;value_SmallBoxCentre;value_Handball;value_YellowCard;value_TacticalFoul;value_PlayersCaughtOffside;value_Indirect;value_ThroughBall;value_BigChance;value_LowLeft;value_1On1;value_BoxCentre;value_Hands;value_ParriedDanger;value_Stooping;value_MediumGkIntervention;value_SavedOffLine;value_LastLine;value_Volley;value_High;value_OutOfBoxCentre;value_OutOfPlay;value_Right;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_OwnPlayer;value_OwnShotBlocked;value_GkHoof;value_Minutes;value_LowRight;value_FloatedCross;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Collected;value_HighGkIntervention;value_Standing;value_OverhitCross;value_HighCentre;value_FollowsShotRebound;value_BoxRight;value_Diving;value_Overrun;value_SmallBoxRight;value_SixYardBlocked;value_ParriedSafe;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_PenaltyTakerId;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_CausingPlayer;value_Scored;value_Tap;value_FlickOn;value_CloseRight;value_LeadingToAttempt;value_RelatedError1Id;value_GkKickFromHands;value_GoesToPenalties;value_KeeperTouched;value_Saved;value_Feet;value_CloseLeft;value_Missed;value_HighLeft;value_HitWoodwork;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2719183447;2;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-11T20:12:29.341Z;2024-09-11T21:04:07Z;[{'id': 5204845379, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 5bjavs7mhqjh1tlrfp4vj7od0, 4k6c9nnzytq9qhc9uol64wg7o, 2676930j149yvanqev61emh62, eiyzqnfh8r8aduel0seou7nu2, 1ni0mewxcbo26d1xxetkdy3ca, 1d20nyyvmp0doobj6heejkowk, duj699i9620tuf3ii9z06bqsq, a0do5kh5akr89kst2p1hohixg, 1p4rbf4wumfagv2ntlewdxey, 3ei1s8oyub83owfxxbsygmsmi, 3o4uxnvpnf3cwjs3srwegxp90, eq98gflais2v26wgbkw9wrxg4, cwyml9l4tfvb4ceh8tv3au0wk, 4k74l9hy67ve3o9fhd7rqybro, 4h2k5kwclhlgjk2koqin5r2fo, 7kgd3h3ch4ww875mhr98afims, 2s085s5fgmzsmf7oup7aekm0a, aqzhpbl78gw0ww4hh0q01g6j8, 6iyzwnkqmciry30i4skhh1bmc'}, {'id': 5204845389, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5204845381, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5204845383, 'qualifierId': 59, 'value': '44, 81, 37, 70, 31, 63, 99, 42, 83, 74, 77, 75, 47, 29, 71, 64, 36, 57, 62, 82'}, {'id': 5204848443, 'qualifierId': 197, 'value': '19205'}, {'id': 5204848441, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5204845385, 'qualifierId': 130, 'value': '4'}, {'id': 5204845387, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cuki93nfns1amazemjivg2rys;Team set up;;;;;19205,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Toronto II;0;;
2719183511;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-09-11T20:14:58.650Z;2024-09-11T21:03:55Z;[{'id': 5204848437, 'qualifierId': 197, 'value': '3386'}, {'id': 5204845753, 'qualifierId': 59, 'value': '40, 85, 96, 89, 72, 51, 68, 79, 38, 81, 70, 82, 71, 74, 92, 86, 95, 58, 50, 98'}, {'id': 5204845751, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5204845749, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, d8u6lnk9lmbrgv9obcshpec8a, cgcpmpetc768pyqb51qthq61g, e8i5fg3tp35k8iys32eiv7jmc, 7z57s6veqr3k87quyd6i7fgx6, 8pvvljn4uasfjxdleh56pm38, 7q8y6gbmg9j75zgm3nhs3bfh0, dqxh3f9qy6lhrwabvnbb6erro, d5del7kcf1zgkd2uvhius8y22, 6xu5v7x5zge1k83w40mmbxyzu, bje8wvncnbbx5w0l08uno88ru, c760g3hvhvi7nra7gpdrynn1m, 3wn0nn5q8g2mjzuc8yb4dvu2, b1fzb3n41gtxqnv6pcaug88pg, 5l9js12tsf18c7st0oac3swes, bwn9d457kxdldt87z9fl1x0k4, 5qfwg7j8xrfv19ouu4gvrs00k, 2figny7hhxiw29vizhlyta3o4, 2m7xhno7xnktvmzwa6j7wlgfe, 73bs64w2up6ogimg7ujhv2dxw'}, {'id': 5204845759, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5204845757, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5204848439, 'qualifierId': 194, 'value': '7z57s6veqr3k87quyd6i7fgx6'}, {'id': 5204845755, 'qualifierId': 130, 'value': '4'}];;;;;cuki93nfns1amazemjivg2rys;Team set up;;;;;3386,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;0;New York City II;0;;
2719184313;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-09-11T21:06:28.807Z;2024-09-11T21:06:31Z;[{'id': 5204848455, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cuki93nfns1amazemjivg2rys;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;0;New York City II;0;;
2719184311;3;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-11T21:06:28.807Z;2024-09-12T11:22:15Z;[{'id': 5204848453, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cuki93nfns1amazemjivg2rys;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Toronto II;0;;
2719184315;4;1;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;49,9;50,1;2024-09-11T21:06:28.808Z;2024-09-11T21:06:32Z;[{'id': 5204848465, 'qualifierId': 213, 'value': '3.46'}, {'id': 5204848467, 'qualifierId': 279, 'value': 'S'}, {'id': 5204848457, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204848459, 'qualifierId': 140, 'value': '38.6'}, {'id': 5204848461, 'qualifierId': 141, 'value': '44.3'}, {'id': 5204848463, 'qualifierId': 212, 'value': '12.5'}];a0do5kh5akr89kst2p1hohixg;Camil Azzam Ruiz;;;cuki93nfns1amazemjivg2rys;Pass;;;;;;;;;;3,46;;;38,6;44,3;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;38,6;44,3;;;;;;;;0;0;0;Toronto II;0;FW;1,0
2719184337;5;1;1;0;3;6ddsx316t3j0z6nolrky9k4r8;1;41,4;47,6;2024-09-11T21:06:32.088Z;2024-09-11T21:06:35Z;[{'id': 5204848479, 'qualifierId': 141, 'value': '79.4'}, {'id': 5204848475, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204848483, 'qualifierId': 213, 'value': '2.17'}, {'id': 5204848481, 'qualifierId': 212, 'value': '26.2'}, {'id': 5204848477, 'qualifierId': 140, 'value': '27.3'}];2676930j149yvanqev61emh62;J. Rozhansky;;;cuki93nfns1amazemjivg2rys;Pass;;;;;;;;;;2,17;;;27,3;79,4;26,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;27,3;79,4;;;;;;;;0;0;3;Toronto II;3;MC;1,0
2719184339;6;1;1;0;6;6ddsx316t3j0z6nolrky9k4r8;1;27,7;76,7;2024-09-11T21:06:35.291Z;2024-09-11T21:06:39Z;[{'id': 5204848495, 'qualifierId': 213, 'value': '4.74'}, {'id': 5204848489, 'qualifierId': 140, 'value': '28.5'}, {'id': 5204848493, 'qualifierId': 212, 'value': '27.6'}, {'id': 5204848487, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204848491, 'qualifierId': 141, 'value': '36.1'}];1ni0mewxcbo26d1xxetkdy3ca;M. Leong;;;cuki93nfns1amazemjivg2rys;Pass;;;;;;;;;;4,74;;;28,5;36,1;27,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;28,5;36,1;;;;;;;;0;0;6;Toronto II;6;DC;1,0
2719184341;7;1;1;0;10;6ddsx316t3j0z6nolrky9k4r8;1;28,5;32,4;2024-09-11T21:06:39.369Z;2024-09-11T21:06:44Z;[{'id': 5204848507, 'qualifierId': 213, 'value': '1.55'}, {'id': 5204848499, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204848505, 'qualifierId': 212, 'value': '19.4'}, {'id': 5204848503, 'qualifierId': 141, 'value': '60.9'}, {'id': 5204848501, 'qualifierId': 140, 'value': '28.9'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;cuki93nfns1amazemjivg2rys;Pass;;;;;;;;;;1,55;;;28,9;60,9;19,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;28,9;60,9;;;;;;;;0;0;10;Toronto II;10;DL;1,0
2719184343;8;1;1;0;15;6ddsx316t3j0z6nolrky9k4r8;1;38,6;70,0;2024-09-11T21:06:44.025Z;2024-09-11T21:06:47Z;[{'id': 5204848517, 'qualifierId': 212, 'value': '14.3'}, {'id': 5204848513, 'qualifierId': 140, 'value': '35.8'}, {'id': 5204848511, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204848519, 'qualifierId': 213, 'value': '1.78'}, {'id': 5204848515, 'qualifierId': 141, 'value': '90.6'}];1ni0mewxcbo26d1xxetkdy3ca;M. Leong;;;cuki93nfns1amazemjivg2rys;Pass;;;;;;;;;;1,78;;;35,8;90,6;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;35,8;90,6;;;;;;;;0;0;15;Toronto II;15;DC;1,0
2719184345;9;1;1;0;18;6ddsx316t3j0z6nolrky9k4r8;1;35,6;90,2;2024-09-11T21:06:47.634Z;2024-09-11T21:06:52Z;[{'id': 5204848527, 'qualifierId': 141, 'value': '53.6'}, {'id': 5204848533, 'qualifierId': 1}, {'id': 5204848531, 'qualifierId': 213, 'value': '3.91'}, {'id': 5204848525, 'qualifierId': 140, 'value': '11.1'}, {'id': 5204848523, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204848529, 'qualifierId': 212, 'value': '35.8'}];4k6c9nnzytq9qhc9uol64wg7o;S. Bednarsky;;;cuki93nfns1amazemjivg2rys;Pass;;;;;;;;;;3,91;;;11,1;53,6;35,8;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;11,1;53,6;;;;;;;;0;0;18;Toronto II;18;DC;1,0
