id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Length;value_PassEndX;value_Zone;value_Angle;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_DeletedEventType;value_HeadPass;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_Chipped;value_Cross;value_Assist;value_GoalmouthY;value_RightFooted;value_OutOfBoxCentre;value_GkX;value_Assisted;value_GkY;value_GoalmouthZ;value_IndividualPlay;value_RegularPlay;value_RelatedEventId;value_High;value_NextEventGoalKick;value_Low;value_GoalKick;value_SwitchOfPlay;value_ShirtPull/Holding;value_Head;value_NotAssisted;value_LeftFooted;value_SixYardBlocked;value_BoxLeft;value_BlockedX;value_FirstTouch;value_Blocked;value_BlockedY;value_SetPiece;value_LowLeft;value_DefBlock;value_IntentionalAssist;value_FastBreak;value_BoxCentre;value_LowCentre;value_Right;value_IncorrectOutOfPlayDecision;value_Left;value_InSwinger;value_CornerTaken;value_IntendedTackleTarget;value_BlockedPass;value_HighLeft;value_LayOff;value_KeeperThrow;value_BoxRight;value_Hands;value_Diving;value_ParriedSafe;value_Collected;value_Stooping;value_OverArm;value_HighCentre;value_OutSwinger;value_FromCorner;value_RecklessOffence;value_YellowCard;value_Overrun;value_BlockedCross;value_Shove/Push;value_CloseRight;value_35Centre;value_PlayersCaughtOffside;value_Indirect;value_SmallBoxCentre;value_BigChance;value_NotPastGoalLine;value_SwerveRight;value_LowRight;value_FlickOn;value_HighRight;value_Minutes;value_EndType;value_TacticalFoul;value_NotVisible;value_SwerveLeft;value_HighClaim;value_GoalShotTimestamp;value_GoalShotGameClock;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_CloseHigh;value_Weak;value_SoloRun;value_Injury;value_InjuredPlayerId;value_SmallBoxRight;value_Feet;value_ParriedDanger;value_TimeWasting;value_ExcessiveCelebration;value_MisHit;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2725252813;6;50;1;0;10;479lsfr4cwlzewpbuda3y2xv4;1;78,8;13,7;2024-09-23T23:03:57.741Z;2024-09-23T23:04:06Z;[{'id': 5237917485, 'qualifierId': 286}, {'id': 5237917511, 'qualifierId': 233, 'value': '5'}, {'id': 5237917483, 'qualifierId': 56, 'value': 'Right'}];2b8nmdlsqa9wxn8xlujvyaqga;J. Lynn;;;cykadqh93a5grwwwfzwgk1sk;Dispossessed;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;10;Chicago Fire II;10;FW;1,0
2725252805;5;7;1;0;10;8o8m08he36u0j4w08aj2iodn8;0;21,2;86,3;2024-09-23T23:03:57.742Z;2024-09-23T23:04:06Z;[{'id': 5237917449, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237917491, 'qualifierId': 233, 'value': '6'}, {'id': 5237917451, 'qualifierId': 285}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;cykadqh93a5grwwwfzwgk1sk;Tackle;;;;;;;;;;;;;;;;;;6,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;10;Orlando City B;10;MC;1,0
2725252833;6;12;1;0;13;8o8m08he36u0j4w08aj2iodn8;1;31,1;96,3;2024-09-23T23:04:00.878Z;2024-09-24T00:05:52Z;[{'id': 5237917631, 'qualifierId': 167}, {'id': 5237917607, 'qualifierId': 141, 'value': '100.0'}, {'id': 5237917611, 'qualifierId': 213, 'value': '1.33'}, {'id': 5237917605, 'qualifierId': 140, 'value': '32.0'}, {'id': 5237917609, 'qualifierId': 212, 'value': '4.0'}, {'id': 5237917603, 'qualifierId': 56, 'value': 'Back'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;cykadqh93a5grwwwfzwgk1sk;Clearance;;;;;;;;;;100,0;;4,0;32,0;;1,33;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;32,0;100,0;;;;;;;0;0;0;13;Orlando City B;13;MC;1,0
2725252835;7;5;1;0;14;8o8m08he36u0j4w08aj2iodn8;0;28,5;101,6;2024-09-23T23:04:01.062Z;2024-09-24T00:05:51Z;[{'id': 5237917675, 'qualifierId': 233, 'value': '7'}, {'id': 5237917613, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237917615, 'qualifierId': 347}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;cykadqh93a5grwwwfzwgk1sk;Out;;;;;;;;;;;;;;;;;;7,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;14;Orlando City B;14;MC;1,0
2725252841;7;5;1;0;14;479lsfr4cwlzewpbuda3y2xv4;1;71,5;-1,6;2024-09-23T23:04:01.062Z;2024-09-24T00:05:51Z;[{'id': 5237917647, 'qualifierId': 56, 'value': 'Right'}, {'id': 5237917669, 'qualifierId': 233, 'value': '7'}, {'id': 5237917649, 'qualifierId': 347}];2b8nmdlsqa9wxn8xlujvyaqga;J. Lynn;;;cykadqh93a5grwwwfzwgk1sk;Out;;;;;;;;;;;;;;;;;;7,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;14;Chicago Fire II;14;FW;1,0
2725252897;8;1;1;0;23;479lsfr4cwlzewpbuda3y2xv4;1;76,1;0,0;2024-09-23T23:04:10.195Z;2024-09-23T23:04:13Z;[{'id': 5237917965, 'qualifierId': 141, 'value': '9.7'}, {'id': 5237917963, 'qualifierId': 140, 'value': '39.1'}, {'id': 5237917961, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237917967, 'qualifierId': 212, 'value': '39.6'}, {'id': 5237917969, 'qualifierId': 213, 'value': '2.95'}, {'id': 5237917959, 'qualifierId': 107}, {'id': 5237917971, 'qualifierId': 1}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;cykadqh93a5grwwwfzwgk1sk;Pass;;;;;;;;;;9,7;;39,6;39,1;;2,95;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;39,1;9,7;;;;;;;0;0;0;23;Chicago Fire II;23;DR;1,0
2725252923;9;1;1;0;25;479lsfr4cwlzewpbuda3y2xv4;1;35,4;11,1;2024-09-23T23:04:12.935Z;2024-09-23T23:04:16Z;[{'id': 5237918119, 'qualifierId': 213, 'value': '1.61'}, {'id': 5237918121, 'qualifierId': 1}, {'id': 5237918111, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237918117, 'qualifierId': 212, 'value': '35.6'}, {'id': 5237918115, 'qualifierId': 141, 'value': '63.4'}, {'id': 5237918113, 'qualifierId': 140, 'value': '34.1'}];ex99a6zbacpkkhgvynu80qpzo;N. Kibunguchy;;;cykadqh93a5grwwwfzwgk1sk;Pass;;;;;;;;;;63,4;;35,6;34,1;;1,61;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;34,1;63,4;;;;;;;0;0;0;25;Chicago Fire II;25;DL;1,0
2725252969;10;1;1;0;29;479lsfr4cwlzewpbuda3y2xv4;1;34,1;70,0;2024-09-23T23:04:16.564Z;2024-09-23T23:04:22Z;[{'id': 5237918317, 'qualifierId': 141, 'value': '96.3'}, {'id': 5237918319, 'qualifierId': 212, 'value': '19.7'}, {'id': 5237918315, 'qualifierId': 140, 'value': '42.0'}, {'id': 5237918313, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237918321, 'qualifierId': 213, 'value': '1.14'}];bdgjmawy0anbgy1tz87ocvd9l;L. Petrasso;;;cykadqh93a5grwwwfzwgk1sk;Pass;;;;;;;;;;96,3;;19,7;42,0;;1,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;42,0;96,3;;;;;;;0;0;0;29;Chicago Fire II;29;DC;1,0
2725252973;11;4;1;0;35;479lsfr4cwlzewpbuda3y2xv4;1;36,0;92,2;2024-09-23T23:04:22.618Z;2024-09-24T00:07:52Z;[{'id': 5237918395, 'qualifierId': 233, 'value': '8'}, {'id': 5237918351, 'qualifierId': 152}, {'id': 5237918353, 'qualifierId': 265}, {'id': 5237918349, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237918355, 'qualifierId': 286}, {'id': 5237918347, 'qualifierId': 13}];brzi1qy5hkx7zhxhjykg8ox78;Y. Valencia;;;cykadqh93a5grwwwfzwgk1sk;Foul;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;35;Chicago Fire II;35;AML;1,0
2725252977;8;4;1;0;35;8o8m08he36u0j4w08aj2iodn8;0;64,0;7,8;2024-09-23T23:04:22.619Z;2024-09-24T00:07:52Z;[{'id': 5237918393, 'qualifierId': 285}, {'id': 5237918389, 'qualifierId': 152}, {'id': 5237918415, 'qualifierId': 233, 'value': '11'}, {'id': 5237918391, 'qualifierId': 265}, {'id': 5237918387, 'qualifierId': 56, 'value': 'Right'}, {'id': 5237918385, 'qualifierId': 13}];84oe7sbhy91b5xvbo2w28i7f8;J. Diouf;;;cykadqh93a5grwwwfzwgk1sk;Foul;;;;;;;;;;;;;;;;;;11,0;;1,0;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;35;Orlando City B;35;DR;1,0
