id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_TeamKit;value_JerseyNumber;value_Captain;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_Length;value_PassEndX;value_PassEndY;value_Zone;value_KickOff;value_Angle;value_Launch;value_LongBall;value_HeadPass;value_LayOff;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_Head;value_DeletedEventType;value_Defensive;value_TakeOnOvertake;value_Offensive;value_TouchTypeClearance;value_TakeOnSpace;value_Chipped;value_IntendedTackleTarget;value_OutSwinger;value_LeftFooted;value_Cross;value_Assist;value_RegularPlay;value_IntentionalAssist;value_FollowsADribble;value_GoalmouthZ;value_GkYTimeOfGoal;value_GoalmouthY;value_LowRight;value_GkY;value_GoalShotTimestamp;value_BoxCentre;value_GoalShotGameClock;value_BigChance;value_GkXTimeOfGoal;value_RightFooted;value_RelatedEventId;value_GkX;value_Assisted;value_Defensive1V1;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_BlockedPass;value_TouchTypePass;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_IndividualPlay;value_High;value_OutOfBoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_Left;value_Right;value_CornerTaken;value_BlockedX;value_FromCorner;value_FirstTouch;value_NotPastGoalLine;value_BlockedY;value_HighGkIntervention;value_InSwinger;value_CloseLeft;value_ThroughBall;value_LastLine;value_TouchTypeControl;value_OtherObstacle;value_RefereeDelay;value_OtherReason;value_BallHitsReferee;value_PullBack;value_HighRight;value_BoxRight;value_Deflection;value_Standing;value_OtherBodyPart;value_MediumGkIntervention;value_ParriedSafe;value_Blocked;value_BoxLeft;value_LowCentre;value_DefBlock;value_LowLeft;value_NotAssisted;value_SwerveLeft;value_Diving;value_Hands;value_MisHit;value_Volley;value_ShirtPull/Holding;value_Shove/Push;value_YellowCard;value_TacticalFoul;value_FlickOn;value_Handball;value_Minutes;value_OverhitCross;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_GoalDisallowed;value_CloseHigh;value_CloseRight;value_Dissent;value_RecklessOffence;value_ThrowInSetPiece;value_Feet;value_Sliding;value_LowGkIntervention;value_KeeperThrow;value_PenaltyTakerId;value_Penalty;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_CausingPlayer;value_Scored;value_FastBreak;value_ParriedDanger;value_Fumble;value_OverArm;value_CoachId;value_SmallBoxCentre;value_OwnGoal;value_HitBar;value_HitWoodwork;value_Injury;value_InjuredPlayerId;value_LeadingToAttempt;value_RelatedError1Id;value_SwerveRight;value_1On1;value_GkHoof;value_OwnShotBlocked;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698751803;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-30T21:06:23.213Z;2024-07-01T00:17:13Z;[{'id': 5092197245, 'qualifierId': 30, 'value': '19igj31auu88fhwdpfz8c1coa, 3vssz1vq3p0tv1ks0hqrpxjis, 4kng7wg83mastngy9hw7j6v6y, cjjvy22j5q0piz5omn2tf18us, c1fvknrf94i05q738d5r7vmdw, 6lsvk9o6d581sd33g38mr6904, 55y26r9mz105vrqmnq739l62, 7ve3vmg19c3g91j7zs32oecd0, cliiemf1ih37qhh1wi1olk9ka, bn5ic0uuxaupf6hs2tgqqq0b8, 9z7fz0c95ib7oniguzwbihs0k, 3x8f4j8q49d8hft60a6k8l5as, 9hxomhr5g6zy05ei4z4lhrklw, cngjy2fgv7bd3262mp7onczkk, infc7r3a8oktbajwp4pff7dg, aymd7oegdw0wsqbvfl7xrl0r8, 9owtf360wi6ky1cr4qwnnfk0k, 4vloworaa03y2m2cnzbsifk7o, 8l4bqb8gtyzqpx3pti200phqs'}, {'id': 5092254339, 'qualifierId': 197, 'value': '15001'}, {'id': 5092197249, 'qualifierId': 59, 'value': '1, 36, 2, 8, 4, 3, 11, 23, 9, 10, 22, 12, 13, 14, 17, 66, 85, 87, 90'}, {'id': 5092452615, 'qualifierId': 194, 'value': 'c1fvknrf94i05q738d5r7vmdw'}, {'id': 5092197253, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092197247, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092197251, 'qualifierId': 130, 'value': '8'}, {'id': 5092197255, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dqeujsqevk58ugb3si5su4fmc;Team set up;;15001,0;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2698751875;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-06-30T21:07:31.808Z;2024-07-03T11:56:44Z;[{'id': 5092197707, 'qualifierId': 59, 'value': '51, 52, 75, 95, 86, 47, 41, 23, 62, 45, 30, 36, 38, 50, 55, 70, 99'}, {'id': 5092197713, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092197705, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5092453827, 'qualifierId': 194, 'value': '5c7gqtyra887hjyg502tvzn1m'}, {'id': 5092243091, 'qualifierId': 197, 'value': '4451'}, {'id': 5092197709, 'qualifierId': 130, 'value': '11'}, {'id': 5092197703, 'qualifierId': 30, 'value': 'a0wpfy3ac4q8lwyiwvlj6m590, cbjd834y2hdx5jr3bda1zz6ga, bjk2ns3xadow18v3tkvqqrkh6, 2iz7apzo49byqz0ws65h9d7v8, d5kcfgycj51y6aw82r38sl7o4, 5c7gqtyra887hjyg502tvzn1m, astn4ytzoaav30ifi17s4dn8, 216tgeofjnxr75ehcftkvxkpg, ax2y5fvc4dzwn4qkxrfutapsk, 6ahu72g0u39bxbjiz7ggefai1, 1b9b97pxox77ia41cilqqm4iy, 3uzxhd8g0jnft5xcd59yztm95, 3lafo3mzfkp2kmf2fj8d6lnv8, f69xf0cdfn1qe63t5tr5in10, 7y5v3oex0pnupaahm8arguluc, 6q634opy4rb3nki6ydmgpbhg4, eg5gobm8zylt21enud00dfnmy'}, {'id': 5092197711, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}];;;;;dqeujsqevk58ugb3si5su4fmc;Team set up;;4451,0;;;;;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Inter Miami II;0;;
2698759745;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-06-30T22:03:51.435Z;2024-06-30T22:03:51Z;[{'id': 5092245817, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dqeujsqevk58ugb3si5su4fmc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Inter Miami II;0;;
2698759751;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-30T22:03:51.435Z;2024-07-03T10:20:46Z;[{'id': 5092245867, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dqeujsqevk58ugb3si5su4fmc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2698759763;3;1;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;50,1;50,0;2024-06-30T22:03:51.436Z;2024-06-30T22:03:56Z;[{'id': 5092245935, 'qualifierId': 212, 'value': '27.5'}, {'id': 5092245931, 'qualifierId': 140, 'value': '23.9'}, {'id': 5092245933, 'qualifierId': 141, 'value': '50.1'}, {'id': 5092245929, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092245939, 'qualifierId': 279, 'value': 'S'}, {'id': 5092245937, 'qualifierId': 213, 'value': '3.14'}];ax2y5fvc4dzwn4qkxrfutapsk;A. Gordon;;;dqeujsqevk58ugb3si5su4fmc;Pass;;;;;;;;;;27,5;23,9;50,1;;;3,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;23,9;50,1;;;;;;;;0;0;0;Inter Miami II;0;FW;1,0
2698759779;4;1;1;0;4;erwnez7ksfkns4dqmyr1fhbe;1;27,1;49,6;2024-06-30T22:03:56.155Z;2024-06-30T22:04:07Z;[{'id': 5092246021, 'qualifierId': 213, 'value': '5.98'}, {'id': 5092246017, 'qualifierId': 141, 'value': '30.4'}, {'id': 5092246011, 'qualifierId': 157}, {'id': 5092246015, 'qualifierId': 140, 'value': '66.5'}, {'id': 5092246019, 'qualifierId': 212, 'value': '43.4'}, {'id': 5092246013, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092246023, 'qualifierId': 1}];a0wpfy3ac4q8lwyiwvlj6m590;J. Ransom;;;dqeujsqevk58ugb3si5su4fmc;Pass;;;;;;;;;;43,4;66,5;30,4;;;5,98;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;66,5;30,4;;;;;;;;0;0;4;Inter Miami II;4;GK;1,0
2698759791;5;1;1;0;6;erwnez7ksfkns4dqmyr1fhbe;0;65,3;29,7;2024-06-30T22:03:58.151Z;2024-07-03T10:35:50Z;[{'id': 5092246093, 'qualifierId': 141, 'value': '40.1'}, {'id': 5092246095, 'qualifierId': 212, 'value': '7.4'}, {'id': 5092246091, 'qualifierId': 140, 'value': '67.3'}, {'id': 5092246089, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092246087, 'qualifierId': 3}, {'id': 5092246097, 'qualifierId': 213, 'value': '1.28'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;;dqeujsqevk58ugb3si5su4fmc;Pass;;;;;;;;;;7,4;67,3;40,1;;;1,28;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;67,3;40,1;;;;;;;;0;0;6;Inter Miami II;6;MC;1,0
2698759789;3;49;1;0;8;c7c4wwva2u1vb3rr7rwava044;1;31,7;46,4;2024-06-30T22:03:59.555Z;2024-07-03T10:35:52Z;[];55y26r9mz105vrqmnq739l62;D. Reyes;;;dqeujsqevk58ugb3si5su4fmc;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;8;Atlanta United II;8;AMR;1,0
2698759825;4;1;1;0;10;c7c4wwva2u1vb3rr7rwava044;1;29,4;40,2;2024-06-30T22:04:01.742Z;2024-07-03T10:35:53Z;[{'id': 5092246293, 'qualifierId': 141, 'value': '36.6'}, {'id': 5092246289, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092246291, 'qualifierId': 140, 'value': '22.0'}, {'id': 5092246295, 'qualifierId': 212, 'value': '8.1'}, {'id': 5092246297, 'qualifierId': 213, 'value': '3.45'}];55y26r9mz105vrqmnq739l62;D. Reyes;;;dqeujsqevk58ugb3si5su4fmc;Pass;;;;;;;;;;8,1;22,0;36,6;;;3,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;22,0;36,6;;;;;;;;0;0;10;Atlanta United II;10;AMR;1,0
2698759847;5;1;1;0;15;c7c4wwva2u1vb3rr7rwava044;1;22,5;39,6;2024-06-30T22:04:06.944Z;2024-06-30T22:04:10Z;[{'id': 5092246427, 'qualifierId': 140, 'value': '22.8'}, {'id': 5092246433, 'qualifierId': 213, 'value': '1.56'}, {'id': 5092246429, 'qualifierId': 141, 'value': '72.0'}, {'id': 5092246425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092246431, 'qualifierId': 212, 'value': '22.0'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;dqeujsqevk58ugb3si5su4fmc;Pass;;;;;;;;;;22,0;22,8;72,0;;;1,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;22,8;72,0;;;;;;;;0;0;15;Atlanta United II;15;DL;1,0
