id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_JerseyNumber;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_PassEndY;value_Length;value_Zone;value_Chipped;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_Launch;value_DeletedEventType;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_TakeOnOvertake;value_Overrun;value_NextEventGoalKick;value_Low;value_GoalKick;value_TouchTypeClearance;value_Left;value_CornerTaken;value_RightFooted;value_InSwinger;value_Cross;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_Assist;value_IntentionalAssist;value_OutSwinger;value_LeftFooted;value_FirstTouch;value_GoalmouthY;value_LowRight;value_BlockedY;value_Head;value_BigChance;value_Assisted;value_BlockedX;value_SmallBoxRight;value_GoalmouthZ;value_RelatedEventId;value_RegularPlay;value_OtherBodyPart;value_MediumGkIntervention;value_ParriedSafe;value_Stooping;value_Right;value_BoxCentre;value_FromCorner;value_GkY;value_GkX;value_CloseLeft;value_TouchTypePass;value_LowCentre;value_SixYardBlocked;value_Blocked;value_IndividualPlay;value_BoxRight;value_DefBlock;value_OutOfBoxCentre;value_NotAssisted;value_NotVisible;value_High;value_LayOff;value_Straight;value_DrivenCross;value_BlockedClearance;value_BlockedPass;value_TouchTypeControl;value_TakeOnSpace;value_IntendedTackleTarget;value_CloseHigh;value_AttemptedTackle;value_BoxLeft;value_LowLeft;value_FastBreak;value_1On1;value_Sliding;value_LowGkIntervention;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_FlickOn;value_PullBack;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_Shove/Push;value_InjuredPlayerId;value_Injury;value_OverArm;value_Defensive1V1;value_SmallBoxLeft;value_Hands;value_Collected;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_CloseRight;value_BlockedCross;value_TacticalFoul;value_YellowCard;value_FreeKick;value_HighLeft;value_GkKickFromHands;value_HighCentre;value_Standing;value_Diving;value_Handball;value_GoalDisallowed;value_Volley;value_CloseLeftAndHigh;value_CloseRightAndHigh;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_GkYTimeOfGoal;value_Penalty;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_Scored;value_HitBar;value_HitWoodwork;value_Saved;value_Fingertip;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2676789817;6;1;1;0;9;5icuo8utnztpsd9l03gdd68dl;1;32,3;12,1;2024-04-22T03:03:19.683Z;2024-04-22T03:03:21Z;[{'id': 4972291393, 'qualifierId': 56, 'value': 'Back'}, {'id': 4972291395, 'qualifierId': 140, 'value': '21.2'}, {'id': 4972291401, 'qualifierId': 213, 'value': '3.47'}, {'id': 4972291399, 'qualifierId': 212, 'value': '12.3'}, {'id': 4972291397, 'qualifierId': 141, 'value': '6.3'}];4dji8lgdl3psnfchdwpllvod0;G. Minoungou;;cea2ao8lx8dw3jdjtpqfhdhck;Pass;;;;;;;;;;;21,2;3,47;6,3;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;21,2;6,3;;;;;;;;0;0;9;Vancouver Whitecaps II;9;AMR;1,0
2676789819;7;1;1;0;10;5icuo8utnztpsd9l03gdd68dl;0;21,2;6,3;2024-04-22T03:03:21.379Z;2024-04-22T03:03:21Z;[{'id': 4972291413, 'qualifierId': 140, 'value': '40.7'}, {'id': 4972291409, 'qualifierId': 157}, {'id': 4972291419, 'qualifierId': 213, 'value': '0.42'}, {'id': 4972291421, 'qualifierId': 1}, {'id': 4972291417, 'qualifierId': 212, 'value': '22.5'}, {'id': 4972291411, 'qualifierId': 56, 'value': 'Back'}, {'id': 4972291415, 'qualifierId': 141, 'value': '19.9'}];2iusvkm9t8r1widsfvbesnjf8;K. Kossa-Rienzi;;cea2ao8lx8dw3jdjtpqfhdhck;Pass;;;;;;;;;;;40,7;0,42;19,9;22,5;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;40,7;19,9;;;;;;;;0;0;10;Vancouver Whitecaps II;10;DR;1,0
2676795389;408;61;1;0;11;eo64tqkioegeb09iice2hf8bt;1;63,9;86,3;2024-04-22T03:03:21.445Z;2024-04-26T14:39:32Z;[{'id': 4972317269, 'qualifierId': 56, 'value': 'Left'}];34wufspo6zerdhewo82hbszmy;R. Priso;;cea2ao8lx8dw3jdjtpqfhdhck;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;11;Tacoma Defiance;11;MC;1,0
2676795405;409;49;1;0;11;eo64tqkioegeb09iice2hf8bt;1;71,0;84,4;2024-04-22T03:03:21.445Z;2024-04-22T03:52:56Z;[];1ksu0c3adavx1gqbrhalfpatw;C. Kachwele;;cea2ao8lx8dw3jdjtpqfhdhck;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;11;Tacoma Defiance;11;FW;1,0
2678260885;787;43;1;0;11;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-04-22T03:03:21.448Z;2024-04-26T14:40:07Z;[{'id': 4980211697, 'qualifierId': 144, 'value': '49'}];1ksu0c3adavx1gqbrhalfpatw;C. Kachwele;;cea2ao8lx8dw3jdjtpqfhdhck;Deleted event;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;11;Tacoma Defiance;11;FW;1,0
2676795411;410;1;1;0;12;eo64tqkioegeb09iice2hf8bt;0;71,0;84,4;2024-04-22T03:03:22.445Z;2024-04-22T03:53:00Z;[{'id': 4972317395, 'qualifierId': 213, 'value': '4.01'}, {'id': 4972317389, 'qualifierId': 140, 'value': '62.4'}, {'id': 4972317391, 'qualifierId': 141, 'value': '68.8'}, {'id': 4972317387, 'qualifierId': 56, 'value': 'Center'}, {'id': 4972317393, 'qualifierId': 212, 'value': '13.9'}];1ksu0c3adavx1gqbrhalfpatw;C. Kachwele;;cea2ao8lx8dw3jdjtpqfhdhck;Pass;;;;;;;;;;;62,4;4,01;68,8;13,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;62,4;68,8;;;;;;;;0;0;12;Tacoma Defiance;12;FW;1,0
2676795603;497;43;1;0;13;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-04-22T03:03:23.716Z;2024-04-26T14:39:50Z;[{'id': 4980211547, 'qualifierId': 144, 'value': '49'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;cea2ao8lx8dw3jdjtpqfhdhck;Deleted event;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;13;Vancouver Whitecaps II;13;AMC;1,0
2676789831;8;1;1;0;13;5icuo8utnztpsd9l03gdd68dl;0;33,8;33,5;2024-04-22T03:03:24.299Z;2024-04-22T03:54:28Z;[{'id': 4972291493, 'qualifierId': 56, 'value': 'Back'}, {'id': 4972291501, 'qualifierId': 213, 'value': '4.30'}, {'id': 4972291495, 'qualifierId': 140, 'value': '29.4'}, {'id': 4972291497, 'qualifierId': 141, 'value': '17.9'}, {'id': 4972291499, 'qualifierId': 212, 'value': '11.6'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;cea2ao8lx8dw3jdjtpqfhdhck;Pass;;;;;;;;;;;29,4;4,3;17,9;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;29,4;17,9;;;;;;;;0;0;13;Vancouver Whitecaps II;13;AMC;1,0
2676795491;411;43;1;0;14;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-04-22T03:03:24.445Z;2024-04-26T14:40:59Z;[{'id': 4980212257, 'qualifierId': 144, 'value': '49'}];7ierspejw09stwtcg1tyswr9w;J. Selemani;;cea2ao8lx8dw3jdjtpqfhdhck;Deleted event;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;14;Tacoma Defiance;14;FW;1,0
2676795557;412;1;1;0;16;eo64tqkioegeb09iice2hf8bt;1;63,3;91,4;2024-04-22T03:03:26.445Z;2024-04-22T03:54:06Z;[{'id': 4972318083, 'qualifierId': 141, 'value': '87.5'}, {'id': 4972318085, 'qualifierId': 212, 'value': '26.5'}, {'id': 4972318087, 'qualifierId': 213, 'value': '3.24'}, {'id': 4972318081, 'qualifierId': 140, 'value': '38.2'}, {'id': 4972318079, 'qualifierId': 56, 'value': 'Back'}];7ierspejw09stwtcg1tyswr9w;J. Selemani;;cea2ao8lx8dw3jdjtpqfhdhck;Pass;;;;;;;;;;;38,2;3,24;87,5;26,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;38,2;87,5;;;;;;;;0;0;16;Tacoma Defiance;16;FW;1,0
