id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Zone;value_Angle;value_PassEndX;value_Length;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_IntendedTackleTarget;value_PullBack;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_Cross;value_InSwinger;value_BlockedY;value_GoalmouthZ;value_OutOfBoxCentre;value_LeftFooted;value_FromCorner;value_BlockedX;value_GoalmouthY;value_FirstTouch;value_Assisted;value_LowCentre;value_IndividualPlay;value_RelatedEventId;value_Collected;value_Hands;value_Diving;value_Launch;value_DeletedEventType;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_HeadPass;value_AttemptedTackle;value_LayOff;value_IntentionalAssist;value_Assist;value_GkX;value_RightFooted;value_RegularPlay;value_GkY;value_Blocked;value_DefBlock;value_KeeperThrow;value_NextEventGoalKick;value_GoalKick;value_Low;value_OverArm;value_Shove/Push;value_BoxLeft;value_Head;value_PlayersCaughtOffside;value_Indirect;value_ThroughBall;value_BoxCentre;value_BigChance;value_GoalShotTimestamp;value_GoalShotGameClock;value_LowLeft;value_CloseLeft;value_SwerveRight;value_Injury;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Straight;value_NotPastGoalLine;value_NotAssisted;value_HighRight;value_FreeKick;value_Standing;value_ParriedSafe;value_CaptainChange;value_HighLeft;value_FastBreak;value_LeadingToGoal;value_RelatedError1Id;value_LowRight;value_FollowsADribble;value_HighClaim;value_RedCard;value_ProfessionalFoulLastMan;value_OverhitCross;value_Minutes;value_OtherObstacle;value_RefereeDelay;value_OtherReason;value_SwerveLeft;value_HitRightPost;value_HitWoodwork;value_High;value_EndType;value_Tactical;value_Deflection;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_SmallBoxCentre;value_NotVisible;value_BlockedPass;value_YellowCard;value_RecklessOffence;value_BlockedCross;value_SmallBoxRight;value_FlickOn;value_HighCentre;value_Penalty;value_AerialFoul;value_Volley;value_Overrun;value_DrinksBreak;value_OutSwinger;value_BoxDeepRight;value_GkKickFromHands;value_SixYardBlocked;value_LeadingToAttempt;value_35Centre;value_HitBar;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_Saved;value_KeeperTouched;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702150967;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-07-20T18:13:44.920Z;2024-07-20T19:20:57Z;[{'id': 5110829043, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5110829035, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5110829039, 'qualifierId': 130, 'value': '8'}, {'id': 5110829037, 'qualifierId': 59, 'value': '29, 96, 31, 85, 35, 4, 80, 77, 95, 37, 99, 30, 36, 44, 53, 81, 83, 90, 93, 97'}, {'id': 5110972521, 'qualifierId': 194, 'value': 'ez0t0pl5qxy0sa3zp1l77sjro'}, {'id': 5110829041, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5110929737, 'qualifierId': 197, 'value': '23614'}, {'id': 5110829033, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 3007iihmvmlzgpgtxri3v3hg4, 7zr3gif60ntltgt3s5yi6qjca, 2iusvkm9t8r1widsfvbesnjf8, dil2b9u1omrsdbxba5swbe9gq, 6u67oyyybg2bljzmzo6ujsl3p, 5jal3zhkwodffivsq89wfd15g, 8khtu1w0lp1f5d5t4zmfxiei, 3y5rrahty1k0l1hnww3bcozmy, ez0t0pl5qxy0sa3zp1l77sjro, e5oov2tctv9yrbh5uldfyrey2, 5rcj1mef6u2jbosy1urou0d7t, 9fbj8njpn0q6j87le4rnafjf8, lrkkhk8u32krmb0n4wtg1las, 12s9icx64njgo9to4sb732eqc, b0xuwec3m6rvxwx7gygv34o6i, e2t6sxwsa5ll4zvsxh96512zu, s9a51dj3nkad2e53b2jbgl5g, 4dji8lgdl3psnfchdwpllvod0, do5nsl65m35sog9vcp0j3kbh0'}];;;;;e8btgsftudhx89rtc3bsr4sus;Team set up;;;8,0;;;;23614,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2702153055;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-07-20T18:18:34.877Z;2024-07-20T19:24:22Z;[{'id': 5110840619, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5110840617, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5110929741, 'qualifierId': 197, 'value': '23554'}, {'id': 5110840611, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5110840609, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 24rxb4eeoakxkmritog6a7x90, 4x8eu2y112ini9hx6b72bh46i, do2o6ka25talswmmillufejqi, e2912gyiutvn3aky0z9ijz384, 7s32iecltoopsjddclg0ixzx0, ajxa2yfzwct5nd0ded1sa9vmy, 1efr6u06hvhm9drygb9qsi92i, 3v3b0z3d5czty8zcxrhy5uyac, 18b4rpeia26xq688ieqaw2z2s, 17ni4ntnt7b6b0bwst3e4djze, 5cqlrvp5sqbjwjztpxswwmolw, cuxpxs76g96vwhrnhw9rw2ihg, 5reylt0uyetl6qavkvd8inai, m4w1lmkfi8siwrxs9ny5ihhw, 3fbekr02uy605ppv5pzw9321g, df5w97wpp2ma3l6rsyzc0vgno, 230zkhv4hig5j6azhgem5553o'}, {'id': 5110840615, 'qualifierId': 130, 'value': '4'}, {'id': 5110929493, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 5110840613, 'qualifierId': 59, 'value': '31, 32, 73, 43, 65, 44, 40, 48, 39, 77, 91, 41, 49, 55, 56, 81, 92, 88'}];;;;;e8btgsftudhx89rtc3bsr4sus;Team set up;;;4,0;;;;23554,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2702169177;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-07-20T19:04:19.308Z;2024-07-20T19:04:22Z;[{'id': 5110931611, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e8btgsftudhx89rtc3bsr4sus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2702169171;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-07-20T19:04:19.308Z;2024-07-20T19:04:19Z;[{'id': 5110931579, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e8btgsftudhx89rtc3bsr4sus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2702169189;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;49,6;50,0;2024-07-20T19:04:19.309Z;2024-07-20T19:04:22Z;[{'id': 5110931673, 'qualifierId': 141, 'value': '51.3'}, {'id': 5110931679, 'qualifierId': 279, 'value': 'S'}, {'id': 5110931669, 'qualifierId': 56, 'value': 'Back'}, {'id': 5110931677, 'qualifierId': 213, 'value': '3.06'}, {'id': 5110931671, 'qualifierId': 140, 'value': '39.7'}, {'id': 5110931675, 'qualifierId': 212, 'value': '10.4'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;e8btgsftudhx89rtc3bsr4sus;Pass;;;;;;;;;;51,3;;;3,06;39,7;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;39,7;51,3;;;;;;;;0;0;0;Tacoma Defiance;0;FW;1,0
2702169205;4;1;1;0;3;6gaq85erpkvbyxvivd96wuw44;1;40,1;50,9;2024-07-20T19:04:22.594Z;2024-07-20T19:04:27Z;[{'id': 5110931767, 'qualifierId': 56, 'value': 'Right'}, {'id': 5110931769, 'qualifierId': 140, 'value': '68.5'}, {'id': 5110931777, 'qualifierId': 1}, {'id': 5110931771, 'qualifierId': 141, 'value': '10.1'}, {'id': 5110931765, 'qualifierId': 155}, {'id': 5110931775, 'qualifierId': 213, 'value': '5.53'}, {'id': 5110931773, 'qualifierId': 212, 'value': '40.7'}];do2o6ka25talswmmillufejqi;D. Rosales;;;e8btgsftudhx89rtc3bsr4sus;Pass;;;;;;;;;;10,1;;;5,53;68,5;40,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;68,5;10,1;;;;;;;;0;0;3;Tacoma Defiance;3;MC;1,0
2702169213;5;1;1;0;8;6gaq85erpkvbyxvivd96wuw44;1;66,1;8,6;2024-07-20T19:04:27.522Z;2024-07-20T19:04:28Z;[{'id': 5110931807, 'qualifierId': 140, 'value': '54.7'}, {'id': 5110931809, 'qualifierId': 141, 'value': '10.9'}, {'id': 5110931811, 'qualifierId': 212, 'value': '12.1'}, {'id': 5110931803, 'qualifierId': 56, 'value': 'Right'}, {'id': 5110931813, 'qualifierId': 213, 'value': '3.01'}];18b4rpeia26xq688ieqaw2z2s;A. Wibowo;;;e8btgsftudhx89rtc3bsr4sus;Pass;;;;;;;;;;10,9;;;3,01;54,7;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;54,7;10,9;;;;;;;;0;0;8;Tacoma Defiance;8;FWR;1,0
2702169231;6;1;1;0;9;6gaq85erpkvbyxvivd96wuw44;1;54,7;10,9;2024-07-20T19:04:28.338Z;2024-07-20T19:04:31Z;[{'id': 5110931923, 'qualifierId': 213, 'value': '2.47'}, {'id': 5110931921, 'qualifierId': 212, 'value': '32.1'}, {'id': 5110931925, 'qualifierId': 1}, {'id': 5110931917, 'qualifierId': 140, 'value': '30.8'}, {'id': 5110931919, 'qualifierId': 141, 'value': '40.4'}, {'id': 5110931915, 'qualifierId': 56, 'value': 'Back'}];24rxb4eeoakxkmritog6a7x90;S. Nixon;;;e8btgsftudhx89rtc3bsr4sus;Pass;;;;;;;;;;40,4;;;2,47;30,8;32,1;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;30,8;40,4;;;;;;;;0;0;9;Tacoma Defiance;9;DR;1,0
2702169241;7;1;1;0;12;6gaq85erpkvbyxvivd96wuw44;1;31,9;39,4;2024-07-20T19:04:31.554Z;2024-07-20T19:04:34Z;[{'id': 5110931975, 'qualifierId': 213, 'value': '1.51'}, {'id': 5110931971, 'qualifierId': 141, 'value': '65.8'}, {'id': 5110931969, 'qualifierId': 140, 'value': '33.0'}, {'id': 5110931967, 'qualifierId': 56, 'value': 'Back'}, {'id': 5110931973, 'qualifierId': 212, 'value': '18.0'}];e2912gyiutvn3aky0z9ijz384;A. Sanders;;;e8btgsftudhx89rtc3bsr4sus;Pass;;;;;;;;;;65,8;;;1,51;33,0;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;33,0;65,8;;;;;;;;0;0;12;Tacoma Defiance;12;DL;1,0
2702169253;8;1;1;0;14;6gaq85erpkvbyxvivd96wuw44;1;34,0;69,4;2024-07-20T19:04:34.258Z;2024-07-20T19:04:36Z;[{'id': 5110932031, 'qualifierId': 212, 'value': '19.2'}, {'id': 5110932033, 'qualifierId': 213, 'value': '1.07'}, {'id': 5110932029, 'qualifierId': 141, 'value': '94.2'}, {'id': 5110932027, 'qualifierId': 140, 'value': '42.8'}, {'id': 5110932025, 'qualifierId': 56, 'value': 'Back'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;e8btgsftudhx89rtc3bsr4sus;Pass;;;;;;;;;;94,2;;;1,07;42,8;19,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;42,8;94,2;;;;;;;;0;0;14;Tacoma Defiance;14;DC;1,0
