id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Resume;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Zone;value_PassEndY;value_Angle;value_Length;value_LongBall;value_Chipped;value_HeadPass;value_Launch;value_Offensive;value_DeletedEventType;value_FlickOn;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Defensive;value_LayOff;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_Cross;value_OutOfPlay;value_Right;value_Left;value_InSwinger;value_CornerTaken;value_NextEventGoalKick;value_GoalKick;value_Low;value_AttemptedTackle;value_BlockedPass;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_GoalmouthZ;value_OutOfBoxCentre;value_LeftFooted;value_FreeKick;value_NotAssisted;value_GkX;value_GoalmouthY;value_GkY;value_HighLeft;value_NotVisible;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_Indirect;value_ShirtPull/Holding;value_Assist;value_RegularPlay;value_GoalShotGameClock;value_BoxLeft;value_IndividualPlay;value_Deflection;value_KeeperTouched;value_LowLeft;value_GoalShotTimestamp;value_Assisted;value_IntentionalAssist;value_FirstTouch;value_BlockedX;value_FromCorner;value_BoxCentre;value_LowRight;value_Head;value_BlockedY;value_Standing;value_Hands;value_Collected;value_KeeperThrow;value_DefBlock;value_HighRight;value_RightFooted;value_HighClaim;value_High;value_Blocked;value_LowCentre;value_SwerveRight;value_CloseLeft;value_PullBack;value_Overrun;value_OverArm;value_CloseRight;value_Injury;value_InjuredPlayerId;value_SwerveLeft;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_SwitchOfPlay;value_GkKickFromHands;value_Volley;value_TacticalFoul;value_ByWall;value_SetPiece;value_TempShotOn;value_SmallBoxRight;value_SixYardBlocked;value_BlockedCross;value_LeadingToGoal;value_BigChance;value_Penalty;value_PenaltyTakerId;value_Diving;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Dissent;value_OverhitCross;value_NotRetreating;value_RelatedError1Id;value_HighCentre;value_Fumble;value_ParriedDanger;value_OutSwinger;value_NotPastGoalLine;value_FastBreak;value_SecondYellow;value_TimeWasting;value_OutOfBoxDeepLeft;value_ParriedSafe;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_WeatherProblem;value_NewStartTime;value_OfficiallyAnnounced;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710665673;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-08-18T17:59:12.006Z;2024-08-18T20:50:11Z;[{'id': 5157994283, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5157994281, 'qualifierId': 30, 'value': '2m7xhno7xnktvmzwa6j7wlgfe, 5l9js12tsf18c7st0oac3swes, 7w2rw1jd8ouhu8bbvswvysu8k, cgcpmpetc768pyqb51qthq61g, 2figny7hhxiw29vizhlyta3o4, 8pvvljn4uasfjxdleh56pm38, e8i5fg3tp35k8iys32eiv7jmc, 7q8y6gbmg9j75zgm3nhs3bfh0, d5del7kcf1zgkd2uvhius8y22, 7z57s6veqr3k87quyd6i7fgx6, c760g3hvhvi7nra7gpdrynn1m, b1fzb3n41gtxqnv6pcaug88pg, bje8wvncnbbx5w0l08uno88ru, bwn9d457kxdldt87z9fl1x0k4, 5qfwg7j8xrfv19ouu4gvrs00k, 9n4pw401dtt30wlnwrxvads7o, dqxh3f9qy6lhrwabvnbb6erro, 6xu5v7x5zge1k83w40mmbxyzu, 48uytxtisot3s0ilflltvxwk4, e2kmrkomhu7q5zsvh9dm593bo'}, {'id': 5157994289, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5157994285, 'qualifierId': 59, 'value': '50, 92, 73, 96, 58, 51, 89, 68, 38, 72, 82, 74, 70, 86, 95, 80, 79, 81, 65, 94'}, {'id': 5158835007, 'qualifierId': 197, 'value': '19221'}, {'id': 5157994291, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5157994287, 'qualifierId': 130, 'value': '13'}];;;;;eq3htncf011l0ji2pj0rvy1as;Team set up;;;;;19221,0;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2710665713;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-08-18T17:59:15.023Z;2024-08-18T20:32:59Z;[{'id': 5158560177, 'qualifierId': 197, 'value': '23521'}, {'id': 5157994463, 'qualifierId': 130, 'value': '2'}, {'id': 5157994457, 'qualifierId': 30, 'value': '1ceqwz4ozqi6ft5l4hf5a04r8, 872ifpo3qufi9vv9vy7ty6uj8, 15v2azulwhof0p216i7bjp250, 993vihjmsn70q9w237fatzgbu, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, d4spt2529fmys8d26x61lk36c, 5aszabja459117mqykvfpajh0, ngmdu10fjli45jvddeljv8yc, de6bz3uyz5ta17f0jnnfhzims, sqm6jwnogmzp7u7rsv3rtel0, ao8lbslcj9wswv1jx15t59444, 9j3va21w5i9ypf8qmt4g1vggk, 434xf7moiduhzy9ivp7jxr10, dvems493n5l4twsq6cq2fg26s, c390qr85frsvwv3o1ybehjk7o, 6rm114588bj7ro7639d8l4qvo, dkkg923101zraafj7la0j8cus'}, {'id': 5157994465, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5157994467, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5157994461, 'qualifierId': 59, 'value': '57, 58, 30, 24, 44, 29, 47, 42, 35, 45, 62, 81, 77, 55, 36, 66, 61, 68'}, {'id': 5157994459, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5158752059, 'qualifierId': 194, 'value': '3h4x6eh6zkcaww4g6rhkwpbf8'}];;;;;eq3htncf011l0ji2pj0rvy1as;Team set up;;;;;23521,0;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;0;Toronto II;0;;
2710764547;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-08-18T19:55:20.972Z;2024-08-18T19:55:24Z;[{'id': 5158555629, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eq3htncf011l0ji2pj0rvy1as;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;0;Toronto II;0;;
2710764535;3;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-08-18T19:55:20.972Z;2024-08-18T19:55:21Z;[{'id': 5158555573, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eq3htncf011l0ji2pj0rvy1as;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2710764581;4;1;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;50,1;50,1;2024-08-18T19:55:20.973Z;2024-08-18T19:55:25Z;[{'id': 5158555815, 'qualifierId': 140, 'value': '29.6'}, {'id': 5158555827, 'qualifierId': 279, 'value': 'S'}, {'id': 5158555811, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158555819, 'qualifierId': 141, 'value': '52.7'}, {'id': 5158555825, 'qualifierId': 213, 'value': '3.06'}, {'id': 5158555823, 'qualifierId': 212, 'value': '21.6'}];c760g3hvhvi7nra7gpdrynn1m;J. Altobelli;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;29,6;;;52,7;3,06;21,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;29,6;52,7;;;;;;;;0;0;0;Philadelphia Union II;0;FWL;1,0
2710764595;5;1;1;0;4;29nx7yxy1rdqv2oobqn5pjf8p;0;30,2;49,9;2024-08-18T19:55:25.214Z;2024-08-18T20:43:01Z;[{'id': 5158555945, 'qualifierId': 141, 'value': '8.5'}, {'id': 5158555941, 'qualifierId': 56, 'value': 'Right'}, {'id': 5158555949, 'qualifierId': 213, 'value': '5.53'}, {'id': 5158555943, 'qualifierId': 140, 'value': '58.6'}, {'id': 5158555951, 'qualifierId': 1}, {'id': 5158555947, 'qualifierId': 212, 'value': '41.0'}, {'id': 5158555937, 'qualifierId': 155}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;58,6;;;8,5;5,53;41,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;58,6;8,5;;;;;;;;0;0;4;Philadelphia Union II;4;DC;1,0
2710764623;3;1;1;0;6;1zgjjyruyufrkh4xjvryqsb1i;0;36,1;93,8;2024-08-18T19:55:27.334Z;2024-08-18T20:25:59Z;[{'id': 5158556127, 'qualifierId': 3}, {'id': 5158556137, 'qualifierId': 213, 'value': '5.58'}, {'id': 5158556133, 'qualifierId': 141, 'value': '81.1'}, {'id': 5158556135, 'qualifierId': 212, 'value': '13.4'}, {'id': 5158556129, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158556131, 'qualifierId': 140, 'value': '45.8'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;45,8;;;81,1;5,58;13,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;45,8;81,1;;;;;;;;0;0;6;Toronto II;6;DC;1,0
2710764707;6;1;1;0;8;29nx7yxy1rdqv2oobqn5pjf8p;0;41,1;13,2;2024-08-18T19:55:29.342Z;2024-08-18T19:55:32Z;[{'id': 5158556573, 'qualifierId': 3}, {'id': 5158556583, 'qualifierId': 213, 'value': '0.31'}, {'id': 5158556581, 'qualifierId': 212, 'value': '20.8'}, {'id': 5158556579, 'qualifierId': 141, 'value': '22.4'}, {'id': 5158556575, 'qualifierId': 56, 'value': 'Center'}, {'id': 5158556577, 'qualifierId': 140, 'value': '60.0'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;60,0;;;22,4;0,31;20,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;60,0;22,4;;;;;;;;0;0;8;Philadelphia Union II;8;FWR;1,0
2710764725;7;1;1;0;10;29nx7yxy1rdqv2oobqn5pjf8p;0;65,2;28,4;2024-08-18T19:55:31.587Z;2024-08-18T20:43:57Z;[{'id': 5158807053, 'qualifierId': 213, 'value': '0.23'}, {'id': 5158807049, 'qualifierId': 141, 'value': '33.6'}, {'id': 5158807045, 'qualifierId': 56, 'value': 'Center'}, {'id': 5158807051, 'qualifierId': 212, 'value': '15.4'}, {'id': 5158807171, 'qualifierId': 155}, {'id': 5158807047, 'qualifierId': 140, 'value': '79.5'}];d5del7kcf1zgkd2uvhius8y22;C. Sharp;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;79,5;;;33,6;0,23;15,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;79,5;33,6;;;;;;;;0;0;10;Philadelphia Union II;10;FW;1,0
2710764683;4;61;1;0;11;1zgjjyruyufrkh4xjvryqsb1i;1;25,5;84,0;2024-08-18T19:55:32.006Z;2024-08-18T20:25:32Z;[{'id': 5158556491, 'qualifierId': 56, 'value': 'Back'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;eq3htncf011l0ji2pj0rvy1as;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;11;Toronto II;11;DC;1,0
2710764745;5;1;1;0;12;1zgjjyruyufrkh4xjvryqsb1i;0;20,5;71,1;2024-08-18T19:55:33.485Z;2024-08-18T20:48:05Z;[{'id': 5158556815, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158556819, 'qualifierId': 141, 'value': '64.5'}, {'id': 5158715205, 'qualifierId': 157}, {'id': 5158556817, 'qualifierId': 140, 'value': '40.8'}, {'id': 5158715207, 'qualifierId': 1}, {'id': 5158556821, 'qualifierId': 212, 'value': '21.8'}, {'id': 5158556823, 'qualifierId': 213, 'value': '6.08'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;40,8;;;64,5;6,08;21,8;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;40,8;64,5;;;;;;;;0;0;12;Toronto II;12;DC;1,0
2710809807;423;1;1;0;13;29nx7yxy1rdqv2oobqn5pjf8p;1;66,6;35,2;2024-08-18T19:55:33.972Z;2024-08-18T20:43:57Z;[{'id': 5158808937, 'qualifierId': 212, 'value': '23.7'}, {'id': 5158808939, 'qualifierId': 213, 'value': '1.77'}, {'id': 5158808931, 'qualifierId': 56, 'value': 'Center'}, {'id': 5158808935, 'qualifierId': 141, 'value': '69.4'}, {'id': 5158808933, 'qualifierId': 140, 'value': '62.2'}];7q8y6gbmg9j75zgm3nhs3bfh0;L. Olguin;;;eq3htncf011l0ji2pj0rvy1as;Pass;;;;;;;;;;62,2;;;69,4;1,77;23,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;62,2;69,4;;;;;;;;0;0;13;Philadelphia Union II;13;MC;1,0
