id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Resume;value_Captain;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_PassEndY;value_Angle;value_Length;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_FlickOn;value_DeletedEventType;value_TouchTypePass;value_OutSwinger;value_Cross;value_LeftFooted;value_TakeOnOvertake;value_Assist;value_IntentionalAssist;value_PullBack;value_Right;value_SwerveRight;value_GoalmouthZ;value_Assisted;value_FirstTouch;value_BoxCentre;value_GoalmouthY;value_MisHit;value_RegularPlay;value_BigChance;value_RelatedEventId;value_GkY;value_RightFooted;value_GkX;value_NextEventGoalKick;value_GoalKick;value_Low;value_LayOff;value_TouchTypeClearance;value_IntendedTackleTarget;value_Chipped;value_TakeOnSpace;value_SwitchOfPlay;value_TouchTypeControl;value_OutOfPlay;value_Left;value_CornerTaken;value_InSwinger;value_Head;value_NextEventThrowIn;value_ThrowIn;value_BlockedY;value_BlockedX;value_OutOfBoxCentre;value_NotAssisted;value_LowCentre;value_Blocked;value_IndividualPlay;value_DefBlock;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LowRight;value_Hands;value_Diving;value_Collected;value_LowGkIntervention;value_KeeperThrow;value_NotVisible;value_Stooping;value_Overrun;value_High;value_HighCentre;value_HighGkIntervention;value_Caught;value_Reaching;value_OverArm;value_Foul;value_AttemptedTackle;value_Direct;value_NotPastGoalLine;value_Volley;value_HighLeft;value_ShirtPull/Holding;value_BlockedPass;value_TacticalFoul;value_YellowCard;value_Shove/Push;value_InjuredPlayerId;value_Injury;value_AerialFoul;value_LeadingToAttempt;value_HighRight;value_SavedOffLine;value_RelatedError1Id;value_BoxLeft;value_LastLine;value_SixYardBlocked;value_SmallBoxRight;value_ParriedDanger;value_SmallBoxLeft;value_LowLeft;value_CloseLeft;value_ThroughBall;value_FromCorner;value_MediumGkIntervention;value_GkKickFromHands;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_BlockedClearance;value_Minutes;value_GkHoof;value_EndType;value_FloatedCross;value_Straight;value_SmallBoxCentre;value_DrivenCross;value_BlockedCross;value_BoxRight;value_1On1;value_CloseRight;value_Deflection;value_OtherBodyPart;value_Sliding;value_ParriedSafe;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Unchallenged;value_HighClaim;value_OffTheBallFoul;value_Defensive1V1;value_Dissent;value_TimeWasting;value_OwnPlayer;value_OwnShotBlocked;value_SetPiece;value_TempBlocked;value_RecklessOffence;value_SecondYellow;value_Feet;value_GoesToPenalties;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_HitBar;value_HitWoodwork;value_HitRightPost;value_Saved;value_HitLeftPost;value_Missed;value_CloseHigh;value_KeeperTouched;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2663292045;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-03-24T21:57:58.295Z;2024-03-24T23:29:53Z;[{'id': 4899451101, 'qualifierId': 59, 'value': '31, 33, 99, 85, 40, 22, 41, 43, 80, 46, 75, 49, 50, 55, 56, 64, 71, 72, 94'}, {'id': 4899451109, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899451107, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}, {'id': 4899451103, 'qualifierId': 130, 'value': '8'}, {'id': 4899451105, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899451097, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 2dqtrnq0k1fphyw71yh41gvtg, 7zkzjmk1go1u2vi5qkqlmezu, e9jko5f45qmjw3va7cp05l5w4, 910fd7rfysvvfzp2s1ywna5pm, 7fpjrqc5obhk5rfmr90yf61w4, 5jigl7kp5d2i5ws1602jm7n1m, dpedfgxin5nc4qmziaokpmiy2, f2nvagw4mjjpn1ytj6rdl5ene, 9k050zmkegfu3gdw2b4g4uwwk, en6q7ddrr22sz6knipkbqhyw9, 3dyn7hheqvs3gm3m84jrra9lg, 9ulwk81vyj5rbz88h62i2ejv8, 37vbc16ejxmfkssydcdxq69zo, 92oqt9q51us5rpmqmvvrdso6i, 632mpv8dpnxjm69f8ip1e4l5g, 7h6a0x05z2laewfq7spicxwd0, bbnk87q7t8pahznohwjjcvu5m, 4eh46qse8ocmutobremniuolw'}, {'id': 4899451099, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4899514845, 'qualifierId': 197, 'value': '15030'}];;;;;budr6ifnm8qdr8n3gb8nvoahg;Team set up;;;;8,0;;;;15030,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;North Texas;0;;
2663293871;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-03-24T22:10:10.941Z;2024-03-25T01:06:47Z;[{'id': 4899622109, 'qualifierId': 194, 'value': '6agfr3usj1pblrbq2i9mdpmcq'}, {'id': 4899461131, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899461123, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4899461129, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899461125, 'qualifierId': 59, 'value': '30, 27, 7, 18, 24, 4, 8, 50, 16, 41, 99, 2, 9, 20, 31, 36, 51, 57'}, {'id': 4899461127, 'qualifierId': 130, 'value': '4'}, {'id': 4899461121, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 3risld5mac5ns2rrv6namc2l0, 74rnjizxzn5a0oag6sue0ja7e, 9nl0k91lrjonu0z2irbs01oiy, e7vsajjh4e7t51ciycjg0skd0, f3bqitwkt3mitemcjd61hi044, 32c9e26wcnr5kmab8ep4zph5g, 1iedtrzbcgj817i0ccin8dvro, 19ckwd2oz9uyfjznuq2c41btg, 3h8rx5wumr7hktll4hnvx7or8, auomns9j08ffqknhs9007ju38, b84ll9fqlnmone6cub8hfcx78, 1cpxmai9x2oetxh7ikgiola1g, 4f0zvh7icqyfwv6buoq9zd5w4, fgue58g7u6f2c53ggb0r2oa2, 8vnnownnzz2ksuuitbw3ax5yi, 99nfzkbguzeqtgi2j8k53u3v8'}, {'id': 4899580881, 'qualifierId': 197, 'value': '23486'}];;;;;budr6ifnm8qdr8n3gb8nvoahg;Team set up;;;;4,0;;;;23486,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2663303521;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-03-24T23:03:44.414Z;2024-03-24T23:03:49Z;[{'id': 4899515071, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;budr6ifnm8qdr8n3gb8nvoahg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2663303517;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-03-24T23:03:44.414Z;2024-03-29T11:32:10Z;[{'id': 4899515057, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;budr6ifnm8qdr8n3gb8nvoahg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;North Texas;0;;
2663303535;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,0;50,0;2024-03-24T23:03:44.415Z;2024-03-24T23:03:50Z;[{'id': 4899515127, 'qualifierId': 140, 'value': '27.5'}, {'id': 4899515135, 'qualifierId': 279, 'value': 'S'}, {'id': 4899515129, 'qualifierId': 141, 'value': '40.1'}, {'id': 4899515133, 'qualifierId': 213, 'value': '3.42'}, {'id': 4899515131, 'qualifierId': 212, 'value': '24.6'}, {'id': 4899515125, 'qualifierId': 56, 'value': 'Back'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;budr6ifnm8qdr8n3gb8nvoahg;Pass;;;;;;;;;;27,5;;40,1;3,42;24,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;27,5;40,1;;;;;;;;0;0;0;North Texas;0;FW;1,0
2663303537;4;1;1;0;4;dqx48fglv1l96cyrmjdod0xec;0;29,8;40,9;2024-03-24T23:03:48.745Z;2024-03-24T23:53:40Z;[{'id': 4899515143, 'qualifierId': 140, 'value': '68.7'}, {'id': 4899515147, 'qualifierId': 212, 'value': '43.8'}, {'id': 4899515149, 'qualifierId': 213, 'value': '0.37'}, {'id': 4899515141, 'qualifierId': 56, 'value': 'Center'}, {'id': 4899515151, 'qualifierId': 1}, {'id': 4899515139, 'qualifierId': 157}, {'id': 4899515145, 'qualifierId': 141, 'value': '64.1'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;budr6ifnm8qdr8n3gb8nvoahg;Pass;;;;;;;;;;68,7;;64,1;0,37;43,8;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;68,7;64,1;;;;;;;;0;0;4;North Texas;4;DL;1,0
2663303545;3;1;1;0;6;99l7fsj6ykgbyqcb9zqqu9dgq;0;28,8;39,4;2024-03-24T23:03:51.312Z;2024-03-24T23:04:41Z;[{'id': 4899515169, 'qualifierId': 140, 'value': '53.1'}, {'id': 4899515173, 'qualifierId': 212, 'value': '28.3'}, {'id': 4899515175, 'qualifierId': 213, 'value': '5.84'}, {'id': 4899515167, 'qualifierId': 56, 'value': 'Center'}, {'id': 4899515171, 'qualifierId': 141, 'value': '21.5'}, {'id': 4899515165, 'qualifierId': 3}];f3bqitwkt3mitemcjd61hi044;N. Mendonça;;;budr6ifnm8qdr8n3gb8nvoahg;Pass;;;;;;;;;;53,1;;21,5;5,84;28,3;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;53,1;21,5;;;;;;;;0;0;6;St. Louis City II;6;MC;1,0
2663303555;5;1;1;0;9;dqx48fglv1l96cyrmjdod0xec;0;42,1;77,0;2024-03-24T23:03:54.282Z;2024-03-24T23:53:51Z;[{'id': 4899515279, 'qualifierId': 213, 'value': '5.97'}, {'id': 4899515273, 'qualifierId': 140, 'value': '69.5'}, {'id': 4899515269, 'qualifierId': 157}, {'id': 4899515271, 'qualifierId': 56, 'value': 'Center'}, {'id': 4899515281, 'qualifierId': 1}, {'id': 4899515277, 'qualifierId': 212, 'value': '30.2'}, {'id': 4899515275, 'qualifierId': 141, 'value': '63.3'}];7fpjrqc5obhk5rfmr90yf61w4;K. Hiebert;;;budr6ifnm8qdr8n3gb8nvoahg;Pass;;;;;;;;;;69,5;;63,3;5,97;30,2;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;69,5;63,3;;;;;;;;0;0;9;North Texas;9;DC;1,0
2663303561;4;44;1;0;12;99l7fsj6ykgbyqcb9zqqu9dgq;1;29,8;37,8;2024-03-24T23:03:57.064Z;2024-03-24T23:03:59Z;[{'id': 4899515289, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899515293, 'qualifierId': 233, 'value': '6'}, {'id': 4899515291, 'qualifierId': 285}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;budr6ifnm8qdr8n3gb8nvoahg;Aerial;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;12;St. Louis City II;12;DL;1,0
2663303559;6;44;1;0;12;dqx48fglv1l96cyrmjdod0xec;0;70,2;62,2;2024-03-24T23:03:57.065Z;2024-03-24T23:54:05Z;[{'id': 4899515287, 'qualifierId': 286}, {'id': 4899515309, 'qualifierId': 233, 'value': '4'}, {'id': 4899515285, 'qualifierId': 56, 'value': 'Center'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;budr6ifnm8qdr8n3gb8nvoahg;Aerial;;;;;;;;;;;;;;;;;;;4,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;12;North Texas;12;FW;1,0
