id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Resume;value_PlayerPosition;value_Involved;value_TeamKit;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndX;value_Zone;value_PassEndY;value_Angle;value_KickOff;value_Length;value_Launch;value_LongBall;value_NotVisible;value_HeadPass;value_Offensive;value_BlockedPass;value_OppositeRelatedEventId;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_PlayersCaughtOffside;value_DeletedEventType;value_Indirect;value_TakeOnSpace;value_TouchTypePass;value_OutSwinger;value_Cross;value_Chipped;value_LeftFooted;value_Head;value_SwitchOfPlay;value_TouchTypeControl;value_Left;value_OverhitCross;value_CornerTaken;value_HighGkIntervention;value_OverArm;value_KeeperThrow;value_OutOfPlay;value_TouchTypeClearance;value_Overrun;value_IntentionalAssist;value_Assist;value_LowLeft;value_Assisted;value_GoalmouthY;value_Blocked;value_FirstTouch;value_GoalmouthZ;value_FromCorner;value_RelatedEventId;value_GkY;value_BoxCentre;value_GkX;value_BlockedY;value_BlockedX;value_SixYardBlocked;value_DefBlock;value_Handball;value_DrivenCross;value_Straight;value_TakeOnOvertake;value_LowGkIntervention;value_FlickOn;value_IndividualPlay;value_CloseRight;value_RegularPlay;value_BoxRight;value_NextEventGoalKick;value_GoalKick;value_High;value_LayOff;value_LowCentre;value_Standing;value_MediumGkIntervention;value_Collected;value_Hands;value_OutOfBoxCentre;value_RightFooted;value_Stooping;value_GkHoof;value_RecklessOffence;value_YellowCard;value_ThroughBall;value_Right;value_Strong;value_Low;value_Defensive1V1;value_Shove/Push;value_InSwinger;value_DrinksBreak;value_RefereeDelay;value_SmallBoxLeft;value_CloseLeft;value_ShirtPull/Holding;value_SetPiece;value_HighLeft;value_NotAssisted;value_Minutes;value_Injury;value_InjuredPlayerId;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_ParriedSafe;value_Diving;value_OwnPlayer;value_LowRight;value_Volley;value_OwnShotBlocked;value_AerialFoul;value_BoxLeft;value_GkXTimeOfGoal;value_BigChance;value_1On1;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_MisHit;value_Weak;value_NotPastGoalLine;value_SmallBoxCentre;value_ParriedDanger;value_CloseHigh;value_LeadingToAttempt;value_RelatedError1Id;value_HighClaim;value_GkKickFromHands;value_PenaltyTakerId;value_Penalty;value_Saved;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistType;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697607307;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-06-23T22:14:12.710Z;2024-06-23T23:31:28Z;[{'id': 5085863935, 'qualifierId': 59, 'value': '39, 71, 33, 43, 50, 72, 75, 49, 80, 56, 59, 69, 42, 84, 45, 41, 46, 55, 88, 94'}, {'id': 5085863941, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5085863933, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5085863931, 'qualifierId': 30, 'value': 'esetc9bteuheaoq6mttyt6rbp, 7h6a0x05z2laewfq7spicxwd0, 2dqtrnq0k1fphyw71yh41gvtg, dpedfgxin5nc4qmziaokpmiy2, 9ulwk81vyj5rbz88h62i2ejv8, bbnk87q7t8pahznohwjjcvu5m, en6q7ddrr22sz6knipkbqhyw9, 3dyn7hheqvs3gm3m84jrra9lg, f2nvagw4mjjpn1ytj6rdl5ene, 92oqt9q51us5rpmqmvvrdso6i, 9gswafduy82n4o6f0uk0khhck, d0j1th3rl9ng15p7xifdgjl78, 276kl5oc1k19y1linbxml0xec, 1exits2h6igtiud90wevtp05w, b39yktp4odnvnfvmmpdb0vu38, 5jigl7kp5d2i5ws1602jm7n1m, 9k050zmkegfu3gdw2b4g4uwwk, 37vbc16ejxmfkssydcdxq69zo, 8hg6c5ehhaa37lwduf5977i3u, 4eh46qse8ocmutobremniuolw'}, {'id': 5085951909, 'qualifierId': 197, 'value': '15030'}, {'id': 5085863937, 'qualifierId': 130, 'value': '2'}, {'id': 5086012975, 'qualifierId': 194, 'value': 'esetc9bteuheaoq6mttyt6rbp'}, {'id': 5085863939, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dkppl172eskt8fw13kbfw642c;Team set up;;;;;15030,0;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2697608333;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-23T22:17:01.093Z;2024-06-23T23:21:28Z;[{'id': 5085869909, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5085985447, 'qualifierId': 194, 'value': '4oz12ku4mdjsq7y4sgogpwg2y'}, {'id': 5085869907, 'qualifierId': 130, 'value': '13'}, {'id': 5085869911, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5085951749, 'qualifierId': 197, 'value': '12783'}, {'id': 5085869903, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5085869901, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, 1yohdc0hkzkom8hlhw3rjfn8q, 5n0su1a4r7kb7it3ghxbhrf56, 9kahvwswke29dt3uumulbktpm, 4sw7pq7xhnf7pqii16lhtf7ro, 1wa60ccrpw2zqguj4ayeeacyc, vhjelesjaxtgjcgfv7yxp2lm, c7luarkv7hwdspd9xhidhisk4, 3tkdn8arq1j3il4ako7rcio2y, 32t6g252ti1peycjite40qiy2, 4oz12ku4mdjsq7y4sgogpwg2y, a8ngovgs2qfu5udzb97kelg16, i15xuf6lug0m5twd06n2pus4, tvbjgz0zeq5irumgofxrko44, 2gawx03wls5vwtlocjir3u7vu, 3f52lf1p2xmtzysfi8n18m044, hranx8amv6zdzmvzda4to0lw, cqmvrx028gh19yh8qh7w01y0a'}, {'id': 5085869905, 'qualifierId': 59, 'value': '36, 33, 35, 40, 77, 74, 98, 52, 38, 70, 47, 39, 67, 89, 90, 91, 96, 99'}];;;;;dkppl172eskt8fw13kbfw642c;Team set up;;;;;12783,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2697624035;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-23T23:04:43.964Z;2024-06-23T23:04:44Z;[{'id': 5085953387, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dkppl172eskt8fw13kbfw642c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2697624037;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-06-23T23:04:43.964Z;2024-06-25T06:10:48Z;[{'id': 5085953389, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dkppl172eskt8fw13kbfw642c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2697624053;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;50,4;49,4;2024-06-23T23:04:43.965Z;2024-06-23T23:04:48Z;[{'id': 5085953453, 'qualifierId': 140, 'value': '29.4'}, {'id': 5085953451, 'qualifierId': 56, 'value': 'Back'}, {'id': 5085953455, 'qualifierId': 141, 'value': '55.8'}, {'id': 5085953459, 'qualifierId': 213, 'value': '2.95'}, {'id': 5085953461, 'qualifierId': 279, 'value': 'S'}, {'id': 5085953457, 'qualifierId': 212, 'value': '22.5'}];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;dkppl172eskt8fw13kbfw642c;Pass;;;;;;;;;;29,4;;55,8;2,95;;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;29,4;55,8;;;;;;;;0;0;0;St. Louis City II;0;FW;1,0
2697624081;4;1;1;0;4;7fbej4xwoq4imaf5l39304m37;0;29,5;55,8;2024-06-23T23:04:48.401Z;2024-06-23T23:04:52Z;[{'id': 5085953575, 'qualifierId': 157}, {'id': 5085953577, 'qualifierId': 56, 'value': 'Back'}, {'id': 5085953587, 'qualifierId': 1}, {'id': 5085953585, 'qualifierId': 213, 'value': '0.78'}, {'id': 5085953581, 'qualifierId': 141, 'value': '61.8'}, {'id': 5085953583, 'qualifierId': 212, 'value': '5.8'}, {'id': 5085953579, 'qualifierId': 140, 'value': '33.4'}];4sw7pq7xhnf7pqii16lhtf7ro;H. Ališah;;;dkppl172eskt8fw13kbfw642c;Pass;;;;;;;;;;33,4;;61,8;0,78;;5,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;33,4;61,8;;;;;;;;0;0;4;St. Louis City II;4;DC;1,0
2697624087;3;61;1;0;9;dqx48fglv1l96cyrmjdod0xec;1;69,8;45,6;2024-06-23T23:04:53.282Z;2024-06-25T06:18:45Z;[{'id': 5085953623, 'qualifierId': 56, 'value': 'Center'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;dkppl172eskt8fw13kbfw642c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;9;Sporting KC II;9;FW;1,0
2697624091;5;1;1;0;9;7fbej4xwoq4imaf5l39304m37;1;17,7;70,7;2024-06-23T23:04:53.307Z;2024-06-25T06:18:55Z;[{'id': 5085953649, 'qualifierId': 189}, {'id': 5086059129, 'qualifierId': 141, 'value': '95.7'}, {'id': 5085953637, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086059127, 'qualifierId': 140, 'value': '33.6'}, {'id': 5086059133, 'qualifierId': 213, 'value': '0.79'}, {'id': 5086059131, 'qualifierId': 212, 'value': '23.8'}];4sw7pq7xhnf7pqii16lhtf7ro;H. Ališah;;;dkppl172eskt8fw13kbfw642c;Pass;;;;;;;;;;33,6;;95,7;0,79;;23,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;33,6;95,7;;;;;;;;0;0;9;St. Louis City II;9;DC;1,0
2697642911;386;1;1;0;10;7fbej4xwoq4imaf5l39304m37;0;36,9;92,8;2024-06-23T23:04:53.964Z;2024-06-24T00:05:27Z;[{'id': 5086059319, 'qualifierId': 140, 'value': '45.9'}, {'id': 5086059325, 'qualifierId': 213, 'value': '5.24'}, {'id': 5086059323, 'qualifierId': 212, 'value': '18.8'}, {'id': 5086059321, 'qualifierId': 141, 'value': '68.9'}, {'id': 5086059317, 'qualifierId': 56, 'value': 'Back'}];5n0su1a4r7kb7it3ghxbhrf56;J. Robinson;;;dkppl172eskt8fw13kbfw642c;Pass;;;;;;;;;;45,9;;68,9;5,24;;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;45,9;68,9;;;;;;;;0;0;10;St. Louis City II;10;DML;1,0
2697624135;4;1;1;0;13;dqx48fglv1l96cyrmjdod0xec;1;58,2;23,0;2024-06-23T23:04:57.300Z;2024-06-23T23:10:05Z;[{'id': 5085953867, 'qualifierId': 213, 'value': '0.03'}, {'id': 5085953859, 'qualifierId': 56, 'value': 'Center'}, {'id': 5085953865, 'qualifierId': 212, 'value': '16.2'}, {'id': 5085953861, 'qualifierId': 140, 'value': '73.6'}, {'id': 5085953863, 'qualifierId': 141, 'value': '23.7'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;dkppl172eskt8fw13kbfw642c;Pass;;;;;;;;;;73,6;;23,7;0,03;;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;73,6;23,7;;;;;;;;0;0;13;Sporting KC II;13;DL;1,0
