id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_Resume;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_Angle;value_KickOff;value_Zone;value_PassEndY;value_PassEndX;value_Offensive;value_Overrun;value_TakeOnOvertake;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_LongBall;value_HeadPass;value_Launch;value_LayOff;value_IntendedTackleTarget;value_OutOfPlay;value_TouchTypeClearance;value_Defensive;value_Defensive1V1;value_TakeOnSpace;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_BlockedPass;value_NextEventGoalKick;value_GoalKick;value_Low;value_ThroughBall;value_IntentionalAssist;value_Assist;value_RegularPlay;value_GkX;value_RelatedEventId;value_RightFooted;value_GkY;value_BoxLeft;value_IndividualPlay;value_BlockedY;value_Blocked;value_BlockedX;value_LowCentre;value_Assisted;value_GoalmouthY;value_GoalmouthZ;value_DefBlock;value_FirstTouch;value_NotAssisted;value_LeftFooted;value_OutOfBoxCentre;value_LowRight;value_DeletedEventType;value_BoxCentre;value_LowGkIntervention;value_ParriedSafe;value_Diving;value_Hands;value_Left;value_Right;value_CornerTaken;value_TouchTypeControl;value_TouchTypePass;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_Head;value_HighGkIntervention;value_HighClaim;value_Shove/Push;value_Cross;value_OutSwinger;value_KeeperThrow;value_InSwinger;value_OverArm;value_PullBack;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_Deflection;value_SmallBoxRight;value_BigChance;value_HighRight;value_LowLeft;value_LeadingToAttempt;value_RelatedError1Id;value_ParriedDanger;value_Weak;value_CloseHigh;value_NotPastGoalLine;value_1On1;value_FreeKick;value_SwerveLeft;value_Collected;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_LastLine;value_CloseRight;value_Injury;value_InjuredPlayerId;value_Minutes;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_CaptainChange;value_Unchallenged;value_ByWall;value_EndType;value_Tactical;value_NotVisible;value_OtherObstacle;value_OutOfBoxDeepLeft;value_Standing;value_MediumGkIntervention;value_SmallBoxCentre;value_High;value_RecklessOffence;value_KeeperTouched;value_Tap;value_SoloRun;value_Stooping;value_FastBreak;value_BlockedCross;value_FromCorner;value_SetPiece;value_SwerveRight;value_GkKickFromHands;value_GkHoof;value_Volley;value_CloseLeft;value_FromShotOffTarget;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699150121;390;1;2;53;6;1pc6sx2h4rp113ldkbp5d2xas;0;29,2;8,0;2024-07-04T02:13:38.969Z;2024-07-04T02:13:44Z;[{'id': 5094352519, 'qualifierId': 56, 'value': 'Center'}, {'id': 5094352527, 'qualifierId': 213, 'value': '0.36'}, {'id': 5094352521, 'qualifierId': 140, 'value': '71.4'}, {'id': 5094352523, 'qualifierId': 141, 'value': '32.7'}, {'id': 5094352525, 'qualifierId': 212, 'value': '47.4'}, {'id': 5094352529, 'qualifierId': 1}, {'id': 5094352517, 'qualifierId': 155}];a4staqjshva5lhcr0dw744nze;R. O'Driscoll;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;47,4;0,36;;;32,7;71,4;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;71,4;32,7;;;;;;;0;0;53;6;North Texas;3186;MC;1,0
2699150125;653;49;2;53;13;99l7fsj6ykgbyqcb9zqqu9dgq;1;22,1;71,4;2024-07-04T02:13:45.638Z;2024-07-04T02:13:45Z;[];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;dtgzlnperfsypf0au9puvczkk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;53;13;Minnesota United II;3193;DC;1,0
2699150157;654;1;2;53;18;99l7fsj6ykgbyqcb9zqqu9dgq;1;31,5;49,4;2024-07-04T02:13:50.853Z;2024-07-04T02:13:53Z;[{'id': 5094352699, 'qualifierId': 213, 'value': '4.86'}, {'id': 5094352691, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094352697, 'qualifierId': 212, 'value': '14.6'}, {'id': 5094352695, 'qualifierId': 141, 'value': '28.2'}, {'id': 5094352693, 'qualifierId': 140, 'value': '33.5'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;14,6;4,86;;;28,2;33,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;33,5;28,2;;;;;;;0;0;53;18;Minnesota United II;3198;DC;1,0
2699150181;655;1;2;53;20;99l7fsj6ykgbyqcb9zqqu9dgq;1;33,2;25,5;2024-07-04T02:13:53.399Z;2024-07-04T02:13:56Z;[{'id': 5094352837, 'qualifierId': 141, 'value': '8.2'}, {'id': 5094352833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094352835, 'qualifierId': 140, 'value': '38.5'}, {'id': 5094352839, 'qualifierId': 212, 'value': '13.0'}, {'id': 5094352841, 'qualifierId': 213, 'value': '5.15'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;13,0;5,15;;;8,2;38,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;38,5;8,2;;;;;;;0;0;53;20;Minnesota United II;3200;DC;1,0
2699150191;656;1;2;53;23;99l7fsj6ykgbyqcb9zqqu9dgq;1;41,0;7,7;2024-07-04T02:13:56.452Z;2024-07-04T02:14:00Z;[{'id': 5094352897, 'qualifierId': 212, 'value': '13.0'}, {'id': 5094352899, 'qualifierId': 213, 'value': '2.13'}, {'id': 5094352891, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094352893, 'qualifierId': 140, 'value': '34.5'}, {'id': 5094352895, 'qualifierId': 141, 'value': '23.9'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;13,0;2,13;;;23,9;34,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;34,5;23,9;;;;;;;0;0;53;23;Minnesota United II;3203;AMC;1,0
2699150211;657;1;2;53;28;99l7fsj6ykgbyqcb9zqqu9dgq;1;32,8;33,1;2024-07-04T02:14:00.840Z;2024-07-04T02:14:04Z;[{'id': 5094352997, 'qualifierId': 140, 'value': '30.6'}, {'id': 5094353007, 'qualifierId': 212, 'value': '37.0'}, {'id': 5094353011, 'qualifierId': 213, 'value': '1.63'}, {'id': 5094353001, 'qualifierId': 141, 'value': '87.4'}, {'id': 5094353013, 'qualifierId': 1}, {'id': 5094352995, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094352993, 'qualifierId': 155}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;37,0;1,63;;;87,4;30,6;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;30,6;87,4;;;;;;;0;0;53;28;Minnesota United II;3208;DC;1,0
2699150217;658;1;2;53;32;99l7fsj6ykgbyqcb9zqqu9dgq;1;29,4;87,4;2024-07-04T02:14:04.837Z;2024-07-04T02:14:06Z;[{'id': 5094353049, 'qualifierId': 212, 'value': '14.6'}, {'id': 5094353047, 'qualifierId': 141, 'value': '69.1'}, {'id': 5094353045, 'qualifierId': 140, 'value': '22.1'}, {'id': 5094353043, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094353053, 'qualifierId': 213, 'value': '4.16'}];7al9w77ailhli8g487tkl32tw;M. Westergren;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;14,6;4,16;;;69,1;22,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;22,1;69,1;;;;;;;0;0;53;32;Minnesota United II;3212;DC;1,0
2699150235;659;1;2;53;34;99l7fsj6ykgbyqcb9zqqu9dgq;1;22,1;69,0;2024-07-04T02:14:06.789Z;2024-07-04T02:14:10Z;[{'id': 5094353157, 'qualifierId': 141, 'value': '83.9'}, {'id': 5094353161, 'qualifierId': 213, 'value': '0.68'}, {'id': 5094353159, 'qualifierId': 212, 'value': '16.2'}, {'id': 5094353153, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094353155, 'qualifierId': 140, 'value': '34.1'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;16,2;0,68;;;83,9;34,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;34,1;83,9;;;;;;;0;0;53;34;Minnesota United II;3214;DC;1,0
2699150245;660;1;2;53;37;99l7fsj6ykgbyqcb9zqqu9dgq;1;34,1;83,9;2024-07-04T02:14:09.877Z;2024-07-04T02:14:11Z;[{'id': 5094353185, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094353189, 'qualifierId': 141, 'value': '81.8'}, {'id': 5094353187, 'qualifierId': 140, 'value': '42.2'}, {'id': 5094353191, 'qualifierId': 212, 'value': '8.6'}, {'id': 5094353193, 'qualifierId': 213, 'value': '6.12'}];7al9w77ailhli8g487tkl32tw;M. Westergren;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;8,6;6,12;;;81,8;42,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;42,2;81,8;;;;;;;0;0;53;37;Minnesota United II;3217;DC;1,0
2699150249;661;1;2;53;38;99l7fsj6ykgbyqcb9zqqu9dgq;1;42,2;81,8;2024-07-04T02:14:10.901Z;2024-07-04T02:14:13Z;[{'id': 5094353245, 'qualifierId': 141, 'value': '94.4'}, {'id': 5094353243, 'qualifierId': 140, 'value': '40.7'}, {'id': 5094353241, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094353249, 'qualifierId': 213, 'value': '1.75'}, {'id': 5094353247, 'qualifierId': 212, 'value': '8.7'}];3h8rx5wumr7hktll4hnvx7or8;E. Sali;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;8,7;1,75;;;94,4;40,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;40,7;94,4;;;;;;;0;0;53;38;Minnesota United II;3218;Sub;1,0
