id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Zone;value_Angle;value_Length;value_PassEndY;value_PassEndX;value_LongBall;value_Launch;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_DeletedEventType;value_TakeOnSpace;value_OutSwinger;value_Chipped;value_RightFooted;value_Cross;value_TouchTypeClearance;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_Head;value_TakeOnOvertake;value_TouchTypeControl;value_LayOff;value_LowGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_MediumGkIntervention;value_Assist;value_IntentionalAssist;value_BlockedY;value_RegularPlay;value_BlockedX;value_LowCentre;value_RelatedEventId;value_Assisted;value_BoxLeft;value_GoalmouthZ;value_GoalmouthY;value_Diving;value_Hands;value_ParriedDanger;value_BlockedPass;value_NotVisible;value_NotPastGoalLine;value_BoxRight;value_Left;value_GkY;value_GkX;value_LeftFooted;value_FirstTouch;value_BoxDeepLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_PullBack;value_FastBreak;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_SwerveRight;value_LowLeft;value_BoxCentre;value_GkXTimeOfGoal;value_TouchTypePass;value_AttemptedTackle;value_BigChance;value_Volley;value_SmallBoxCentre;value_InSwinger;value_HitWoodwork;value_HitLeftPost;value_Shove/Push;value_FlickOn;value_SwerveLeft;value_HighRight;value_IndividualPlay;value_OutOfBoxCentre;value_ParriedSafe;value_OutOfPlay;value_YellowCard;value_RecklessOffence;value_High;value_NotAssisted;value_BlockedCross;value_Right;value_CornerTaken;value_HighLeft;value_OutOfBoxDeepRight;value_FreeKick;value_Handball;value_PlayersCaughtOffside;value_Indirect;value_Standing;value_PersistentInfringement;value_HighGkIntervention;value_CloseRight;value_Overrun;value_Deflection;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_TacticalFoul;value_SetPiece;value_LowRight;value_Feet;value_Collected;value_GkKickFromHands;value_BoxDeepRight;value_OtherBodyPart;value_Stooping;value_FromCorner;value_SixYardBlocked;value_Blocked;value_DefBlock;value_Dissent;value_SwitchOfPlay;value_FairPlay;value_Injury;value_InjuredPlayerId;value_MisHit;value_LeadingToGoal;value_FantasyAssistedBy;value_FantasyAssistType;value_RelatedError1Id;value_FantasyAssistId;value_FantasyAssistTeam;value_OverArm;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_OtherReason;value_RefereeDelay;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673224717;628;18;2;61;8;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-15T00:55:25.652Z;2024-04-15T00:57:16Z;[{'id': 4953050515, 'qualifierId': 42}, {'id': 4953050519, 'qualifierId': 59, 'value': '18'}, {'id': 4953050543, 'qualifierId': 55, 'value': '629'}, {'id': 4953050517, 'qualifierId': 44, 'value': 'Defender'}];1muuu6wgia9wxv6vmw8tln5sk;C. McFarlane;;;c7tan4801ouwi6fcp7d7k8mxg;Player off;;;;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;629,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;629,0;7uk47vm92xsvwdofmw1ppawyy;;0;61;8;New England II;3668;DC;1,0
2673224719;629;19;2;61;8;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-15T00:55:25.653Z;2024-04-15T00:57:16Z;[{'id': 4953050535, 'qualifierId': 55, 'value': '628'}, {'id': 4953050527, 'qualifierId': 59, 'value': '68'}, {'id': 4953050525, 'qualifierId': 145, 'value': '3'}, {'id': 4953050533, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 4953050529, 'qualifierId': 292, 'value': '5'}, {'id': 4953050521, 'qualifierId': 42}, {'id': 4953050531, 'qualifierId': 293, 'value': '1'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;c7tan4801ouwi6fcp7d7k8mxg;Player on;;;;68,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;628,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;5,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;628,0;1muuu6wgia9wxv6vmw8tln5sk;;0;61;8;New England II;3668;Sub;1,0
2673224105;560;18;2;61;9;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-15T00:55:26.223Z;2024-04-15T00:55:26Z;[{'id': 4953047321, 'qualifierId': 55, 'value': '561'}, {'id': 4953047275, 'qualifierId': 42}, {'id': 4953047279, 'qualifierId': 59, 'value': '7'}, {'id': 4953047277, 'qualifierId': 44, 'value': 'Midfielder'}];5e00w1rqym73habcl01wm7jtg;O. Escobar;;;c7tan4801ouwi6fcp7d7k8mxg;Player off;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;561,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;561,0;9u37akzkhdyszhevgrjghq99m;;0;61;9;New York City II;3669;AMR;1,0
2673224111;561;19;2;61;9;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-15T00:55:26.224Z;2024-04-15T01:04:26Z;[{'id': 4953047313, 'qualifierId': 55, 'value': '560'}, {'id': 4953047311, 'qualifierId': 44, 'value': 'Forward'}, {'id': 4953063187, 'qualifierId': 292, 'value': '8'}, {'id': 4953047307, 'qualifierId': 145, 'value': '7'}, {'id': 4953047327, 'qualifierId': 293, 'value': '2'}, {'id': 4953047303, 'qualifierId': 42}, {'id': 4953047309, 'qualifierId': 59, 'value': '14'}];9u37akzkhdyszhevgrjghq99m;A. Monis;;;c7tan4801ouwi6fcp7d7k8mxg;Player on;;;;14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;2,0;8,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;560,0;5e00w1rqym73habcl01wm7jtg;;0;61;9;New York City II;3669;Sub;1,0
2673224129;620;18;2;61;12;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-15T00:55:28.887Z;2024-04-15T00:55:29Z;[{'id': 4953047385, 'qualifierId': 59, 'value': '29'}, {'id': 4953047383, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 4953047381, 'qualifierId': 42}, {'id': 4953047421, 'qualifierId': 55, 'value': '621'}];cwyml9l4tfvb4ceh8tv3au0wk;M. Carrizo;;;c7tan4801ouwi6fcp7d7k8mxg;Player off;;;;29,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;621,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;621,0;1cfm4ne1po0mld4bl37deg36c;;0;61;12;New England II;3672;MR;1,0
2673224131;621;19;2;61;12;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-15T00:55:28.888Z;2024-04-15T00:55:29Z;[{'id': 4953047399, 'qualifierId': 292, 'value': '6'}, {'id': 4953047391, 'qualifierId': 42}, {'id': 4953047401, 'qualifierId': 293, 'value': '2'}, {'id': 4953047403, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 4953047397, 'qualifierId': 59, 'value': '32'}, {'id': 4953047395, 'qualifierId': 145, 'value': '7'}, {'id': 4953047407, 'qualifierId': 55, 'value': '620'}];1cfm4ne1po0mld4bl37deg36c;J. Shore;;;c7tan4801ouwi6fcp7d7k8mxg;Player on;;;;32,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;2,0;6,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;620,0;cwyml9l4tfvb4ceh8tv3au0wk;;0;61;12;New England II;3672;Sub;1,0
2673224189;562;18;2;61;18;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-15T00:55:35.753Z;2024-04-15T00:55:36Z;[{'id': 4953047781, 'qualifierId': 55, 'value': '563'}, {'id': 4953047709, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 4953047707, 'qualifierId': 42}, {'id': 4953047711, 'qualifierId': 59, 'value': '23'}];akwjik09wytzzr3yras0diqz8;L. Borovic;;;c7tan4801ouwi6fcp7d7k8mxg;Player off;;;;23,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;563,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;563,0;40qi53orb0eur2jevowkvrcb8;;0;61;18;New York City II;3678;MC;1,0
2673224193;563;19;2;61;18;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-15T00:55:35.754Z;2024-04-15T01:04:55Z;[{'id': 4953047733, 'qualifierId': 59, 'value': '17'}, {'id': 4953047731, 'qualifierId': 145, 'value': '4'}, {'id': 4953047727, 'qualifierId': 42}, {'id': 4953047793, 'qualifierId': 293, 'value': '3'}, {'id': 4953047735, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 4953047737, 'qualifierId': 55, 'value': '562'}, {'id': 4953064035, 'qualifierId': 292, 'value': '7'}];40qi53orb0eur2jevowkvrcb8;P. Leal;;;c7tan4801ouwi6fcp7d7k8mxg;Player on;;;;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;3,0;7,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;562,0;akwjik09wytzzr3yras0diqz8;;0;61;18;New York City II;3678;Sub;1,0
2673224305;622;1;2;61;28;6ddsx316t3j0z6nolrky9k4r8;1;3,8;49,3;2024-04-15T00:55:45.114Z;2024-04-15T00:55:49Z;[{'id': 4953048377, 'qualifierId': 237}, {'id': 4953048367, 'qualifierId': 212, 'value': '26.4'}, {'id': 4953048365, 'qualifierId': 141, 'value': '80.5'}, {'id': 4953048359, 'qualifierId': 124}, {'id': 4953048371, 'qualifierId': 213, 'value': '0.93'}, {'id': 4953048361, 'qualifierId': 56, 'value': 'Back'}, {'id': 4953048363, 'qualifierId': 140, 'value': '18.8'}];bn7qfn71x24fjl5d8t4p97kve;A. Rando;;;c7tan4801ouwi6fcp7d7k8mxg;Pass;;;;;;;;;;;;0,93;26,4;80,5;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;18,8;80,5;;;;;;;;0;61;28;New England II;3688;GK;1,0
2673224317;623;1;2;61;32;6ddsx316t3j0z6nolrky9k4r8;0;23,0;81,5;2024-04-15T00:55:49.595Z;2024-04-15T00:55:51Z;[{'id': 4953048429, 'qualifierId': 140, 'value': '58.2'}, {'id': 4953048433, 'qualifierId': 212, 'value': '37.0'}, {'id': 4953048431, 'qualifierId': 141, 'value': '82.7'}, {'id': 4953048427, 'qualifierId': 56, 'value': 'Left'}, {'id': 4953048435, 'qualifierId': 213, 'value': '0.02'}, {'id': 4953048437, 'qualifierId': 1}, {'id': 4953048425, 'qualifierId': 155}];1ni0mewxcbo26d1xxetkdy3ca;M. Leong;;;c7tan4801ouwi6fcp7d7k8mxg;Pass;;;;;;;;;;;;0,02;37,0;82,7;58,2;1,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;58,2;82,7;;;;;;;;0;61;32;New England II;3692;DC;1,0
