id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_JerseyNumber;value_Involved;value_Resume;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_PassEndX;value_Length;value_Angle;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_Cross;value_LeftFooted;value_OutSwinger;value_Head;value_RightFooted;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Defensive1V1;value_TakeOnOvertake;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_TouchTypeControl;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Shove/Push;value_TouchTypeClearance;value_IntendedTackleTarget;value_OutOfPlay;value_Left;value_CornerTaken;value_InSwinger;value_HighGkIntervention;value_Assist;value_IntentionalAssist;value_BlockedY;value_FirstTouch;value_RelatedEventId;value_GkX;value_GoalmouthZ;value_Blocked;value_GoalmouthY;value_BoxCentre;value_SavedOffLine;value_Assisted;value_FromCorner;value_BlockedX;value_LowCentre;value_GkY;value_SixYardBlocked;value_DefBlock;value_LastLine;value_Right;value_NotAssisted;value_Volley;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_NotVisible;value_GoalKick;value_ThroughBall;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_TakeOnSpace;value_LeadingToAttempt;value_LowLeft;value_RelatedError1Id;value_RegularPlay;value_OutOfBoxCentre;value_Collected;value_Hands;value_Diving;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_BoxLeft;value_PullBack;value_Stooping;value_CloseLeft;value_High;value_FlickOn;value_LayOff;value_ShirtPull/Holding;value_BoxRight;value_BlockedCross;value_NotPastGoalLine;value_TouchTypePass;value_SetPiece;value_LowRight;value_MediumGkIntervention;value_ParriedDanger;value_Standing;value_GkStart;value_BigChance;value_HighLeft;value_SmallBoxLeft;value_OtherBodyPart;value_RefereeDelay;value_DrinksBreak;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_SmallBoxCentre;value_RecklessOffence;value_YellowCard;value_Penalty;value_PenaltyTakerId;value_Dissent;value_Saved;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_GkYTimeOfGoal;value_HighCentre;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Minutes;value_EndType;value_HighRight;value_HighClaim;value_InjuredPlayerId;value_Injury;value_TacticalFoul;value_Overrun;value_FreeKick;value_SwerveLeft;value_CloseRight;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_TempBlocked;value_CloseLeftAndHigh;value_SwerveRight;value_Scored;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistTeam;value_CloseHigh;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696568271;445;49;1;48;46;8o8m08he36u0j4w08aj2iodn8;1;55,6;29,6;2024-06-16T23:52:31.537Z;2024-06-16T23:52:31Z;[];ctwn52am38jz5ly1h8ac069lg;C. Heuer;;;dha3q7sn8co3cnaxm0p1gerdg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;48;46;Huntsville City;2926;DMC;1,0
2696568277;446;1;1;48;46;8o8m08he36u0j4w08aj2iodn8;1;56,3;32,8;2024-06-16T23:52:32.005Z;2024-06-16T23:55:15Z;[{'id': 5080145769, 'qualifierId': 212, 'value': '16.3'}, {'id': 5080145767, 'qualifierId': 141, 'value': '56.4'}, {'id': 5080145765, 'qualifierId': 140, 'value': '58.9'}, {'id': 5080145763, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080145771, 'qualifierId': 213, 'value': '1.40'}];ctwn52am38jz5ly1h8ac069lg;C. Heuer;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;58,9;16,3;1,4;;56,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;58,9;56,4;;;;;;;;0;48;46;Huntsville City;2926;DMC;1,0
2696568287;447;1;1;48;49;8o8m08he36u0j4w08aj2iodn8;1;64,4;59,3;2024-06-16T23:52:34.898Z;2024-06-16T23:52:36Z;[{'id': 5080145815, 'qualifierId': 141, 'value': '54.1'}, {'id': 5080145817, 'qualifierId': 212, 'value': '9.1'}, {'id': 5080145813, 'qualifierId': 140, 'value': '72.4'}, {'id': 5080145819, 'qualifierId': 213, 'value': '5.88'}, {'id': 5080145811, 'qualifierId': 56, 'value': 'Center'}];2atsox1bassuexlgta8h3us4p;C. Koffi;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;72,4;9,1;5,88;;54,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;72,4;54,1;;;;;;;;0;48;49;Huntsville City;2929;ML;1,0
2696568289;448;50;1;48;51;8o8m08he36u0j4w08aj2iodn8;1;72,4;56,1;2024-06-16T23:52:36.554Z;2024-06-16T23:52:39Z;[{'id': 5080145825, 'qualifierId': 286}, {'id': 5080145857, 'qualifierId': 233, 'value': '385'}, {'id': 5080145823, 'qualifierId': 56, 'value': 'Center'}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;dha3q7sn8co3cnaxm0p1gerdg;Dispossessed;;;;;;;;;;;;;;;;;;;;;;;;;1,0;385,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;48;51;Huntsville City;2931;FW;1,0
2696568299;385;7;1;48;51;4gymgvqmve0m2vh89v84tt3x0;1;27,6;43,9;2024-06-16T23:52:36.555Z;2024-06-18T16:10:09Z;[{'id': 5080145853, 'qualifierId': 233, 'value': '448'}, {'id': 5081348559, 'qualifierId': 384}, {'id': 5080145849, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080145851, 'qualifierId': 285}];42zmyz1t6mqap5pyfqxiaadqs;F. Opande;;;dha3q7sn8co3cnaxm0p1gerdg;Tackle;;;;;;;;;;;;;;;;;;;;;;;;;;448,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;48;51;Chicago Fire II;2931;DL;1,0
2696568301;386;49;1;48;53;4gymgvqmve0m2vh89v84tt3x0;1;30,3;47,8;2024-06-16T23:52:38.796Z;2024-06-16T23:52:39Z;[];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;dha3q7sn8co3cnaxm0p1gerdg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;48;53;Chicago Fire II;2933;MC;1,0
2696568311;387;1;1;48;53;4gymgvqmve0m2vh89v84tt3x0;0;30,3;47,8;2024-06-16T23:52:39.013Z;2024-06-16T23:52:41Z;[{'id': 5080145895, 'qualifierId': 1}, {'id': 5080145889, 'qualifierId': 141, 'value': '26.4'}, {'id': 5080145893, 'qualifierId': 213, 'value': '5.96'}, {'id': 5080145887, 'qualifierId': 140, 'value': '71.8'}, {'id': 5080145885, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080145891, 'qualifierId': 212, 'value': '45.9'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;71,8;45,9;5,96;;26,4;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;71,8;26,4;;;;;;;;0;48;53;Chicago Fire II;2933;MC;1,0
2696568313;449;49;1;48;57;8o8m08he36u0j4w08aj2iodn8;1;21,3;76,3;2024-06-16T23:52:42.570Z;2024-06-16T23:52:42Z;[];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dha3q7sn8co3cnaxm0p1gerdg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;48;57;Huntsville City;2937;DC;1,0
2696568319;450;1;1;48;57;8o8m08he36u0j4w08aj2iodn8;1;21,3;76,3;2024-06-16T23:52:42.929Z;2024-06-16T23:52:44Z;[{'id': 5080145917, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080145921, 'qualifierId': 141, 'value': '54.4'}, {'id': 5080145919, 'qualifierId': 140, 'value': '3.6'}, {'id': 5080145925, 'qualifierId': 213, 'value': '3.82'}, {'id': 5080145923, 'qualifierId': 212, 'value': '23.8'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;3,6;23,8;3,82;;54,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;3,6;54,4;;;;;;;;0;48;57;Huntsville City;2937;DC;1,0
2696568347;451;1;1;48;59;8o8m08he36u0j4w08aj2iodn8;1;3,6;54,4;2024-06-16T23:52:44.866Z;2024-06-16T23:52:48Z;[{'id': 5080146031, 'qualifierId': 155}, {'id': 5080146039, 'qualifierId': 212, 'value': '30.1'}, {'id': 5080146035, 'qualifierId': 140, 'value': '12.9'}, {'id': 5080146037, 'qualifierId': 141, 'value': '96.3'}, {'id': 5080146041, 'qualifierId': 213, 'value': '1.24'}, {'id': 5080146033, 'qualifierId': 56, 'value': 'Back'}];12wcwqu2liyd0zv8ramcevh1w;P. Los;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;12,9;30,1;1,24;;96,3;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;12,9;96,3;;;;;;;;0;48;59;Huntsville City;2939;GK;1,0
