id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_Involved;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_JerseyNumber;value_PlayerPosition;value_TeamFormation;value_DirectionOfPlay;value_Angle;value_Length;value_PassEndY;value_KickOff;value_PassEndX;value_Zone;value_OppositeRelatedEventId;value_NextEventThrowIn;value_LongBall;value_ThrowIn;value_DeletedEventType;value_Defensive;value_Foul;value_Offensive;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Chipped;value_HeadPass;value_TouchTypeClearance;value_BlockedPass;value_Launch;value_Handball;value_SwitchOfPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnSpace;value_TouchTypeControl;value_TouchTypePass;value_OutSwinger;value_RightFooted;value_Cross;value_BlockedCross;value_Right;value_Left;value_Assist;value_CornerTaken;value_LeftFooted;value_IntentionalAssist;value_InSwinger;value_SixYardBlocked;value_FromCorner;value_GoalmouthY;value_FirstTouch;value_RelatedEventId;value_GkX;value_Blocked;value_Assisted;value_BlockedX;value_GoalmouthZ;value_LowLeft;value_BlockedY;value_Head;value_GkY;value_BoxCentre;value_DefBlock;value_RegularPlay;value_LowRight;value_GkYTimeOfGoal;value_SwerveLeft;value_GkXTimeOfGoal;value_BoxLeft;value_GoalShotGameClock;value_GoalShotTimestamp;value_Shove/Push;value_IntendedTackleTarget;value_ShirtPull/Holding;value_PlayersCaughtOffside;value_Indirect;value_Defensive1V1;value_AerialFoul;value_LeadingToAttempt;value_RelatedError1Id;value_CloseHigh;value_BigChance;value_SwerveRight;value_IndividualPlay;value_OutOfBoxCentre;value_OutOfPlay;value_NotAssisted;value_Volley;value_MisHit;value_LowGkIntervention;value_KeeperThrow;value_High;value_Straight;value_DrivenCross;value_LayOff;value_MediumGkIntervention;value_FlickOn;value_TakeOnOvertake;value_Weak;value_NotPastGoalLine;value_Injury;value_InjuredPlayerId;value_OverhitCross;value_SmallBoxCentre;value_HighLeft;value_HighGkIntervention;value_HighClaim;value_Overrun;value_RecklessOffence;value_YellowCard;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_HighRight;value_BoxDeepRight;value_Hands;value_ParriedSafe;value_Diving;value_SmallBoxLeft;value_CloseLeft;value_LastLine;value_35Centre;value_BlockedClearance;value_NotVisible;value_BoxRight;value_ThroughBall;value_FloatedCross;value_OverArm;value_LowCentre;value_SetPiece;value_HighCentre;value_Reaching;value_Dissent;value_SecondYellow;value_GkKickFromHands;value_ThrowInSetPiece;value_Deflection;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680310477;674;1;2;71;15;4g68p0t2f5jzhzfr67i2rj1ex;1;36,5;60,1;2024-04-28T22:36:40.662Z;2024-05-03T15:13:27Z;[{'id': 4991353089, 'qualifierId': 212, 'value': '17.5'}, {'id': 4991353091, 'qualifierId': 213, 'value': '4.27'}, {'id': 4991353083, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991353085, 'qualifierId': 140, 'value': '29.3'}, {'id': 4991353087, 'qualifierId': 141, 'value': '36.9'}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;;ci15nvvlg37zlrvah52yr7x1w;Pass;;;;;;;;;;4,27;17,5;36,9;;29,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;29,3;36,9;;;;;;;0;0;71;15;Columbus Crew II;4275;Sub;1,0
2680310525;675;1;2;71;21;4g68p0t2f5jzhzfr67i2rj1ex;1;29,2;39,0;2024-04-28T22:36:47.207Z;2024-04-28T22:36:52Z;[{'id': 4991353359, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991353367, 'qualifierId': 212, 'value': '58.2'}, {'id': 4991353363, 'qualifierId': 141, 'value': '26.1'}, {'id': 4991353357, 'qualifierId': 157}, {'id': 4991353369, 'qualifierId': 213, 'value': '6.13'}, {'id': 4991353373, 'qualifierId': 1}, {'id': 4991353361, 'qualifierId': 140, 'value': '84.0'}];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;;ci15nvvlg37zlrvah52yr7x1w;Pass;;;;;;;;;;6,13;58,2;26,1;;84,0;;;;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;84,0;26,1;;;;;;;0;0;71;21;Columbus Crew II;4281;DL;1,0
2680310535;676;1;2;71;26;4g68p0t2f5jzhzfr67i2rj1ex;0;82,7;29,4;2024-04-28T22:36:51.990Z;2024-04-28T22:36:52Z;[{'id': 4991353425, 'qualifierId': 212, 'value': '14.6'}, {'id': 4991353421, 'qualifierId': 140, 'value': '87.7'}, {'id': 4991353423, 'qualifierId': 141, 'value': '49.4'}, {'id': 4991353419, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991353427, 'qualifierId': 213, 'value': '1.20'}];4akvdujqbywk628gok9xbh2j8;F. Ssebufu;;;ci15nvvlg37zlrvah52yr7x1w;Pass;;;;;;;;;;1,2;14,6;49,4;;87,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;87,7;49,4;;;;;;;0;0;71;26;Columbus Crew II;4286;Sub;1,0
2680310603;757;12;2;71;28;5b4ccd62yeeqdl2qk6jzsmjv8;1;6,9;41,6;2024-04-28T22:36:54.171Z;2024-04-28T22:36:58Z;[{'id': 4991353847, 'qualifierId': 213, 'value': '1.35'}, {'id': 4991353843, 'qualifierId': 141, 'value': '62.1'}, {'id': 4991353845, 'qualifierId': 212, 'value': '14.3'}, {'id': 4991353841, 'qualifierId': 140, 'value': '9.9'}, {'id': 4991353839, 'qualifierId': 56, 'value': 'Back'}];9elhnfsovx9efu5f92mkkls7o;C. Pearson;;;ci15nvvlg37zlrvah52yr7x1w;Clearance;;;;;;;;;;1,35;14,3;62,1;;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;9,9;62,1;;;;;;;0;0;71;28;New York RB II;4288;DC;1,0
2680310571;677;44;2;71;30;4g68p0t2f5jzhzfr67i2rj1ex;1;89,9;42,3;2024-04-28T22:36:55.510Z;2024-04-28T22:36:59Z;[{'id': 4991353683, 'qualifierId': 286}, {'id': 4991353681, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991353891, 'qualifierId': 233, 'value': '758'}];4akvdujqbywk628gok9xbh2j8;F. Ssebufu;;;ci15nvvlg37zlrvah52yr7x1w;Aerial;;;;;;;;;;;;;;;;758,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;71;30;Columbus Crew II;4290;Sub;1,0
2680310607;758;44;2;71;30;5b4ccd62yeeqdl2qk6jzsmjv8;0;10,1;57,7;2024-04-28T22:36:55.511Z;2024-04-28T22:36:59Z;[{'id': 4991353859, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991353899, 'qualifierId': 233, 'value': '677'}, {'id': 4991353861, 'qualifierId': 285}];cg3xa5zbx2xz5qi5m1bbso4r8;T. Nero;;;ci15nvvlg37zlrvah52yr7x1w;Aerial;;;;;;;;;;;;;;;;677,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;71;30;New York RB II;4290;DC;1,0
2680310583;678;1;2;71;30;4g68p0t2f5jzhzfr67i2rj1ex;1;90,4;38,6;2024-04-28T22:36:55.910Z;2024-04-28T22:36:57Z;[{'id': 4991353747, 'qualifierId': 212, 'value': '12.1'}, {'id': 4991353749, 'qualifierId': 213, 'value': '1.35'}, {'id': 4991353743, 'qualifierId': 140, 'value': '92.9'}, {'id': 4991353745, 'qualifierId': 141, 'value': '55.9'}, {'id': 4991353741, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991353739, 'qualifierId': 3}];4akvdujqbywk628gok9xbh2j8;F. Ssebufu;;;ci15nvvlg37zlrvah52yr7x1w;Pass;;;;;;;;;;1,35;12,1;55,9;;92,9;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;92,9;55,9;;;;;;;0;0;71;30;Columbus Crew II;4290;Sub;1,0
2680310587;679;61;2;71;31;4g68p0t2f5jzhzfr67i2rj1ex;0;93,0;56,3;2024-04-28T22:36:57.335Z;2024-04-28T22:36:57Z;[{'id': 4991353771, 'qualifierId': 56, 'value': 'Center'}];8y7kqet5swj9dmqama0z5ngus;J. Hall;;;ci15nvvlg37zlrvah52yr7x1w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;71;31;Columbus Crew II;4291;FW;1,0
2680310627;759;12;2;71;34;5b4ccd62yeeqdl2qk6jzsmjv8;1;10,9;33,3;2024-04-28T22:37:00.266Z;2024-05-03T15:13:54Z;[{'id': 4991353987, 'qualifierId': 140, 'value': '19.7'}, {'id': 4991353989, 'qualifierId': 141, 'value': '24.3'}, {'id': 4991353993, 'qualifierId': 213, 'value': '5.70'}, {'id': 4991353991, 'qualifierId': 212, 'value': '11.1'}, {'id': 4991353985, 'qualifierId': 56, 'value': 'Back'}, {'id': 4998641309, 'qualifierId': 15}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;ci15nvvlg37zlrvah52yr7x1w;Clearance;;;;;;;;;;5,7;11,1;24,3;;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;19,7;24,3;;;;;;;0;0;71;34;New York RB II;4294;DMR;1,0
2680310629;760;43;2;71;36;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-04-28T22:37:01.900Z;2024-05-03T15:13:59Z;[{'id': 4998641387, 'qualifierId': 144, 'value': '49'}];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;ci15nvvlg37zlrvah52yr7x1w;Deleted event;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;71;36;New York RB II;4296;FW;1,0
