id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_Involved;value_Captain;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Length;value_Angle;value_PassEndX;value_Zone;value_LongBall;value_TakeOnSpace;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_Launch;value_FlickOn;value_HeadPass;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypePass;value_AttemptedTackle;value_DeletedEventType;value_Chipped;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_IntendedTackleTarget;value_LayOff;value_OutSwinger;value_RightFooted;value_Cross;value_Left;value_InSwinger;value_CornerTaken;value_HighGkIntervention;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_OverhitCross;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_Head;value_NotVisible;value_AerialFoul;value_LowGkIntervention;value_Straight;value_DrivenCross;value_BlockedPass;value_Assist;value_OutOfBoxCentre;value_GoalmouthZ;value_Assisted;value_BlockedY;value_LeftFooted;value_GkX;value_IndividualPlay;value_GoalmouthY;value_RegularPlay;value_BlockedX;value_GkY;value_LowCentre;value_Blocked;value_DefBlock;value_Overrun;value_SwitchOfPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_ThroughBall;value_LowRight;value_NotAssisted;value_ParriedSafe;value_Diving;value_Hands;value_Right;value_IntentionalAssist;value_SmallBoxRight;value_FirstTouch;value_FromCorner;value_ParriedDanger;value_Stooping;value_LowLeft;value_BoxCentre;value_Volley;value_High;value_MisHit;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_Injury;value_InjuredPlayerId;value_FairPlay;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_PlayersCaughtOffside;value_Indirect;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_HighClaim;value_GkKickFromHands;value_Shove/Push;value_Dissent;value_CoachId;value_Minutes;value_SetPiece;value_EndType;value_Tactical;value_TempMissed;value_BoxRight;value_Handball;value_PullBack;value_CloseLeft;value_Feet;value_SavedOffLine;value_SixYardBlocked;value_BoxLeft;value_LastLine;value_CloseHigh;value_BigChance;value_FastBreak;value_BlockedCross;value_RedCard;value_ViolentConduct;value_TimeWasting;value_GkHoof;value_SecondYellow;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2684587927;202;1;1;21;34;erwnez7ksfkns4dqmyr1fhbe;0;66,6;69,0;2024-05-08T23:56:07.659Z;2024-05-08T23:56:10Z;[{'id': 5014559703, 'qualifierId': 56, 'value': 'Center'}, {'id': 5014559709, 'qualifierId': 212, 'value': '19.1'}, {'id': 5014559705, 'qualifierId': 140, 'value': '80.3'}, {'id': 5014559711, 'qualifierId': 213, 'value': '5.57'}, {'id': 5014559707, 'qualifierId': 141, 'value': '50.6'}, {'id': 5014559701, 'qualifierId': 155}];bjk2ns3xadow18v3tkvqqrkh6;J. Williams;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;50,6;19,1;5,57;80,3;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;80,3;50,6;;;;;;;0;0;21;34;Carolina Core;1294;DC;1,0
2684587933;164;44;1;21;36;2nnef9tr9g7m2s6n873qif95g;1;20,0;51,6;2024-05-08T23:56:09.926Z;2024-05-08T23:56:12Z;[{'id': 5014559773, 'qualifierId': 233, 'value': '203'}, {'id': 5014559737, 'qualifierId': 285}, {'id': 5014559735, 'qualifierId': 56, 'value': 'Back'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Aerial;;;;;;;;;;;;;;;;;;1,0;203,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;21;36;Atlanta United II;1296;DC;1,0
2684587929;203;44;1;21;36;erwnez7ksfkns4dqmyr1fhbe;0;80,0;48,4;2024-05-08T23:56:09.927Z;2024-05-08T23:56:12Z;[{'id': 5014559721, 'qualifierId': 286}, {'id': 5014559719, 'qualifierId': 56, 'value': 'Center'}, {'id': 5014559795, 'qualifierId': 233, 'value': '164'}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Aerial;;;;;;;;;;;;;;;;;;;164,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;21;36;Carolina Core;1296;FW;1,0
2684587937;165;12;1;21;37;2nnef9tr9g7m2s6n873qif95g;1;20,4;53,7;2024-05-08T23:56:10.933Z;2024-05-08T23:56:12Z;[{'id': 5014559747, 'qualifierId': 140, 'value': '35.9'}, {'id': 5014559751, 'qualifierId': 212, 'value': '18.3'}, {'id': 5014559759, 'qualifierId': 15}, {'id': 5014559753, 'qualifierId': 213, 'value': '0.48'}, {'id': 5014559745, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014559749, 'qualifierId': 141, 'value': '66.1'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Clearance;;;;;;;;;;;66,1;18,3;0,48;35,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;35,9;66,1;;;;;;;0;0;21;37;Atlanta United II;1297;DC;1,0
2684587949;166;1;1;21;40;2nnef9tr9g7m2s6n873qif95g;0;35,2;67,6;2024-05-08T23:56:13.621Z;2024-05-08T23:56:16Z;[{'id': 5014559829, 'qualifierId': 141, 'value': '95.4'}, {'id': 5014559831, 'qualifierId': 212, 'value': '19.5'}, {'id': 5014559823, 'qualifierId': 3}, {'id': 5014559825, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014559827, 'qualifierId': 140, 'value': '39.8'}, {'id': 5014559833, 'qualifierId': 213, 'value': '1.32'}];8p0k65b4c26ssfk0zh43lme7e;D. Polanco;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;95,4;19,5;1,32;39,8;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;39,8;95,4;;;;;;;0;0;21;40;Atlanta United II;1300;FW;1,0
2684587977;204;1;1;21;47;erwnez7ksfkns4dqmyr1fhbe;1;61,5;19,2;2024-05-08T23:56:21.157Z;2024-05-08T23:56:27Z;[{'id': 5014559973, 'qualifierId': 141, 'value': '74.2'}, {'id': 5014559977, 'qualifierId': 213, 'value': '1.77'}, {'id': 5014559969, 'qualifierId': 56, 'value': 'Center'}, {'id': 5014559971, 'qualifierId': 140, 'value': '54.2'}, {'id': 5014559979, 'qualifierId': 1}, {'id': 5014559975, 'qualifierId': 212, 'value': '38.2'}];7y5v3oex0pnupaahm8arguluc;M. Gallardo;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;74,2;38,2;1,77;54,2;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;54,2;74,2;;;;;;;0;0;21;47;Carolina Core;1307;AMR;1,0
2684587989;205;1;1;21;53;erwnez7ksfkns4dqmyr1fhbe;1;55,9;74,8;2024-05-08T23:56:27.265Z;2024-05-08T23:56:29Z;[{'id': 5014560039, 'qualifierId': 56, 'value': 'Left'}, {'id': 5014560045, 'qualifierId': 212, 'value': '15.1'}, {'id': 5014560047, 'qualifierId': 213, 'value': '0.76'}, {'id': 5014560041, 'qualifierId': 140, 'value': '66.3'}, {'id': 5014560043, 'qualifierId': 141, 'value': '90.2'}];2iz7apzo49byqz0ws65h9d7v8;K. Moore;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;90,2;15,1;0,76;66,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;66,3;90,2;;;;;;;0;0;21;53;Carolina Core;1313;DC;1,0
2684588003;206;1;1;21;55;erwnez7ksfkns4dqmyr1fhbe;1;64,6;89,6;2024-05-08T23:56:29.249Z;2024-05-08T23:56:32Z;[{'id': 5014560117, 'qualifierId': 140, 'value': '34.0'}, {'id': 5014560125, 'qualifierId': 1}, {'id': 5014560123, 'qualifierId': 213, 'value': '3.53'}, {'id': 5014560119, 'qualifierId': 141, 'value': '70.3'}, {'id': 5014560121, 'qualifierId': 212, 'value': '34.7'}, {'id': 5014560115, 'qualifierId': 56, 'value': 'Back'}];bjk2ns3xadow18v3tkvqqrkh6;J. Williams;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;70,3;34,7;3,53;34,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;34,0;70,3;;;;;;;0;0;21;55;Carolina Core;1315;DC;1,0
2684588015;207;1;1;21;59;erwnez7ksfkns4dqmyr1fhbe;1;34,0;70,3;2024-05-08T23:56:32.810Z;2024-05-09T00:26:08Z;[{'id': 5014560213, 'qualifierId': 213, 'value': '6.05'}, {'id': 5014560207, 'qualifierId': 140, 'value': '45.4'}, {'id': 5014560211, 'qualifierId': 212, 'value': '12.3'}, {'id': 5014560205, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014560209, 'qualifierId': 141, 'value': '66.1'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;66,1;12,3;6,05;45,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;45,4;66,1;;;;;;;0;0;21;59;Carolina Core;1319;GK;1,0
2684588035;208;1;1;22;2;erwnez7ksfkns4dqmyr1fhbe;1;42,4;66,4;2024-05-08T23:56:35.638Z;2024-05-08T23:56:42Z;[{'id': 5014560299, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014560301, 'qualifierId': 140, 'value': '44.5'}, {'id': 5014560307, 'qualifierId': 213, 'value': '4.79'}, {'id': 5014560305, 'qualifierId': 212, 'value': '29.6'}, {'id': 5014560303, 'qualifierId': 141, 'value': '23.0'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;23,0;29,6;4,79;44,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;44,5;23,0;;;;;;;0;0;22;2;Carolina Core;1322;MC;1,0
