id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_Captain;value_Resume;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Length;value_Launch;value_LongBall;value_HeadPass;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_OutOfPlay;value_Left;value_InSwinger;value_CornerTaken;value_Cross;value_Head;value_NextEventGoalKick;value_High;value_GoalKick;value_AttemptedTackle;value_Direct;value_Foul;value_DeletedEventType;value_IntendedTackleTarget;value_IntentionalAssist;value_Assist;value_GkX;value_GoalmouthZ;value_GkY;value_Assisted;value_FirstTouch;value_RightFooted;value_RegularPlay;value_GoalmouthY;value_BoxRight;value_RelatedEventId;value_KeeperThrow;value_FlickOn;value_NotVisible;value_SwitchOfPlay;value_HighRight;value_FantasyAssistType;value_FantasyAssistedBy;value_GoalShotGameClock;value_SwerveLeft;value_GoalShotTimestamp;value_FantasyAssistId;value_FantasyAssistTeam;value_FreeKick;value_NotAssisted;value_OutOfBoxCentre;value_Overrun;value_BlockedPass;value_BlockedX;value_BlockedY;value_LowRight;value_IndividualPlay;value_Diving;value_Hands;value_Collected;value_OverArm;value_ShirtPull/Holding;value_Stooping;value_ThroughBall;value_ProfessionalFoulLastMan;value_RedCard;value_Right;value_LowCentre;value_SmallBoxCentre;value_BigChance;value_SetPiece;value_RecklessOffence;value_YellowCard;value_Low;value_FromCorner;value_SmallBoxRight;value_CloseLeft;value_LeftFooted;value_BoxCentre;value_LayOff;value_AdvantagePlayed;value_Injury;value_InjuredPlayerId;value_GkHoof;value_Minutes;value_Blocked;value_DefBlock;value_GkKickFromHands;value_EndType;value_LeadingToGoal;value_RelatedError1Id;value_BoxLeft;value_Shove/Push;value_ViolentConduct;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_TacticalFoul;value_HighLeft;value_OutOfBoxDeepRight;value_Volley;value_Standing;value_HighCentre;value_ParriedSafe;value_LowLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708415217;722;1;2;93;49;29nx7yxy1rdqv2oobqn5pjf8p;1;46,0;100,0;2024-08-12T01:30:24.818Z;2024-08-12T01:30:28Z;[{'id': 5145511483, 'qualifierId': 140, 'value': '34.5'}, {'id': 5145511487, 'qualifierId': 212, 'value': '14.6'}, {'id': 5145511489, 'qualifierId': 213, 'value': '3.74'}, {'id': 5145511481, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145511479, 'qualifierId': 107}, {'id': 5145511485, 'qualifierId': 141, 'value': '89.9'}];3wn0nn5q8g2mjzuc8yb4dvu2;M. Cimermancic;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;3,74;34,5;89,9;;14,6;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;34,5;89,9;;;;;;;0;0;93;49;Atlanta United II;5629;Sub;1,0
2708415235;723;1;2;93;52;29nx7yxy1rdqv2oobqn5pjf8p;1;28,3;86,5;2024-08-12T01:30:28.098Z;2024-08-12T01:30:34Z;[{'id': 5145511577, 'qualifierId': 196}, {'id': 5145511585, 'qualifierId': 212, 'value': '43.4'}, {'id': 5145511581, 'qualifierId': 140, 'value': '41.9'}, {'id': 5145511579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145511589, 'qualifierId': 1}, {'id': 5145511587, 'qualifierId': 213, 'value': '5.05'}, {'id': 5145511583, 'qualifierId': 141, 'value': '26.3'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;5,05;41,9;26,3;;43,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;41,9;26,3;;;;;;;0;0;93;52;Atlanta United II;5632;DC;1,0
2708415257;724;1;2;93;58;29nx7yxy1rdqv2oobqn5pjf8p;1;57,7;24,7;2024-08-12T01:30:34.369Z;2024-08-12T01:30:40Z;[{'id': 5145511701, 'qualifierId': 213, 'value': '0.62'}, {'id': 5145511693, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145511697, 'qualifierId': 141, 'value': '36.3'}, {'id': 5145511699, 'qualifierId': 212, 'value': '13.6'}, {'id': 5145511695, 'qualifierId': 140, 'value': '68.3'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;0,62;68,3;36,3;;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;68,3;36,3;;;;;;;0;0;93;58;Atlanta United II;5638;FWR;1,0
2708415259;725;1;2;94;3;29nx7yxy1rdqv2oobqn5pjf8p;0;69,0;36,6;2024-08-12T01:30:39.713Z;2024-08-12T01:30:41Z;[{'id': 5145511713, 'qualifierId': 213, 'value': '0.37'}, {'id': 5145511709, 'qualifierId': 141, 'value': '38.6'}, {'id': 5145511731, 'qualifierId': 236}, {'id': 5145511707, 'qualifierId': 140, 'value': '72.3'}, {'id': 5145511737, 'qualifierId': 286}, {'id': 5145511733, 'qualifierId': 233, 'value': '866'}, {'id': 5145511705, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145511711, 'qualifierId': 212, 'value': '3.7'}];5l9js12tsf18c7st0oac3swes;T. Rigopoulos;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;0,37;72,3;38,6;;3,7;;;;;;;1,0;866,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;72,3;38,6;;;;;;;0;0;94;3;Atlanta United II;5643;Sub;1,0
2708415253;866;74;2;94;3;erwnez7ksfkns4dqmyr1fhbe;1;26,9;68,7;2024-08-12T01:30:39.714Z;2024-08-12T01:30:40Z;[{'id': 5145511747, 'qualifierId': 233, 'value': '725'}, {'id': 5145511685, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145511687, 'qualifierId': 285}];2iz7apzo49byqz0ws65h9d7v8;K. Moore;;emo8oybv35rtyjfbr3x1frxn8;Blocked Pass;;;;;;;;;;;;;;;;;;;;;;;725,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;94;3;Toronto II;5643;DC;1,0
2708415277;726;1;2;94;4;29nx7yxy1rdqv2oobqn5pjf8p;1;72,8;39,3;2024-08-12T01:30:40.625Z;2024-08-12T01:54:43Z;[{'id': 5145535997, 'qualifierId': 154}, {'id': 5145511849, 'qualifierId': 212, 'value': '24.1'}, {'id': 5145511843, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145511847, 'qualifierId': 141, 'value': '66.4'}, {'id': 5145511851, 'qualifierId': 213, 'value': '0.87'}, {'id': 5145511845, 'qualifierId': 140, 'value': '87.6'}, {'id': 5145511963, 'qualifierId': 210, 'value': '15'}];dfnus4g6zypd1xcec6x7p85ey;L. Accettola;1,0;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;0,87;87,6;66,4;;24,1;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;87,6;66,4;;;;;;;0;0;94;4;Atlanta United II;5644;Sub;1,0
2708415279;727;15;2;94;7;29nx7yxy1rdqv2oobqn5pjf8p;1;83,7;64,2;2024-08-12T01:30:43.041Z;2024-08-12T01:54:43Z;[{'id': 5145511967, 'qualifierId': 29}, {'id': 5145511857, 'qualifierId': 64}, {'id': 5145511899, 'qualifierId': 20}, {'id': 5145511975, 'qualifierId': 102, 'value': '51.6'}, {'id': 5145511969, 'qualifierId': 55, 'value': '726'}, {'id': 5145511859, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145511981, 'qualifierId': 146, 'value': '98.1'}, {'id': 5145536001, 'qualifierId': 328}, {'id': 5145511983, 'qualifierId': 147, 'value': '52.3'}, {'id': 5145535999, 'qualifierId': 154}, {'id': 5145511965, 'qualifierId': 79}, {'id': 5145511977, 'qualifierId': 103, 'value': '26.6'}, {'id': 5145511991, 'qualifierId': 233, 'value': '867'}, {'id': 5145511855, 'qualifierId': 22}];dqxh3f9qy6lhrwabvnbb6erro;A. Dumitru;;emo8oybv35rtyjfbr3x1frxn8;Attempt Saved;;;;;;;;;;;;;;;;;;;;;;;867,0;;;;;;;;;;;;;;;;;;;1,0;;;26,6;;1,0;1,0;1,0;1,0;51,6;;726,0;;;;;;;;;;;;;;;;;;98,1;52,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;1,0;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;98,1;52,3;51,6;26.6;726,0;dfnus4g6zypd1xcec6x7p85ey;0;0;94;7;Atlanta United II;5647;Sub;1,0
2708415273;867;10;2;94;7;erwnez7ksfkns4dqmyr1fhbe;1;1,2;49,0;2024-08-12T01:30:43.141Z;2024-08-12T01:30:51Z;[{'id': 5145511823, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145511931, 'qualifierId': 233, 'value': '727'}, {'id': 5145511817, 'qualifierId': 173}, {'id': 5145511821, 'qualifierId': 182}, {'id': 5145511819, 'qualifierId': 178}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;emo8oybv35rtyjfbr3x1frxn8;Save;;;;;;;;;;;;;;;;;;;;;;;727,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;94;7;Toronto II;5647;GK;1,0
2708415295;868;52;2;94;18;erwnez7ksfkns4dqmyr1fhbe;1;6,8;35,8;2024-08-12T01:30:54.078Z;2024-08-12T01:30:54Z;[];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;emo8oybv35rtyjfbr3x1frxn8;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;94;18;Toronto II;5658;GK;1,0
2708415317;869;80;2;94;27;erwnez7ksfkns4dqmyr1fhbe;0;15,4;70,9;2024-08-12T01:31:03.709Z;2024-08-12T01:31:03Z;[];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;emo8oybv35rtyjfbr3x1frxn8;Drop of Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;94;27;Toronto II;5667;GK;1,0
