id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamFormation;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_Length;value_Angle;value_PassEndY;value_PassEndX;value_KickOff;value_Launch;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_Low;value_Offensive;value_Defensive;value_OutOfPlay;value_TouchTypeClearance;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_IntendedTackleTarget;value_IntentionalAssist;value_Assist;value_Chipped;value_BlockedX;value_RegularPlay;value_GkY;value_RelatedEventId;value_LowCentre;value_FirstTouch;value_Assisted;value_BlockedY;value_Blocked;value_SmallBoxCentre;value_GkX;value_SixYardBlocked;value_GoalmouthY;value_Head;value_GoalmouthZ;value_DefBlock;value_Left;value_CornerTaken;value_Cross;value_InSwinger;value_RightFooted;value_Right;value_OutSwinger;value_TakeOnOvertake;value_BoxCentre;value_HighLeft;value_ParriedSafe;value_HighGkIntervention;value_Hands;value_Reaching;value_FloatedCross;value_Straight;value_High;value_LayOff;value_BlockedPass;value_ShirtPull/Holding;value_TouchTypeControl;value_SwitchOfPlay;value_AttemptedTackle;value_HeadPass;value_PullBack;value_TouchTypePass;value_OutOfBoxCentre;value_Volley;value_NotAssisted;value_IndividualPlay;value_MisHit;value_NotVisible;value_FromCorner;value_HighClaim;value_KeeperThrow;value_OverArm;value_LowLeft;value_Collected;value_Diving;value_LowGkIntervention;value_Overrun;value_Injury;value_InjuredPlayerId;value_PlayersCaughtOffside;value_AerialFoul;value_Indirect;value_FlickOn;value_LeftFooted;value_Defensive1V1;value_BigChance;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_Obstruction;value_MediumGkIntervention;value_OwnPlayer;value_OwnShotBlocked;value_SmallBoxLeft;value_CloseLeft;value_Minutes;value_Standing;value_ParriedDanger;value_EndType;value_FastBreak;value_BoxLeft;value_OverhitCross;value_Handball;value_HighRight;value_BoxRight;value_Deflection;value_RecklessOffence;value_YellowCard;value_LowRight;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_SwerveLeft;value_FreeKick;value_OtherBodyPart;value_HighCentre;value_BlockedCross;value_PenaltyTakerId;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistId;value_Scored;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698332187;678;1;2;62;21;iiolvosiuokkrl5iuoxcjo4p;1;54,0;78,0;2024-06-29T03:55:03.742Z;2024-06-29T03:55:06Z;[{'id': 5089853543, 'qualifierId': 140, 'value': '67.6'}, {'id': 5089853545, 'qualifierId': 141, 'value': '60.2'}, {'id': 5089853541, 'qualifierId': 56, 'value': 'Center'}, {'id': 5089853549, 'qualifierId': 213, 'value': '5.58'}, {'id': 5089853547, 'qualifierId': 212, 'value': '18.7'}];f1oc42nax0yel4gblge49py7e;D. Amadou;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;18,7;5,58;60,2;67,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;67,6;60,2;;;;;;;;0;62;21;Los Angeles II;3741;MC;1,0
2698332191;679;1;2;62;24;iiolvosiuokkrl5iuoxcjo4p;1;71,9;58,8;2024-06-29T03:55:06.878Z;2024-06-29T03:55:08Z;[{'id': 5089853567, 'qualifierId': 56, 'value': 'Center'}, {'id': 5089853571, 'qualifierId': 141, 'value': '42.0'}, {'id': 5089853569, 'qualifierId': 140, 'value': '77.9'}, {'id': 5089853575, 'qualifierId': 213, 'value': '5.22'}, {'id': 5089853573, 'qualifierId': 212, 'value': '13.0'}];4wu5ystem7t4d7veep83j2qne;S. Flores;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;13,0;5,22;42,0;77,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;77,9;42,0;;;;;;;;0;62;24;Los Angeles II;3744;DR;1,0
2698332195;680;1;2;62;26;iiolvosiuokkrl5iuoxcjo4p;1;79,0;41,0;2024-06-29T03:55:08.814Z;2024-06-30T09:41:31Z;[{'id': 5089853601, 'qualifierId': 213, 'value': '5.84'}, {'id': 5089853593, 'qualifierId': 56, 'value': 'Center'}, {'id': 5089853691, 'qualifierId': 210, 'value': '15'}, {'id': 5089853595, 'qualifierId': 140, 'value': '87.8'}, {'id': 5089853597, 'qualifierId': 141, 'value': '34.5'}, {'id': 5089853599, 'qualifierId': 212, 'value': '10.2'}, {'id': 5091407103, 'qualifierId': 154}];28kg6zbpgbb8zrnhidogpxi0a;A. Díaz;1,0;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;10,2;5,84;34,5;87,8;;;;;;;;;;;;;;;;;;;;;1,0;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;87,8;34,5;;;;;;;;0;62;26;Los Angeles II;3746;FW;1,0
2698332197;681;15;2;62;29;iiolvosiuokkrl5iuoxcjo4p;1;87,6;34,5;2024-06-29T03:55:12.113Z;2024-06-30T09:41:31Z;[{'id': 5089853655, 'qualifierId': 82}, {'id': 5089853705, 'qualifierId': 146, 'value': '90.8'}, {'id': 5091407113, 'qualifierId': 154}, {'id': 5089853711, 'qualifierId': 231, 'value': '47.1'}, {'id': 5089853609, 'qualifierId': 63}, {'id': 5089861835, 'qualifierId': 233, 'value': '705'}, {'id': 5089853709, 'qualifierId': 230, 'value': '99.0'}, {'id': 5089853611, 'qualifierId': 56, 'value': 'Center'}, {'id': 5089853697, 'qualifierId': 55, 'value': '680'}, {'id': 5089853693, 'qualifierId': 80}, {'id': 5089853703, 'qualifierId': 103, 'value': '19'}, {'id': 5089853707, 'qualifierId': 147, 'value': '37.9'}, {'id': 5089853651, 'qualifierId': 20}, {'id': 5089853701, 'qualifierId': 102, 'value': '47.5'}, {'id': 5089853607, 'qualifierId': 22}, {'id': 5089853695, 'qualifierId': 29}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;doib55x7ijkckxo0p96byow0k;Attempt Saved;;;;;;;;;;;;;;;;;;;705,0;;;;;;;;;;;;;;;;1,0;;;90,8;1,0;47,1;680,0;;;1,0;37,9;1,0;;99,0;;47,5;;19,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;90,8;37,9;47,5;19;680,0;28kg6zbpgbb8zrnhidogpxi0a;;0;62;29;Los Angeles II;3749;FWR;1,0
2698333455;705;10;2;62;30;6gaq85erpkvbyxvivd96wuw44;1;9,2;62,1;2024-06-29T03:55:12.213Z;2024-06-29T04:34:04Z;[{'id': 5089861833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5089861839, 'qualifierId': 233, 'value': '681'}, {'id': 5089861831, 'qualifierId': 94}];4x8eu2y112ini9hx6b72bh46i;E. Berumen;;;doib55x7ijkckxo0p96byow0k;Save;;;;;;;;;;;;;;;;;;;681,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;62;30;Colorado Rapids II;3750;DC;1,0
2698332213;491;52;2;62;44;6gaq85erpkvbyxvivd96wuw44;1;7,4;53,7;2024-06-29T03:55:26.533Z;2024-06-30T09:41:40Z;[{'id': 5091407443, 'qualifierId': 376}];d4xd9fxqjwfe7x46byn60dx49;D. Ochoa;;;doib55x7ijkckxo0p96byow0k;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;62;44;Colorado Rapids II;3764;GK;1,0
2698332217;492;4;2;62;51;6gaq85erpkvbyxvivd96wuw44;1;31,6;69,4;2024-06-29T03:55:33.980Z;2024-06-29T05:01:32Z;[{'id': 5089853731, 'qualifierId': 56, 'value': 'Back'}, {'id': 5089853737, 'qualifierId': 285}, {'id': 5089853739, 'qualifierId': 233, 'value': '682'}, {'id': 5089853733, 'qualifierId': 152}, {'id': 5089853729, 'qualifierId': 13}, {'id': 5089863831, 'qualifierId': 294}];6mm2h3x9hmyea3bu2wt80uo7o;M. Evans;;;doib55x7ijkckxo0p96byow0k;Foul;;;;;;;;;;;;;;;;;;;682,0;;;;1,0;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;62;51;Colorado Rapids II;3771;MC;1,0
2698332215;682;4;2;62;51;iiolvosiuokkrl5iuoxcjo4p;0;68,4;30,6;2024-06-29T03:55:33.981Z;2024-06-29T03:55:48Z;[{'id': 5089853785, 'qualifierId': 294}, {'id': 5089853745, 'qualifierId': 286}, {'id': 5089853717, 'qualifierId': 56, 'value': 'Center'}, {'id': 5089853719, 'qualifierId': 152}, {'id': 5089853747, 'qualifierId': 233, 'value': '492'}, {'id': 5089853715, 'qualifierId': 13}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;doib55x7ijkckxo0p96byow0k;Foul;;;;;;;;;;;;;;;;;;;492,0;;;1,0;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;62;51;Los Angeles II;3771;FWR;1,0
2698332219;493;1;2;62;56;6gaq85erpkvbyxvivd96wuw44;1;26,4;67,5;2024-06-29T03:55:39.173Z;2024-06-29T03:55:42Z;[{'id': 5089853761, 'qualifierId': 213, 'value': '2.95'}, {'id': 5089853753, 'qualifierId': 56, 'value': 'Back'}, {'id': 5089853749, 'qualifierId': 5}, {'id': 5089853755, 'qualifierId': 140, 'value': '21.4'}, {'id': 5089853751, 'qualifierId': 152}, {'id': 5089853757, 'qualifierId': 141, 'value': '69.0'}, {'id': 5089853759, 'qualifierId': 212, 'value': '5.3'}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;5,3;2,95;69,0;21,4;;;;;;;;;;;;;;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;21,4;69,0;;;;;;;;0;62;56;Colorado Rapids II;3776;MC;1,0
2698332221;494;1;2;62;59;6gaq85erpkvbyxvivd96wuw44;0;19,7;67,2;2024-06-29T03:55:42.037Z;2024-06-29T03:55:46Z;[{'id': 5089853765, 'qualifierId': 155}, {'id': 5089853773, 'qualifierId': 141, 'value': '0.0'}, {'id': 5089853775, 'qualifierId': 212, 'value': '76.8'}, {'id': 5089853771, 'qualifierId': 140, 'value': '78.2'}, {'id': 5089853767, 'qualifierId': 196}, {'id': 5089853769, 'qualifierId': 56, 'value': 'Right'}, {'id': 5089853777, 'qualifierId': 213, 'value': '5.64'}, {'id': 5089853779, 'qualifierId': 1}];do2o6ka25talswmmillufejqi;D. Rosales;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;76,8;5,64;0,0;78,2;;;1,0;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;78,2;0,0;;;;;;;;0;62;59;Colorado Rapids II;3779;DC;1,0
