id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Resume;value_Involved;value_Captain;value_TeamPlayerFormation;value_PlayerPosition;value_TeamKit;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Zone;value_PassEndY;value_Length;value_Angle;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_DeletedEventType;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_Assist;value_RegularPlay;value_BoxLeft;value_CloseLeft;value_LeftFooted;value_IndividualPlay;value_GoalmouthZ;value_GkX;value_Assisted;value_GoalmouthY;value_RelatedEventId;value_GkY;value_NextEventGoalKick;value_GoalKick;value_Low;value_Overrun;value_Handball;value_AttemptedTackle;value_SwitchOfPlay;value_OutOfPlay;value_Left;value_Right;value_OutSwinger;value_Cross;value_CornerTaken;value_Head;value_FlickOn;value_NextEventThrowIn;value_PlayersCaughtOffside;value_Indirect;value_GkKickFromHands;value_IntendedTackleTarget;value_ThrowIn;value_BlockedPass;value_CloseRight;value_KeeperThrow;value_IntentionalAssist;value_BoxCentre;value_SetPiece;value_FirstTouch;value_NotVisible;value_LayOff;value_Blocked;value_OutOfBoxCentre;value_BlockedX;value_LowCentre;value_BlockedY;value_DefBlock;value_BoxRight;value_RightFooted;value_FastBreak;value_InSwinger;value_FromCorner;value_SmallBoxRight;value_SixYardBlocked;value_OwnPlayer;value_Stooping;value_ParriedSafe;value_Hands;value_Shove/Push;value_High;value_ThroughBall;value_Unchallenged;value_YellowCard;value_RecklessOffence;value_OverhitCross;value_Injury;value_InjuredPlayerId;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_BigChance;value_Feet;value_ParriedDanger;value_Sliding;value_NotAssisted;value_LowLeft;value_AerialFoul;value_TimeWasting;value_Minutes;value_HighClaim;value_BlockedCross;value_OverArm;value_EndType;value_Tactical;value_FreeKick;value_HighRight;value_Collected;value_Diving;value_LowRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistedBy;value_SmallBoxCentre;value_LeadingToAttempt;value_RelatedError1Id;value_GkHoof;value_TempBlocked;value_OtherObstacle;value_CloseHigh;value_Volley;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710716967;4;49;1;0;13;1pc6sx2h4rp113ldkbp5d2xas;1;23,3;16,4;2024-08-18T19:05:16.980Z;2024-08-18T19:05:17Z;[];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;eppyl290g73qck1ht7he4ojro;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;13;St. Louis City II;13;DMR;1,0
2710717043;5;1;1;0;14;1pc6sx2h4rp113ldkbp5d2xas;1;20,7;16,5;2024-08-18T19:05:17.423Z;2024-08-18T19:05:20Z;[{'id': 5158286521, 'qualifierId': 141, 'value': '33.9'}, {'id': 5158286519, 'qualifierId': 140, 'value': '2.7'}, {'id': 5158286523, 'qualifierId': 212, 'value': '22.3'}, {'id': 5158286517, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158286525, 'qualifierId': 213, 'value': '2.58'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;eppyl290g73qck1ht7he4ojro;Pass;;;;;;;;;;;2,7;;33,9;22,3;2,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;2,7;33,9;;;;;;;0;0;0;14;St. Louis City II;14;DMR;1,0
2710717111;6;1;1;0;16;1pc6sx2h4rp113ldkbp5d2xas;1;3,1;34,8;2024-08-18T19:05:20.021Z;2024-08-18T19:05:22Z;[{'id': 5158286831, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158286829, 'qualifierId': 157}, {'id': 5158286837, 'qualifierId': 212, 'value': '35.6'}, {'id': 5158286833, 'qualifierId': 140, 'value': '36.8'}, {'id': 5158286841, 'qualifierId': 1}, {'id': 5158286835, 'qualifierId': 141, 'value': '28.9'}, {'id': 5158286839, 'qualifierId': 213, 'value': '6.17'}];4ac61l7qt4s63hv34g8zsihgp;A. Smir;;;eppyl290g73qck1ht7he4ojro;Pass;;;;;;;;;;;36,8;;28,9;35,6;6,17;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;36,8;28,9;;;;;;;0;0;0;16;St. Louis City II;16;GK;1,0
2710717121;7;61;1;0;18;1pc6sx2h4rp113ldkbp5d2xas;0;36,9;28,9;2024-08-18T19:05:21.964Z;2024-08-18T19:05:22Z;[{'id': 5158286895, 'qualifierId': 56, 'value': 'Back'}];clqg0gusupd6cehokpggbslck;E. Nieves;;;eppyl290g73qck1ht7he4ojro;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;18;St. Louis City II;18;AMC;1,0
2710717133;7;1;1;0;19;dqx48fglv1l96cyrmjdod0xec;0;62,4;59,4;2024-08-18T19:05:22.417Z;2024-08-18T19:05:22Z;[{'id': 5158286919, 'qualifierId': 140, 'value': '71.6'}, {'id': 5158286917, 'qualifierId': 56, 'value': 'Center'}, {'id': 5158286921, 'qualifierId': 141, 'value': '63.6'}, {'id': 5158286923, 'qualifierId': 212, 'value': '10.1'}, {'id': 5158286925, 'qualifierId': 213, 'value': '0.29'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;eppyl290g73qck1ht7he4ojro;Pass;;;;;;;;;;;71,6;;63,6;10,1;0,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;71,6;63,6;;;;;;;0;0;0;19;Minnesota United II;19;DL;1,0
2710717191;8;1;1;0;19;1pc6sx2h4rp113ldkbp5d2xas;1;32,1;27,4;2024-08-18T19:05:23.244Z;2024-08-18T20:08:18Z;[{'id': 5158287239, 'qualifierId': 140, 'value': '40.7'}, {'id': 5158287243, 'qualifierId': 212, 'value': '11.4'}, {'id': 5158287241, 'qualifierId': 141, 'value': '37.6'}, {'id': 5158287237, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158287245, 'qualifierId': 213, 'value': '0.65'}];a4staqjshva5lhcr0dw744nze;R. O'Driscoll;;;eppyl290g73qck1ht7he4ojro;Pass;;;;;;;;;;;40,7;;37,6;11,4;0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;40,7;37,6;;;;;;;0;0;0;19;St. Louis City II;19;DMC;1,0
2710717201;9;43;1;0;22;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-18T19:05:25.332Z;2024-08-18T20:08:47Z;[{'id': 5158287325, 'qualifierId': 286, 'value': '0'}, {'id': 5158287323, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158287511, 'qualifierId': 233, 'value': '8'}, {'id': 5158619341, 'qualifierId': 144, 'value': '50'}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;eppyl290g73qck1ht7he4ojro;Deleted event;;;;;;;;;;;;;;;;;;;;8,0;0,0;;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;22;St. Louis City II;22;FW;1,0
2710717349;10;4;1;0;22;1pc6sx2h4rp113ldkbp5d2xas;1;39,6;35,8;2024-08-18T19:05:25.332Z;2024-08-18T20:11:37Z;[{'id': 5158289063, 'qualifierId': 233, 'value': '8'}, {'id': 5158288241, 'qualifierId': 286}, {'id': 5158288233, 'qualifierId': 13}, {'id': 5158288237, 'qualifierId': 152}, {'id': 5158288235, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158635591, 'qualifierId': 295}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;eppyl290g73qck1ht7he4ojro;Foul;;;;;;;;;;;;;;;;;;;;8,0;1,0;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;22;St. Louis City II;22;FW;1,0
2710717215;8;4;1;0;22;dqx48fglv1l96cyrmjdod0xec;0;60,4;64,2;2024-08-18T19:05:25.333Z;2024-08-18T20:10:55Z;[{'id': 5158289007, 'qualifierId': 152}, {'id': 5158287413, 'qualifierId': 285}, {'id': 5158631429, 'qualifierId': 295}, {'id': 5158287411, 'qualifierId': 56, 'value': 'Center'}, {'id': 5158289005, 'qualifierId': 13}, {'id': 5158289227, 'qualifierId': 233, 'value': '10'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;eppyl290g73qck1ht7he4ojro;Foul;;;;;;;;;;;;;;;;;;;;10,0;;1,0;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;22;Minnesota United II;22;DL;1,0
2710717649;11;1;1;0;40;1pc6sx2h4rp113ldkbp5d2xas;1;41,7;40,0;2024-08-18T19:05:43.871Z;2024-08-18T20:12:45Z;[{'id': 5158289537, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158289545, 'qualifierId': 213, 'value': '2.47'}, {'id': 5158642171, 'qualifierId': 5}, {'id': 5158289541, 'qualifierId': 141, 'value': '55.5'}, {'id': 5158289539, 'qualifierId': 140, 'value': '29.1'}, {'id': 5158642173, 'qualifierId': 152}, {'id': 5158289543, 'qualifierId': 212, 'value': '16.9'}];a4staqjshva5lhcr0dw744nze;R. O'Driscoll;;;eppyl290g73qck1ht7he4ojro;Pass;;;;;;;;;;;29,1;;55,5;16,9;2,47;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;29,1;55,5;;;;;;;0;0;0;40;St. Louis City II;40;DMC;1,0
