id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Involved;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_Length;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_TouchTypePass;value_FlickOn;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_TakeOnOvertake;value_Offensive;value_OutOfPlay;value_TouchTypeClearance;value_Defensive;value_DeletedEventType;value_IntendedTackleTarget;value_BlockedPass;value_TouchTypeControl;value_Overrun;value_Chipped;value_LowGkIntervention;value_NotVisible;value_SwitchOfPlay;value_AttemptedTackle;value_Foul;value_Direct;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_FreeKickTaken;value_LayOff;value_SwerveRight;value_IndividualPlay;value_GoalmouthY;value_OutOfBoxCentre;value_RegularPlay;value_Assisted;value_HighLeft;value_GoalmouthZ;value_LeftFooted;value_GkX;value_GkY;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnSpace;value_GkHoof;value_PullBack;value_Assist;value_IntentionalAssist;value_ThroughBall;value_BoxCentre;value_Right;value_MisHit;value_High;value_RightFooted;value_OutSwinger;value_Cross;value_FirstTouch;value_CloseHigh;value_SmallBoxLeft;value_BigChance;value_Head;value_Left;value_BlockedY;value_BlockedX;value_NotPastGoalLine;value_ShirtPull/Holding;value_KeeperThrow;value_Unchallenged;value_MediumGkIntervention;value_CornerTaken;value_InSwinger;value_Shove/Push;value_IncorrectOutOfPlayDecision;value_RecklessOffence;value_YellowCard;value_Defensive1V1;value_Straight;value_DrivenCross;value_NotAssisted;value_DefBlock;value_OwnShotBlocked;value_Volley;value_SmallBoxCentre;value_GkXTimeOfGoal;value_KeeperTouched;value_LowRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_OtherObstacle;value_ParriedSafe;value_Diving;value_Hands;value_HighGkIntervention;value_BoxLeft;value_Blocked;value_SixYardBlocked;value_FromCorner;value_OwnPlayer;value_LowCentre;value_BoxRight;value_LowLeft;value_BallHitsReferee;value_RefereeDelay;value_DrinksBreak;value_PlayersCaughtOffside;value_Indirect;value_OverhitCross;value_Handball;value_SwerveLeft;value_FreeKick;value_Minutes;value_CloseRight;value_TacticalFoul;value_Deflection;value_Standing;value_ParriedDanger;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_FastBreak;value_SetPiece;value_GkKickFromHands;value_HighClaim;value_OverArm;value_TimeWasting;value_LastLine;value_AerialFoul;value_BlockedCross;value_1On1;value_SmallBoxRight;value_Collected;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696568357;415;1;1;49;5;7pmw399vh2v44cjle4fkklp1w;1;72,4;68,7;2024-06-16T23:52:48.131Z;2024-06-16T23:52:49Z;[{'id': 5080146079, 'qualifierId': 213, 'value': '5.40'}, {'id': 5080146071, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080146073, 'qualifierId': 140, 'value': '75.4'}, {'id': 5080146075, 'qualifierId': 141, 'value': '63.1'}, {'id': 5080146077, 'qualifierId': 212, 'value': '4.9'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;75,4;5,4;4,9;63,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;75,4;63,1;;;;;;;0;0;49;5;St. Louis City II;2945;FWL;1,0
2696568359;416;1;1;49;6;7pmw399vh2v44cjle4fkklp1w;0;75,4;63,1;2024-06-16T23:52:49.843Z;2024-06-16T23:52:50Z;[{'id': 5080146091, 'qualifierId': 213, 'value': '0.35'}, {'id': 5080146085, 'qualifierId': 140, 'value': '83.4'}, {'id': 5080146087, 'qualifierId': 141, 'value': '67.6'}, {'id': 5080146089, 'qualifierId': 212, 'value': '8.9'}, {'id': 5080146083, 'qualifierId': 56, 'value': 'Center'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;83,4;0,35;8,9;67,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;83,4;67,6;;;;;;;0;0;49;6;St. Louis City II;2946;MC;1,0
2696568383;386;12;1;49;9;dqx48fglv1l96cyrmjdod0xec;1;11,7;34,9;2024-06-16T23:52:53.074Z;2024-06-16T23:52:55Z;[{'id': 5080146183, 'qualifierId': 212, 'value': '36.6'}, {'id': 5080146179, 'qualifierId': 140, 'value': '45.7'}, {'id': 5080146181, 'qualifierId': 141, 'value': '47.0'}, {'id': 5080146177, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080146185, 'qualifierId': 213, 'value': '0.23'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;dhnfqkwp0wwcwx5i2j2su04r8;Clearance;;;;;;;;;;;45,7;0,23;36,6;47,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;45,7;47,0;;;;;;;0;0;49;9;Houston Dynamo II;2949;MC;1,0
2696568387;387;44;1;49;11;dqx48fglv1l96cyrmjdod0xec;1;44,4;44,8;2024-06-16T23:52:54.578Z;2024-06-16T23:52:57Z;[{'id': 5080146225, 'qualifierId': 233, 'value': '417'}, {'id': 5080146217, 'qualifierId': 285}, {'id': 5080146215, 'qualifierId': 56, 'value': 'Back'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;dhnfqkwp0wwcwx5i2j2su04r8;Aerial;;;;;;;;;;;;;;;;;;;;;;417,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;49;11;Houston Dynamo II;2951;FW;1,0
2696568379;417;44;1;49;11;7pmw399vh2v44cjle4fkklp1w;0;55,6;55,2;2024-06-16T23:52:54.579Z;2024-06-16T23:52:57Z;[{'id': 5080146229, 'qualifierId': 233, 'value': '387'}, {'id': 5080146169, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080146171, 'qualifierId': 286}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;dhnfqkwp0wwcwx5i2j2su04r8;Aerial;;;;;;;;;;;;;;;;;;;;;;387,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;49;11;St. Louis City II;2951;DL;1,0
2696568391;388;1;1;49;12;dqx48fglv1l96cyrmjdod0xec;0;44,0;47,2;2024-06-16T23:52:55.215Z;2024-06-19T18:27:20Z;[{'id': 5081874439, 'qualifierId': 212, 'value': '12.6'}, {'id': 5081874433, 'qualifierId': 168}, {'id': 5081874441, 'qualifierId': 213, 'value': '0.83'}, {'id': 5080146223, 'qualifierId': 56, 'value': 'Center'}, {'id': 5081874437, 'qualifierId': 141, 'value': '60.9'}, {'id': 5081874435, 'qualifierId': 140, 'value': '52.1'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;52,1;0,83;12,6;60,9;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;52,1;60,9;;;;;;;0;0;49;12;Houston Dynamo II;2952;FW;1,0
2696568407;418;1;1;49;15;7pmw399vh2v44cjle4fkklp1w;1;54,2;32,1;2024-06-16T23:52:58.435Z;2024-06-16T23:53:00Z;[{'id': 5080146283, 'qualifierId': 140, 'value': '64.2'}, {'id': 5080146281, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080146289, 'qualifierId': 213, 'value': '0.08'}, {'id': 5080146287, 'qualifierId': 212, 'value': '10.5'}, {'id': 5080146285, 'qualifierId': 141, 'value': '33.4'}];1p5u02noafhj6r31hj50stn2s;T. Lampman;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;64,2;0,08;10,5;33,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;64,2;33,4;;;;;;;0;0;49;15;St. Louis City II;2955;DR;1,0
2696568411;419;1;1;49;17;7pmw399vh2v44cjle4fkklp1w;1;64,2;33,4;2024-06-16T23:53:00.435Z;2024-06-16T23:53:02Z;[{'id': 5080146297, 'qualifierId': 56, 'value': 'Right'}, {'id': 5080146301, 'qualifierId': 141, 'value': '9.7'}, {'id': 5080146303, 'qualifierId': 212, 'value': '18.0'}, {'id': 5080146305, 'qualifierId': 213, 'value': '5.18'}, {'id': 5080146299, 'qualifierId': 140, 'value': '71.9'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;71,9;5,18;18,0;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;71,9;9,7;;;;;;;0;0;49;17;St. Louis City II;2957;MC;1,0
2696568417;420;1;1;49;19;7pmw399vh2v44cjle4fkklp1w;1;72,8;8,8;2024-06-16T23:53:02.499Z;2024-06-16T23:53:04Z;[{'id': 5080146329, 'qualifierId': 212, 'value': '12.2'}, {'id': 5080146333, 'qualifierId': 213, 'value': '3.02'}, {'id': 5080146323, 'qualifierId': 56, 'value': 'Right'}, {'id': 5080146327, 'qualifierId': 141, 'value': '11.0'}, {'id': 5080146325, 'qualifierId': 140, 'value': '61.3'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;61,3;3,02;12,2;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;61,3;11,0;;;;;;;0;0;49;19;St. Louis City II;2959;FWR;1,0
2696568435;421;1;1;49;21;7pmw399vh2v44cjle4fkklp1w;1;61,1;11,0;2024-06-16T23:53:04.835Z;2024-06-16T23:53:07Z;[{'id': 5080146399, 'qualifierId': 213, 'value': '1.75'}, {'id': 5080146397, 'qualifierId': 212, 'value': '16.2'}, {'id': 5080146393, 'qualifierId': 140, 'value': '58.4'}, {'id': 5080146391, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080146395, 'qualifierId': 141, 'value': '34.5'}];1p5u02noafhj6r31hj50stn2s;T. Lampman;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;58,4;1,75;16,2;34,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;58,4;34,5;;;;;;;0;0;49;21;St. Louis City II;2961;DR;1,0
