id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_Resume;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_Involved;value_TeamKit;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Length;value_KickOff;value_Angle;value_PassEndX;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_DeletedEventType;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_Chipped;value_SwitchOfPlay;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_Head;value_BlockedPass;value_Shove/Push;value_Direct;value_Foul;value_FreeKickTaken;value_TakeOnSpace;value_Defensive1V1;value_AttemptedTackle;value_TouchTypeClearance;value_OutOfPlay;value_Cross;value_RightFooted;value_DrivenCross;value_Straight;value_GkX;value_FirstTouch;value_RegularPlay;value_GoalmouthZ;value_NotAssisted;value_SmallBoxCentre;value_GoalmouthY;value_CloseRight;value_GkY;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnOvertake;value_TouchTypeControl;value_ThroughBall;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_IntentionalAssist;value_Assist;value_FlickOn;value_BlockedY;value_FromCorner;value_BlockedX;value_LowCentre;value_Assisted;value_SixYardBlocked;value_Volley;value_Blocked;value_DefBlock;value_MediumGkIntervention;value_KeeperThrow;value_ShirtPull/Holding;value_LayOff;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_LeftFooted;value_OutOfBoxCentre;value_IndividualPlay;value_LowRight;value_ParriedSafe;value_LowGkIntervention;value_Diving;value_Hands;value_OverhitCross;value_InSwinger;value_Overrun;value_TouchTypePass;value_FloatedCross;value_NotPastGoalLine;value_BoxCentre;value_Weak;value_Collected;value_Standing;value_GkKickFromHands;value_YellowCard;value_NotRetreating;value_BlockedCross;value_BoxLeft;value_Stooping;value_GkStart;value_RefereeDelay;value_DrinksBreak;value_HighGkIntervention;value_BlockedClearance;value_TacticalFoul;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_ParriedDanger;value_FollowsShotRebound;value_Minutes;value_RecklessOffence;value_FastBreak;value_LastLine;value_EndType;value_Handball;value_LowLeft;value_HighClaim;value_Deflection;value_Tactical;value_SmallBoxRight;value_SetPiece;value_TempShotOn;value_Fumble;value_TimeWasting;value_IncorrectOutOfPlayDecision;value_High;value_PullBack;value_AerialFoul;value_LeadingToGoal;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_KeeperTouched;value_GoalShotGameClock;value_GkYTimeOfGoal;value_BoxDeepLeft;value_HighCentre;value_BigChance;value_OverArm;value_HighRight;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2691442189;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-05-25T00:10:55.943Z;2024-05-30T12:19:03Z;[{'id': 5051921361, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5051921363, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5051921355, 'qualifierId': 59, 'value': '20, 25, 3, 6, 4, 5, 18, 30, 9, 10, 17, 1, 8, 32, 33, 36'}, {'id': 5051921357, 'qualifierId': 130, 'value': '4'}, {'id': 5051921353, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}, {'id': 5051921351, 'qualifierId': 30, 'value': 'dcypf9mqtlcn5wetj1z7g3mui, 9yldym4386a2icfk6qb6i90r8, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, 4521gkm1oemvrfsgksz7b6zxm, 641bsr9un81t6sds51fhvijh0, 35ds2xu43z6jccyhlr8jsomzu, 81a5mbcfvbxke0w3cbq65ld2i, 7nxqbiq6fics5w3qnwhz249as, elvrjpt1jlko4henaqvfid7o4, 3dtt0czm41hnuw8mvyn14ys4, 6y4dhco5w4ontgfdtl1oj06xg'}, {'id': 5052032515, 'qualifierId': 197, 'value': '23351'}, {'id': 5051921359, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}];;;;;czvde89wpqkqnxb7dz23pwnx0;Team set up;;;;4,0;;;23351,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2691447399;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-05-25T00:25:02.932Z;2024-05-25T01:18:17Z;[{'id': 5051949733, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, do2o6ka25talswmmillufejqi, baixarx1kvqgs5c8d0v1xd9g4, d1w4zs63sx3cc7wnc8wshbfv8, 1pv6xhgaeshfrhzenz7y14glw, 1flsu0b92eflc2wkg9m1wwufo, 18b4rpeia26xq688ieqaw2z2s, eu6pktmlz3r7qlbwoodmlgdn8, b04uukw5ec0mngnwqjih7oqac, 6mm2h3x9hmyea3bu2wt80uo7o, 3fbekr02uy605ppv5pzw9321g, a0vc8g0evrfmws5en2229h5as, ajxa2yfzwct5nd0ded1sa9vmy, 5cqlrvp5sqbjwjztpxswwmolw, 5reylt0uyetl6qavkvd8inai, 9fnfncaw5h743wythc6zjgw7o, df5w97wpp2ma3l6rsyzc0vgno'}, {'id': 5051949737, 'qualifierId': 59, 'value': '31, 43, 82, 46, 44, 52, 77, 60, 39, 70, 81, 47, 40, 41, 55, 71, 92'}, {'id': 5051949739, 'qualifierId': 130, 'value': '7'}, {'id': 5052033539, 'qualifierId': 197, 'value': '23554'}, {'id': 5051949745, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5051949741, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5051949743, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 5051949735, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}];;;;;czvde89wpqkqnxb7dz23pwnx0;Team set up;;;;7,0;;;23554,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Austin II;0;;
2691462011;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-05-25T01:04:13.532Z;2024-05-30T12:05:48Z;[{'id': 5052033545, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;czvde89wpqkqnxb7dz23pwnx0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2691462021;3;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-05-25T01:04:13.532Z;2024-05-25T01:04:17Z;[{'id': 5052033593, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;czvde89wpqkqnxb7dz23pwnx0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Austin II;0;;
2691462029;3;1;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;50,0;50,0;2024-05-25T01:04:13.533Z;2024-05-25T01:04:19Z;[{'id': 5052033637, 'qualifierId': 141, 'value': '52.5'}, {'id': 5052033633, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052033639, 'qualifierId': 212, 'value': '29.6'}, {'id': 5052033643, 'qualifierId': 279, 'value': 'S'}, {'id': 5052033641, 'qualifierId': 213, 'value': '3.08'}, {'id': 5052033635, 'qualifierId': 140, 'value': '21.9'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;czvde89wpqkqnxb7dz23pwnx0;Pass;;;;;;;;;;52,5;;29,6;;3,08;21,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;21,9;52,5;;;;;;;0;0;0;0;Los Angeles II;0;MC;1,0
2691462043;4;1;1;0;5;d0c07im4a6oj8qa7f1zlt3pqs;0;24,5;50,7;2024-05-25T01:04:19.265Z;2024-05-30T12:25:00Z;[{'id': 5052033765, 'qualifierId': 1}, {'id': 5052033759, 'qualifierId': 141, 'value': '79.1'}, {'id': 5052033757, 'qualifierId': 140, 'value': '67.8'}, {'id': 5061957327, 'qualifierId': 157}, {'id': 5052033755, 'qualifierId': 56, 'value': 'Left'}, {'id': 5052033763, 'qualifierId': 213, 'value': '0.40'}, {'id': 5052033761, 'qualifierId': 212, 'value': '49.4'}];dcypf9mqtlcn5wetj1z7g3mui;A. Cervantes;;;czvde89wpqkqnxb7dz23pwnx0;Pass;;;;;;;;;;79,1;;49,4;;0,4;67,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;67,8;79,1;;;;;;;0;0;0;5;Los Angeles II;5;GK;1,0
2691462053;4;44;1;0;10;6gaq85erpkvbyxvivd96wuw44;1;25,8;20,8;2024-05-25T01:04:23.763Z;2024-05-25T01:05:13Z;[{'id': 5052033807, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052033809, 'qualifierId': 285}, {'id': 5052033817, 'qualifierId': 233, 'value': '5'}];1pv6xhgaeshfrhzenz7y14glw;T. Nare;;;czvde89wpqkqnxb7dz23pwnx0;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;10;Austin II;10;DL;1,0
2691462047;5;44;1;0;10;d0c07im4a6oj8qa7f1zlt3pqs;0;74,2;79,2;2024-05-25T01:04:23.764Z;2024-05-25T01:04:26Z;[{'id': 5052033775, 'qualifierId': 286}, {'id': 5052033835, 'qualifierId': 233, 'value': '4'}, {'id': 5052033773, 'qualifierId': 56, 'value': 'Left'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;czvde89wpqkqnxb7dz23pwnx0;Aerial;;;;;;;;;;;;;;;;;;;4,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;0;10;Los Angeles II;10;FW;1,0
2691462073;5;1;1;0;10;6gaq85erpkvbyxvivd96wuw44;1;19,5;20,6;2024-05-25T01:04:23.801Z;2024-05-30T13:45:57Z;[{'id': 5052033927, 'qualifierId': 3}, {'id': 5052033929, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052033935, 'qualifierId': 212, 'value': '14.6'}, {'id': 5052033937, 'qualifierId': 213, 'value': '6.13'}, {'id': 5052033931, 'qualifierId': 140, 'value': '33.2'}, {'id': 5052033933, 'qualifierId': 141, 'value': '17.3'}];1pv6xhgaeshfrhzenz7y14glw;T. Nare;;;czvde89wpqkqnxb7dz23pwnx0;Pass;;;;;;;;;;17,3;;14,6;;6,13;33,2;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;33,2;17,3;;;;;;;0;0;0;10;Austin II;10;DL;1,0
2691462075;6;43;1;0;17;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-05-25T01:04:31.457Z;2024-05-25T01:05:18Z;[{'id': 5052034897, 'qualifierId': 144, 'value': '49'}];6mm2h3x9hmyea3bu2wt80uo7o;M. Evans;;;czvde89wpqkqnxb7dz23pwnx0;Deleted event;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;17;Austin II;17;MC;1,0
