id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamKit;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_Involved;value_DirectionOfPlay;value_Zone;value_KickOff;value_Angle;value_Length;value_PassEndY;value_PassEndX;value_LongBall;value_Launch;value_Chipped;value_FlickOn;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_IntendedTackleTarget;value_DeletedEventType;value_HeadPass;value_Cross;value_Head;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_OutOfPlay;value_Left;value_IntentionalAssist;value_CornerTaken;value_Assist;value_InSwinger;value_GkX;value_GoalmouthZ;value_SmallBoxLeft;value_FromCorner;value_GkY;value_Assisted;value_RelatedEventId;value_GoalmouthY;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedX;value_LowCentre;value_OutOfBoxCentre;value_IndividualPlay;value_Blocked;value_RightFooted;value_RegularPlay;value_BlockedY;value_DefBlock;value_LeftFooted;value_BoxCentre;value_BigChance;value_CloseRightAndHigh;value_OverArm;value_KeeperThrow;value_PullBack;value_MisHit;value_SmallBoxCentre;value_Right;value_TempMissed;value_NotVisible;value_Shove/Push;value_SwitchOfPlay;value_LowLeft;value_Standing;value_Hands;value_ParriedDanger;value_LayOff;value_ShirtPull/Holding;value_PlayersCaughtOffside;value_Indirect;value_FastBreak;value_LowRight;value_GoalShotTimestamp;value_GoalShotGameClock;value_SetPiece;value_CloseLeft;value_High;value_InjuredPlayerId;value_Injury;value_YellowCard;value_Dissent;value_HighRight;value_NotAssisted;value_PersistentInfringement;value_RecklessOffence;value_Overrun;value_HighCentre;value_Collected;value_LeadingToAttempt;value_RelatedError1Id;value_Diving;value_BlockedCross;value_Minutes;value_SwerveRight;value_EndType;value_TacticalFoul;value_Reaching;value_ParriedSafe;value_ThrowInSetPiece;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_BoxRight;value_Feet;value_Stooping;value_CloseRight;value_ThroughBall;value_PenaltyTakerId;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Weak;value_Scored;value_OtherBodyPart;value_LeadingToGoal;value_BoxDeepLeft;value_DrinksBreak;value_RefereeDelay;value_Straight;value_SwerveLeft;value_BoxLeft;value_GkHoof;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702643041;259;15;1;25;54;erwnez7ksfkns4dqmyr1fhbe;1;79,6;54,5;2024-07-21T21:30:55.133Z;2024-07-21T21:31:15Z;[{'id': 5113634553, 'qualifierId': 22}, {'id': 5113635227, 'qualifierId': 102, 'value': '52.6'}, {'id': 5113635239, 'qualifierId': 231, 'value': '50.5'}, {'id': 5113635235, 'qualifierId': 147, 'value': '54.3'}, {'id': 5113635231, 'qualifierId': 215}, {'id': 5113634949, 'qualifierId': 82}, {'id': 5113634943, 'qualifierId': 20}, {'id': 5113634555, 'qualifierId': 18}, {'id': 5113635233, 'qualifierId': 146, 'value': '81.4'}, {'id': 5113635237, 'qualifierId': 230, 'value': '98.6'}, {'id': 5113635229, 'qualifierId': 103, 'value': '19'}, {'id': 5113635219, 'qualifierId': 76}, {'id': 5113635221, 'qualifierId': 29}, {'id': 5113635255, 'qualifierId': 233, 'value': '191'}, {'id': 5113634557, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113635223, 'qualifierId': 55, 'value': '258'}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;;e56o2vq9uzndxvnpc0e1h0sno;Attempt Saved;;;;;;;;;;;;;;;;;;;;191,0;;;;;;;;;;;;;;;;;;;;;98,6;19,0;;;50,5;1,0;258,0;52,6;;;;;81,4;;1,0;1,0;1,0;1,0;1,0;54,3;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;81,4;54,3;52,6;19;258,0;f69xf0cdfn1qe63t5tr5in10;;0;25;54;Crown Legacy;1554;AML;1,0
2702643051;191;10;1;25;54;6ubc4y1v6hr63mca7ica4hp90;1;18,6;45,7;2024-07-21T21:30:55.233Z;2024-07-21T21:31:15Z;[{'id': 5113635259, 'qualifierId': 233, 'value': '259'}, {'id': 5113634617, 'qualifierId': 94}, {'id': 5113634619, 'qualifierId': 56, 'value': 'Back'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;e56o2vq9uzndxvnpc0e1h0sno;Save;;;;;;;;;;;;;;;;;;;;259,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;25;54;Atlanta United II;1554;DC;1,0
2702643069;192;1;1;25;56;6ubc4y1v6hr63mca7ica4hp90;0;18,7;38,3;2024-07-21T21:30:57.259Z;2024-07-21T21:31:00Z;[{'id': 5113634733, 'qualifierId': 236}, {'id': 5113634713, 'qualifierId': 141, 'value': '38.3'}, {'id': 5113634709, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113634717, 'qualifierId': 213, 'value': '0.00'}, {'id': 5113634715, 'qualifierId': 212, 'value': '0.7'}, {'id': 5113634711, 'qualifierId': 140, 'value': '19.4'}, {'id': 5113634739, 'qualifierId': 286}, {'id': 5113634735, 'qualifierId': 233, 'value': '260'}];35i699wz5v6nush729peu776c;Josué;;;e56o2vq9uzndxvnpc0e1h0sno;Pass;;;;;;;;;;;;0,0;0,7;38,3;19,4;;;;;260,0;;1,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;19,4;38,3;;;;;;;;0;25;56;Atlanta United II;1556;DR;1,0
2702643053;260;74;1;25;56;erwnez7ksfkns4dqmyr1fhbe;1;79,2;66,5;2024-07-21T21:30:57.260Z;2024-07-21T21:31:00Z;[{'id': 5113634743, 'qualifierId': 233, 'value': '192'}, {'id': 5113634625, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113634627, 'qualifierId': 285}];1b9b97pxox77ia41cilqqm4iy;Nick Firmino;;;e56o2vq9uzndxvnpc0e1h0sno;Blocked Pass;;;;;;;;;;;;;;;;;;;;192,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;25;56;Crown Legacy;1556;AMC;1,0
2702643091;261;61;1;26;2;erwnez7ksfkns4dqmyr1fhbe;1;86,7;96,4;2024-07-21T21:31:03.798Z;2024-07-21T21:31:03Z;[{'id': 5113634865, 'qualifierId': 56, 'value': 'Left'}];f69xf0cdfn1qe63t5tr5in10;D. Chong-Qui;;;e56o2vq9uzndxvnpc0e1h0sno;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;26;2;Crown Legacy;1562;DC;1,0
2702643319;193;5;1;26;3;6ubc4y1v6hr63mca7ica4hp90;1;14,0;-1,1;2024-07-21T21:31:04.493Z;2024-07-21T21:52:42Z;[{'id': 5113636163, 'qualifierId': 347}, {'id': 5113636161, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113701349, 'qualifierId': 233, 'value': '262'}];35i699wz5v6nush729peu776c;Josué;;;e56o2vq9uzndxvnpc0e1h0sno;Out;;;;;;;;;;;;;;;;;;;;262,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;26;3;Atlanta United II;1563;DR;1,0
2702643097;262;5;1;26;3;erwnez7ksfkns4dqmyr1fhbe;0;86,0;101,1;2024-07-21T21:31:04.493Z;2024-07-21T21:52:42Z;[{'id': 5113701361, 'qualifierId': 233, 'value': '193'}, {'id': 5113634881, 'qualifierId': 56, 'value': 'Left'}, {'id': 5113634883, 'qualifierId': 347}];f69xf0cdfn1qe63t5tr5in10;D. Chong-Qui;;;e56o2vq9uzndxvnpc0e1h0sno;Out;;;;;;;;;;;;;;;;;;;;193,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;26;3;Crown Legacy;1563;DC;1,0
2702643403;194;27;1;26;44;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-21T21:31:45.281Z;2024-07-21T21:52:46Z;[{'id': 5113701565, 'qualifierId': 233, 'value': '263'}, {'id': 5113636675, 'qualifierId': 53, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5113636673, 'qualifierId': 41, 'value': 'Injury'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;Start delay;;;;;;;;;;;;;;;;;;;;263,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;26;44;Atlanta United II;1604;;
2702643479;263;27;1;26;44;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-07-21T21:31:45.281Z;2024-07-21T22:07:44Z;[{'id': 5113701603, 'qualifierId': 233, 'value': '194'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;Start delay;;;;;;;;;;;;;;;;;;;;194,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;26;44;Crown Legacy;1604;;
2702644469;195;28;1;28;49;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-21T21:33:50.075Z;2024-07-21T21:52:46Z;[{'id': 5113642455, 'qualifierId': 55, 'value': '194'}, {'id': 5113701607, 'qualifierId': 233, 'value': '264'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;End delay;;;;;;;;;;;;;;;;;;;;264,0;;;;;;;;;;;;;;;;;;;;;;;;;;;194,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;194,0;;;0;28;49;Atlanta United II;1729;;
