id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Resume;value_Involved;value_TeamFormation;value_PlayerPosition;value_Captain;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_Length;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_Handball;value_Direct;value_RelatedEventId;value_YellowCard;value_Chipped;value_FreeKickTaken;value_HeadPass;value_AttemptedTackle;value_Foul;value_LayOff;value_OutSwinger;value_Cross;value_RightFooted;value_OutOfPlay;value_Left;value_Right;value_LeftFooted;value_CornerTaken;value_InSwinger;value_Head;value_TakeOnSpace;value_TakeOnOvertake;value_Assist;value_IntentionalAssist;value_RegularPlay;value_GoalmouthY;value_Assisted;value_GkX;value_FirstTouch;value_HighRight;value_GoalmouthZ;value_GkY;value_BoxDeepRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypeClearance;value_BoxLeft;value_BlockedX;value_Blocked;value_IndividualPlay;value_LowCentre;value_BlockedY;value_DefBlock;value_BlockedPass;value_IntendedTackleTarget;value_TouchTypeControl;value_ShirtPull/Holding;value_TouchTypePass;value_PullBack;value_SwitchOfPlay;value_LowGkIntervention;value_KeeperThrow;value_LowLeft;value_BoxCentre;value_HighGkIntervention;value_HighClaim;value_NotAssisted;value_OutOfBoxCentre;value_Reaching;value_ParriedSafe;value_Hands;value_NotPastGoalLine;value_MisHit;value_FromCorner;value_Weak;value_OverArm;value_MediumGkIntervention;value_ThroughBall;value_LowRight;value_BoxRight;value_FastBreak;value_Overrun;value_Injury;value_InjuredPlayerId;value_Penalty;value_PenaltyTakerId;value_Scored;value_Diving;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_FantasyAssistTeam;value_CausingPlayer;value_FantasyAssistId;value_BigChance;value_GoalShotTimestamp;value_FantasyAssistType;value_IncorrectOutOfPlayDecision;value_High;value_NotVisible;value_FlickOn;value_Minutes;value_RecklessOffence;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_CloseLeft;value_Shove/Push;value_Dissent;value_BlockedClearance;value_BlockedCross;value_CloseRight;value_FairPlay;value_Defensive1V1;value_HighCentre;value_35Centre;value_FreeKick;value_Standing;value_ParriedDanger;value_TacticalFoul;value_SetPiece;value_GkKickFromHands;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680235343;248;4;1;27;23;5ou8b446l1sl8frblkz3xi17g;1;30,7;50,8;2024-04-28T20:31:48.149Z;2024-04-28T20:31:51Z;[{'id': 4990932805, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990932807, 'qualifierId': 152}, {'id': 4990932893, 'qualifierId': 233, 'value': '285'}, {'id': 4990932803, 'qualifierId': 13}, {'id': 4990932811, 'qualifierId': 285}, {'id': 4990932809, 'qualifierId': 265}];5lwarg9t4o7hxcq5exe8gwydw;M. Bunbury;;;chnmlie6vl8z5yl7g1p1p51xw;Foul;;;;;;;;;;;;;;;;;;1,0;285,0;;;;;;1,0;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;27;23;Los Angeles II;1643;AMR;1,0
2680235309;285;4;1;27;23;6gaq85erpkvbyxvivd96wuw44;0;69,3;49,2;2024-04-28T20:31:48.150Z;2024-04-28T20:31:51Z;[{'id': 4990932649, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990932651, 'qualifierId': 286}, {'id': 4990932863, 'qualifierId': 152}, {'id': 4990932861, 'qualifierId': 13}, {'id': 4990932921, 'qualifierId': 233, 'value': '248'}, {'id': 4990932867, 'qualifierId': 265}];er0xm9k5zv8kcvcy7bnwp086i;E. Dueñas;;;chnmlie6vl8z5yl7g1p1p51xw;Foul;;;;;;;;;;;;;;;;;;;248,0;1,0;;;;;1,0;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;27;23;Portland Timbers II;1643;MC;1,0
2680235569;249;1;1;27;39;5ou8b446l1sl8frblkz3xi17g;1;33,1;57,6;2024-04-28T20:32:04.325Z;2024-04-28T20:32:08Z;[{'id': 4990934051, 'qualifierId': 212, 'value': '10.3'}, {'id': 4990934049, 'qualifierId': 141, 'value': '62.0'}, {'id': 4990934043, 'qualifierId': 152}, {'id': 4990934041, 'qualifierId': 5}, {'id': 4990934047, 'qualifierId': 140, 'value': '23.7'}, {'id': 4990934053, 'qualifierId': 213, 'value': '2.85'}, {'id': 4990934045, 'qualifierId': 56, 'value': 'Back'}];druwx3n136woly4objqgk7tp0;A. Enriquez;;;chnmlie6vl8z5yl7g1p1p51xw;Pass;;;;;;;;;;23,7;;2,85;10,3;;62,0;;;;;;;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;23,7;62,0;;;;;;;;0;27;39;Los Angeles II;1659;MC;1,0
2680235631;250;1;1;27;44;5ou8b446l1sl8frblkz3xi17g;1;24,5;61,4;2024-04-28T20:32:08.662Z;2024-04-28T20:32:14Z;[{'id': 4990934423, 'qualifierId': 212, 'value': '23.6'}, {'id': 4990934411, 'qualifierId': 140, 'value': '21.9'}, {'id': 4990934425, 'qualifierId': 213, 'value': '4.60'}, {'id': 4990934409, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990934417, 'qualifierId': 141, 'value': '26.9'}];d1xlw5bza316m39f9n82hir1m;K. Rad;;;chnmlie6vl8z5yl7g1p1p51xw;Pass;;;;;;;;;;21,9;;4,6;23,6;;26,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;21,9;26,9;;;;;;;;0;27;44;Los Angeles II;1664;DC;1,0
2680235665;251;1;1;27;50;5ou8b446l1sl8frblkz3xi17g;1;32,7;29,8;2024-04-28T20:32:14.422Z;2024-04-28T20:32:18Z;[{'id': 4990934637, 'qualifierId': 140, 'value': '37.7'}, {'id': 4990934643, 'qualifierId': 213, 'value': '5.13'}, {'id': 4990934635, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990934639, 'qualifierId': 141, 'value': '12.3'}, {'id': 4990934641, 'qualifierId': 212, 'value': '13.0'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;chnmlie6vl8z5yl7g1p1p51xw;Pass;;;;;;;;;;37,7;;5,13;13,0;;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;37,7;12,3;;;;;;;;0;27;50;Los Angeles II;1670;DL;1,0
2680235687;252;1;1;27;54;5ou8b446l1sl8frblkz3xi17g;0;37,2;14,6;2024-04-28T20:32:18.566Z;2024-04-28T20:32:20Z;[{'id': 4990934759, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990934765, 'qualifierId': 141, 'value': '26.1'}, {'id': 4990934763, 'qualifierId': 140, 'value': '48.7'}, {'id': 4990934755, 'qualifierId': 155}, {'id': 4990934769, 'qualifierId': 213, 'value': '0.57'}, {'id': 4990934767, 'qualifierId': 212, 'value': '14.4'}];3f5g2kijev81v9nzwsyxwiiju;A. Moreno;;;chnmlie6vl8z5yl7g1p1p51xw;Pass;;;;;;;;;;48,7;;0,57;14,4;;26,1;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;48,7;26,1;;;;;;;;0;27;54;Los Angeles II;1674;MC;1,0
2680235691;286;61;1;27;56;6gaq85erpkvbyxvivd96wuw44;1;50,9;76,3;2024-04-28T20:32:20.728Z;2024-04-28T20:35:29Z;[{'id': 4990934779, 'qualifierId': 56, 'value': 'Center'}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;chnmlie6vl8z5yl7g1p1p51xw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;27;56;Portland Timbers II;1676;MC;1,0
2680235717;287;49;1;27;58;6gaq85erpkvbyxvivd96wuw44;1;41,5;79,4;2024-04-28T20:32:22.518Z;2024-04-28T20:32:22Z;[];8b81chchn3min9a8uk8wkipcl;E. Segura;;;chnmlie6vl8z5yl7g1p1p51xw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;27;58;Portland Timbers II;1678;DC;1,0
2680235737;288;1;1;27;58;6gaq85erpkvbyxvivd96wuw44;1;41,5;79,4;2024-04-28T20:32:22.629Z;2024-04-28T20:32:24Z;[{'id': 4990934979, 'qualifierId': 213, 'value': '0.48'}, {'id': 4990934973, 'qualifierId': 140, 'value': '54.5'}, {'id': 4990934971, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990934977, 'qualifierId': 212, 'value': '15.4'}, {'id': 4990934975, 'qualifierId': 141, 'value': '89.9'}];8b81chchn3min9a8uk8wkipcl;E. Segura;;;chnmlie6vl8z5yl7g1p1p51xw;Pass;;;;;;;;;;54,5;;0,48;15,4;;89,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;54,5;89,9;;;;;;;;0;27;58;Portland Timbers II;1678;DC;1,0
2680235743;289;1;1;27;58;6gaq85erpkvbyxvivd96wuw44;0;54,5;89,9;2024-04-28T20:32:23.085Z;2024-04-28T20:41:48Z;[{'id': 4990934995, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990935003, 'qualifierId': 213, 'value': '4.78'}, {'id': 4990935001, 'qualifierId': 212, 'value': '6.2'}, {'id': 4990934997, 'qualifierId': 140, 'value': '54.9'}, {'id': 4990934999, 'qualifierId': 141, 'value': '80.8'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;chnmlie6vl8z5yl7g1p1p51xw;Pass;;;;;;;;;;54,9;;4,78;6,2;;80,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;54,9;80,8;;;;;;;;0;27;58;Portland Timbers II;1678;DC;1,0
