id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_Involved;value_JerseyNumber;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndX;value_PassEndY;value_Zone;value_KickOff;value_LongBall;value_Launch;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Assist;value_GoalmouthZ;value_RightFooted;value_GkX;value_GoalmouthY;value_HighLeft;value_BoxLeft;value_BlockedY;value_IndividualPlay;value_Assisted;value_BlockedX;value_RelatedEventId;value_Blocked;value_GkY;value_RegularPlay;value_DefBlock;value_Left;value_Cross;value_CornerTaken;value_OutSwinger;value_Chipped;value_ShirtPull/Holding;value_DeletedEventType;value_NextEventGoalKick;value_IntentionalAssist;value_CloseHigh;value_FirstTouch;value_BoxCentre;value_Head;value_Low;value_GoalKick;value_IntendedTackleTarget;value_Overrun;value_FlickOn;value_LowCentre;value_Right;value_InSwinger;value_OutOfPlay;value_Shove/Push;value_BlockedPass;value_SwitchOfPlay;value_LeftFooted;value_ThroughBall;value_GoalShotTimestamp;value_BigChance;value_GoalShotGameClock;value_GkChallenge;value_RecklessOffence;value_YellowCard;value_Injury;value_InjuredPlayerId;value_LayOff;value_KeeperThrow;value_OutOfBoxCentre;value_CloseLeft;value_Hands;value_Collected;value_Stooping;value_HighClaim;value_OverArm;value_BoxRight;value_HighCentre;value_Standing;value_NotVisible;value_FastBreak;value_LowLeft;value_Deflection;value_Minutes;value_SetPiece;value_NotAssisted;value_GkKickFromHands;value_FollowsShotRebound;value_PlayersCaughtOffside;value_Indirect;value_EndType;value_High;value_CloseRight;value_Unchallenged;value_FromCorner;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_NotPastGoalLine;value_Volley;value_BoxDeepLeft;value_PullBack;value_SixYardBlocked;value_HighRight;value_BoxDeepRight;value_ParriedSafe;value_SmallBoxCentre;value_Reaching;value_LowRight;value_IncorrectOutOfPlayDecision;value_SavedOffLine;value_LastLine;value_Sliding;value_Diving;value_FreeKick;value_OtherBodyPart;value_FairPlay;value_TacticalFoul;value_GoesToExtraTime;value_Dissent;value_35Centre;value_GkHoof;value_TimeWasting;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_HitWoodwork;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2736778647;5;1;1;0;12;479lsfr4cwlzewpbuda3y2xv4;1;52,1;34,9;2024-10-20T19:05:14.500Z;2024-10-20T19:56:33Z;[{'id': 5300935373, 'qualifierId': 213, 'value': '3.21'}, {'id': 5300935367, 'qualifierId': 140, 'value': '29.7'}, {'id': 5300935365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5300935371, 'qualifierId': 212, 'value': '23.6'}, {'id': 5300935369, 'qualifierId': 141, 'value': '32.5'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;2uigkzwk5b17rdimjelzwemms;Pass;;;;;;;;;;23,6;3,21;29,7;32,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;29,7;32,5;;;;;;;;0;0;12;Chicago Fire II;12;AMC;1,0
2736778689;6;1;1;0;16;479lsfr4cwlzewpbuda3y2xv4;1;26,1;28,6;2024-10-20T19:05:17.702Z;2024-10-20T19:05:19Z;[{'id': 5300935555, 'qualifierId': 212, 'value': '18.6'}, {'id': 5300935551, 'qualifierId': 140, 'value': '12.9'}, {'id': 5300935549, 'qualifierId': 56, 'value': 'Back'}, {'id': 5300935553, 'qualifierId': 141, 'value': '46.9'}, {'id': 5300935557, 'qualifierId': 213, 'value': '2.41'}];ex99a6zbacpkkhgvynu80qpzo;N. Kibunguchy;;;2uigkzwk5b17rdimjelzwemms;Pass;;;;;;;;;;18,6;2,41;12,9;46,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;12,9;46,9;;;;;;;;0;0;16;Chicago Fire II;16;DL;1,0
2736778745;7;1;1;0;18;479lsfr4cwlzewpbuda3y2xv4;1;13,9;50,2;2024-10-20T19:05:19.860Z;2024-10-20T19:05:23Z;[{'id': 5300935805, 'qualifierId': 212, 'value': '26.4'}, {'id': 5300935801, 'qualifierId': 140, 'value': '20.3'}, {'id': 5300935797, 'qualifierId': 56, 'value': 'Back'}, {'id': 5300935803, 'qualifierId': 141, 'value': '87.8'}, {'id': 5300935807, 'qualifierId': 213, 'value': '1.31'}];8h2vywep73yn25kus2nda8ga2;C. Mercado;;;2uigkzwk5b17rdimjelzwemms;Pass;;;;;;;;;;26,4;1,31;20,3;87,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;20,3;87,8;;;;;;;;0;0;18;Chicago Fire II;18;GK;1,0
2736778747;8;50;1;0;21;479lsfr4cwlzewpbuda3y2xv4;1;18,0;98,4;2024-10-20T19:05:23.076Z;2024-10-20T19:05:26Z;[{'id': 5300935823, 'qualifierId': 56, 'value': 'Back'}, {'id': 5300935825, 'qualifierId': 285}, {'id': 5300935985, 'qualifierId': 233, 'value': '5'}];bdgjmawy0anbgy1tz87ocvd9l;L. Petrasso;;;2uigkzwk5b17rdimjelzwemms;Dispossessed;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;21;Chicago Fire II;21;DC;1,0
2736778763;5;7;1;0;21;8o8m08he36u0j4w08aj2iodn8;0;82,0;1,6;2024-10-20T19:05:23.077Z;2024-10-20T19:05:26Z;[{'id': 5300935903, 'qualifierId': 56, 'value': 'Right'}, {'id': 5300935919, 'qualifierId': 233, 'value': '8'}, {'id': 5300935905, 'qualifierId': 286}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;2uigkzwk5b17rdimjelzwemms;Tackle;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;21;Orlando City B;21;MR;1,0
2736778761;9;61;1;0;22;479lsfr4cwlzewpbuda3y2xv4;1;18,1;98,9;2024-10-20T19:05:23.971Z;2024-10-20T19:05:24Z;[{'id': 5300935889, 'qualifierId': 56, 'value': 'Back'}];bdgjmawy0anbgy1tz87ocvd9l;L. Petrasso;;;2uigkzwk5b17rdimjelzwemms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;22;Chicago Fire II;22;DC;1,0
2736778839;6;5;1;0;22;8o8m08he36u0j4w08aj2iodn8;1;77,6;-1,8;2024-10-20T19:05:24.596Z;2024-10-20T20:00:46Z;[{'id': 5300936305, 'qualifierId': 56, 'value': 'Right'}, {'id': 5300936361, 'qualifierId': 233, 'value': '10'}, {'id': 5300936307, 'qualifierId': 347}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;2uigkzwk5b17rdimjelzwemms;Out;;;;;;;;;;;;;;;;;;;10,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;22;Orlando City B;22;MR;1,0
2736778769;10;5;1;0;22;479lsfr4cwlzewpbuda3y2xv4;0;22,4;101,8;2024-10-20T19:05:24.596Z;2024-10-20T20:00:47Z;[{'id': 5300935937, 'qualifierId': 347}, {'id': 5300936381, 'qualifierId': 233, 'value': '6'}, {'id': 5300935935, 'qualifierId': 56, 'value': 'Back'}];bdgjmawy0anbgy1tz87ocvd9l;L. Petrasso;;;2uigkzwk5b17rdimjelzwemms;Out;;;;;;;;;;;;;;;;;;;6,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;22;Chicago Fire II;22;DC;1,0
2736778887;7;1;1;0;27;8o8m08he36u0j4w08aj2iodn8;1;75,9;0,0;2024-10-20T19:05:28.962Z;2024-10-20T19:35:06Z;[{'id': 5300936545, 'qualifierId': 107}, {'id': 5300936555, 'qualifierId': 212, 'value': '7.5'}, {'id': 5300936551, 'qualifierId': 140, 'value': '77.8'}, {'id': 5300936549, 'qualifierId': 56, 'value': 'Right'}, {'id': 5300936553, 'qualifierId': 141, 'value': '9.0'}, {'id': 5300936557, 'qualifierId': 213, 'value': '1.30'}];acskv7krqaau05kpgbfz6f0iy;J. Reynolds;;;2uigkzwk5b17rdimjelzwemms;Pass;;;;;;;;;;7,5;1,3;77,8;9,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;77,8;9,0;;;;;;;;0;0;27;Orlando City B;27;DR;1,0
2736778925;8;1;1;0;29;8o8m08he36u0j4w08aj2iodn8;1;77,9;9,0;2024-10-20T19:05:30.754Z;2024-10-20T19:05:32Z;[{'id': 5300936745, 'qualifierId': 141, 'value': '3.2'}, {'id': 5300936749, 'qualifierId': 213, 'value': '3.62'}, {'id': 5300936741, 'qualifierId': 56, 'value': 'Right'}, {'id': 5300936743, 'qualifierId': 140, 'value': '70.7'}, {'id': 5300936747, 'qualifierId': 212, 'value': '8.5'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;2uigkzwk5b17rdimjelzwemms;Pass;;;;;;;;;;8,5;3,62;70,7;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;70,7;3,2;;;;;;;;0;0;29;Orlando City B;29;MC;1,0
