id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_Resume;value_Involved;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_Length;value_TouchTypeControl;value_Offensive;value_OppositeRelatedEventId;value_BlockedPass;value_Defensive;value_DeletedEventType;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_Head;value_HeadPass;value_TakeOnOvertake;value_IntendedTackleTarget;value_Overrun;value_LongBall;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_Launch;value_FlickOn;value_LayOff;value_SwitchOfPlay;value_ShirtPull/Holding;value_OutOfPlay;value_TouchTypePass;value_OutSwinger;value_RightFooted;value_Cross;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_AttemptedTackle;value_RecklessOffence;value_GkY;value_FantasyAssistedBy;value_NotAssisted;value_FreeKick;value_GoalmouthY;value_GkXTimeOfGoal;value_FantasyAssistType;value_GoalShotTimestamp;value_GkX;value_GoalShotGameClock;value_FantasyAssistTeam;value_GoalmouthZ;value_FantasyAssistId;value_OutOfBoxCentre;value_GkYTimeOfGoal;value_LowRight;value_LeftFooted;value_TakeOnSpace;value_InSwinger;value_MediumGkIntervention;value_KeeperThrow;value_IntentionalAssist;value_Assist;value_FirstTouch;value_Blocked;value_BlockedY;value_Assisted;value_BlockedX;value_BoxCentre;value_RegularPlay;value_DefBlock;value_LowCentre;value_ByWall;value_Left;value_Right;value_CornerTaken;value_High;value_FromCorner;value_NextEventGoalKick;value_GoalKick;value_Injury;value_InjuredPlayerId;value_HighClaim;value_HighGkIntervention;value_GkHoof;value_LowGkIntervention;value_OverArm;value_ThrowInSetPiece;value_Reaching;value_Hands;value_Collected;value_GkKickFromHands;value_OverhitCross;value_Low;value_BigChance;value_KeeperTouched;value_HighCentre;value_Simulation;value_Indirect;value_Minutes;value_SmallBoxRight;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_FastBreak;value_CloseLeft;value_IndividualPlay;value_Volley;value_BoxRight;value_Weak;value_Standing;value_OtherObstacle;value_BlockedCross;value_PullBack;value_PlayersCaughtOffside;value_NotVisible;value_BoxLeft;value_Stooping;value_LowLeft;value_Diving;value_Handball;value_CaptainChange;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695056885;262;1;1;27;37;6ddsx316t3j0z6nolrky9k4r8;1;14,3;88,0;2024-06-08T01:04:35.249Z;2024-06-08T01:04:38Z;[{'id': 5071838145, 'qualifierId': 140, 'value': '41.4'}, {'id': 5071838141, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071838147, 'qualifierId': 141, 'value': '75.7'}, {'id': 5071838151, 'qualifierId': 213, 'value': '6.00'}, {'id': 5071838137, 'qualifierId': 155}, {'id': 5071838149, 'qualifierId': 212, 'value': '29.7'}];1ni0mewxcbo26d1xxetkdy3ca;M. Leong;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;6,0;41,4;75,7;;;29,7;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;41,4;75,7;;;;;;;0;0;27;37;Inter Miami II;1657;DC;1,0
2695056891;263;1;1;27;40;6ddsx316t3j0z6nolrky9k4r8;1;41,4;75,7;2024-06-08T01:04:38.264Z;2024-06-14T10:41:41Z;[{'id': 5071838193, 'qualifierId': 212, 'value': '7.2'}, {'id': 5071838189, 'qualifierId': 140, 'value': '40.4'}, {'id': 5071838191, 'qualifierId': 141, 'value': '86.2'}, {'id': 5071838187, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071838195, 'qualifierId': 213, 'value': '1.72'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;1,72;40,4;86,2;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;40,4;86,2;;;;;;;0;0;27;40;Inter Miami II;1660;FW;1,0
2695056909;264;1;1;27;43;6ddsx316t3j0z6nolrky9k4r8;1;38,7;83,5;2024-06-08T01:04:41.082Z;2024-06-08T01:04:48Z;[{'id': 5071838323, 'qualifierId': 155}, {'id': 5071838329, 'qualifierId': 140, 'value': '45.3'}, {'id': 5071838327, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071838335, 'qualifierId': 213, 'value': '4.88'}, {'id': 5071838333, 'qualifierId': 212, 'value': '41.5'}, {'id': 5071838325, 'qualifierId': 196}, {'id': 5071838337, 'qualifierId': 1}, {'id': 5071838331, 'qualifierId': 141, 'value': '23.3'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;4,88;45,3;23,3;;;41,5;;;;;;;1,0;;;;;;;;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;45,3;23,3;;;;;;;0;0;27;43;Inter Miami II;1663;FWL;1,0
2695056915;265;1;1;27;50;6ddsx316t3j0z6nolrky9k4r8;1;71,9;25,5;2024-06-08T01:04:48.377Z;2024-06-08T01:04:51Z;[{'id': 5071838369, 'qualifierId': 56, 'value': 'Right'}, {'id': 5071838371, 'qualifierId': 140, 'value': '84.7'}, {'id': 5071838377, 'qualifierId': 213, 'value': '5.65'}, {'id': 5071838375, 'qualifierId': 212, 'value': '16.6'}, {'id': 5071838373, 'qualifierId': 141, 'value': '11.1'}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;5,65;84,7;11,1;;;16,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;84,7;11,1;;;;;;;0;0;27;50;Inter Miami II;1670;DR;1,0
2695056929;266;1;1;27;53;6ddsx316t3j0z6nolrky9k4r8;0;87,2;8,2;2024-06-08T01:04:51.201Z;2024-06-14T10:42:06Z;[{'id': 5071838511, 'qualifierId': 212, 'value': '26.5'}, {'id': 5071838505, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076912981, 'qualifierId': 20}, {'id': 5076912979, 'qualifierId': 224}, {'id': 5071838515, 'qualifierId': 213, 'value': '1.43'}, {'id': 5071838503, 'qualifierId': 155}, {'id': 5071838509, 'qualifierId': 141, 'value': '46.7'}, {'id': 5071838507, 'qualifierId': 140, 'value': '90.8'}, {'id': 5071838501, 'qualifierId': 2}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;1,43;90,8;46,7;;;26,5;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;90,8;46,7;;;;;;;0;0;27;53;Inter Miami II;1673;FWR;1,0
2695056937;220;4;1;27;57;c7c4wwva2u1vb3rr7rwava044;1;9,1;52,4;2024-06-08T01:04:55.008Z;2024-06-08T01:05:12Z;[{'id': 5071838613, 'qualifierId': 152}, {'id': 5071838611, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071838797, 'qualifierId': 265}, {'id': 5071838629, 'qualifierId': 233, 'value': '267'}, {'id': 5071838607, 'qualifierId': 13}, {'id': 5071838615, 'qualifierId': 285}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;db7l4ga6bx62m6cuxj4i31wk4;Foul;;;;;;;;;;;;;;;;;;267,0;;1,0;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;27;57;New York City II;1677;DC;1,0
2695056933;267;4;1;27;57;6ddsx316t3j0z6nolrky9k4r8;0;90,9;47,6;2024-06-08T01:04:55.009Z;2024-06-08T01:05:11Z;[{'id': 5071838635, 'qualifierId': 233, 'value': '220'}, {'id': 5071838605, 'qualifierId': 286}, {'id': 5071838781, 'qualifierId': 265}, {'id': 5071838597, 'qualifierId': 13}, {'id': 5071838601, 'qualifierId': 56, 'value': 'Center'}, {'id': 5071838603, 'qualifierId': 152}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;db7l4ga6bx62m6cuxj4i31wk4;Foul;;;;;;;;;;;;;;;;;1,0;220,0;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;27;57;Inter Miami II;1677;FW;1,0
2695056991;221;27;1;28;22;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-08T01:05:19.942Z;2024-06-08T01:05:24Z;[{'id': 5071838957, 'qualifierId': 233, 'value': '268'}, {'id': 5071838941, 'qualifierId': 41, 'value': 'Injury'}, {'id': 5071838943, 'qualifierId': 53, 'value': 'c1fvknrf94i05q738d5r7vmdw'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;Start delay;;;;;;;;;;;;;;;;;;268,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;28;22;New York City II;1702;;
2695056981;268;27;1;28;22;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-06-08T01:05:19.942Z;2024-06-08T01:05:24Z;[{'id': 5071838949, 'qualifierId': 233, 'value': '221'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;Start delay;;;;;;;;;;;;;;;;;;221,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;28;22;Inter Miami II;1702;;
2695057107;222;28;1;29;29;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-08T01:06:27.681Z;2024-06-08T01:06:32Z;[{'id': 5071839673, 'qualifierId': 55, 'value': '221'}, {'id': 5071839687, 'qualifierId': 233, 'value': '269'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;End delay;;;;;;;;;;;;;;;;;;269,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;221,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;221,0;;0;0;29;29;New York City II;1769;;
