id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_Captain;value_TeamKit;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Length;value_Angle;value_KickOff;value_PassEndX;value_Offensive;value_BlockedPass;value_OppositeRelatedEventId;value_Defensive;value_TakeOnOvertake;value_LongBall;value_Launch;value_HeadPass;value_LayOff;value_DeletedEventType;value_IntendedTackleTarget;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_Defensive1V1;value_Direct;value_AttemptedTackle;value_Foul;value_RightFooted;value_InSwinger;value_Cross;value_FreeKickTaken;value_FlickOn;value_Assist;value_GoalmouthY;value_GkX;value_RegularPlay;value_Assisted;value_FirstTouch;value_GoalmouthZ;value_OutOfBoxCentre;value_RelatedEventId;value_GkY;value_SwerveLeft;value_High;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_TouchTypePass;value_Head;value_NotVisible;value_TouchTypeControl;value_ShirtPull/Holding;value_Dissent;value_YellowCard;value_TakeOnSpace;value_OutOfPlay;value_OutSwinger;value_LowGkIntervention;value_KeeperThrow;value_PlayersCaughtOffside;value_Indirect;value_IntentionalAssist;value_LeadingToGoal;value_BoxCentre;value_HighLeft;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_RelatedError1Id;value_LowCentre;value_Blocked;value_BlockedY;value_LeftFooted;value_BlockedX;value_DefBlock;value_TacticalFoul;value_Shove/Push;value_LeadingToAttempt;value_NotAssisted;value_SwitchOfPlay;value_Simulation;value_Left;value_CornerTaken;value_HighClaim;value_HighGkIntervention;value_Overrun;value_PullBack;value_Handball;value_Minutes;value_OverArm;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_BoxLeft;value_FromCorner;value_CloseLeft;value_Weak;value_LowLeft;value_ParriedSafe;value_Hands;value_Diving;value_Volley;value_CloseHigh;value_Right;value_Unchallenged;value_GkKickFromHands;value_IncorrectOutOfPlayDecision;value_RecklessOffence;value_ThroughBall;value_NotPastGoalLine;value_Injury;value_InjuredPlayerId;value_SetPiece;value_LowRight;value_Collected;value_MediumGkIntervention;value_Standing;value_GkHoof;value_PenaltyTakerId;value_Penalty;value_Scored;value_BigChance;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_CaptainChange;value_Strong;value_HighCentre;value_Reaching;value_MisHit;value_LastLine;value_FastBreak;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2691173059;3;74;1;0;21;29nx7yxy1rdqv2oobqn5pjf8p;1;51,4;6,4;2024-05-23T23:04:27.780Z;2024-05-23T23:51:27Z;[{'id': 5050418627, 'qualifierId': 56, 'value': 'Right'}, {'id': 5050418629, 'qualifierId': 285}, {'id': 5050418645, 'qualifierId': 233, 'value': '8'}];d8u6lnk9lmbrgv9obcshpec8a;M. Stojadinovic;;;cz3q3oax9gbetgzjrrqr6d3pw;Blocked Pass;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;21;Carolina Core;21;DC;1,0
2691173057;9;61;1;0;22;2nnef9tr9g7m2s6n873qif95g;1;47,1;95,3;2024-05-23T23:04:29.148Z;2024-05-28T10:24:57Z;[{'id': 5050418625, 'qualifierId': 56, 'value': 'Back'}];3acyax22zfwdjw0cpgg4x7dre;J. Juarez;;;cz3q3oax9gbetgzjrrqr6d3pw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;22;Toronto II;22;DML;1,0
2691173067;5;3;1;0;23;29nx7yxy1rdqv2oobqn5pjf8p;1;53,6;5,8;2024-05-23T23:04:30.643Z;2024-05-28T10:25:13Z;[{'id': 5050418653, 'qualifierId': 233, 'value': '10'}, {'id': 5059801953, 'qualifierId': 465}, {'id': 5050418649, 'qualifierId': 56, 'value': 'Right'}, {'id': 5050418651, 'qualifierId': 286}];d8u6lnk9lmbrgv9obcshpec8a;M. Stojadinovic;;;cz3q3oax9gbetgzjrrqr6d3pw;Take On;;;;;;;;;;;;;;;;1,0;;10,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;23;Carolina Core;23;DC;1,0
2691173063;10;45;1;0;23;2nnef9tr9g7m2s6n873qif95g;0;46,4;94,2;2024-05-23T23:04:30.643Z;2024-05-28T10:25:15Z;[{'id': 5050418657, 'qualifierId': 233, 'value': '5'}, {'id': 5050418635, 'qualifierId': 285}, {'id': 5050418633, 'qualifierId': 56, 'value': 'Back'}];3acyax22zfwdjw0cpgg4x7dre;J. Juarez;;;cz3q3oax9gbetgzjrrqr6d3pw;Challenge;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;23;Toronto II;23;DML;1,0
2691173065;4;49;1;0;24;29nx7yxy1rdqv2oobqn5pjf8p;1;54,2;6,8;2024-05-23T23:04:30.875Z;2024-05-28T10:25:23Z;[];d8u6lnk9lmbrgv9obcshpec8a;M. Stojadinovic;;;cz3q3oax9gbetgzjrrqr6d3pw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;24;Carolina Core;24;DC;1,0
2691173069;6;1;1;0;25;29nx7yxy1rdqv2oobqn5pjf8p;0;55,4;7,0;2024-05-23T23:04:31.955Z;2024-05-23T23:51:12Z;[{'id': 5050418663, 'qualifierId': 140, 'value': '66.5'}, {'id': 5050418669, 'qualifierId': 213, 'value': '0.48'}, {'id': 5050418667, 'qualifierId': 212, 'value': '13.1'}, {'id': 5050418661, 'qualifierId': 56, 'value': 'Right'}, {'id': 5050418665, 'qualifierId': 141, 'value': '15.9'}];d8u6lnk9lmbrgv9obcshpec8a;M. Stojadinovic;;;cz3q3oax9gbetgzjrrqr6d3pw;Pass;;;;;;;;;;15,9;;13,1;0,48;;66,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;66,5;15,9;;;;;;;;0;0;25;Carolina Core;25;DC;1,0
2691173071;11;49;1;0;27;2nnef9tr9g7m2s6n873qif95g;1;23,7;70,5;2024-05-23T23:04:34.147Z;2024-05-23T23:04:34Z;[];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cz3q3oax9gbetgzjrrqr6d3pw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;27;Toronto II;27;DC;1,0
2691173079;12;1;1;0;27;2nnef9tr9g7m2s6n873qif95g;1;23,7;70,5;2024-05-23T23:04:34.355Z;2024-05-23T23:04:39Z;[{'id': 5050418705, 'qualifierId': 213, 'value': '3.39'}, {'id': 5050418701, 'qualifierId': 141, 'value': '64.2'}, {'id': 5050418703, 'qualifierId': 212, 'value': '17.4'}, {'id': 5050418699, 'qualifierId': 140, 'value': '7.6'}, {'id': 5050418697, 'qualifierId': 56, 'value': 'Back'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cz3q3oax9gbetgzjrrqr6d3pw;Pass;;;;;;;;;;64,2;;17,4;3,39;;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;7,6;64,2;;;;;;;;0;0;27;Toronto II;27;DC;1,0
2691173081;13;1;1;0;32;2nnef9tr9g7m2s6n873qif95g;1;7,6;64,2;2024-05-23T23:04:38.979Z;2024-05-23T23:04:43Z;[{'id': 5050418715, 'qualifierId': 141, 'value': '95.7'}, {'id': 5050418711, 'qualifierId': 56, 'value': 'Back'}, {'id': 5050418717, 'qualifierId': 212, 'value': '25.2'}, {'id': 5050418719, 'qualifierId': 213, 'value': '1.02'}, {'id': 5050418713, 'qualifierId': 140, 'value': '20.2'}];9i2pmc50q29y560ojvik3sdg4;A. Sutton;;;cz3q3oax9gbetgzjrrqr6d3pw;Pass;;;;;;;;;;95,7;;25,2;1,02;;20,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;20,2;95,7;;;;;;;;0;0;32;Toronto II;32;GK;1,0
2691173087;14;1;1;0;36;2nnef9tr9g7m2s6n873qif95g;1;20,2;95,7;2024-05-23T23:04:43.267Z;2024-05-23T23:04:44Z;[{'id': 5050418751, 'qualifierId': 213, 'value': '4.09'}, {'id': 5050418743, 'qualifierId': 56, 'value': 'Back'}, {'id': 5050418745, 'qualifierId': 140, 'value': '13.5'}, {'id': 5050418749, 'qualifierId': 212, 'value': '12.0'}, {'id': 5050418747, 'qualifierId': 141, 'value': '81.4'}];w92nbx3n5ztvgmf89sdp95re;A. Aguas;;;cz3q3oax9gbetgzjrrqr6d3pw;Pass;;;;;;;;;;81,4;;12,0;4,09;;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;13,5;81,4;;;;;;;;0;0;36;Toronto II;36;DC;1,0
