id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_JerseyNumber;value_TeamKit;value_Captain;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Zone;value_Angle;value_KickOff;value_Length;value_PassEndY;value_PassEndX;value_Launch;value_LongBall;value_Chipped;value_HeadPass;value_TakeOnSpace;value_Offensive;value_OppositeRelatedEventId;value_TouchTypeControl;value_Defensive;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_OtherObstacle;value_DeletedEventType;value_RefereeDelay;value_OtherReason;value_RelatedEventId;value_BallHitsReferee;value_Head;value_Shove/Push;value_Foul;value_Direct;value_BlockedPass;value_ShirtPull/Holding;value_OutOfPlay;value_TouchTypePass;value_LayOff;value_Assist;value_RegularPlay;value_Assisted;value_GkY;value_IndividualPlay;value_RightFooted;value_BoxLeft;value_GoalmouthZ;value_CloseRight;value_GoalmouthY;value_GkX;value_NextEventGoalKick;value_GoalKick;value_NotVisible;value_Low;value_Left;value_Right;value_LeftFooted;value_CornerTaken;value_Cross;value_InSwinger;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_AttemptedTackle;value_BlockedX;value_LowCentre;value_OutOfBoxDeepRight;value_BlockedY;value_SetPiece;value_Stooping;value_LowGkIntervention;value_Collected;value_Hands;value_FlickOn;value_IntentionalAssist;value_Blocked;value_FirstTouch;value_BoxCentre;value_DefBlock;value_ThroughBall;value_PullBack;value_BlockedClearance;value_NotAssisted;value_High;value_RecklessOffence;value_YellowCard;value_LowRight;value_Volley;value_OutOfBoxCentre;value_SwitchOfPlay;value_Defensive1V1;value_OutSwinger;value_Unchallenged;value_ParriedSafe;value_Diving;value_BoxRight;value_BlockedCross;value_NotPastGoalLine;value_Minutes;value_MediumGkIntervention;value_OverArm;value_EndType;value_HighRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkXTimeOfGoal;value_CloseHigh;value_OverhitCross;value_LowLeft;value_FreeKick;value_ByWall;value_Overrun;value_HighCentre;value_BoxDeepLeft;value_Reaching;value_LeadingToAttempt;value_RelatedError1Id;value_BigChance;value_Sliding;value_Feet;value_FromCorner;value_Injury;value_InjuredPlayerId;value_TempMissNotPassedGoalLine;value_Standing;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Tactical;value_BoxDeepRight;value_HighLeft;value_FastBreak;value_SmallBoxLeft;value_MisHit;value_Handball;value_GkKickFromHands;value_SixYardBlocked;value_ParriedDanger;value_SmallBoxCentre;value_AerialFoul;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Saved;value_HitRightPost;value_HitWoodwork;value_KeeperTouched;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713764333;418;12;1;44;25;eo64tqkioegeb09iice2hf8bt;1;11,3;54,8;2024-08-25T23:49:21.078Z;2024-08-26T01:14:02Z;[{'id': 5175049371, 'qualifierId': 141, 'value': '58.9'}, {'id': 5175049369, 'qualifierId': 140, 'value': '20.9'}, {'id': 5175049367, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175049373, 'qualifierId': 212, 'value': '10.5'}, {'id': 5175049375, 'qualifierId': 213, 'value': '0.27'}, {'id': 5175051575, 'qualifierId': 15}];4y4mypo5jyzbp0dtvm6y7ajxm;J. Ndakala;;;ewkvsw8xdmg2zi5guzi002o0k;Clearance;;;;;;;;;;;0,27;;10,5;58,9;20,9;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;20,9;58,9;;;;;;;;0;44;25;Los Angeles II;2665;DC;1,0
2713764339;419;61;1;44;27;eo64tqkioegeb09iice2hf8bt;0;19,8;58,7;2024-08-25T23:49:23.494Z;2024-08-26T01:19:38Z;[{'id': 5175049399, 'qualifierId': 56, 'value': 'Back'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;ewkvsw8xdmg2zi5guzi002o0k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;44;27;Los Angeles II;2667;DMC;1,0
2713764365;432;1;1;44;28;6gaq85erpkvbyxvivd96wuw44;1;75,3;38,5;2024-08-25T23:49:23.944Z;2024-08-30T10:50:25Z;[{'id': 5175049541, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175049543, 'qualifierId': 140, 'value': '77.2'}, {'id': 5175049545, 'qualifierId': 141, 'value': '29.4'}, {'id': 5175049547, 'qualifierId': 212, 'value': '6.5'}, {'id': 5175049549, 'qualifierId': 213, 'value': '5.02'}, {'id': 5175051007, 'qualifierId': 210, 'value': '13'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;1,0;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;5,02;;6,5;29,4;77,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;77,2;29,4;;;;;;;;0;44;28;Vancouver Whitecaps II;2668;DC;1,0
2713764367;433;13;1;44;30;6gaq85erpkvbyxvivd96wuw44;1;78,0;34,2;2024-08-25T23:49:26.626Z;2024-08-30T10:50:26Z;[{'id': 5175051031, 'qualifierId': 147, 'value': '46.0'}, {'id': 5175051025, 'qualifierId': 102, 'value': '61.3'}, {'id': 5181394985, 'qualifierId': 73}, {'id': 5175049557, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175051029, 'qualifierId': 146, 'value': '87.6'}, {'id': 5175050839, 'qualifierId': 20}, {'id': 5175051033, 'qualifierId': 230, 'value': '98.6'}, {'id': 5175051019, 'qualifierId': 29}, {'id': 5181394987, 'qualifierId': 153}, {'id': 5175049555, 'qualifierId': 18}, {'id': 5175051027, 'qualifierId': 103, 'value': '19.4'}, {'id': 5175049553, 'qualifierId': 22}, {'id': 5175051021, 'qualifierId': 55, 'value': '432'}, {'id': 5175051035, 'qualifierId': 231, 'value': '50.4'}];a55do2tx3wz5tsboyf355aiok;B. Moyado;;;ewkvsw8xdmg2zi5guzi002o0k;Miss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432,0;;;;;;;;;;;;1,0;1,0;50,4;;1,0;;19,4;;61,3;98,6;;;;;1,0;;;;;;;;;;87,6;;;46,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;87,6;46,0;61,3;19.4;432,0;m8clu51iu7443ig9q6vn6fbo;;0;44;30;Vancouver Whitecaps II;2670;MC;1,0
2713764363;420;12;1;44;30;eo64tqkioegeb09iice2hf8bt;1;12,5;53,0;2024-08-25T23:49:26.726Z;2024-08-30T10:50:46Z;[{'id': 5181395021, 'qualifierId': 213, 'value': '1.52'}, {'id': 5181395017, 'qualifierId': 141, 'value': '61.5'}, {'id': 5181395019, 'qualifierId': 212, 'value': '5.8'}, {'id': 5175049537, 'qualifierId': 56, 'value': 'Back'}, {'id': 5181395015, 'qualifierId': 140, 'value': '12.8'}];4y4mypo5jyzbp0dtvm6y7ajxm;J. Ndakala;;;ewkvsw8xdmg2zi5guzi002o0k;Clearance;;;;;;;;;;;1,52;;5,8;61,5;12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;12,8;61,5;;;;;;;;0;44;30;Los Angeles II;2670;DC;1,0
2713764411;421;12;1;44;32;eo64tqkioegeb09iice2hf8bt;1;11,4;61,2;2024-08-25T23:49:28.447Z;2024-08-25T23:49:32Z;[{'id': 5175049787, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175049793, 'qualifierId': 212, 'value': '31.8'}, {'id': 5175049789, 'qualifierId': 140, 'value': '40.6'}, {'id': 5175049795, 'qualifierId': 213, 'value': '6.01'}, {'id': 5175049791, 'qualifierId': 141, 'value': '48.6'}];bsufynk2wfvpz40nrndah1kb8;D. Saidykhan;;;ewkvsw8xdmg2zi5guzi002o0k;Clearance;;;;;;;;;;;6,01;;31,8;48,6;40,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;40,6;48,6;;;;;;;;0;44;32;Los Angeles II;2672;DC;1,0
2713764409;434;1;1;44;35;6gaq85erpkvbyxvivd96wuw44;0;62,8;50,3;2024-08-25T23:49:30.904Z;2024-08-25T23:57:23Z;[{'id': 5175067709, 'qualifierId': 213, 'value': '0.18'}, {'id': 5175067707, 'qualifierId': 212, 'value': '6.1'}, {'id': 5175049785, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175067705, 'qualifierId': 141, 'value': '51.9'}, {'id': 5175067701, 'qualifierId': 3}, {'id': 5175067703, 'qualifierId': 140, 'value': '68.5'}];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;0,18;;6,1;51,9;68,5;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;68,5;51,9;;;;;;;;0;44;35;Vancouver Whitecaps II;2675;MC;1,0
2713767847;449;1;1;44;36;6gaq85erpkvbyxvivd96wuw44;0;70,2;50,9;2024-08-25T23:49:31.809Z;2024-08-25T23:57:21Z;[{'id': 5175068249, 'qualifierId': 213, 'value': '2.56'}, {'id': 5175068247, 'qualifierId': 212, 'value': '14.8'}, {'id': 5175068245, 'qualifierId': 141, 'value': '62.9'}, {'id': 5175068241, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175068243, 'qualifierId': 140, 'value': '58.4'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;2,56;;14,8;62,9;58,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;58,4;62,9;;;;;;;;0;44;36;Vancouver Whitecaps II;2676;DC;1,0
2713764413;422;49;1;44;36;eo64tqkioegeb09iice2hf8bt;1;40,8;31,6;2024-08-25T23:49:31.966Z;2024-08-25T23:49:32Z;[];3jw4ui4rr60p2jb2rt9hhoetw;D. Ilić;;;ewkvsw8xdmg2zi5guzi002o0k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;44;36;Los Angeles II;2676;DMR;1,0
2713764509;435;83;1;44;45;6gaq85erpkvbyxvivd96wuw44;0;26,2;67,2;2024-08-25T23:49:41.632Z;2024-08-25T23:49:44Z;[{'id': 5175050461, 'qualifierId': 399, 'value': '3jw4ui4rr60p2jb2rt9hhoetw'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;ewkvsw8xdmg2zi5guzi002o0k;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;44;45;Vancouver Whitecaps II;2685;DC;1,0
