id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_JerseyNumber;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_DirectionOfPlay;value_PassEndY;value_PassEndX;value_Length;value_KickOff;value_Zone;value_Angle;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_FlickOn;value_DeletedEventType;value_IntendedTackleTarget;value_TouchTypeClearance;value_Offensive;value_Defensive;value_TouchTypePass;value_TakeOnOvertake;value_Assist;value_FastBreak;value_GoalmouthY;value_GkX;value_IndividualPlay;value_Left;value_RelatedEventId;value_RightFooted;value_Assisted;value_BoxCentre;value_GkY;value_GoalmouthZ;value_GoalShotTimestamp;value_LeftFooted;value_FantasyAssistTeam;value_KeeperTouched;value_FantasyAssistedBy;value_FantasyAssistId;value_NotAssisted;value_GoalShotGameClock;value_GkXTimeOfGoal;value_BigChance;value_FantasyAssistType;value_GkYTimeOfGoal;value_LowRight;value_RegularPlay;value_TempBlocked;value_Direct;value_Shove/Push;value_Foul;value_FreeKickTaken;value_Chipped;value_HeadPass;value_TouchTypeControl;value_AttemptedTackle;value_FollowsADribble;value_OutOfBoxCentre;value_TakeOnSpace;value_BlockedPass;value_Cross;value_OutSwinger;value_Head;value_CloseLeft;value_Volley;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_LayOff;value_BoxRight;value_Right;value_InSwinger;value_OverhitCross;value_CornerTaken;value_CloseLeftAndHigh;value_ShirtPull/Holding;value_IntentionalAssist;value_CloseRight;value_SetPiece;value_LeadingToAttempt;value_SwerveLeft;value_NotVisible;value_High;value_YellowCard;value_TacticalFoul;value_HighGkIntervention;value_HighClaim;value_OutOfPlay;value_SwitchOfPlay;value_BlockedY;value_BlockedX;value_KeeperSaved;value_NotPastGoalLine;value_CloseHigh;value_FromCorner;value_FromShotOffTarget;value_Hands;value_ParriedSafe;value_Reaching;value_ThroughBall;value_LowCentre;value_Standing;value_Feet;value_GkKickFromHands;value_PullBack;value_MediumGkIntervention;value_Blocked;value_LowLeft;value_SixYardBlocked;value_DefBlock;value_Deflection;value_Stooping;value_Collected;value_FreeKick;value_RefereeDelay;value_DrinksBreak;value_Injury;value_InjuredPlayerId;value_Minutes;value_PlayersCaughtOffside;value_Indirect;value_Dissent;value_GkHoof;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Defensive1V1;value_ByWall;value_Penalty;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_HighRight;value_CausingPlayer;value_Diving;value_Scored;value_Overrun;value_RecklessOffence;value_AerialFoul;value_SmallBoxCentre;value_ParriedDanger;value_Handball;value_RelatedError1Id;value_TimeWasting;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2684563507;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-05-08T22:05:12.254Z;2024-05-09T00:11:43Z;[{'id': 5014587813, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 5014424839, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014424841, 'qualifierId': 59, 'value': '21, 46, 42, 91, 23, 34, 82, 65, 37, 79, 97, 20, 24, 27, 44, 57, 66, 77, 90'}, {'id': 5014424843, 'qualifierId': 130, 'value': '2'}, {'id': 5014424847, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014424845, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014467895, 'qualifierId': 197, 'value': '6066'}, {'id': 5014424837, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, o3gftw0hatp1r62ynjmlaaui, 92np3jwhxchmtfeov82ehe13o, 5u3ohty1lsm0fn2ltez4g7o5w, e2tuar1frliervcr2mnmvfspg, 59kitnlge8bjsxmhy850bsutw, afqry84j23xgkhqryrontj190, 8q2wozyqz4nveabn71hc614dm, es0bxxdxf6bco25evmg19ic4, e4rpnf90oa672lcm8ego7vllg, 4akvdujqbywk628gok9xbh2j8, 5gd78gkv3k39vofarmapgeuj8, nhhmltlm3ayn7vqmp6etck5w, e23u0x31okggroh6dkoqx5fdg, 8u0efvao8rym6mdx0tl0h0qac, 76xo0u2yd2cqf8xdyh8rteqdw, 65g50zt5gbo1lnrbc7uvwsbo4, 80p7shawtxjiydizsg5fo5a1g, ov4fk38lrcculu6tdbnrto2c'}];;;;;cow0sr6gobj89kwzg2lg4h4pg;Team set up;;;;2,0;;;6066,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2684565033;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-08T22:16:25.264Z;2024-05-08T23:03:14Z;[{'id': 5014432889, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5014432885, 'qualifierId': 130, 'value': '8'}, {'id': 5014432879, 'qualifierId': 30, 'value': '8h2vywep73yn25kus2nda8ga2, 6g7i7z6m8vts105dny1g6z3hm, 4ulfw4ik3i6ks2t7utgek5l3o, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, aa4v8xfn3ra4digk5h7gdrbze, 9bv0zjyrsopyv3hw8m47sgr9w, 7tpb4dk9meee0utyu4cosnxn8, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, cqlc423f6bid2uy3togwkvlgq, 2meqkx9av039q3cvedrp6jg4q, c2b6h5zwjvzdvdcybyuqd6exg, brzi1qy5hkx7zhxhjykg8ox78, 595bi39ikp8s9sfw6q5981mvo, 7duzjflajla2xqvesalgjoy6s, 25rizu4n91uyax4z6l5jv6dqs, 37uh4n2zngcixlzo8vnk50vtg, 9g0pycttkbuyuetispcb2hij8'}, {'id': 5014432887, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014432883, 'qualifierId': 59, 'value': '99, 30, 64, 53, 54, 68, 32, 56, 23, 49, 34, 28, 48, 59, 66, 62, 88, 95, 96, 97'}, {'id': 5014432881, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014458823, 'qualifierId': 197, 'value': '3378'}, {'id': 5014432891, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cow0sr6gobj89kwzg2lg4h4pg;Team set up;;;;8,0;;;3378,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;New York RB II;0;;
2684569279;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-08T23:03:42.072Z;2024-05-13T10:02:22Z;[{'id': 5014459235, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cow0sr6gobj89kwzg2lg4h4pg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;New York RB II;0;;
2684569285;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-05-08T23:03:42.072Z;2024-05-08T23:03:45Z;[{'id': 5014459249, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cow0sr6gobj89kwzg2lg4h4pg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2684569293;3;1;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;50,0;50,3;2024-05-08T23:03:42.073Z;2024-05-13T10:07:10Z;[{'id': 5014459281, 'qualifierId': 141, 'value': '50.3'}, {'id': 5014459279, 'qualifierId': 140, 'value': '45.3'}, {'id': 5014459283, 'qualifierId': 212, 'value': '4.9'}, {'id': 5014459287, 'qualifierId': 279, 'value': 'S'}, {'id': 5014459277, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014459285, 'qualifierId': 213, 'value': '3.14'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;cow0sr6gobj89kwzg2lg4h4pg;Pass;;;;;;;;;;50,3;45,3;4,9;;;3,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;45,3;50,3;;;;;;;;0;0;0;New York RB II;0;FW;1,0
2684569299;4;1;1;0;2;479lsfr4cwlzewpbuda3y2xv4;1;46,2;47,0;2024-05-08T23:03:44.135Z;2024-05-13T10:07:14Z;[{'id': 5014459315, 'qualifierId': 141, 'value': '68.9'}, {'id': 5014459319, 'qualifierId': 213, 'value': '2.47'}, {'id': 5014459313, 'qualifierId': 140, 'value': '28.5'}, {'id': 5014459317, 'qualifierId': 212, 'value': '23.8'}, {'id': 5014459311, 'qualifierId': 56, 'value': 'Back'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;cow0sr6gobj89kwzg2lg4h4pg;Pass;;;;;;;;;;68,9;28,5;23,8;;;2,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;28,5;68,9;;;;;;;;0;0;2;New York RB II;2;MC;1,0
2684569309;5;1;1;0;5;479lsfr4cwlzewpbuda3y2xv4;0;26,3;62,3;2024-05-08T23:03:47.292Z;2024-05-08T23:31:20Z;[{'id': 5014459381, 'qualifierId': 141, 'value': '0.0'}, {'id': 5014459379, 'qualifierId': 140, 'value': '84.0'}, {'id': 5014459387, 'qualifierId': 1}, {'id': 5014459383, 'qualifierId': 212, 'value': '74.5'}, {'id': 5014459377, 'qualifierId': 56, 'value': 'Right'}, {'id': 5014459385, 'qualifierId': 213, 'value': '5.66'}, {'id': 5014503685, 'qualifierId': 157}];4ulfw4ik3i6ks2t7utgek5l3o;M. Cocca;;;cow0sr6gobj89kwzg2lg4h4pg;Pass;;;;;;;;;;0,0;84,0;74,5;;;5,66;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;84,0;0,0;;;;;;;;0;0;5;New York RB II;5;DC;1,0
2684569349;3;5;1;0;6;4g68p0t2f5jzhzfr67i2rj1ex;1;22,4;101,6;2024-05-08T23:03:49.039Z;2024-05-08T23:03:59Z;[{'id': 5014459527, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014459529, 'qualifierId': 347}, {'id': 5014459535, 'qualifierId': 233, 'value': '6'}];es0bxxdxf6bco25evmg19ic4;M. Sofo;;;cow0sr6gobj89kwzg2lg4h4pg;Out;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;6;Orlando City B;6;FW;1,0
2684569313;6;5;1;0;6;479lsfr4cwlzewpbuda3y2xv4;0;77,6;-1,6;2024-05-08T23:03:49.039Z;2024-05-09T01:19:11Z;[{'id': 5014459401, 'qualifierId': 347}, {'id': 5014459539, 'qualifierId': 233, 'value': '3'}, {'id': 5014459399, 'qualifierId': 56, 'value': 'Right'}];4jkf81djj5h43v8rlnib1tizu;T. Williams;;;cow0sr6gobj89kwzg2lg4h4pg;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;6;New York RB II;6;DC;1,0
2684569357;4;1;1;0;16;4g68p0t2f5jzhzfr67i2rj1ex;0;30,6;100,0;2024-05-08T23:03:58.942Z;2024-05-08T23:04:01Z;[{'id': 5014459573, 'qualifierId': 141, 'value': '88.3'}, {'id': 5014459577, 'qualifierId': 213, 'value': '5.97'}, {'id': 5014459571, 'qualifierId': 140, 'value': '58.3'}, {'id': 5014459567, 'qualifierId': 107}, {'id': 5014459575, 'qualifierId': 212, 'value': '30.5'}, {'id': 5014459579, 'qualifierId': 1}, {'id': 5014459569, 'qualifierId': 56, 'value': 'Left'}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;cow0sr6gobj89kwzg2lg4h4pg;Pass;;;;;;;;;;88,3;58,3;30,5;;;5,97;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;58,3;88,3;;;;;;;;0;0;16;Orlando City B;16;DC;1,0
