id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_PlayerPosition;value_Captain;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_Angle;value_Length;value_PassEndX;value_Zone;value_PassEndY;value_AttemptedTackle;value_Foul;value_Direct;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_FreeKickTaken;value_Chipped;value_Launch;value_LongBall;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_SwitchOfPlay;value_Cross;value_Assist;value_DrivenCross;value_IntentionalAssist;value_Straight;value_RightFooted;value_FirstTouch;value_GoalmouthZ;value_SmallBoxCentre;value_LowRight;value_BlockedY;value_BlockedX;value_Assisted;value_RegularPlay;value_RelatedEventId;value_GoalmouthY;value_BigChance;value_Deflection;value_ParriedDanger;value_Feet;value_LowGkIntervention;value_Diving;value_BlockedPass;value_HeadPass;value_NextEventGoalKick;value_GoalKick;value_High;value_NotVisible;value_IntendedTackleTarget;value_LayOff;value_DeletedEventType;value_Defensive1V1;value_TakeOnSpace;value_LeftFooted;value_Left;value_CornerTaken;value_GkY;value_IndividualPlay;value_OutOfBoxCentre;value_FromCorner;value_CloseLeft;value_GkX;value_Low;value_LastLine;value_TouchTypeControl;value_LowLeft;value_Hands;value_ParriedSafe;value_KeeperThrow;value_Right;value_OverhitCross;value_InSwinger;value_FloatedCross;value_Head;value_FlickOn;value_PlayersCaughtOffside;value_Indirect;value_OutSwinger;value_BlockedCross;value_HighGkIntervention;value_Blocked;value_DefBlock;value_GkXTimeOfGoal;value_HighLeft;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_BoxCentre;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_SixYardBlocked;value_Volley;value_Standing;value_HighCentre;value_MisHit;value_BoxRight;value_DrinksBreak;value_RefereeDelay;value_Shove/Push;value_TacticalFoul;value_YellowCard;value_Injury;value_InjuredPlayerId;value_BoxLeft;value_OwnShotBlocked;value_NotPastGoalLine;value_CloseRight;value_SmallBoxRight;value_Minutes;value_AerialFoul;value_EndType;value_Overrun;value_LowCentre;value_TimeWasting;value_NotAssisted;value_CloseHigh;value_RecklessOffence;value_ThroughBall;value_1On1;value_Stooping;value_Collected;value_ShirtPull/Holding;value_MediumGkIntervention;value_LeadingToGoal;value_RelatedError1Id;value_HighRight;value_FantasyAssistType;value_OwnGoal;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistedBy;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695839741;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-06-12T22:04:20.097Z;2024-06-12T23:04:49Z;[{'id': 5076131427, 'qualifierId': 30, 'value': '2ig362xub2syd45v3usgymbkk, 48vc423tkz4mx7oql1ahqneac, asy97zdxk0352toy38huzk222, 3wkej06590b61lyqm7vt1kwes, ahl3kfbfeubf6zfl7x8qrlm38, 5gg2mxmy9ff40oku3s09gavl6, es77zuezg8qvczh819uj6c844, bxnegxnynd1glae8g0vfigfvu, 17x0wwjg47boyx7jua6vqf0gk, 7ditqci7td8u4wj4dmirr3qzu, dzo2odov052991qseshgfruju, 6d45ccicyo6dregi9cm4ad4kq, 8rq61cgteiomxej2p0nxaw6c4, 6adi81qxodibea6d0hxa3qxas, 8y2nsfsangmn1qa389y25b76c, 8pl795qg2d886vtq8trzsucfe, 8zi8ztqodyei25r17enlqfhuc, btwb71g6uu6ibxpx8ppwn9tsk, mm0bv35ngf0sqh2yx2eza4x6, 6kpb5yyfk2ifjgtfkspb8xwd0'}, {'id': 5076131437, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076131435, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076131431, 'qualifierId': 59, 'value': '57, 51, 33, 81, 42, 32, 47, 92, 12, 45, 41, 23, 34, 38, 40, 44, 49, 52, 70, 77'}, {'id': 5076148295, 'qualifierId': 197, 'value': '8379'}, {'id': 5076131429, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5076148325, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 5076131433, 'qualifierId': 130, 'value': '2'}];;;;;ddw7sdx4a8bna2avk5jn5ah3o;Team set up;;;;;8379,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2695839925;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-12T22:06:42.269Z;2024-06-13T00:02:54Z;[{'id': 5076190975, 'qualifierId': 194, 'value': 'a8ngovgs2qfu5udzb97kelg16'}, {'id': 5076147457, 'qualifierId': 197, 'value': '12783'}, {'id': 5076132429, 'qualifierId': 30, 'value': '78geqjj0pzo2gp7p8xg3q39w, aifybz5snfmoiwlq6qpweitxw, 5n0su1a4r7kb7it3ghxbhrf56, 1pm343qga3zwdbrjngpeqhtnu, 1wa60ccrpw2zqguj4ayeeacyc, tvbjgz0zeq5irumgofxrko44, 3tkdn8arq1j3il4ako7rcio2y, a8ngovgs2qfu5udzb97kelg16, i15xuf6lug0m5twd06n2pus4, avijawqszxv4ewdxydxeugbv8, 2gawx03wls5vwtlocjir3u7vu, 9kahvwswke29dt3uumulbktpm, 1yohdc0hkzkom8hlhw3rjfn8q, ek7grk7is4cp4o6zuqqtkyej8, 4oz12ku4mdjsq7y4sgogpwg2y, c7luarkv7hwdspd9xhidhisk4, 32t6g252ti1peycjite40qiy2, 4sw7pq7xhnf7pqii16lhtf7ro, hranx8amv6zdzmvzda4to0lw, vhjelesjaxtgjcgfv7yxp2lm'}, {'id': 5076132439, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076132431, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5076132437, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076132433, 'qualifierId': 59, 'value': '37, 87, 35, 80, 74, 89, 38, 39, 67, 76, 90, 40, 33, 41, 47, 52, 70, 77, 96, 98'}, {'id': 5076132435, 'qualifierId': 130, 'value': '8'}];;;;;ddw7sdx4a8bna2avk5jn5ah3o;Team set up;;;;;12783,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2695842647;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-12T23:03:03.653Z;2024-06-12T23:03:03Z;[{'id': 5076147507, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ddw7sdx4a8bna2avk5jn5ah3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2695842649;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-06-12T23:03:03.653Z;2024-06-15T09:42:27Z;[{'id': 5076147509, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ddw7sdx4a8bna2avk5jn5ah3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2695842653;3;1;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;50,0;50,0;2024-06-12T23:03:03.654Z;2024-06-12T23:03:07Z;[{'id': 5076147533, 'qualifierId': 279, 'value': 'S'}, {'id': 5076147531, 'qualifierId': 213, 'value': '2.99'}, {'id': 5076147529, 'qualifierId': 212, 'value': '13.7'}, {'id': 5076147525, 'qualifierId': 140, 'value': '37.1'}, {'id': 5076147523, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076147527, 'qualifierId': 141, 'value': '53.0'}];17x0wwjg47boyx7jua6vqf0gk;M. Bell;;;ddw7sdx4a8bna2avk5jn5ah3o;Pass;;;;;;;;;;;2,99;13,7;37,1;;53,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;37,1;53,0;;;;;;;0;0;0;0;Sporting KC II;0;FW;1,0
2695842657;4;1;1;0;3;cbip96wzs3jc2xadoluhhxotl;1;37,1;53,0;2024-06-12T23:03:07.644Z;2024-06-12T23:03:09Z;[{'id': 5076147551, 'qualifierId': 140, 'value': '32.7'}, {'id': 5076147555, 'qualifierId': 212, 'value': '21.2'}, {'id': 5076147549, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076147557, 'qualifierId': 213, 'value': '1.79'}, {'id': 5076147553, 'qualifierId': 141, 'value': '83.5'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;ddw7sdx4a8bna2avk5jn5ah3o;Pass;;;;;;;;;;;1,79;21,2;32,7;;83,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;32,7;83,5;;;;;;;0;0;0;3;Sporting KC II;3;MC;1,0
2695842659;5;1;1;0;5;cbip96wzs3jc2xadoluhhxotl;1;32,7;83,5;2024-06-12T23:03:09.115Z;2024-06-12T23:03:10Z;[{'id': 5076147561, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076147569, 'qualifierId': 213, 'value': '4.10'}, {'id': 5076147565, 'qualifierId': 141, 'value': '66.7'}, {'id': 5076147567, 'qualifierId': 212, 'value': '13.9'}, {'id': 5076147563, 'qualifierId': 140, 'value': '25.1'}];asy97zdxk0352toy38huzk222;T. Silva;;;ddw7sdx4a8bna2avk5jn5ah3o;Pass;;;;;;;;;;;4,1;13,9;25,1;;66,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;25,1;66,7;;;;;;;0;0;0;5;Sporting KC II;5;DC;1,0
2695842663;6;1;1;0;6;cbip96wzs3jc2xadoluhhxotl;1;25,1;66,7;2024-06-12T23:03:10.444Z;2024-06-12T23:03:15Z;[{'id': 5076147579, 'qualifierId': 212, 'value': '20.6'}, {'id': 5076147577, 'qualifierId': 141, 'value': '36.4'}, {'id': 5076147573, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076147575, 'qualifierId': 140, 'value': '25.2'}, {'id': 5076147581, 'qualifierId': 213, 'value': '4.72'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;ddw7sdx4a8bna2avk5jn5ah3o;Pass;;;;;;;;;;;4,72;20,6;25,2;;36,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;25,2;36,4;;;;;;;0;0;0;6;Sporting KC II;6;DC;1,0
2695842665;7;1;1;0;12;cbip96wzs3jc2xadoluhhxotl;1;28,0;31,6;2024-06-12T23:03:15.691Z;2024-06-12T23:03:16Z;[{'id': 5076147585, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076147587, 'qualifierId': 140, 'value': '27.9'}, {'id': 5076147591, 'qualifierId': 212, 'value': '24.0'}, {'id': 5076147593, 'qualifierId': 213, 'value': '1.58'}, {'id': 5076147589, 'qualifierId': 141, 'value': '66.9'}];ahl3kfbfeubf6zfl7x8qrlm38;K. Storlie;;;ddw7sdx4a8bna2avk5jn5ah3o;Pass;;;;;;;;;;;1,58;24,0;27,9;;66,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;27,9;66,9;;;;;;;0;0;0;12;Sporting KC II;12;DL;1,0
2695842669;8;1;1;0;13;cbip96wzs3jc2xadoluhhxotl;1;27,9;66,9;2024-06-12T23:03:16.779Z;2024-06-12T23:55:03Z;[{'id': 5076147615, 'qualifierId': 141, 'value': '61.1'}, {'id': 5076147617, 'qualifierId': 212, 'value': '8.7'}, {'id': 5076147611, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076147613, 'qualifierId': 140, 'value': '35.3'}, {'id': 5076147619, 'qualifierId': 213, 'value': '5.81'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;ddw7sdx4a8bna2avk5jn5ah3o;Pass;;;;;;;;;;;5,81;8,7;35,3;;61,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;35,3;61,1;;;;;;;0;0;0;13;Sporting KC II;13;DC;1,0
