id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_Resume;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Angle;value_PassEndY;value_KickOff;value_Length;value_Zone;value_PassEndX;value_DeletedEventType;value_VideoCoverageLost;value_IntendedTackleTarget;value_TouchTypeControl;value_Chipped;value_LongBall;value_MediumGkIntervention;value_Launch;value_GkHoof;value_HeadPass;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_TouchTypePass;value_TakeOnOvertake;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_NextEventGoalKick;value_High;value_GoalKick;value_FlickOn;value_SwitchOfPlay;value_TouchTypeClearance;value_Low;value_OutOfPlay;value_BlockedPass;value_IncorrectOutOfPlayDecision;value_IntentionalAssist;value_LeftFooted;value_Cross;value_RegularPlay;value_OutSwinger;value_Assist;value_RelatedEventId;value_GkX;value_GoalmouthY;value_GkYTimeOfGoal;value_GkY;value_GoalShotTimestamp;value_LowRight;value_GkXTimeOfGoal;value_GoalmouthZ;value_Assisted;value_BoxCentre;value_GoalShotGameClock;value_FirstTouch;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_RightFooted;value_NotPastGoalLine;value_BlockedY;value_Left;value_SetPiece;value_Head;value_BlockedX;value_KeeperThrow;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_LowCentre;value_Blocked;value_IndividualPlay;value_FastBreak;value_OutOfBoxCentre;value_DefBlock;value_AttemptedTackle;value_LayOff;value_Overrun;value_BigChance;value_HighRight;value_BoxLeft;value_SwerveLeft;value_HighGkIntervention;value_GkKickFromHands;value_BlockedCross;value_Stooping;value_LowGkIntervention;value_Collected;value_Hands;value_CornerTaken;value_InSwinger;value_Unchallenged;value_Injury;value_InjuredPlayerId;value_Right;value_FromCorner;value_BoxDeepLeft;value_NotAssisted;value_TacticalFoul;value_YellowCard;value_Minutes;value_CloseRight;value_RecklessOffence;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_HighCentre;value_Standing;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistTeam;value_OwnGoal;value_Defensive1V1;value_PersistentInfringement;value_ShirtPull/Holding;value_LowLeft;value_Diving;value_OverArm;value_SoloRun;value_RedCard;value_ViolentConduct;value_HighClaim;value_ThroughBall;value_CaptainChange;value_1On1;value_HighLeft;value_Handball;value_OverhitCross;value_BoxRight;value_Argument;value_Volley;value_ParriedDanger;value_SmallBoxCentre;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706697175;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-08-07T22:10:34.015Z;2024-08-07T23:33:55Z;[{'id': 5136115687, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 4t078b0rnzmi8u83wzmdwze38, 3acyax22zfwdjw0cpgg4x7dre, 2d9cw6dcm2wsgrr8mj5rt6zje, w92nbx3n5ztvgmf89sdp95re, 6qu8uu28fk2dbbeymuu6yii38, f3uzkdl46t1mujsddhr5tg07o, clvcgt5ofonse0q96sppu7hg4, 1nbbgew67td8zayaffvr1zcb8, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 5jxj5s38o1nx0xbnapwl58bo4, 6le9ztbx7n6ogg6fdxmnrk9w4, 9isbk9daqxgtj196349irnkk, 5zhvp39a530j8j03lsrtk8bv8, 4n2c7qt6r6qqhzjs64nvytqs, ami9xddgghvnly4mwtdj2tlyi, 8p0k65b4c26ssfk0zh43lme7e, 1y1nw8t5bj1r6dqie0v1i189g, 74x5zysb9qkyyxuha65102z56'}, {'id': 5136115697, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136115689, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5136161069, 'qualifierId': 197, 'value': '23613'}, {'id': 5136115695, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136115693, 'qualifierId': 130, 'value': '17'}, {'id': 5136115691, 'qualifierId': 59, 'value': '98, 17, 14, 4, 5, 99, 12, 29, 13, 24, 10, 8, 31, 77, 22, 25, 11, 15, 6, 2'}, {'id': 5136203817, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}];;;;;ejb33dmrdlmmz7bq7317kjitw;Team set up;;;;23613,0;;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2706698507;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-08-07T22:17:36.346Z;2024-08-08T00:00:13Z;[{'id': 5136123147, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136159453, 'qualifierId': 197, 'value': '23485'}, {'id': 5136123139, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5136123141, 'qualifierId': 59, 'value': '99, 2, 13, 8, 12, 3, 22, 23, 9, 43, 85, 4, 17, 1, 10, 21, 90, 18'}, {'id': 5136123137, 'qualifierId': 30, 'value': 'as5066ocmlp4tub6d3tnabi1g, 4kng7wg83mastngy9hw7j6v6y, 9hxomhr5g6zy05ei4z4lhrklw, cjjvy22j5q0piz5omn2tf18us, 3x8f4j8q49d8hft60a6k8l5as, 6lsvk9o6d581sd33g38mr6904, 9z7fz0c95ib7oniguzwbihs0k, 7ve3vmg19c3g91j7zs32oecd0, cliiemf1ih37qhh1wi1olk9ka, 1yl2e0y3cglm1nwto5uzs3e5m, 9owtf360wi6ky1cr4qwnnfk0k, c1fvknrf94i05q738d5r7vmdw, infc7r3a8oktbajwp4pff7dg, 19igj31auu88fhwdpfz8c1coa, bn5ic0uuxaupf6hs2tgqqq0b8, 7uj52qs9yf21gxixhrowyvswk, 8l4bqb8gtyzqpx3pti200phqs, 78837xw5xvx9xeystdzy6cc2c'}, {'id': 5136123143, 'qualifierId': 130, 'value': '8'}, {'id': 5136240355, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}, {'id': 5136123145, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;ejb33dmrdlmmz7bq7317kjitw;Team set up;;;;23485,0;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2706705049;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-08-07T23:04:46.049Z;2024-08-07T23:06:11Z;[{'id': 5136159743, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ejb33dmrdlmmz7bq7317kjitw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2706705047;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-08-07T23:04:46.049Z;2024-08-12T16:49:25Z;[{'id': 5136159741, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ejb33dmrdlmmz7bq7317kjitw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2706886741;754;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;50,0;50,0;2024-08-07T23:04:46.163Z;2024-08-09T15:56:46Z;[{'id': 5137189001, 'qualifierId': 213, 'value': '2.97'}, {'id': 5137188997, 'qualifierId': 141, 'value': '56.5'}, {'id': 5137189003, 'qualifierId': 279, 'value': 'S'}, {'id': 5137188999, 'qualifierId': 212, 'value': '25.5'}, {'id': 5137188993, 'qualifierId': 56, 'value': 'Back'}, {'id': 5137188995, 'qualifierId': 140, 'value': '26.1'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;ejb33dmrdlmmz7bq7317kjitw;Pass;;;;;;;;;;2,97;56,5;;25,5;;26,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;26,1;56,5;;;;;;;0;0;0;0;Inter Miami II;0;FW;1,0
2706706025;43;43;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-08-07T23:04:46.540Z;2024-08-09T16:04:21Z;[{'id': 5137193811, 'qualifierId': 144, 'value': '79'}, {'id': 5136164977, 'qualifierId': 344, 'value': '0'}];;;;;ejb33dmrdlmmz7bq7317kjitw;Deleted event;;;;;;;;;;;;;;;;79,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2706886761;755;1;1;0;2;2nnef9tr9g7m2s6n873qif95g;1;26,9;53,6;2024-08-07T23:04:49.001Z;2024-08-09T15:57:07Z;[{'id': 5137189117, 'qualifierId': 213, 'value': '4.89'}, {'id': 5137189113, 'qualifierId': 141, 'value': '10.7'}, {'id': 5137189115, 'qualifierId': 212, 'value': '29.6'}, {'id': 5137189111, 'qualifierId': 140, 'value': '31.9'}, {'id': 5137189109, 'qualifierId': 56, 'value': 'Back'}];w92nbx3n5ztvgmf89sdp95re;A. Aguas;;;ejb33dmrdlmmz7bq7317kjitw;Pass;;;;;;;;;;4,89;10,7;;29,6;;31,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;31,9;10,7;;;;;;;0;0;0;2;Inter Miami II;2;DC;1,0
2706886775;756;1;1;0;5;2nnef9tr9g7m2s6n873qif95g;1;31,9;10,7;2024-08-07T23:04:51.582Z;2024-08-09T15:57:16Z;[{'id': 5137189201, 'qualifierId': 141, 'value': '26.2'}, {'id': 5137189203, 'qualifierId': 212, 'value': '16.0'}, {'id': 5137189199, 'qualifierId': 140, 'value': '43.4'}, {'id': 5137189205, 'qualifierId': 213, 'value': '0.72'}, {'id': 5137189197, 'qualifierId': 56, 'value': 'Back'}];6qu8uu28fk2dbbeymuu6yii38;A. Miller;;;ejb33dmrdlmmz7bq7317kjitw;Pass;;;;;;;;;;0,72;26,2;;16,0;;43,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;43,4;26,2;;;;;;;0;0;0;5;Inter Miami II;5;DC;1,0
2706705065;3;43;1;0;6;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-08-07T23:05:17.645Z;2024-08-07T23:09:19Z;[{'id': 5136164357, 'qualifierId': 144, 'value': '79'}, {'id': 5136159777, 'qualifierId': 344, 'value': '0'}];;;;;ejb33dmrdlmmz7bq7317kjitw;Deleted event;;;;;;;;;;;;;;;;79,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;6;Carolina Core;6;;
2706886791;757;1;1;0;8;2nnef9tr9g7m2s6n873qif95g;1;43,4;26,2;2024-08-07T23:04:54.271Z;2024-08-09T15:57:23Z;[{'id': 5137189279, 'qualifierId': 141, 'value': '33.1'}, {'id': 5137189277, 'qualifierId': 140, 'value': '29.9'}, {'id': 5137189275, 'qualifierId': 56, 'value': 'Back'}, {'id': 5137189283, 'qualifierId': 213, 'value': '2.82'}, {'id': 5137189281, 'qualifierId': 212, 'value': '14.9'}];f3uzkdl46t1mujsddhr5tg07o;M. Alenga;;;ejb33dmrdlmmz7bq7317kjitw;Pass;;;;;;;;;;2,82;33,1;;14,9;;29,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;29,9;33,1;;;;;;;0;0;0;8;Inter Miami II;8;DMC;1,0
