id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_Zone;value_KickOff;value_Angle;value_PassEndX;value_Length;value_PassEndY;value_LongBall;value_Chipped;value_HeadPass;value_Head;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Launch;value_Offensive;value_Defensive;value_SwitchOfPlay;value_Cross;value_Left;value_Right;value_OutSwinger;value_IntentionalAssist;value_CornerTaken;value_Assist;value_RelatedEventId;value_FirstTouch;value_GoalmouthY;value_FromCorner;value_GoalmouthZ;value_GkX;value_Assisted;value_GkY;value_BlockedX;value_SmallBoxRight;value_BlockedY;value_NotPastGoalLine;value_Blocked;value_SixYardBlocked;value_RightFooted;value_NotAssisted;value_BoxCentre;value_LowCentre;value_DefBlock;value_InSwinger;value_DeletedEventType;value_NextEventGoalKick;value_Low;value_GoalKick;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_OutOfPlay;value_PlayersCaughtOffside;value_Indirect;value_AttemptedTackle;value_BlockedPass;value_RegularPlay;value_HighRight;value_OutOfBoxCentre;value_IndividualPlay;value_ParriedSafe;value_Diving;value_Hands;value_FlickOn;value_Collected;value_Standing;value_OverArm;value_KeeperThrow;value_YellowCard;value_TacticalFoul;value_IntendedTackleTarget;value_LowRight;value_LowLeft;value_Caught;value_HighLeft;value_Deflection;value_SetPiece;value_ParriedDanger;value_LayOff;value_LeadingToAttempt;value_CloseHigh;value_Shove/Push;value_BlockedCross;value_BoxRight;value_Minutes;value_High;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_2NdAssist;value_2NdRelatedEventId;value_GoalShotGameClock;value_BigChance;value_2NdAssisted;value_GoalShotTimestamp;value_SmallBoxCentre;value_Straight;value_LeftFooted;value_BoxLeft;value_HighClaim;value_NotVisible;value_FreeKick;value_BlockByHand;value_Penalty;value_Handball;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Scored;value_CloseLeft;value_GkKickFromHands;value_Injury;value_InjuredPlayerId;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2703956663;7;5;1;0;11;4gymgvqmve0m2vh89v84tt3x0;0;66,2;101,8;2024-07-28T00:03:59.406Z;2024-07-28T00:19:44Z;[{'id': 5120965479, 'qualifierId': 233, 'value': '4'}, {'id': 5120965471, 'qualifierId': 56, 'value': 'Left'}, {'id': 5120965473, 'qualifierId': 347}];c08hvq1hplcct8kxrxucfpqp6;W. Pacius;;;ea8lyqscqclwzs6furodvyp04;Out;;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;11;Atlanta United II;11;FW;1,0
2703956659;5;1;1;0;14;erwnez7ksfkns4dqmyr1fhbe;1;30,1;0,0;2024-07-28T00:04:01.614Z;2024-07-28T00:55:36Z;[{'id': 5120965431, 'qualifierId': 107}, {'id': 5120965435, 'qualifierId': 140, 'value': '23.9'}, {'id': 5120965437, 'qualifierId': 141, 'value': '14.6'}, {'id': 5120965433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120965441, 'qualifierId': 213, 'value': '2.09'}, {'id': 5120965439, 'qualifierId': 212, 'value': '13.0'}];5c7gqtyra887hjyg502tvzn1m;M. Edwards;;;ea8lyqscqclwzs6furodvyp04;Pass;;;;;;;;;;;;2,09;23,9;13,0;14,6;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;23,9;14,6;;;;;;;;0;0;14;Huntsville City;14;DR;1,0
2703956665;6;1;1;0;15;erwnez7ksfkns4dqmyr1fhbe;1;23,9;14,6;2024-07-28T00:04:03.502Z;2024-07-28T00:04:06Z;[{'id': 5120965489, 'qualifierId': 212, 'value': '24.2'}, {'id': 5120965487, 'qualifierId': 141, 'value': '42.8'}, {'id': 5120965485, 'qualifierId': 140, 'value': '9.8'}, {'id': 5120965491, 'qualifierId': 213, 'value': '2.23'}, {'id': 5120965483, 'qualifierId': 56, 'value': 'Back'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;;ea8lyqscqclwzs6furodvyp04;Pass;;;;;;;;;;;;2,23;9,8;24,2;42,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;9,8;42,8;;;;;;;;0;0;15;Huntsville City;15;MC;1,0
2703956689;7;1;1;0;18;erwnez7ksfkns4dqmyr1fhbe;1;7,8;47,5;2024-07-28T00:04:05.774Z;2024-07-28T00:04:07Z;[{'id': 5120965579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120965587, 'qualifierId': 213, 'value': '0.28'}, {'id': 5120965585, 'qualifierId': 212, 'value': '18.8'}, {'id': 5120965581, 'qualifierId': 140, 'value': '25.0'}, {'id': 5120965583, 'qualifierId': 141, 'value': '55.2'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;ea8lyqscqclwzs6furodvyp04;Pass;;;;;;;;;;;;0,28;25,0;18,8;55,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;25,0;55,2;;;;;;;;0;0;18;Huntsville City;18;GK;1,0
2703956709;8;1;1;0;20;erwnez7ksfkns4dqmyr1fhbe;1;20,8;60,3;2024-07-28T00:04:07.821Z;2024-07-28T00:04:11Z;[{'id': 5120965703, 'qualifierId': 213, 'value': '2.12'}, {'id': 5120965699, 'qualifierId': 141, 'value': '81.8'}, {'id': 5120965697, 'qualifierId': 140, 'value': '12.2'}, {'id': 5120965695, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120965701, 'qualifierId': 212, 'value': '17.2'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;;ea8lyqscqclwzs6furodvyp04;Pass;;;;;;;;;;;;2,12;12,2;17,2;81,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;12,2;81,8;;;;;;;;0;0;20;Huntsville City;20;MC;1,0
2703956767;9;1;1;0;24;erwnez7ksfkns4dqmyr1fhbe;1;16,7;81,7;2024-07-28T00:04:11.646Z;2024-07-28T00:04:17Z;[{'id': 5120965949, 'qualifierId': 141, 'value': '75.1'}, {'id': 5120965943, 'qualifierId': 157}, {'id': 5120965955, 'qualifierId': 1}, {'id': 5120965951, 'qualifierId': 212, 'value': '47.5'}, {'id': 5120965947, 'qualifierId': 140, 'value': '61.7'}, {'id': 5120965953, 'qualifierId': 213, 'value': '6.19'}, {'id': 5120965945, 'qualifierId': 56, 'value': 'Center'}];2iz7apzo49byqz0ws65h9d7v8;K. Moore;;;ea8lyqscqclwzs6furodvyp04;Pass;;;;;;;;;;;;6,19;61,7;47,5;75,1;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;61,7;75,1;;;;;;;;0;0;24;Huntsville City;24;DC;1,0
2703956773;10;44;1;0;27;erwnez7ksfkns4dqmyr1fhbe;1;61,8;71,0;2024-07-28T00:04:15.393Z;2024-07-28T00:55:09Z;[{'id': 5120965969, 'qualifierId': 56, 'value': 'Center'}, {'id': 5120965999, 'qualifierId': 233, 'value': '8'}, {'id': 5120965971, 'qualifierId': 286}];5zeta56pml2qki1q095myhvys;R. Neri;;;ea8lyqscqclwzs6furodvyp04;Aerial;;;;;;;;;;;;;;;;;;;;;8,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;27;Huntsville City;27;FW;1,0
2703956751;8;44;1;0;27;4gymgvqmve0m2vh89v84tt3x0;0;38,2;29,0;2024-07-28T00:04:15.394Z;2024-07-28T00:55:10Z;[{'id': 5120966005, 'qualifierId': 233, 'value': '10'}, {'id': 5120965891, 'qualifierId': 285}, {'id': 5120965889, 'qualifierId': 56, 'value': 'Back'}];d9cioqeofh2tfg3171r5nlb10;C. Applewhite;;;ea8lyqscqclwzs6furodvyp04;Aerial;;;;;;;;;;;;;;;;;;;;;10,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;27;Atlanta United II;27;DL;1,0
2703956783;11;1;1;0;28;erwnez7ksfkns4dqmyr1fhbe;0;63,0;74,8;2024-07-28T00:04:15.917Z;2024-07-28T00:55:07Z;[{'id': 5120966029, 'qualifierId': 140, 'value': '62.2'}, {'id': 5120966027, 'qualifierId': 56, 'value': 'Center'}, {'id': 5120966025, 'qualifierId': 3}, {'id': 5120966033, 'qualifierId': 212, 'value': '4.2'}, {'id': 5120966035, 'qualifierId': 213, 'value': '4.51'}, {'id': 5120966031, 'qualifierId': 141, 'value': '68.8'}];5zeta56pml2qki1q095myhvys;R. Neri;;;ea8lyqscqclwzs6furodvyp04;Pass;;;;;;;;;;;;4,51;62,2;4,2;68,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;62,2;68,8;;;;;;;;0;0;28;Huntsville City;28;FW;1,0
2703956761;9;61;1;0;29;4gymgvqmve0m2vh89v84tt3x0;1;39,4;32,8;2024-07-28T00:04:17.050Z;2024-07-28T00:04:17Z;[{'id': 5120965931, 'qualifierId': 56, 'value': 'Back'}];d9cioqeofh2tfg3171r5nlb10;C. Applewhite;;;ea8lyqscqclwzs6furodvyp04;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;29;Atlanta United II;29;DL;1,0
