id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamFormation;value_TeamKit;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_Captain;value_DirectionOfPlay;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndY;value_PassEndX;value_Chipped;value_LongBall;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_DeletedEventType;value_IntendedTackleTarget;value_Offensive;value_TakeOnOvertake;value_Overrun;value_TakeOnSpace;value_BlockedPass;value_Defensive;value_LayOff;value_Assist;value_Assisted;value_RelatedEventId;value_GkY;value_BlockedX;value_GkX;value_IndividualPlay;value_OutOfBoxCentre;value_RegularPlay;value_Blocked;value_RightFooted;value_LowCentre;value_BlockedY;value_GoalmouthY;value_GoalmouthZ;value_DefBlock;value_TouchTypePass;value_TouchTypeClearance;value_Left;value_Right;value_OutSwinger;value_CornerTaken;value_Cross;value_IntentionalAssist;value_Head;value_FirstTouch;value_BoxCentre;value_High;value_FromCorner;value_NextEventGoalKick;value_GoalKick;value_OutOfPlay;value_Launch;value_MediumGkIntervention;value_TouchTypeControl;value_35Centre;value_FastBreak;value_Low;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_FreeKickTaken;value_AttemptedTackle;value_Direct;value_Foul;value_NotAssisted;value_FreeKick;value_FlickOn;value_ThroughBall;value_SixYardBlocked;value_LowLeft;value_SmallBoxLeft;value_LeftFooted;value_Injury;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_CaptainChange;value_Shove/Push;value_SwitchOfPlay;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_OtherObstacle;value_BallHitsReferee;value_Simulation;value_YellowCard;value_Straight;value_FloatedCross;value_GkKickFromHands;value_OverhitCross;value_DrinksBreak;value_RefereeDelay;value_2NdAssist;value_NotPastGoalLine;value_GkYTimeOfGoal;value_2NdRelatedEventId;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BigChance;value_Volley;value_HighLeft;value_2NdAssisted;value_GoalShotGameClock;value_ShirtPull/Holding;value_OverArm;value_TacticalFoul;value_OutOfBoxDeepLeft;value_HighRight;value_Hands;value_Reaching;value_Fingertip;value_SmallBoxCentre;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistedBy;value_LowRight;value_OwnGoal;value_InSwinger;value_Minutes;value_EndType;value_Tactical;value_Deflection;value_ParriedSafe;value_Standing;value_Diving;value_LowGkIntervention;value_Collected;value_1On1;value_KeeperTouched;value_CloseLeft;value_BlockedClearance;value_BlockedCross;value_TimeWasting;value_Stooping;value_HighCentre;value_PullBack;value_InjuredPlayerId;value_SmallBoxRight;value_Dissent;value_SetPiece;value_OwnPlayer;value_OwnShotBlocked;value_Strong;value_MisHit;value_RecklessOffence;value_CloseRight;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713744795;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-25T23:14:56.910Z;2024-08-26T00:48:41Z;[{'id': 5174947801, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174947795, 'qualifierId': 59, 'value': '98, 48, 59, 51, 34, 24, 49, 44, 99, 95, 57, 35, 50, 45, 42, 39, 60, 65, 66'}, {'id': 5174947797, 'qualifierId': 130, 'value': '13'}, {'id': 5175080259, 'qualifierId': 197, 'value': '15045'}, {'id': 5174947793, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5174947799, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174947791, 'qualifierId': 30, 'value': '39kv8a6a82fos9hw9esb84k16, a1rc6kukly42y5j5smz3w72tw, 98tyw392rp4ow3apn0ygrbtp0, cz98wcy8nq9hqncb2z33p4hec, a4staqjshva5lhcr0dw744nze, 58839nfw30jxxroffd3a7q0wk, f4gpras1h3k8qfz71u84iyyok, e2olfsduxvaqsx6rdbaasa356, tc5nl1hz1w06jobp5ckktr3e, clqg0gusupd6cehokpggbslck, byelagxi3qg0rb06tjl3fodn8, 1795jw1oc3pkthyq0kqexh65m, 1gmj4ge2sog221wqkmap8kidw, dbc343lsh3l20pi4a4gmd94wk, 6e688gqc8qzt0h9cutptkcd90, 2pka62t1zg04jwkcx6zbc4wlw, 9r22tf7lu2q4un35qwfsnpw5w, 2mpx1zzsiryzqjqqnko17jzmc, 4tcyjpnhwsxlay9mqedrpspp0'}, {'id': 5175183633, 'qualifierId': 194, 'value': 'a4staqjshva5lhcr0dw744nze'}];;;;;ewybi0eo716f3khjqyfizt7h0;Team set up;;;13,0;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2713744825;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-25T23:15:00.196Z;2024-08-26T00:45:06Z;[{'id': 5174947983, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 1snfyu5dmv164k5cl87chjlsk, 2wj1w4opn7f0jyz1ps6ebvc6i, 4uuq2zuhmlbg7kh85v5l8723u, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 77kab5634937x4txa891wg2s4, aa4ut2fmswha43fxnrxp1obo4, 60ej9rpig6xzj1d80w0ki92i, 3nvijn3ctkplajtt1dd23wycp, 7qt4r82kyz05r8kd8cmdh1xqs, azzpjrq2pndxuz0waw25p7r6y, e4vvdd1cn5ezrocpequewmwic, 9ph8wasuz3ndre586gople49g, 7yt2ddw0yntv9xq1hrv1jx05w, 3my8ymhvy1bysbllwpoj3qctm, bp0a3bvzsxokh4nu3bq96yx3o, bfsjxpmiflhdz2162ulqlo0lw, eirbk0b1nni4vfpeqgxvdrmz8, 2p2lvzr6lk92tevfvb5u6uiac'}, {'id': 5174947991, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5175173737, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5174947987, 'qualifierId': 59, 'value': '1, 30, 3, 18, 6, 14, 15, 19, 8, 27, 21, 11, 4, 9, 43, 12, 31, 13, 45, 50'}, {'id': 5174947985, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5175079389, 'qualifierId': 197, 'value': '15044'}, {'id': 5174947993, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174947989, 'qualifierId': 130, 'value': '4'}];;;;;ewybi0eo716f3khjqyfizt7h0;Team set up;;;4,0;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2713770043;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-26T00:04:11.427Z;2024-08-26T00:04:14Z;[{'id': 5175080785, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ewybi0eo716f3khjqyfizt7h0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2713770035;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-26T00:04:11.427Z;2024-08-30T07:17:23Z;[{'id': 5175080755, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ewybi0eo716f3khjqyfizt7h0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2713770069;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,3;49,6;2024-08-26T00:04:11.428Z;2024-08-26T00:04:16Z;[{'id': 5175080921, 'qualifierId': 212, 'value': '19.3'}, {'id': 5175080925, 'qualifierId': 279, 'value': 'S'}, {'id': 5175080915, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175080923, 'qualifierId': 213, 'value': '3.24'}, {'id': 5175080919, 'qualifierId': 141, 'value': '46.7'}, {'id': 5175080917, 'qualifierId': 140, 'value': '32.0'}];60ej9rpig6xzj1d80w0ki92i;G. Segal;;;ewybi0eo716f3khjqyfizt7h0;Pass;;;;;;;;;;19,3;;;3,24;46,7;32,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;32,0;46,7;;;;;;;0;0;0;0;Minnesota United II;0;FW;1,0
2713770075;4;1;1;0;5;7pmw399vh2v44cjle4fkklp1w;0;32,0;46,7;2024-08-26T00:04:16.632Z;2024-08-26T00:04:17Z;[{'id': 5175080965, 'qualifierId': 141, 'value': '84.7'}, {'id': 5175080967, 'qualifierId': 212, 'value': '46.3'}, {'id': 5175080963, 'qualifierId': 140, 'value': '68.6'}, {'id': 5175080961, 'qualifierId': 56, 'value': 'Left'}, {'id': 5175080969, 'qualifierId': 213, 'value': '0.59'}, {'id': 5175080959, 'qualifierId': 155}, {'id': 5175080971, 'qualifierId': 1}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;ewybi0eo716f3khjqyfizt7h0;Pass;;;;;;;;;;46,3;;;0,59;84,7;68,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;68,6;84,7;;;;;;;0;0;0;5;Minnesota United II;5;MC;1,0
2713770085;3;1;1;0;7;1pc6sx2h4rp113ldkbp5d2xas;0;24,4;7,1;2024-08-26T00:04:18.975Z;2024-08-26T00:05:07Z;[{'id': 5175081023, 'qualifierId': 213, 'value': '6.04'}, {'id': 5175081017, 'qualifierId': 140, 'value': '47.8'}, {'id': 5175081015, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175081013, 'qualifierId': 3}, {'id': 5175081019, 'qualifierId': 141, 'value': '0.0'}, {'id': 5175081021, 'qualifierId': 212, 'value': '25.3'}];a1rc6kukly42y5j5smz3w72tw;T. Ibsais;;;ewybi0eo716f3khjqyfizt7h0;Pass;;;;;;;;;;25,3;;;6,04;0,0;47,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;47,8;0,0;;;;;;;0;0;0;7;Houston Dynamo II;7;DMR;1,0
2713770087;4;5;1;0;9;1pc6sx2h4rp113ldkbp5d2xas;0;46,6;-1,4;2024-08-26T00:04:20.543Z;2024-08-26T02:03:27Z;[{'id': 5175081029, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175081031, 'qualifierId': 347}, {'id': 5175081119, 'qualifierId': 233, 'value': '5'}];a1rc6kukly42y5j5smz3w72tw;T. Ibsais;;;ewybi0eo716f3khjqyfizt7h0;Out;;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;9;Houston Dynamo II;9;DMR;1,0
2713770097;5;5;1;0;9;7pmw399vh2v44cjle4fkklp1w;1;53,4;101,4;2024-08-26T00:04:20.543Z;2024-08-26T02:03:27Z;[{'id': 5175081085, 'qualifierId': 56, 'value': 'Left'}, {'id': 5175081087, 'qualifierId': 347}, {'id': 5175081089, 'qualifierId': 233, 'value': '4'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;ewybi0eo716f3khjqyfizt7h0;Out;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;9;Minnesota United II;9;FWL;1,0
2713770111;6;1;1;0;11;7pmw399vh2v44cjle4fkklp1w;1;54,1;100,0;2024-08-26T00:04:22.520Z;2024-08-30T07:33:28Z;[{'id': 5175081183, 'qualifierId': 141, 'value': '87.5'}, {'id': 5175081179, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175081177, 'qualifierId': 107}, {'id': 5175081181, 'qualifierId': 140, 'value': '41.6'}, {'id': 5175081187, 'qualifierId': 213, 'value': '3.75'}, {'id': 5175081185, 'qualifierId': 212, 'value': '16.0'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;ewybi0eo716f3khjqyfizt7h0;Pass;;;;;;;;;;16,0;;;3,75;87,5;41,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;41,6;87,5;;;;;;;0;0;0;11;Minnesota United II;11;FWL;1,0
