id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Resume;value_JerseyNumber;value_Involved;value_Captain;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Angle;value_PassEndY;value_Zone;value_Length;value_PassEndX;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_FlickOn;value_TouchTypePass;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_DeletedEventType;value_TakeOnSpace;value_LayOff;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_BlockedPass;value_Unchallenged;value_LowGkIntervention;value_KeeperThrow;value_Chipped;value_NotVisible;value_OverArm;value_TakeOnOvertake;value_Shove/Push;value_OutOfPlay;value_Right;value_Left;value_Cross;value_CornerTaken;value_LeftFooted;value_InSwinger;value_Handball;value_GoalDisallowed;value_PlayersCaughtOffside;value_Indirect;value_HighGkIntervention;value_GkHoof;value_RightFooted;value_OutSwinger;value_TouchTypeControl;value_Overrun;value_FloatedCross;value_Straight;value_MediumGkIntervention;value_GoalmouthY;value_GoalmouthZ;value_GkY;value_IndividualPlay;value_NotPastGoalLine;value_35Centre;value_BlockedX;value_FastBreak;value_NotAssisted;value_FirstTouch;value_BlockedY;value_GkX;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_Assist;value_RelatedEventId;value_RegularPlay;value_LowCentre;value_Assisted;value_OutOfBoxCentre;value_Stooping;value_Hands;value_ParriedSafe;value_GkStart;value_High;value_Head;value_TimeWasting;value_YellowCard;value_FromCorner;value_Volley;value_Blocked;value_DefBlock;value_PullBack;value_BoxCentre;value_Collected;value_ThroughBall;value_GoalShotGameClock;value_GkXTimeOfGoal;value_SwerveLeft;value_LowLeft;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_BlockedCross;value_Minutes;value_Simulation;value_SecondYellow;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_CaptainChange;value_IntentionalAssist;value_LowRight;value_BoxLeft;value_Diving;value_BoxDeepLeft;value_LeadingToAttempt;value_RelatedError1Id;value_GkKickFromHands;value_LastLine;value_RecklessOffence;value_CloseLeft;value_FreeKick;value_Caught;value_Standing;value_InjuredPlayerId;value_Injury;value_HighRight;value_HighClaim;value_ShirtPull/Holding;value_SoloRun;value_SmallBoxLeft;value_FantasyAssistType;value_FantasyAssistedBy;value_OtherBodyPart;value_FantasyAssistTeam;value_FantasyAssistId;value_OwnGoal;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695842741;4;7;1;0;11;6ddsx316t3j0z6nolrky9k4r8;1;20,0;87,8;2024-06-12T23:04:08.623Z;2024-06-15T06:24:15Z;[{'id': 5077505149, 'qualifierId': 384}, {'id': 5076148021, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076148023, 'qualifierId': 285}, {'id': 5076148061, 'qualifierId': 233, 'value': '7'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;de9ncfncrtgy0sq3v2vjcdic4;Tackle;;;;;;;;;;;;;;;;;;7,0;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;11;Toronto II;11;DC;1,0
2695842807;11;61;1;0;12;6ddsx316t3j0z6nolrky9k4r8;1;23,9;87,1;2024-06-12T23:04:09.197Z;2024-06-12T23:04:57Z;[{'id': 5076148323, 'qualifierId': 56, 'value': 'Back'}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;de9ncfncrtgy0sq3v2vjcdic4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;12;Toronto II;12;AML;1,0
2695842837;12;83;1;0;14;6ddsx316t3j0z6nolrky9k4r8;0;16,3;89,0;2024-06-12T23:04:11.375Z;2024-06-12T23:19:18Z;[{'id': 5076162365, 'qualifierId': 399, 'value': '5l9js12tsf18c7st0oac3swes'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;de9ncfncrtgy0sq3v2vjcdic4;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;14;Toronto II;14;DC;1,0
2695842749;8;61;1;0;15;29nx7yxy1rdqv2oobqn5pjf8p;0;92,9;7,1;2024-06-12T23:04:11.911Z;2024-06-12T23:04:12Z;[{'id': 5076148069, 'qualifierId': 56, 'value': 'Right'}];5l9js12tsf18c7st0oac3swes;T. Rigopoulos;;;de9ncfncrtgy0sq3v2vjcdic4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;15;New York City II;15;DMR;1,0
2695842755;5;49;1;0;17;6ddsx316t3j0z6nolrky9k4r8;1;1,4;93,5;2024-06-12T23:04:13.823Z;2024-06-12T23:04:13Z;[];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;de9ncfncrtgy0sq3v2vjcdic4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;17;Toronto II;17;AML;1,0
2695842765;6;1;1;0;19;6ddsx316t3j0z6nolrky9k4r8;0;3,3;95,0;2024-06-12T23:04:16.751Z;2024-06-15T06:24:40Z;[{'id': 5076148129, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076148139, 'qualifierId': 1}, {'id': 5076148127, 'qualifierId': 157}, {'id': 5076148133, 'qualifierId': 141, 'value': '95.7'}, {'id': 5076148137, 'qualifierId': 213, 'value': '0.19'}, {'id': 5076148135, 'qualifierId': 212, 'value': '2.6'}, {'id': 5076148131, 'qualifierId': 140, 'value': '5.7'}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;de9ncfncrtgy0sq3v2vjcdic4;Pass;;;;;;;;;;;0,19;95,7;;2,6;5,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;5,7;95,7;;;;;;;0;0;0;19;Toronto II;19;AML;1,0
2695842761;9;61;1;0;20;29nx7yxy1rdqv2oobqn5pjf8p;1;91,6;7,0;2024-06-12T23:04:17.086Z;2024-06-12T23:04:17Z;[{'id': 5076148121, 'qualifierId': 56, 'value': 'Right'}];5l9js12tsf18c7st0oac3swes;T. Rigopoulos;;;de9ncfncrtgy0sq3v2vjcdic4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;20;New York City II;20;DMR;1,0
2695842789;7;5;1;0;22;6ddsx316t3j0z6nolrky9k4r8;1;21,4;100,8;2024-06-12T23:04:18.830Z;2024-06-12T23:20:08Z;[{'id': 5076148281, 'qualifierId': 233, 'value': '10'}, {'id': 5076148267, 'qualifierId': 347}, {'id': 5076148265, 'qualifierId': 56, 'value': 'Back'}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;de9ncfncrtgy0sq3v2vjcdic4;Out;;;;;;;;;;;;;;;;;;10,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;22;Toronto II;22;AML;1,0
2695842763;10;5;1;0;22;29nx7yxy1rdqv2oobqn5pjf8p;0;78,6;-0,8;2024-06-12T23:04:18.830Z;2024-06-12T23:04:39Z;[{'id': 5076148125, 'qualifierId': 347}, {'id': 5076148285, 'qualifierId': 233, 'value': '7'}, {'id': 5076148123, 'qualifierId': 56, 'value': 'Right'}];5l9js12tsf18c7st0oac3swes;T. Rigopoulos;;;de9ncfncrtgy0sq3v2vjcdic4;Out;;;;;;;;;;;;;;;;;;7,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;22;New York City II;22;DMR;1,0
2695842791;8;1;1;0;41;6ddsx316t3j0z6nolrky9k4r8;0;24,4;100,0;2024-06-12T23:04:38.271Z;2024-06-12T23:04:38Z;[{'id': 5076148275, 'qualifierId': 141, 'value': '94.5'}, {'id': 5076148269, 'qualifierId': 107}, {'id': 5076148279, 'qualifierId': 213, 'value': '5.96'}, {'id': 5076148273, 'qualifierId': 140, 'value': '36.9'}, {'id': 5076148277, 'qualifierId': 212, 'value': '13.8'}, {'id': 5076148271, 'qualifierId': 56, 'value': 'Back'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;de9ncfncrtgy0sq3v2vjcdic4;Pass;;;;;;;;;;;5,96;94,5;;13,8;36,9;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;36,9;94,5;;;;;;;0;0;0;41;Toronto II;41;DC;1,0
