id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_Captain;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_Length;value_Zone;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_NotVisible;value_Launch;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_Chipped;value_LayOff;value_Overrun;value_TakeOnOvertake;value_TouchTypeClearance;value_TouchTypePass;value_BlockedPass;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_IntendedTackleTarget;value_DeletedEventType;value_ShirtPull/Holding;value_OutOfPlay;value_Head;value_Cross;value_InSwinger;value_RightFooted;value_HighGkIntervention;value_KeeperThrow;value_TakeOnSpace;value_TouchTypeControl;value_Shove/Push;value_Defensive1V1;value_Assist;value_IntentionalAssist;value_Right;value_GoalmouthZ;value_BoxCentre;value_GkX;value_GkY;value_RegularPlay;value_RelatedEventId;value_FirstTouch;value_GoalmouthY;value_Assisted;value_NextEventGoalKick;value_High;value_GoalKick;value_LeftFooted;value_IndividualPlay;value_Left;value_35Centre;value_BlockedY;value_NotPastGoalLine;value_NotAssisted;value_BlockedX;value_OutSwinger;value_BlockedCross;value_CornerTaken;value_FromCorner;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_BigChance;value_SmallBoxCentre;value_HighCentre;value_GoalShotTimestamp;value_YellowCard;value_TacticalFoul;value_SetPiece;value_LowLeft;value_Blocked;value_DefBlock;value_LowCentre;value_OutOfBoxCentre;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_LowRight;value_Review;value_ParriedSafe;value_Hands;value_Standing;value_SavedOffLine;value_1On1;value_Deflection;value_SixYardBlocked;value_LastLine;value_PlayersCaughtOffside;value_Indirect;value_BoxRight;value_Low;value_Diving;value_MediumGkIntervention;value_ParriedDanger;value_LowGkIntervention;value_OverArm;value_FreeKick;value_CloseHigh;value_FlickOn;value_ThroughBall;value_Minutes;value_EndType;value_Volley;value_Collected;value_BoxLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_LeadingToAttempt;value_RelatedError1Id;value_Sliding;value_Feet;value_GkKickFromHands;value_GkHoof;value_Straight;value_DrivenCross;value_PullBack;value_CaptainChange;value_RecklessOffence;value_Handball;value_HighClaim;value_Stooping;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696309139;720;1;2;77;43;2nnef9tr9g7m2s6n873qif95g;1;63,9;26,2;2024-06-16T01:12:32.857Z;2024-06-16T01:12:34Z;[{'id': 5078710185, 'qualifierId': 56, 'value': 'Right'}, {'id': 5078710189, 'qualifierId': 141, 'value': '13.4'}, {'id': 5078710191, 'qualifierId': 212, 'value': '9.6'}, {'id': 5078710187, 'qualifierId': 140, 'value': '67.7'}, {'id': 5078710193, 'qualifierId': 213, 'value': '5.14'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;9,6;;5,14;;67,7;13,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;67,7;13,4;;;;;;;0;0;77;43;Cincinnati II;4663;MC;1,0
2696309153;721;1;2;77;44;2nnef9tr9g7m2s6n873qif95g;1;67,2;13,5;2024-06-16T01:12:34.185Z;2024-06-16T01:12:35Z;[{'id': 5078710271, 'qualifierId': 212, 'value': '10.5'}, {'id': 5078710263, 'qualifierId': 56, 'value': 'Center'}, {'id': 5078710265, 'qualifierId': 140, 'value': '67.8'}, {'id': 5078710273, 'qualifierId': 213, 'value': '1.51'}, {'id': 5078710267, 'qualifierId': 141, 'value': '28.9'}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;10,5;;1,51;;67,8;28,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;67,8;28,9;;;;;;;0;0;77;44;Cincinnati II;4664;Sub;1,0
2696309177;722;1;2;77;46;2nnef9tr9g7m2s6n873qif95g;1;67,8;28,9;2024-06-16T01:12:35.779Z;2024-06-16T01:12:38Z;[{'id': 5078710455, 'qualifierId': 212, 'value': '9.3'}, {'id': 5078710453, 'qualifierId': 141, 'value': '15.5'}, {'id': 5078710457, 'qualifierId': 213, 'value': '4.53'}, {'id': 5078710449, 'qualifierId': 56, 'value': 'Right'}, {'id': 5078710451, 'qualifierId': 140, 'value': '66.2'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;9,3;;4,53;;66,2;15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;66,2;15,5;;;;;;;0;0;77;46;Cincinnati II;4666;MC;1,0
2696309209;723;1;2;77;49;2nnef9tr9g7m2s6n873qif95g;1;67,3;18,8;2024-06-16T01:12:38.419Z;2024-06-16T01:12:41Z;[{'id': 5078710599, 'qualifierId': 213, 'value': '5.08'}, {'id': 5078710595, 'qualifierId': 141, 'value': '3.5'}, {'id': 5078710593, 'qualifierId': 140, 'value': '71.1'}, {'id': 5078710597, 'qualifierId': 212, 'value': '11.1'}, {'id': 5078710591, 'qualifierId': 56, 'value': 'Right'}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;11,1;;5,08;;71,1;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;71,1;3,5;;;;;;;0;0;77;49;Cincinnati II;4669;Sub;1,0
2696309227;724;1;2;77;52;2nnef9tr9g7m2s6n873qif95g;1;70,6;4,6;2024-06-16T01:12:41.309Z;2024-06-16T01:12:42Z;[{'id': 5078710701, 'qualifierId': 140, 'value': '71.6'}, {'id': 5078710707, 'qualifierId': 213, 'value': '1.48'}, {'id': 5078710705, 'qualifierId': 212, 'value': '11.1'}, {'id': 5078710703, 'qualifierId': 141, 'value': '20.9'}, {'id': 5078710699, 'qualifierId': 56, 'value': 'Right'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;11,1;;1,48;;71,6;20,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;71,6;20,9;;;;;;;0;0;77;52;Cincinnati II;4672;MC;1,0
2696309249;725;1;2;77;53;2nnef9tr9g7m2s6n873qif95g;1;70,0;21,3;2024-06-16T01:12:42.730Z;2024-06-16T01:12:44Z;[{'id': 5078710839, 'qualifierId': 56, 'value': 'Right'}, {'id': 5078710841, 'qualifierId': 140, 'value': '57.2'}, {'id': 5078710847, 'qualifierId': 213, 'value': '3.44'}, {'id': 5078710843, 'qualifierId': 141, 'value': '15.3'}, {'id': 5078710845, 'qualifierId': 212, 'value': '14.0'}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;14,0;;3,44;;57,2;15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;57,2;15,3;;;;;;;0;0;77;53;Cincinnati II;4673;Sub;1,0
2696309269;726;1;2;77;55;2nnef9tr9g7m2s6n873qif95g;1;57,5;15,3;2024-06-16T01:12:44.793Z;2024-06-16T01:12:46Z;[{'id': 5078710943, 'qualifierId': 56, 'value': 'Center'}, {'id': 5078710945, 'qualifierId': 140, 'value': '52.3'}, {'id': 5078710949, 'qualifierId': 212, 'value': '12.3'}, {'id': 5078710951, 'qualifierId': 213, 'value': '2.03'}, {'id': 5078710947, 'qualifierId': 141, 'value': '31.5'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;12,3;;2,03;;52,3;31,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;52,3;31,5;;;;;;;0;0;77;55;Cincinnati II;4675;DC;1,0
2696309289;727;1;2;77;57;2nnef9tr9g7m2s6n873qif95g;1;52,7;31,8;2024-06-16T01:12:46.698Z;2024-06-16T01:12:49Z;[{'id': 5078711047, 'qualifierId': 141, 'value': '55.2'}, {'id': 5078711051, 'qualifierId': 213, 'value': '1.01'}, {'id': 5078711049, 'qualifierId': 212, 'value': '18.8'}, {'id': 5078711045, 'qualifierId': 140, 'value': '62.3'}, {'id': 5078711043, 'qualifierId': 56, 'value': 'Center'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;18,8;;1,01;;62,3;55,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;62,3;55,2;;;;;;;0;0;77;57;Cincinnati II;4677;DC;1,0
2696309323;728;1;2;77;59;2nnef9tr9g7m2s6n873qif95g;1;63,6;55,8;2024-06-16T01:12:49.042Z;2024-06-16T01:12:52Z;[{'id': 5078711217, 'qualifierId': 141, 'value': '80.3'}, {'id': 5078711209, 'qualifierId': 56, 'value': 'Left'}, {'id': 5078711221, 'qualifierId': 213, 'value': '1.28'}, {'id': 5078711213, 'qualifierId': 140, 'value': '68.3'}, {'id': 5078711219, 'qualifierId': 212, 'value': '17.4'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;17,4;;1,28;;68,3;80,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;68,3;80,3;;;;;;;0;0;77;59;Cincinnati II;4679;MC;1,0
2696309355;729;1;2;78;2;2nnef9tr9g7m2s6n873qif95g;1;68,3;80,3;2024-06-16T01:12:51.995Z;2024-06-16T01:12:56Z;[{'id': 5078711413, 'qualifierId': 213, 'value': '4.37'}, {'id': 5078711407, 'qualifierId': 141, 'value': '67.0'}, {'id': 5078711403, 'qualifierId': 56, 'value': 'Center'}, {'id': 5078711405, 'qualifierId': 140, 'value': '65.2'}, {'id': 5078711409, 'qualifierId': 212, 'value': '9.6'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;9,6;;4,37;;65,2;67,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;65,2;67,0;;;;;;;0;0;78;2;Cincinnati II;4682;DC;1,0
