id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_Involved;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_Zone;value_Length;value_KickOff;value_PassEndY;value_PassEndX;value_IntendedTackleTarget;value_LongBall;value_Launch;value_DrivenCross;value_LeftFooted;value_Cross;value_Straight;value_OutOfPlay;value_OppositeRelatedEventId;value_Left;value_InSwinger;value_CornerTaken;value_Chipped;value_RightFooted;value_Head;value_OutOfBoxCentre;value_BlockedX;value_NotAssisted;value_Blocked;value_BlockedY;value_GkX;value_GoalmouthZ;value_FromCorner;value_GoalmouthY;value_LowCentre;value_GkY;value_DefBlock;value_BoxLeft;value_LowLeft;value_FirstTouch;value_Hands;value_LowGkIntervention;value_Collected;value_Stooping;value_OverArm;value_KeeperThrow;value_SwitchOfPlay;value_NotVisible;value_LayOff;value_DeletedEventType;value_HeadPass;value_Offensive;value_Defensive;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_OutSwinger;value_TouchTypeControl;value_BlockedClearance;value_GkKickFromHands;value_OutOfBoxDeepRight;value_RegularPlay;value_HighRight;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedPass;value_TouchTypeClearance;value_Assist;value_Assisted;value_CloseRight;value_RelatedEventId;value_TakeOnOvertake;value_Right;value_IntentionalAssist;value_SmallBoxLeft;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_Overrun;value_MediumGkIntervention;value_ThroughBall;value_BoxCentre;value_BigChance;value_LowRight;value_1On1;value_OtherBodyPart;value_ParriedSafe;value_TakeOnSpace;value_AerialFoul;value_Volley;value_FlickOn;value_BlockedCross;value_HighGkIntervention;value_PlayersCaughtOffside;value_RefereeDelay;value_DrinksBreak;value_Indirect;value_FloatedCross;value_ShirtPull/Holding;value_FastBreak;value_Minutes;value_NotPastGoalLine;value_BoxRight;value_EndType;value_Shove/Push;value_PullBack;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_CaptainChange;value_Diving;value_CloseHigh;value_YellowCard;value_Dissent;value_RecklessOffence;value_CloseLeft;value_Feet;value_GoalDisallowed;value_Tactical;value_GkYTimeOfGoal;value_SoloRun;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_TacticalFoul;value_SwerveRight;value_Handball;value_TimeWasting;value_HighLeft;value_SixYardBlocked;value_High;value_SetPiece;value_2NdAssist;value_2NdRelatedEventId;value_SmallBoxCentre;value_HighCentre;value_2NdAssisted;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Saved;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706275105;516;3;2;53;58;4gymgvqmve0m2vh89v84tt3x0;1;87,3;78,0;2024-08-04T22:17:16.053Z;2024-08-08T11:19:56Z;[{'id': 5133696527, 'qualifierId': 56, 'value': 'Center'}, {'id': 5136496423, 'qualifierId': 465}, {'id': 5133696537, 'qualifierId': 233, 'value': '453'}, {'id': 5133696529, 'qualifierId': 286}];374euncv00zs2oy6ux1u519be;J. Skinner;;;egnfitdrppkyldobr6cg58lxw;Take On;;;;;;;;;;;;;;;;;;;;;;;;453,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;53;58;Crown Legacy;3238;ML;1,0
2706275127;517;1;2;53;59;4gymgvqmve0m2vh89v84tt3x0;1;93,1;73,5;2024-08-04T22:17:17.317Z;2024-08-04T22:17:18Z;[{'id': 5133696605, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133696613, 'qualifierId': 213, 'value': '4.10'}, {'id': 5133696609, 'qualifierId': 141, 'value': '64.2'}, {'id': 5133696607, 'qualifierId': 140, 'value': '88.9'}, {'id': 5133696611, 'qualifierId': 212, 'value': '7.7'}];374euncv00zs2oy6ux1u519be;J. Skinner;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;4,1;;7,7;;64,2;88,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;88,9;64,2;;;;;;;;0;53;59;Crown Legacy;3239;ML;1,0
2706275143;518;1;2;54;0;4gymgvqmve0m2vh89v84tt3x0;1;88,9;64,2;2024-08-04T22:17:18.581Z;2024-08-04T22:17:31Z;[{'id': 5133697135, 'qualifierId': 154}, {'id': 5133696711, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133696719, 'qualifierId': 213, 'value': '4.67'}, {'id': 5133697133, 'qualifierId': 210, 'value': '13'}, {'id': 5133696715, 'qualifierId': 141, 'value': '36.0'}, {'id': 5133696709, 'qualifierId': 155}, {'id': 5133696713, 'qualifierId': 140, 'value': '88.2'}, {'id': 5133696717, 'qualifierId': 212, 'value': '19.2'}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;1,0;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;4,67;;19,2;;36,0;88,2;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;88,2;36,0;;;;;;;;0;54;0;Crown Legacy;3240;FW;1,0
2706275177;454;45;2;54;3;6ubc4y1v6hr63mca7ica4hp90;0;8,8;57,8;2024-08-04T22:17:21.301Z;2024-08-04T22:17:26Z;[{'id': 5133696915, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133696949, 'qualifierId': 233, 'value': '519'}, {'id': 5133696917, 'qualifierId': 285}];aiifscgp07zvj7thb3p3huelm;G. Marks;;;egnfitdrppkyldobr6cg58lxw;Challenge;;;;;;;;;;;;;;;;;;;;;;;;519,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;54;3;Huntsville City;3243;GK;1,0
2706275159;519;3;2;54;3;4gymgvqmve0m2vh89v84tt3x0;1;91,2;42,2;2024-08-04T22:17:21.301Z;2024-08-08T11:20:18Z;[{'id': 5133696945, 'qualifierId': 233, 'value': '454'}, {'id': 5133696797, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133696799, 'qualifierId': 286}, {'id': 5136496455, 'qualifierId': 464}];5mkyx29nr54rr3quwdgfpz3oq;E. O'Brien;;;egnfitdrppkyldobr6cg58lxw;Take On;;;;;;;;;;;;;;;;;;;;;;;;454,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;54;3;Crown Legacy;3243;MC;1,0
2706275163;520;13;2;54;4;4gymgvqmve0m2vh89v84tt3x0;1;91,5;45,8;2024-08-04T22:17:21.925Z;2024-08-14T12:26:27Z;[{'id': 5148358555, 'qualifierId': 85}, {'id': 5148358557, 'qualifierId': 215}, {'id': 5133696907, 'qualifierId': 72}, {'id': 5133696815, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133697151, 'qualifierId': 102, 'value': '50.6'}, {'id': 5133696813, 'qualifierId': 17}, {'id': 5133696811, 'qualifierId': 22}, {'id': 5133697153, 'qualifierId': 103, 'value': '56.9'}, {'id': 5133697145, 'qualifierId': 154}, {'id': 5133697157, 'qualifierId': 231, 'value': '40.6'}, {'id': 5133697147, 'qualifierId': 55, 'value': '518'}, {'id': 5133697143, 'qualifierId': 29}, {'id': 5133697155, 'qualifierId': 230, 'value': '91.9'}];5mkyx29nr54rr3quwdgfpz3oq;E. O'Brien;;;egnfitdrppkyldobr6cg58lxw;Miss;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;91,9;56,9;;50,6;;40,6;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;;;1,0;;518,0;;;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;50,6;56.9;518,0;6qe888q8yqq73bxr27jbyu2hg;;0;54;4;Crown Legacy;3244;MC;1,0
2706275183;455;5;2;54;5;6ubc4y1v6hr63mca7ica4hp90;1;-1,0;49,5;2024-08-04T22:17:22.982Z;2024-08-04T22:27:54Z;[{'id': 5133696961, 'qualifierId': 346}, {'id': 5133696977, 'qualifierId': 233, 'value': '521'}, {'id': 5133696959, 'qualifierId': 56, 'value': 'Back'}];aiifscgp07zvj7thb3p3huelm;G. Marks;;;egnfitdrppkyldobr6cg58lxw;Out;;;;;;;;;;;;;;;;;;;;;;;;521,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;54;5;Huntsville City;3245;GK;1,0
2706275165;521;5;2;54;5;4gymgvqmve0m2vh89v84tt3x0;0;101,0;50,5;2024-08-04T22:17:22.982Z;2024-08-04T22:17:27Z;[{'id': 5133696983, 'qualifierId': 233, 'value': '455'}, {'id': 5133696845, 'qualifierId': 346}, {'id': 5133696843, 'qualifierId': 56, 'value': 'Center'}];5mkyx29nr54rr3quwdgfpz3oq;E. O'Brien;;;egnfitdrppkyldobr6cg58lxw;Out;;;;;;;;;;;;;;;;;;;;;;;;455,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;54;5;Crown Legacy;3245;MC;1,0
2706275395;456;1;2;54;40;6ubc4y1v6hr63mca7ica4hp90;1;4,3;61,1;2024-08-04T22:17:58.048Z;2024-08-04T22:19:22Z;[{'id': 5133698367, 'qualifierId': 140, 'value': '2.1'}, {'id': 5133698363, 'qualifierId': 124}, {'id': 5133698365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133698373, 'qualifierId': 213, 'value': '4.40'}, {'id': 5133698377, 'qualifierId': 237}, {'id': 5133698371, 'qualifierId': 212, 'value': '7.4'}, {'id': 5133698369, 'qualifierId': 141, 'value': '50.7'}];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;4,4;;7,4;;50,7;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;2,1;50,7;;;;;;;;0;54;40;Huntsville City;3280;DC;1,0
2706275419;457;1;2;54;43;6ubc4y1v6hr63mca7ica4hp90;1;6,7;48,3;2024-08-04T22:18:00.945Z;2024-08-04T22:18:05Z;[{'id': 5133698589, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133698599, 'qualifierId': 213, 'value': '0.13'}, {'id': 5133698601, 'qualifierId': 1}, {'id': 5133698595, 'qualifierId': 141, 'value': '56.4'}, {'id': 5133698585, 'qualifierId': 157}, {'id': 5133698597, 'qualifierId': 212, 'value': '42.0'}, {'id': 5133698593, 'qualifierId': 140, 'value': '46.4'}];aiifscgp07zvj7thb3p3huelm;G. Marks;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;0,13;;42,0;;56,4;46,4;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;46,4;56,4;;;;;;;;0;54;43;Huntsville City;3283;GK;1,0
