id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_PassEndY;value_KickOff;value_Length;value_Offensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Defensive;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_Chipped;value_TakeOnOvertake;value_TouchTypeClearance;value_IntentionalAssist;value_Assist;value_Blocked;value_GoalmouthZ;value_BlockedY;value_RegularPlay;value_BoxLeft;value_Assisted;value_GoalmouthY;value_LowRight;value_BlockedX;value_GkX;value_GkY;value_RelatedEventId;value_RightFooted;value_DefBlock;value_HeadPass;value_DeletedEventType;value_TouchTypeControl;value_IntendedTackleTarget;value_LayOff;value_SoloRun;value_GoalShotGameClock;value_KeeperTouched;value_HighLeft;value_IndividualPlay;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_OutOfBoxCentre;value_LongBall;value_SwitchOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_Head;value_Cross;value_LeftFooted;value_InSwinger;value_NextEventGoalKick;value_NotVisible;value_GoalKick;value_Low;value_LowCentre;value_FlickOn;value_DrivenCross;value_Straight;value_MediumGkIntervention;value_KeeperThrow;value_Direct;value_ShirtPull/Holding;value_Foul;value_OutSwinger;value_AttemptedTackle;value_OutOfPlay;value_BlockedPass;value_TakeOnSpace;value_TempMissed;value_BoxCentre;value_Left;value_CornerTaken;value_Right;value_FirstTouch;value_FromCorner;value_NotAssisted;value_BigChance;value_SavedOffLine;value_LastLine;value_SmallBoxLeft;value_Collected;value_LowGkIntervention;value_Feet;value_Stooping;value_ThroughBall;value_FastBreak;value_CloseRight;value_BlockedClearance;value_Shove/Push;value_BoxDeepRight;value_SixYardBlocked;value_ThrowInSetPiece;value_GkStart;value_FollowsADribble;value_HighRight;value_RecklessOffence;value_YellowCard;value_BoxRight;value_HighClaim;value_HighGkIntervention;value_Hands;value_Diving;value_OverhitCross;value_Minutes;value_Overrun;value_High;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_CaptainChange;value_Strong;value_HitWoodwork;value_HitBar;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GkKickFromHands;value_NotPastGoalLine;value_SecondYellow;value_NotRetreating;value_OverArm;value_LeadingToAttempt;value_1On1;value_RelatedError1Id;value_ParriedDanger;value_Deflection;value_Standing;value_GkHoof;value_ParriedSafe;value_HighCentre;value_Handball;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718504651;26;1;1;1;48;1pc6sx2h4rp113ldkbp5d2xas;1;63,4;75,9;2024-09-08T19:07:26.312Z;2024-09-08T19:07:27Z;[{'id': 5201122893, 'qualifierId': 213, 'value': '3.21'}, {'id': 5201122889, 'qualifierId': 141, 'value': '74.8'}, {'id': 5201122891, 'qualifierId': 212, 'value': '11.2'}, {'id': 5201122885, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201122887, 'qualifierId': 140, 'value': '52.8'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;52,8;;3,21;74,8;;11,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;52,8;74,8;;;;;;;;0;1;48;Austin II;108;MC;1,0
2718504667;27;1;1;1;49;1pc6sx2h4rp113ldkbp5d2xas;1;52,7;74,8;2024-09-08T19:07:27.816Z;2024-09-08T19:07:31Z;[{'id': 5201122987, 'qualifierId': 56, 'value': 'Left'}, {'id': 5201122995, 'qualifierId': 213, 'value': '1.11'}, {'id': 5201122989, 'qualifierId': 140, 'value': '58.6'}, {'id': 5201122991, 'qualifierId': 141, 'value': '93.3'}, {'id': 5201122993, 'qualifierId': 212, 'value': '14.0'}];58839nfw30jxxroffd3a7q0wk;Hugo Bacharach;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;58,6;;1,11;93,3;;14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;58,6;93,3;;;;;;;;0;1;49;Austin II;109;DC;1,0
2718504673;28;1;1;1;53;1pc6sx2h4rp113ldkbp5d2xas;1;60,8;91,4;2024-09-08T19:07:31.175Z;2024-09-08T19:07:33Z;[{'id': 5201123033, 'qualifierId': 213, 'value': '0.13'}, {'id': 5201123031, 'qualifierId': 212, 'value': '26.8'}, {'id': 5201123029, 'qualifierId': 141, 'value': '96.4'}, {'id': 5201123025, 'qualifierId': 56, 'value': 'Left'}, {'id': 5201123027, 'qualifierId': 140, 'value': '86.1'}];c3f7oxhzkegam5g1cn1j8j7jd;S. Shashoua;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;86,1;;0,13;96,4;;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;86,1;96,4;;;;;;;;0;1;53;Austin II;113;MC;1,0
2718504693;29;1;1;1;55;1pc6sx2h4rp113ldkbp5d2xas;1;86,5;96,1;2024-09-08T19:07:33.800Z;2024-09-11T07:13:22Z;[{'id': 5204534211, 'qualifierId': 154}, {'id': 5201123159, 'qualifierId': 213, 'value': '4.43'}, {'id': 5201123155, 'qualifierId': 141, 'value': '78.0'}, {'id': 5201131107, 'qualifierId': 210, 'value': '15'}, {'id': 5201123151, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201123153, 'qualifierId': 140, 'value': '83.1'}, {'id': 5201123157, 'qualifierId': 212, 'value': '12.8'}];4ecgnoxeou0m46yw8hwisbrx0;A. Markanich;1,0;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;83,1;;4,43;78,0;;12,8;;;;;;;;;;;1,0;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;83,1;78,0;;;;;;;;0;1;55;Austin II;115;DC;1,0
2718504699;30;15;1;1;59;1pc6sx2h4rp113ldkbp5d2xas;1;83,6;68,3;2024-09-08T19:07:37.672Z;2024-09-11T07:13:22Z;[{'id': 5201130785, 'qualifierId': 82}, {'id': 5201131125, 'qualifierId': 103, 'value': '19'}, {'id': 5201131131, 'qualifierId': 147, 'value': '60.3'}, {'id': 5201123189, 'qualifierId': 22}, {'id': 5201123191, 'qualifierId': 64}, {'id': 5201131117, 'qualifierId': 29}, {'id': 5204534217, 'qualifierId': 154}, {'id': 5201131123, 'qualifierId': 102, 'value': '46.7'}, {'id': 5201131115, 'qualifierId': 80}, {'id': 5201131129, 'qualifierId': 146, 'value': '89.7'}, {'id': 5201131133, 'qualifierId': 230, 'value': '98.9'}, {'id': 5201123193, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201131141, 'qualifierId': 233, 'value': '11'}, {'id': 5201131135, 'qualifierId': 231, 'value': '54.7'}, {'id': 5201131119, 'qualifierId': 55, 'value': '29'}, {'id': 5201130781, 'qualifierId': 20}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;2elx99ldlrlgb7csggsp5w4;Attempt Saved;;;;;;;;;;;;;;;;;11,0;;;;;;;;;1,0;;1,0;19,0;60,3;1,0;1,0;1,0;46,7;1,0;89,7;98,9;54,7;29,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;89,7;60,3;46,7;19;29,0;4ecgnoxeou0m46yw8hwisbrx0;;0;1;59;Austin II;119;FWL;1,0
2718504701;11;10;1;1;59;d0c07im4a6oj8qa7f1zlt3pqs;1;10,7;40,1;2024-09-08T19:07:37.772Z;2024-09-11T07:13:36Z;[{'id': 5201123201, 'qualifierId': 94}, {'id': 5201131159, 'qualifierId': 233, 'value': '30'}, {'id': 5201123203, 'qualifierId': 56, 'value': 'Back'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;2elx99ldlrlgb7csggsp5w4;Save;;;;;;;;;;;;;;;;;30,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;1;59;Minnesota United II;119;DC;1,0
2719125369;814;1;1;2;0;d0c07im4a6oj8qa7f1zlt3pqs;0;30,7;49,6;2024-09-08T19:07:38.937Z;2024-09-11T07:14:20Z;[{'id': 5204534287, 'qualifierId': 212, 'value': '7.8'}, {'id': 5204534283, 'qualifierId': 140, 'value': '28.5'}, {'id': 5204534281, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204534285, 'qualifierId': 141, 'value': '60.5'}, {'id': 5204534289, 'qualifierId': 213, 'value': '1.87'}, {'id': 5204534279, 'qualifierId': 3}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;28,5;;1,87;60,5;;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;28,5;60,5;;;;;;;;0;2;0;Minnesota United II;120;FW;1,0
2718504731;31;43;1;2;1;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-08T19:07:39.607Z;2024-09-11T07:14:01Z;[{'id': 5201123363, 'qualifierId': 213, 'value': '5.23'}, {'id': 5201123357, 'qualifierId': 140, 'value': '71.0'}, {'id': 5201123361, 'qualifierId': 212, 'value': '8.1'}, {'id': 5201123353, 'qualifierId': 3, 'value': '0'}, {'id': 5204534251, 'qualifierId': 144, 'value': '1'}, {'id': 5201123359, 'qualifierId': 141, 'value': '40.1'}, {'id': 5201123355, 'qualifierId': 56, 'value': 'Center'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;2elx99ldlrlgb7csggsp5w4;Deleted event;;;;;;;;;;71,0;;5,23;40,1;;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;71,0;40,1;;;;;;;;0;2;1;Austin II;121;MC;1,0
2718504737;32;1;1;2;2;1pc6sx2h4rp113ldkbp5d2xas;1;71,0;40,1;2024-09-08T19:07:40.423Z;2024-09-08T19:17:10Z;[{'id': 5201123377, 'qualifierId': 141, 'value': '54.9'}, {'id': 5201123373, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201123381, 'qualifierId': 213, 'value': '1.48'}, {'id': 5201123379, 'qualifierId': 212, 'value': '10.1'}, {'id': 5201123375, 'qualifierId': 140, 'value': '71.9'}];3hoj338a7cxhckcsc9g5tpa7d;D. Taylor;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;71,9;;1,48;54,9;;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;71,9;54,9;;;;;;;;0;2;2;Austin II;122;DR;1,0
2718504741;33;1;1;2;4;1pc6sx2h4rp113ldkbp5d2xas;0;72,1;54,3;2024-09-08T19:07:42.367Z;2024-09-08T19:17:41Z;[{'id': 5201123393, 'qualifierId': 213, 'value': '4.94'}, {'id': 5201123387, 'qualifierId': 140, 'value': '73.3'}, {'id': 5201123391, 'qualifierId': 212, 'value': '5.5'}, {'id': 5201123389, 'qualifierId': 141, 'value': '46.4'}, {'id': 5201123385, 'qualifierId': 56, 'value': 'Center'}];c3f7oxhzkegam5g1cn1j8j7jd;S. Shashoua;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;73,3;;4,94;46,4;;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;73,3;46,4;;;;;;;;0;2;4;Austin II;124;MC;1,0
