id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_JerseyNumber;value_Captain;value_TeamKit;value_Resume;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_KickOff;value_PassEndX;value_Angle;value_Length;value_PassEndY;value_LongBall;value_Launch;value_HeadPass;value_MediumGkIntervention;value_KeeperThrow;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_TakeOnOvertake;value_BlockedPass;value_Left;value_Right;value_Chipped;value_InSwinger;value_Cross;value_CornerTaken;value_LeftFooted;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_LowGkIntervention;value_TouchTypePass;value_RightFooted;value_OutSwinger;value_OutOfPlay;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_TakeOnSpace;value_PullBack;value_NextEventGoalKick;value_Low;value_GoalKick;value_FlickOn;value_TouchTypeControl;value_DeletedEventType;value_Shove/Push;value_Assist;value_IntentionalAssist;value_FirstTouch;value_BlockedX;value_LowCentre;value_OutOfBoxCentre;value_Assisted;value_SetPiece;value_GoalmouthZ;value_BlockedY;value_RelatedEventId;value_GoalmouthY;value_Diving;value_Hands;value_ParriedDanger;value_NotVisible;value_Head;value_FromCorner;value_IndividualPlay;value_GkX;value_GkY;value_HighRight;value_NotAssisted;value_IntendedTackleTarget;value_Overrun;value_SwitchOfPlay;value_CloseRight;value_RegularPlay;value_BoxCentre;value_High;value_Blocked;value_DefBlock;value_SixYardBlocked;value_Volley;value_PlayersCaughtOffside;value_GoalDisallowed;value_Indirect;value_BigChance;value_BoxRight;value_SwerveRight;value_CloseHigh;value_BlockedClearance;value_OtherObstacle;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_LowLeft;value_GoalShotTimestamp;value_ShirtPull/Holding;value_BlockedCross;value_ThroughBall;value_Stooping;value_Collected;value_GkHoof;value_OverArm;value_Minutes;value_GkKickFromHands;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_YellowCard;value_RecklessOffence;value_BoxLeft;value_LowRight;value_HighCentre;value_Reaching;value_HighGkIntervention;value_BoxDeepRight;value_Feet;value_CloseLeft;value_HighLeft;value_Standing;value_FastBreak;value_NotPastGoalLine;value_FairPlay;value_DrivenCross;value_Straight;value_FreeKick;value_ByWall;value_TimeWasting;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_ParriedSafe;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721277829;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-15T22:10:20.490Z;2024-09-19T12:56:32Z;[{'id': 5216215799, 'qualifierId': 130, 'value': '8'}, {'id': 5216215801, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216215793, 'qualifierId': 30, 'value': '37vbc16ejxmfkssydcdxq69zo, e9jko5f45qmjw3va7cp05l5w4, 272xwghmibw1wnptcoz6xpex, 1extjwx4b7nlpu8fm6526dsrt, 9ulwk81vyj5rbz88h62i2ejv8, 910fd7rfysvvfzp2s1ywna5pm, 5jigl7kp5d2i5ws1602jm7n1m, 3dyn7hheqvs3gm3m84jrra9lg, f2nvagw4mjjpn1ytj6rdl5ene, 9k050zmkegfu3gdw2b4g4uwwk, 9gswafduy82n4o6f0uk0khhck, 8bwjj53jwbsi0emx370uka5g4, 276kl5oc1k19y1linbxml0xec, 92oqt9q51us5rpmqmvvrdso6i, c51ttt2cn2mguvgay18wfgzdg, 632mpv8dpnxjm69f8ip1e4l5g, 4ke1e5h3gt66su5fs4bk74178, cnskozf15ladiqa70l9uo920a, bbnk87q7t8pahznohwjjcvu5m, 2dqtrnq0k1fphyw71yh41gvtg'}, {'id': 5216215797, 'qualifierId': 59, 'value': '55, 85, 20, 98, 50, 40, 41, 49, 80, 46, 59, 77, 42, 56, 61, 64, 65, 70, 72, 33'}, {'id': 5216215803, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5216378815, 'qualifierId': 197, 'value': '15030'}, {'id': 5216215805, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216215795, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;7afp0ecwfakomtj02uhv8g0k;Team set up;8,0;;;;;15030,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2721288145;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-15T22:28:02.012Z;2024-09-19T13:01:50Z;[{'id': 5216377535, 'qualifierId': 197, 'value': '15045'}, {'id': 5216269809, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216269803, 'qualifierId': 59, 'value': '60, 18, 59, 44, 35, 24, 57, 50, 99, 95, 90, 34, 49, 51, 98, 65, 66, 45'}, {'id': 5216532665, 'qualifierId': 194, 'value': 'iu61re9bbusv2w7fu7w6505w'}, {'id': 5216269807, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216269801, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5216269799, 'qualifierId': 30, 'value': '9r22tf7lu2q4un35qwfsnpw5w, d3456pq0j1inb26jyfxu5ak15, 98tyw392rp4ow3apn0ygrbtp0, e2olfsduxvaqsx6rdbaasa356, 1795jw1oc3pkthyq0kqexh65m, 58839nfw30jxxroffd3a7q0wk, byelagxi3qg0rb06tjl3fodn8, 1gmj4ge2sog221wqkmap8kidw, tc5nl1hz1w06jobp5ckktr3e, clqg0gusupd6cehokpggbslck, iu61re9bbusv2w7fu7w6505w, a4staqjshva5lhcr0dw744nze, f4gpras1h3k8qfz71u84iyyok, cz98wcy8nq9hqncb2z33p4hec, 39kv8a6a82fos9hw9esb84k16, 2mpx1zzsiryzqjqqnko17jzmc, 4tcyjpnhwsxlay9mqedrpspp0, dbc343lsh3l20pi4a4gmd94wk'}, {'id': 5216269805, 'qualifierId': 130, 'value': '7'}];;;;;7afp0ecwfakomtj02uhv8g0k;Team set up;7,0;;;;;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2721307655;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-15T23:03:42.931Z;2024-09-15T23:03:46Z;[{'id': 5216378571, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;7afp0ecwfakomtj02uhv8g0k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2721307639;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-15T23:03:42.931Z;2024-09-19T05:15:22Z;[{'id': 5216378475, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;7afp0ecwfakomtj02uhv8g0k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2721307679;3;1;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;50,1;49,5;2024-09-15T23:03:42.932Z;2024-09-15T23:03:46Z;[{'id': 5216378685, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216378695, 'qualifierId': 279, 'value': 'S'}, {'id': 5216378687, 'qualifierId': 140, 'value': '31.5'}, {'id': 5216378693, 'qualifierId': 213, 'value': '2.98'}, {'id': 5216378691, 'qualifierId': 212, 'value': '19.8'}, {'id': 5216378689, 'qualifierId': 141, 'value': '54.3'}];tc5nl1hz1w06jobp5ckktr3e;J. Adebayo-Smith;;;7afp0ecwfakomtj02uhv8g0k;Pass;;;;;;;;;;;;31,5;2,98;19,8;54,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;31,5;54,3;;;;;;;;0;0;0;St. Louis City II;0;FW;1,0
2721307715;4;1;1;0;3;1pc6sx2h4rp113ldkbp5d2xas;0;29,9;54,5;2024-09-15T23:03:46.642Z;2024-09-15T23:03:48Z;[{'id': 5216378851, 'qualifierId': 141, 'value': '77.5'}, {'id': 5216378857, 'qualifierId': 1}, {'id': 5216378849, 'qualifierId': 140, 'value': '69.4'}, {'id': 5216378853, 'qualifierId': 212, 'value': '44.3'}, {'id': 5216378847, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216378855, 'qualifierId': 213, 'value': '0.36'}, {'id': 5216378845, 'qualifierId': 157}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;7afp0ecwfakomtj02uhv8g0k;Pass;;;;;;;;;;;;69,4;0,36;44,3;77,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;69,4;77,5;;;;;;;;0;0;3;St. Louis City II;3;DMC;1,0
2721307777;3;1;1;0;7;dqx48fglv1l96cyrmjdod0xec;1;21,8;22,1;2024-09-15T23:03:50.580Z;2024-09-15T23:03:53Z;[{'id': 5216379111, 'qualifierId': 212, 'value': '12.2'}, {'id': 5216379105, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216379113, 'qualifierId': 213, 'value': '2.76'}, {'id': 5216379109, 'qualifierId': 141, 'value': '28.8'}, {'id': 5216379103, 'qualifierId': 3}, {'id': 5216379107, 'qualifierId': 140, 'value': '11.0'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;7afp0ecwfakomtj02uhv8g0k;Pass;;;;;;;;;;;;11,0;2,76;12,2;28,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;11,0;28,8;;;;;;;;0;0;7;Minnesota United II;7;DL;1,0
2721307781;4;52;1;0;10;dqx48fglv1l96cyrmjdod0xec;1;12,8;35,8;2024-09-15T23:03:53.356Z;2024-09-19T05:45:53Z;[{'id': 5222825447, 'qualifierId': 377}];37vbc16ejxmfkssydcdxq69zo;N. Bishop;;;7afp0ecwfakomtj02uhv8g0k;Keeper pick-up;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;10;Minnesota United II;10;GK;1,0
2721307847;5;1;1;0;12;dqx48fglv1l96cyrmjdod0xec;1;10,1;45,8;2024-09-15T23:03:55.555Z;2024-09-15T23:03:59Z;[{'id': 5216379411, 'qualifierId': 141, 'value': '34.2'}, {'id': 5216379413, 'qualifierId': 212, 'value': '9.8'}, {'id': 5216379405, 'qualifierId': 123}, {'id': 5216379409, 'qualifierId': 140, 'value': '15.7'}, {'id': 5216379415, 'qualifierId': 213, 'value': '5.35'}, {'id': 5216379407, 'qualifierId': 56, 'value': 'Back'}];37vbc16ejxmfkssydcdxq69zo;N. Bishop;;;7afp0ecwfakomtj02uhv8g0k;Pass;;;;;;;;;;;;15,7;5,35;9,8;34,2;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;15,7;34,2;;;;;;;;0;0;12;Minnesota United II;12;GK;1,0
2721307863;6;1;1;0;16;dqx48fglv1l96cyrmjdod0xec;1;16,0;31,5;2024-09-15T23:03:59.500Z;2024-09-19T05:46:38Z;[{'id': 5216379495, 'qualifierId': 213, 'value': '5.20'}, {'id': 5216379493, 'qualifierId': 212, 'value': '16.2'}, {'id': 5216379487, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216379491, 'qualifierId': 141, 'value': '10.5'}, {'id': 5216379489, 'qualifierId': 140, 'value': '23.2'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;7afp0ecwfakomtj02uhv8g0k;Pass;;;;;;;;;;;;23,2;5,2;16,2;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;23,2;10,5;;;;;;;;0;0;16;Minnesota United II;16;MC;1,0
