id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_JerseyNumber;value_Captain;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_Angle;value_PassEndX;value_KickOff;value_Zone;value_Length;value_PassEndY;value_Launch;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_Low;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_TouchTypePass;value_Defensive;value_Chipped;value_HeadPass;value_LayOff;value_DeletedEventType;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_OutOfPlay;value_TouchTypeClearance;value_AttemptedTackle;value_RightFooted;value_InSwinger;value_Cross;value_SwitchOfPlay;value_TakeOnOvertake;value_Overrun;value_FlickOn;value_LeftFooted;value_Head;value_Left;value_CornerTaken;value_Assist;value_GkY;value_RelatedEventId;value_GoalmouthZ;value_OutOfBoxCentre;value_GoalmouthY;value_FromCorner;value_Assisted;value_IndividualPlay;value_GkX;value_High;value_BlockedPass;value_IntentionalAssist;value_BlockedX;value_HighCentre;value_1On1;value_BoxDeepRight;value_RegularPlay;value_BlockedY;value_BigChance;value_Sliding;value_ParriedDanger;value_MediumGkIntervention;value_OtherBodyPart;value_NotAssisted;value_MisHit;value_Right;value_FirstTouch;value_BoxRight;value_NotVisible;value_LowGkIntervention;value_GkHoof;value_TakeOnSpace;value_KeeperThrow;value_IntendedTackleTarget;value_TouchTypeControl;value_PullBack;value_BoxCentre;value_Shove/Push;value_RecklessOffence;value_YellowCard;value_DrivenCross;value_Straight;value_OutSwinger;value_OverhitCross;value_Handball;value_LowRight;value_Collected;value_Stooping;value_Hands;value_FloatedCross;value_HighRight;value_SmallBoxCentre;value_TimeWasting;value_PlayersCaughtOffside;value_LowCentre;value_ParriedSafe;value_Diving;value_Injury;value_InjuredPlayerId;value_Reaching;value_HighGkIntervention;value_BoxLeft;value_AerialFoul;value_HighClaim;value_Minutes;value_CloseHigh;value_EndType;value_IncorrectOutOfPlayDecision;value_Standing;value_TacticalFoul;value_LastLine;value_OwnPlayer;value_LowLeft;value_Blocked;value_SixYardBlocked;value_OwnShotBlocked;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GoalShotGameClock;value_Volley;value_GkXTimeOfGoal;value_HighLeft;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_DefBlock;value_GkKickFromHands;value_Indirect;value_GkChallenge;value_FastBreak;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2671397563;583;50;2;83;53;dqx48fglv1l96cyrmjdod0xec;1;77,7;45,0;2024-04-13T02:47:21.631Z;2024-04-18T16:13:45Z;[{'id': 4959518555, 'qualifierId': 233, 'value': '836'}, {'id': 4943218125, 'qualifierId': 286}, {'id': 4943218123, 'qualifierId': 56, 'value': 'Center'}];632mpv8dpnxjm69f8ip1e4l5g;D. Armstrong;;;c4fzgi1aoe6nkx3h58nk25zpw;Dispossessed;;;;;;;;;;;;;;;;;;;836,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;83;53;Austin II;5033;Sub;1,0
2671397567;836;7;2;83;53;d0c07im4a6oj8qa7f1zlt3pqs;0;22,3;55,0;2024-04-13T02:47:21.632Z;2024-04-18T16:06:47Z;[{'id': 4959509887, 'qualifierId': 385}, {'id': 4943218141, 'qualifierId': 285}, {'id': 4943218139, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218143, 'qualifierId': 233, 'value': '583'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;c4fzgi1aoe6nkx3h58nk25zpw;Tackle;;;;;;;;;;;;;;;;;;;583,0;;;;;;;1,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;83;53;St. Louis City II;5033;Sub;1,0
2674435159;669;61;2;83;53;dqx48fglv1l96cyrmjdod0xec;1;75,1;43,5;2024-04-13T02:47:22.215Z;2024-04-18T16:07:02Z;[{'id': 4959510119, 'qualifierId': 56, 'value': 'Center'}];632mpv8dpnxjm69f8ip1e4l5g;D. Armstrong;;;c4fzgi1aoe6nkx3h58nk25zpw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;83;53;Austin II;5033;Sub;1,0
2671397569;837;49;2;83;55;d0c07im4a6oj8qa7f1zlt3pqs;1;19,8;52,2;2024-04-13T02:47:23.663Z;2024-04-13T02:47:24Z;[];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;c4fzgi1aoe6nkx3h58nk25zpw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;83;55;St. Louis City II;5035;DC;1,0
2671397579;838;1;2;84;1;d0c07im4a6oj8qa7f1zlt3pqs;1;38,8;28,3;2024-04-13T02:47:29.756Z;2024-04-13T02:47:31Z;[{'id': 4943218233, 'qualifierId': 212, 'value': '12.8'}, {'id': 4943218229, 'qualifierId': 140, 'value': '32.3'}, {'id': 4943218231, 'qualifierId': 141, 'value': '12.3'}, {'id': 4943218227, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218235, 'qualifierId': 213, 'value': '4.15'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;4,15;32,3;;;12,8;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;32,3;12,3;;;;;;;0;0;84;1;St. Louis City II;5041;DC;1,0
2671397585;839;1;2;84;3;d0c07im4a6oj8qa7f1zlt3pqs;1;33,4;12,9;2024-04-13T02:47:31.756Z;2024-04-13T02:47:34Z;[{'id': 4943218255, 'qualifierId': 212, 'value': '10.0'}, {'id': 4943218257, 'qualifierId': 213, 'value': '1.23'}, {'id': 4943218251, 'qualifierId': 140, 'value': '36.6'}, {'id': 4943218249, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218253, 'qualifierId': 141, 'value': '26.7'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;1,23;36,6;;;10,0;26,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;36,6;26,7;;;;;;;0;0;84;3;St. Louis City II;5043;Sub;1,0
2671397591;840;1;2;84;5;d0c07im4a6oj8qa7f1zlt3pqs;1;37,8;28,2;2024-04-13T02:47:33.911Z;2024-04-13T02:47:35Z;[{'id': 4943218285, 'qualifierId': 141, 'value': '44.0'}, {'id': 4943218283, 'qualifierId': 140, 'value': '37.3'}, {'id': 4943218289, 'qualifierId': 213, 'value': '1.62'}, {'id': 4943218287, 'qualifierId': 212, 'value': '10.8'}, {'id': 4943218281, 'qualifierId': 56, 'value': 'Back'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;1,62;37,3;;;10,8;44,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;37,3;44,0;;;;;;;0;0;84;5;St. Louis City II;5045;MC;1,0
2671397597;841;1;2;84;7;d0c07im4a6oj8qa7f1zlt3pqs;1;36,7;43,4;2024-04-13T02:47:35.567Z;2024-04-13T02:47:36Z;[{'id': 4943218321, 'qualifierId': 212, 'value': '4.5'}, {'id': 4943218319, 'qualifierId': 141, 'value': '39.1'}, {'id': 4943218317, 'qualifierId': 140, 'value': '40.0'}, {'id': 4943218315, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218323, 'qualifierId': 213, 'value': '5.58'}];2yxzh220ndd4s4wqditruo0h6;A. Ramírez;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;5,58;40,0;;;4,5;39,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;40,0;39,1;;;;;;;0;0;84;7;St. Louis City II;5047;MC;1,0
2671397601;842;1;2;84;8;d0c07im4a6oj8qa7f1zlt3pqs;1;40,0;39,1;2024-04-13T02:47:36.708Z;2024-04-13T02:47:39Z;[{'id': 4943218351, 'qualifierId': 141, 'value': '54.2'}, {'id': 4943218353, 'qualifierId': 212, 'value': '17.8'}, {'id': 4943218355, 'qualifierId': 213, 'value': '2.53'}, {'id': 4943218347, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218349, 'qualifierId': 140, 'value': '26.1'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;2,53;26,1;;;17,8;54,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;26,1;54,2;;;;;;;0;0;84;8;St. Louis City II;5048;MC;1,0
2671397607;843;1;2;84;10;d0c07im4a6oj8qa7f1zlt3pqs;1;34,1;62,1;2024-04-13T02:47:39.238Z;2024-04-13T02:47:44Z;[{'id': 4943218403, 'qualifierId': 140, 'value': '43.0'}, {'id': 4943218407, 'qualifierId': 212, 'value': '20.1'}, {'id': 4943218401, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218409, 'qualifierId': 213, 'value': '1.09'}, {'id': 4943218405, 'qualifierId': 141, 'value': '88.3'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;1,09;43,0;;;20,1;88,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;43,0;88,3;;;;;;;0;0;84;10;St. Louis City II;5050;DC;1,0
2671397615;844;1;2;84;15;d0c07im4a6oj8qa7f1zlt3pqs;1;47,4;88,3;2024-04-13T02:47:43.862Z;2024-04-13T02:47:47Z;[{'id': 4943218453, 'qualifierId': 140, 'value': '32.2'}, {'id': 4943218451, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943218457, 'qualifierId': 212, 'value': '20.2'}, {'id': 4943218459, 'qualifierId': 213, 'value': '3.80'}, {'id': 4943218455, 'qualifierId': 141, 'value': '70.0'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;3,8;32,2;;;20,2;70,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;32,2;70,0;;;;;;;0;0;84;15;St. Louis City II;5055;DC;1,0
2671397617;845;1;2;84;18;d0c07im4a6oj8qa7f1zlt3pqs;1;32,2;70,0;2024-04-13T02:47:47.065Z;2024-04-13T02:47:51Z;[{'id': 4943218481, 'qualifierId': 213, 'value': '4.92'}, {'id': 4943218479, 'qualifierId': 212, 'value': '26.5'}, {'id': 4943218477, 'qualifierId': 141, 'value': '31.8'}, {'id': 4943218475, 'qualifierId': 140, 'value': '37.3'}, {'id': 4943218473, 'qualifierId': 56, 'value': 'Back'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;4,92;37,3;;;26,5;31,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;37,3;31,8;;;;;;;0;0;84;18;St. Louis City II;5058;DC;1,0
2671397625;846;1;2;84;23;d0c07im4a6oj8qa7f1zlt3pqs;1;44,2;28,2;2024-04-13T02:47:51.392Z;2024-04-13T02:47:55Z;[{'id': 4943218553, 'qualifierId': 56, 'value': 'Right'}, {'id': 4943218559, 'qualifierId': 212, 'value': '28.0'}, {'id': 4943218557, 'qualifierId': 141, 'value': '8.6'}, {'id': 4943218561, 'qualifierId': 213, 'value': '5.79'}, {'id': 4943218555, 'qualifierId': 140, 'value': '67.7'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;5,79;67,7;;;28,0;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;67,7;8,6;;;;;;;0;0;84;23;St. Louis City II;5063;DL;1,0
