id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_Captain;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_PassEndY;value_Angle;value_PassEndX;value_KickOff;value_Zone;value_Length;value_LongBall;value_CloseRight;value_GkY;value_GkX;value_GoalmouthZ;value_NotAssisted;value_IndividualPlay;value_RightFooted;value_GoalmouthY;value_RegularPlay;value_BoxRight;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_Chipped;value_IntendedTackleTarget;value_LayOff;value_TouchTypeClearance;value_AttemptedTackle;value_Direct;value_Offensive;value_Foul;value_Defensive;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypeControl;value_Launch;value_BlockedY;value_BlockedX;value_BoxLeft;value_LowCentre;value_Blocked;value_DefBlock;value_DeletedEventType;value_OutOfPlay;value_NextEventThrowIn;value_Assist;value_ThrowIn;value_RelatedEventId;value_HighCentre;value_OutOfBoxCentre;value_Assisted;value_Hands;value_MediumGkIntervention;value_ParriedSafe;value_Standing;value_Left;value_Cross;value_CornerTaken;value_InSwinger;value_TouchTypePass;value_IntentionalAssist;value_SetPiece;value_Head;value_FirstTouch;value_BoxCentre;value_High;value_HeadPass;value_BlockedPass;value_InjuredPlayerId;value_Injury;value_SwitchOfPlay;value_OutSwinger;value_LeftFooted;value_FromCorner;value_SmallBoxCentre;value_NotPastGoalLine;value_SixYardBlocked;value_BigChance;value_SavedOffLine;value_LowLeft;value_LastLine;value_HighGkIntervention;value_FlickOn;value_Handball;value_Indirect;value_ShirtPull/Holding;value_TakeOnSpace;value_Overrun;value_LowGkIntervention;value_Shove/Push;value_YellowCard;value_RecklessOffence;value_Dissent;value_KeeperThrow;value_GoalShotGameClock;value_KeeperTouched;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_LowRight;value_GoalShotTimestamp;value_NotVisible;value_Collected;value_OverArm;value_PlayersCaughtOffside;value_HitRightPost;value_HitWoodwork;value_HighClaim;value_LeadingToAttempt;value_Diving;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Deflection;value_FreeKick;value_ThroughBall;value_TacticalFoul;value_GkHoof;value_DrivenCross;value_Straight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689831945;4;13;1;0;12;1pc6sx2h4rp113ldkbp5d2xas;1;85,5;34,7;2024-05-19T19:04:21.012Z;2024-05-24T19:30:13Z;[{'id': 5043141227, 'qualifierId': 56, 'value': 'Center'}, {'id': 5043142499, 'qualifierId': 84}, {'id': 5043142509, 'qualifierId': 231, 'value': '48.0'}, {'id': 5043142507, 'qualifierId': 230, 'value': '97.6'}, {'id': 5043142503, 'qualifierId': 103, 'value': '27.8'}, {'id': 5043142505, 'qualifierId': 458}, {'id': 5051639755, 'qualifierId': 215}, {'id': 5043141857, 'qualifierId': 20}, {'id': 5043142501, 'qualifierId': 102, 'value': '41.3'}, {'id': 5043141223, 'qualifierId': 22}, {'id': 5043141225, 'qualifierId': 63}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;cwg76z3msj2u0k97youdwg2s4;Miss;;;;;;;;;;;;;;;;;1,0;48,0;97,6;27,8;1,0;1,0;1,0;41,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;41,3;27.8;;;0;0;0;12;Tacoma Defiance;12;FW;1,0
2689831971;5;5;1;0;14;1pc6sx2h4rp113ldkbp5d2xas;0;101,4;35,1;2024-05-19T19:04:23.467Z;2024-05-19T19:29:24Z;[{'id': 5043141395, 'qualifierId': 233, 'value': '8'}, {'id': 5043141381, 'qualifierId': 56, 'value': 'Center'}, {'id': 5043141383, 'qualifierId': 346}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;cwg76z3msj2u0k97youdwg2s4;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;14;Tacoma Defiance;14;FW;1,0
2689831957;8;5;1;0;14;5icuo8utnztpsd9l03gdd68dl;1;-1,4;64,9;2024-05-19T19:04:23.467Z;2024-05-19T19:04:25Z;[{'id': 5043141299, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043141301, 'qualifierId': 346}, {'id': 5043141387, 'qualifierId': 233, 'value': '5'}];9mi1sfptejdihpufyukrdkftg;B. Aguilar;;;cwg76z3msj2u0k97youdwg2s4;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;14;Minnesota United II;14;DC;1,0
2689832203;9;1;1;0;33;5icuo8utnztpsd9l03gdd68dl;1;3,7;55,2;2024-05-19T19:04:41.611Z;2024-05-19T19:04:42Z;[{'id': 5043142765, 'qualifierId': 212, 'value': '11.5'}, {'id': 5043142763, 'qualifierId': 141, 'value': '68.7'}, {'id': 5043142759, 'qualifierId': 140, 'value': '10.3'}, {'id': 5043142753, 'qualifierId': 124}, {'id': 5043142755, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043142771, 'qualifierId': 237}, {'id': 5043142767, 'qualifierId': 213, 'value': '0.92'}];bdrs643l8uzj01plxa25wncdm;J. Castro;;;cwg76z3msj2u0k97youdwg2s4;Pass;;;;;;;;;;68,7;0,92;10,3;;;11,5;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;10,3;68,7;;;;;;;0;0;0;33;Minnesota United II;33;GK;1,0
2689832233;10;1;1;0;34;5icuo8utnztpsd9l03gdd68dl;1;11,2;67,9;2024-05-19T19:04:42.587Z;2024-05-19T19:04:44Z;[{'id': 5043142929, 'qualifierId': 212, 'value': '8.5'}, {'id': 5043142925, 'qualifierId': 140, 'value': '9.9'}, {'id': 5043142923, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043142931, 'qualifierId': 213, 'value': '4.55'}, {'id': 5043142927, 'qualifierId': 141, 'value': '55.6'}];9mi1sfptejdihpufyukrdkftg;B. Aguilar;;;cwg76z3msj2u0k97youdwg2s4;Pass;;;;;;;;;;55,6;4,55;9,9;;;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;9,9;55,6;;;;;;;0;0;0;34;Minnesota United II;34;DC;1,0
2689832265;11;1;1;0;35;5icuo8utnztpsd9l03gdd68dl;1;10,4;46,2;2024-05-19T19:04:44.220Z;2024-05-24T19:30:49Z;[{'id': 5043143111, 'qualifierId': 155}, {'id': 5043143121, 'qualifierId': 141, 'value': '58.3'}, {'id': 5043143117, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043143127, 'qualifierId': 1}, {'id': 5043143119, 'qualifierId': 140, 'value': '46.0'}, {'id': 5043143125, 'qualifierId': 213, 'value': '0.22'}, {'id': 5043143123, 'qualifierId': 212, 'value': '38.3'}];bdrs643l8uzj01plxa25wncdm;J. Castro;;;cwg76z3msj2u0k97youdwg2s4;Pass;;;;;;;;;;58,3;0,22;46,0;;;38,3;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;46,0;58,3;;;;;;;0;0;0;35;Minnesota United II;35;GK;1,0
2689832281;6;83;1;0;35;1pc6sx2h4rp113ldkbp5d2xas;0;51,6;33,5;2024-05-19T19:04:44.331Z;2024-05-24T19:31:46Z;[{'id': 5043200631, 'qualifierId': 399, 'value': '3y5rrahty1k0l1hnww3bcozmy'}];7tjrziff3z2fl88t52j3rk3bp;Z. Valentin;;;cwg76z3msj2u0k97youdwg2s4;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;35;Tacoma Defiance;35;DC;1,0
2691391413;899;1;1;0;36;5icuo8utnztpsd9l03gdd68dl;1;47,8;59,9;2024-05-19T19:04:44.974Z;2024-05-24T19:31:34Z;[{'id': 5051642729, 'qualifierId': 213, 'value': '3.09'}, {'id': 5051643017, 'qualifierId': 156}, {'id': 5051642721, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051642727, 'qualifierId': 212, 'value': '7.4'}, {'id': 5051642725, 'qualifierId': 141, 'value': '60.5'}, {'id': 5051642723, 'qualifierId': 140, 'value': '40.8'}];3y5rrahty1k0l1hnww3bcozmy;O. De Rosario;;;cwg76z3msj2u0k97youdwg2s4;Pass;;;;;;;;;;60,5;3,09;40,8;;;7,4;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;40,8;60,5;;;;;;;0;0;0;36;Minnesota United II;36;FW;1,0
2689832313;12;1;1;0;37;5icuo8utnztpsd9l03gdd68dl;1;40,8;65,3;2024-05-19T19:04:46.347Z;2024-05-24T19:31:39Z;[{'id': 5043143403, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043143405, 'qualifierId': 140, 'value': '46.6'}, {'id': 5043143409, 'qualifierId': 141, 'value': '70.0'}, {'id': 5043143413, 'qualifierId': 212, 'value': '6.9'}, {'id': 5043143415, 'qualifierId': 213, 'value': '0.48'}];s9a51dj3nkad2e53b2jbgl5g;S. Gomez;;;cwg76z3msj2u0k97youdwg2s4;Pass;;;;;;;;;;70,0;0,48;46,6;;;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;46,6;70,0;;;;;;;0;0;0;37;Minnesota United II;37;AMC;1,0
2691391981;900;61;1;0;38;5icuo8utnztpsd9l03gdd68dl;1;44,2;66,6;2024-05-19T19:04:47.311Z;2024-05-24T19:32:22Z;[{'id': 5051644795, 'qualifierId': 56, 'value': 'Back'}];3y5rrahty1k0l1hnww3bcozmy;O. De Rosario;;;cwg76z3msj2u0k97youdwg2s4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;38;Minnesota United II;38;FW;1,0
