id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_JerseyNumber;value_Involved;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_Angle;value_KickOff;value_PassEndX;value_Zone;value_PassEndY;value_Length;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_Chipped;value_Head;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_Overrun;value_TakeOnOvertake;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_TouchTypeControl;value_DrivenCross;value_Straight;value_Cross;value_RightFooted;value_OutOfPlay;value_DeletedEventType;value_Assist;value_IntentionalAssist;value_FastBreak;value_Assisted;value_BlockedY;value_BlockedX;value_FirstTouch;value_BigChance;value_GoalmouthZ;value_GoalmouthY;value_LeftFooted;value_BoxLeft;value_RelatedEventId;value_LowLeft;value_ParriedSafe;value_Feet;value_Diving;value_LowGkIntervention;value_NotVisible;value_TouchTypePass;value_RegularPlay;value_Blocked;value_LowCentre;value_GkY;value_BoxCentre;value_GkX;value_DefBlock;value_OutOfBoxCentre;value_IndividualPlay;value_Collected;value_Stooping;value_Hands;value_KeeperThrow;value_OutSwinger;value_Volley;value_BoxRight;value_NotAssisted;value_PenaltyTakerId;value_Penalty;value_Direct;value_Handball;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Saved;value_Right;value_GkKickFromHands;value_FlickOn;value_OverArm;value_Foul;value_Shove/Push;value_FreeKickTaken;value_BlockedPass;value_Defensive1V1;value_TakeOnSpace;value_AttemptedTackle;value_SwitchOfPlay;value_HighLeft;value_Standing;value_MediumGkIntervention;value_Left;value_CornerTaken;value_FromCorner;value_InSwinger;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_SmallBoxCentre;value_GoalShotGameClock;value_GkYTimeOfGoal;value_RecklessOffence;value_YellowCard;value_PlayersCaughtOffside;value_Indirect;value_Dissent;value_High;value_HighClaim;value_HighRight;value_SwerveLeft;value_OffTheBallFoul;value_OverhitCross;value_BlockedCross;value_HighGkIntervention;value_TacticalFoul;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FairPlay;value_CloseRight;value_PullBack;value_LowRight;value_LeadingToGoal;value_RelatedError1Id;value_HighCentre;value_Deflection;value_FreeKick;value_SwerveRight;value_MisHit;value_KeeperTouched;value_ShirtPull/Holding;value_SetPiece;value_CloseHigh;value_SixYardBlocked;value_SmallBoxRight;value_Obstruction;value_InjuredPlayerId;value_Injury;value_TimeWasting;value_CloseRightAndHigh;value_CornerNotTaken;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680223973;446;1;2;51;50;6ubc4y1v6hr63mca7ica4hp90;1;52,9;41,9;2024-04-28T20:15:51.328Z;2024-04-28T20:15:53Z;[{'id': 4990870133, 'qualifierId': 141, 'value': '68.1'}, {'id': 4990870131, 'qualifierId': 140, 'value': '39.6'}, {'id': 4990870137, 'qualifierId': 213, 'value': '2.24'}, {'id': 4990870135, 'qualifierId': 212, 'value': '22.6'}, {'id': 4990870129, 'qualifierId': 56, 'value': 'Back'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;2,24;;39,6;;68,1;22,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;39,6;68,1;;;;;;;;0;51;50;New York City II;3110;MC;1,0
2680224007;447;1;2;51;52;6ubc4y1v6hr63mca7ica4hp90;1;39,6;68,1;2024-04-28T20:15:53.560Z;2024-04-28T20:15:54Z;[{'id': 4990870289, 'qualifierId': 213, 'value': '6.24'}, {'id': 4990870281, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990870287, 'qualifierId': 212, 'value': '12.7'}, {'id': 4990870283, 'qualifierId': 140, 'value': '51.7'}, {'id': 4990870285, 'qualifierId': 141, 'value': '67.3'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;6,24;;51,7;;67,3;12,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;51,7;67,3;;;;;;;;0;51;52;New York City II;3112;DC;1,0
2680224037;448;1;2;51;54;6ubc4y1v6hr63mca7ica4hp90;1;48,9;67,9;2024-04-28T20:15:54.873Z;2024-04-28T20:15:57Z;[{'id': 4990870471, 'qualifierId': 212, 'value': '18.9'}, {'id': 4990870469, 'qualifierId': 141, 'value': '93.0'}, {'id': 4990870465, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990870473, 'qualifierId': 213, 'value': '1.13'}, {'id': 4990870467, 'qualifierId': 140, 'value': '56.6'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;1,13;;56,6;;93,0;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;56,6;93,0;;;;;;;;0;51;54;New York City II;3114;MC;1,0
2680224125;449;1;2;51;56;6ubc4y1v6hr63mca7ica4hp90;1;56,5;92,9;2024-04-28T20:15:57.282Z;2024-04-28T20:16:06Z;[{'id': 4990870943, 'qualifierId': 213, 'value': '6.24'}, {'id': 4990870935, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990870937, 'qualifierId': 140, 'value': '88.9'}, {'id': 4990870941, 'qualifierId': 212, 'value': '34.1'}, {'id': 4990870933, 'qualifierId': 155}, {'id': 4990870945, 'qualifierId': 1}, {'id': 4990870939, 'qualifierId': 141, 'value': '90.6'}];4ywn289r9mrs444sgkgduyivo;T. Smalls;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;6,24;;88,9;;90,6;34,1;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;88,9;90,6;;;;;;;;0;51;56;New York City II;3116;FWL;1,0
2680224147;450;1;2;52;5;6ubc4y1v6hr63mca7ica4hp90;1;83,7;93,2;2024-04-28T20:16:06.025Z;2024-04-28T20:16:08Z;[{'id': 4990871065, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990871073, 'qualifierId': 213, 'value': '4.16'}, {'id': 4990871067, 'qualifierId': 140, 'value': '72.9'}, {'id': 4990871069, 'qualifierId': 141, 'value': '66.1'}, {'id': 4990871071, 'qualifierId': 212, 'value': '21.6'}];6bg69aksa8wb6wmu7w81is8yy;J. Forbes;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;4,16;;72,9;;66,1;21,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;72,9;66,1;;;;;;;;0;52;5;New York City II;3125;DC;1,0
2680224167;451;1;2;52;8;6ubc4y1v6hr63mca7ica4hp90;0;72,7;64,2;2024-04-28T20:16:08.665Z;2024-04-28T20:16:09Z;[{'id': 4990871207, 'qualifierId': 141, 'value': '65.8'}, {'id': 4990871201, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990871209, 'qualifierId': 212, 'value': '6.6'}, {'id': 4990871211, 'qualifierId': 213, 'value': '0.17'}, {'id': 4990871205, 'qualifierId': 140, 'value': '78.9'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;0,17;;78,9;;65,8;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;78,9;65,8;;;;;;;;0;52;8;New York City II;3128;MC;1,0
2680224189;512;49;2;52;9;6ddsx316t3j0z6nolrky9k4r8;1;24,5;34,0;2024-04-28T20:16:10.560Z;2024-04-28T20:16:10Z;[];duj699i9620tuf3ii9z06bqsq;P. Elias;;;cgj4sjhigbmnat9qyzt6rhedw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;52;9;Crown Legacy;3129;Sub;1,0
2680224209;513;1;2;52;10;6ddsx316t3j0z6nolrky9k4r8;1;24,5;34,0;2024-04-28T20:16:10.624Z;2024-04-28T20:16:12Z;[{'id': 4990871387, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990871391, 'qualifierId': 141, 'value': '33.7'}, {'id': 4990871395, 'qualifierId': 212, 'value': '9.3'}, {'id': 4990871389, 'qualifierId': 140, 'value': '33.4'}, {'id': 4990871399, 'qualifierId': 213, 'value': '6.26'}];duj699i9620tuf3ii9z06bqsq;P. Elias;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;6,26;;33,4;;33,7;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;33,4;33,7;;;;;;;;0;52;10;Crown Legacy;3130;Sub;1,0
2680224237;514;1;2;52;12;6ddsx316t3j0z6nolrky9k4r8;1;32,0;34,9;2024-04-28T20:16:12.736Z;2024-04-28T20:16:15Z;[{'id': 4990871505, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990871507, 'qualifierId': 140, 'value': '34.6'}, {'id': 4990871509, 'qualifierId': 141, 'value': '57.9'}, {'id': 4990871511, 'qualifierId': 212, 'value': '15.9'}, {'id': 4990871513, 'qualifierId': 213, 'value': '1.40'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;1,4;;34,6;;57,9;15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;34,6;57,9;;;;;;;;0;52;12;Crown Legacy;3132;MC;1,0
2680224303;515;1;2;52;14;6ddsx316t3j0z6nolrky9k4r8;1;35,4;59,4;2024-04-28T20:16:15.280Z;2024-04-28T20:16:20Z;[{'id': 4990871917, 'qualifierId': 140, 'value': '69.7'}, {'id': 4990871923, 'qualifierId': 213, 'value': '0.37'}, {'id': 4990871915, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990871913, 'qualifierId': 155}, {'id': 4990871921, 'qualifierId': 212, 'value': '38.6'}, {'id': 4990871919, 'qualifierId': 141, 'value': '80.0'}, {'id': 4990871925, 'qualifierId': 1}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;0,37;;69,7;;80,0;38,6;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;69,7;80,0;;;;;;;;0;52;14;Crown Legacy;3134;FWL;1,0
