id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Resume;value_Captain;value_JerseyNumber;value_Involved;value_DirectionOfPlay;value_Zone;value_Angle;value_Length;value_PassEndY;value_PassEndX;value_KickOff;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_TakeOnSpace;value_TouchTypeControl;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_DeletedEventType;value_TakeOnOvertake;value_Chipped;value_IntendedTackleTarget;value_TouchTypeClearance;value_NextEventGoalKick;value_GoalKick;value_Low;value_BlockedPass;value_TouchTypePass;value_OutOfPlay;value_Cross;value_InSwinger;value_RightFooted;value_Head;value_Assist;value_GkX;value_Assisted;value_GkY;value_BoxLeft;value_GoalmouthY;value_CloseHigh;value_RegularPlay;value_IndividualPlay;value_RelatedEventId;value_GoalmouthZ;value_NotVisible;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_SwitchOfPlay;value_ThroughBall;value_Unchallenged;value_LowGkIntervention;value_KeeperThrow;value_AttemptedTackle;value_OutOfBoxCentre;value_SetPiece;value_HighLeft;value_LeftFooted;value_OutSwinger;value_IntentionalAssist;value_LowRight;value_BlockedX;value_Blocked;value_BoxCentre;value_BlockedY;value_DefBlock;value_Shove/Push;value_RecklessOffence;value_YellowCard;value_Straight;value_FloatedCross;value_Left;value_Right;value_CornerTaken;value_InjuredPlayerId;value_Injury;value_NotAssisted;value_SwerveLeft;value_LowLeft;value_FirstTouch;value_Hands;value_Diving;value_MediumGkIntervention;value_ParriedSafe;value_FlickOn;value_FastBreak;value_GoalShotGameClock;value_Volley;value_HighCentre;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_1On1;value_KeeperTouched;value_BigChance;value_PlayersCaughtOffside;value_Indirect;value_SmallBoxRight;value_LowCentre;value_Feet;value_Sliding;value_AerialFoul;value_High;value_OtherBodyPart;value_MisHit;value_Standing;value_Collected;value_Defensive1V1;value_PenaltyTakerId;value_Penalty;value_TacticalFoul;value_Scored;value_Strong;value_FantasyAssistType;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistedBy;value_DrivenCross;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Overrun;value_LeadingToAttempt;value_RelatedError1Id;value_GkKickFromHands;value_Saved;value_BlockedClearance;value_HighGkIntervention;value_HighRight;value_FromCorner;value_ParriedDanger;value_FollowsShotRebound;value_PullBack;value_HighClaim;value_CaptainChange;value_FoulAndAbusiveLanguage;value_RedCard;value_Deflection;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704429867;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-07-28T21:06:40.221Z;2024-07-28T22:18:31Z;[{'id': 5123608509, 'qualifierId': 197, 'value': '23755'}, {'id': 5123527439, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123527437, 'qualifierId': 130, 'value': '17'}, {'id': 5123527433, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5123527441, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123652563, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5123527435, 'qualifierId': 59, 'value': '30, 42, 45, 48, 38, 96, 41, 52, 77, 46, 35, 43, 44, 49, 50, 60, 64, 68, 80, 98'}, {'id': 5123527431, 'qualifierId': 30, 'value': 'b82dmhiv5rfrczfcx26cnvo16, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 8za8xvdiyduedk2i99bdqv4es, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, bu0qf3q6j69an4i0gz7xhqcd0, aw0ngrym0lzn2paoz70wtlgyc, 1ofx4ncf6w5twjbaam5w0mu7e, b94wogguhbhpo2mal3pfpo26s, bpr7u1cp7bzt1w2t1tsmru73e, 9asj8t10cvfumot9hr3dprsic, bfm4xr4ue74v0li53slarf9t6, 14etj499a213gtgymith3htec, cv05cz78z9nsbgj98hnw7o4yc, 6ihxsnp8rmyvu0xjm4oquxd04, dpijel5jgf0itquzz7ryfju38, dfkazpw3p03p6umdchplgivx0, 2wrsvrjkc77nfo16e6gxjlbtg'}];;;;;ebqw8pto71arzdc41se317ifo;Team set up;23755,0;;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2704431857;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-07-28T21:15:53.424Z;2024-07-28T22:03:54Z;[{'id': 5123610793, 'qualifierId': 197, 'value': '14913'}, {'id': 5123538995, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}, {'id': 5123538993, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 1x9uiwhoqu3qumt0urv5trlec, 710y645hepag4if4rm3gggjdg, b3xoqrbmua9uzr0tw8kmnw9as, 72xktsosbsh2uwkwby59mr6z8, eb1bh0esx3nfsaxq4xx9zj7ys, a8t1jn05xxxccikegk8fdaiok, 2buy6q56o0ixo30fatz7ps9w4, 6n0x8t513vmsmgfasovvoj7u2, 4agnpztnedb7ql14bo477vspg, b1p6qcv8wjzoxoax3nt13n5gq, 6n55m4ykhmk5eqx0ymc2ufz84, 4ycsifqidpgttuanylwsyts7o, 18y9ch962ahgw8smond94mdjo, cmwt0ezk7xwvni92pnkhgi0b8, 4uybjezp5gdqpvkwp8qsdxrf8'}, {'id': 5123539003, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123538999, 'qualifierId': 130, 'value': '13'}, {'id': 5123538997, 'qualifierId': 59, 'value': '70, 67, 56, 64, 42, 61, 59, 46, 44, 53, 48, 52, 66, 72, 73, 80'}, {'id': 5123539001, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5123611429, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}];;;;;ebqw8pto71arzdc41se317ifo;Team set up;14913,0;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Cincinnati II;0;;
2704445859;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-07-28T22:04:45.051Z;2024-07-28T22:04:45Z;[{'id': 5123612661, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ebqw8pto71arzdc41se317ifo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Cincinnati II;0;;
2704445865;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-07-28T22:04:45.051Z;2024-08-01T08:17:36Z;[{'id': 5123612677, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ebqw8pto71arzdc41se317ifo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2704445877;3;1;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;50,3;49,7;2024-07-28T22:04:45.052Z;2024-07-31T13:05:57Z;[{'id': 5123612753, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123612761, 'qualifierId': 213, 'value': '3.02'}, {'id': 5123612759, 'qualifierId': 212, 'value': '4.9'}, {'id': 5123612757, 'qualifierId': 141, 'value': '50.6'}, {'id': 5123612755, 'qualifierId': 140, 'value': '45.7'}, {'id': 5123612763, 'qualifierId': 279, 'value': 'S'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;;ebqw8pto71arzdc41se317ifo;Pass;;;;;;;;;;;3,02;4,9;50,6;45,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;45,7;50,6;;;;;;;;0;0;0;Chicago Fire II;0;AMC;1,0
2704445885;4;1;1;0;3;bd0378yx50xpdcgwkt9p9bmz8;1;45,7;51,1;2024-07-28T22:04:48.242Z;2024-08-01T08:18:06Z;[{'id': 5127053161, 'qualifierId': 212, 'value': '0.7'}, {'id': 5127053159, 'qualifierId': 141, 'value': '50.1'}, {'id': 5127053157, 'qualifierId': 140, 'value': '45.6'}, {'id': 5123612799, 'qualifierId': 56, 'value': 'Back'}, {'id': 5127053163, 'qualifierId': 213, 'value': '4.56'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;ebqw8pto71arzdc41se317ifo;Pass;;;;;;;;;;;4,56;0,7;50,1;45,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;45,6;50,1;;;;;;;;0;0;3;Chicago Fire II;3;FW;1,0
2704445893;5;1;1;0;4;bd0378yx50xpdcgwkt9p9bmz8;1;45,1;50,4;2024-07-28T22:04:49.359Z;2024-07-28T22:04:52Z;[{'id': 5123612821, 'qualifierId': 141, 'value': '48.4'}, {'id': 5123612825, 'qualifierId': 213, 'value': '3.21'}, {'id': 5123612823, 'qualifierId': 212, 'value': '18.9'}, {'id': 5123612817, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123612819, 'qualifierId': 140, 'value': '27.1'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;;ebqw8pto71arzdc41se317ifo;Pass;;;;;;;;;;;3,21;18,9;48,4;27,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;27,1;48,4;;;;;;;;0;0;4;Chicago Fire II;4;AMC;1,0
2704445905;6;1;1;0;6;bd0378yx50xpdcgwkt9p9bmz8;1;26,9;48,5;2024-07-28T22:04:51.951Z;2024-08-01T08:22:55Z;[{'id': 5123612901, 'qualifierId': 141, 'value': '16.2'}, {'id': 5123612905, 'qualifierId': 213, 'value': '5.87'}, {'id': 5123612903, 'qualifierId': 212, 'value': '55.0'}, {'id': 5123612897, 'qualifierId': 56, 'value': 'Right'}, {'id': 5123612899, 'qualifierId': 140, 'value': '74.9'}, {'id': 5123612907, 'qualifierId': 1}, {'id': 5127053415, 'qualifierId': 157}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;ebqw8pto71arzdc41se317ifo;Pass;;;;;;;;;;;5,87;55,0;16,2;74,9;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;74,9;16,2;;;;;;;;0;0;6;Chicago Fire II;6;DC;1,0
2704445911;7;44;1;0;8;bd0378yx50xpdcgwkt9p9bmz8;1;72,8;19,4;2024-07-28T22:04:53.642Z;2024-07-28T22:04:56Z;[{'id': 5123612947, 'qualifierId': 233, 'value': '3'}, {'id': 5123612933, 'qualifierId': 286}, {'id': 5123612931, 'qualifierId': 56, 'value': 'Right'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;ebqw8pto71arzdc41se317ifo;Aerial;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;8;Chicago Fire II;8;DMR;1,0
2704445901;3;44;1;0;8;8o8m08he36u0j4w08aj2iodn8;0;27,2;80,6;2024-07-28T22:04:53.643Z;2024-07-28T22:04:56Z;[{'id': 5123612959, 'qualifierId': 233, 'value': '7'}, {'id': 5123612877, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123612879, 'qualifierId': 285}];710y645hepag4if4rm3gggjdg;B. Richards;;;ebqw8pto71arzdc41se317ifo;Aerial;;;;;;;;;;;;;;;;;;7,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;8;Cincinnati II;8;DML;1,0
