id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamFormation;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_Resume;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_PassEndX;value_KickOff;value_Angle;value_PassEndY;value_Zone;value_Launch;value_LongBall;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Assist;value_GkY;value_BoxRight;value_Assisted;value_GoalmouthY;value_Right;value_RightFooted;value_RelatedEventId;value_GkX;value_RegularPlay;value_GoalmouthZ;value_NextEventGoalKick;value_NotVisible;value_GoalKick;value_Low;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Cross;value_Chipped;value_AerialFoul;value_IntendedTackleTarget;value_BlockedPass;value_Left;value_CornerTaken;value_InSwinger;value_Shove/Push;value_OutOfPlay;value_High;value_HighLeft;value_BlockedX;value_BoxLeft;value_BlockedY;value_IndividualPlay;value_Standing;value_Hands;value_ParriedDanger;value_KeeperThrow;value_DeletedEventType;value_IntentionalAssist;value_LeadingToGoal;value_BoxCentre;value_RelatedError1Id;value_BigChance;value_GoalShotTimestamp;value_GoalShotGameClock;value_KeeperTouched;value_SixYardBlocked;value_LowLeft;value_Blocked;value_NotAssisted;value_BoxDeepRight;value_DefBlock;value_YellowCard;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_LayOff;value_ShirtPull/Holding;value_GkHoof;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Head;value_SwitchOfPlay;value_Volley;value_HighRight;value_FirstTouch;value_BlockedCross;value_OutSwinger;value_NotRetreating;value_LeftFooted;value_OutOfBoxCentre;value_CloseLeft;value_SetPiece;value_TacticalFoul;value_TempMissNotPassedGoalLine;value_PlayersCaughtOffside;value_Indirect;value_Diving;value_ParriedSafe;value_HighCentre;value_Collected;value_LowCentre;value_Minutes;value_Overrun;value_CloseRight;value_SwerveLeft;value_PenaltyTakerId;value_Penalty;value_FantasyAssistType;value_CausingPlayer;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistTeam;value_EndType;value_Tactical;value_OverhitCross;value_HitWoodwork;value_HitRightPost;value_GkKickFromHands;value_PullBack;value_Handball;value_FromCorner;value_HighClaim;value_SmallBoxRight;value_35Right;value_FreeKick;value_TimeWasting;value_BlockedClearance;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2677125625;257;1;1;29;1;8o8m08he36u0j4w08aj2iodn8;0;71,1;79,1;2024-04-22T23:32:44.488Z;2024-04-22T23:32:47Z;[{'id': 4974105369, 'qualifierId': 155}, {'id': 4974105367, 'qualifierId': 2}, {'id': 4974105375, 'qualifierId': 141, 'value': '31.5'}, {'id': 4974105377, 'qualifierId': 212, 'value': '45.4'}, {'id': 4974105373, 'qualifierId': 140, 'value': '100.0'}, {'id': 4974105381, 'qualifierId': 1}, {'id': 4974105379, 'qualifierId': 213, 'value': '5.49'}, {'id': 4974105371, 'qualifierId': 56, 'value': 'Center'}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;45,4;100,0;;5,49;31,5;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;100,0;31,5;;;;;;;;0;29;1;Carolina Core;1741;FW;1,0
2677125623;220;5;1;29;3;2nnef9tr9g7m2s6n873qif95g;1;-1,0;65,9;2024-04-22T23:32:46.529Z;2024-04-22T23:32:48Z;[{'id': 4974105401, 'qualifierId': 233, 'value': '258'}, {'id': 4974105363, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974105365, 'qualifierId': 346}];8p0k65b4c26ssfk0zh43lme7e;D. Polanco;;;c9px4ywqxj5qmstxcun9dkx78;Out;;;;;;;;;;;;;;;;;;;;258,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;29;3;Chicago Fire II;1743;FW;1,0
2677125629;258;5;1;29;3;8o8m08he36u0j4w08aj2iodn8;0;101,0;34,1;2024-04-22T23:32:46.529Z;2024-04-22T23:40:01Z;[{'id': 4974105405, 'qualifierId': 233, 'value': '220'}, {'id': 4974105397, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974105399, 'qualifierId': 346}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;c9px4ywqxj5qmstxcun9dkx78;Out;;;;;;;;;;;;;;;;;;;;220,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;29;3;Carolina Core;1743;FW;1,0
2677125657;221;1;1;29;36;2nnef9tr9g7m2s6n873qif95g;1;4,1;57,8;2024-04-22T23:33:19.056Z;2024-04-22T23:33:22Z;[{'id': 4974105565, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974105573, 'qualifierId': 213, 'value': '6.28'}, {'id': 4974105579, 'qualifierId': 74}, {'id': 4974105571, 'qualifierId': 212, 'value': '49.8'}, {'id': 4974105569, 'qualifierId': 141, 'value': '57.3'}, {'id': 4974105567, 'qualifierId': 140, 'value': '51.5'}, {'id': 4974105575, 'qualifierId': 1}, {'id': 4974105563, 'qualifierId': 124}];8qgdg40qe62yreujy7rueil0p;A. Pannenberg;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;49,8;51,5;;6,28;57,3;;;1,0;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;51,5;57,3;;;;;;;;0;29;36;Chicago Fire II;1776;GK;1,0
2677125659;222;44;1;29;39;2nnef9tr9g7m2s6n873qif95g;1;53,8;57,8;2024-04-22T23:33:22.288Z;2024-04-22T23:33:26Z;[{'id': 4974105583, 'qualifierId': 286}, {'id': 4974105581, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974105655, 'qualifierId': 233, 'value': '261'}];ami9xddgghvnly4mwtdj2tlyi;L. Lugo;;;c9px4ywqxj5qmstxcun9dkx78;Aerial;;;;;;;;;;;;;;;;;;;1,0;261,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;29;39;Chicago Fire II;1779;AMC;1,0
2677125673;261;44;1;29;39;8o8m08he36u0j4w08aj2iodn8;0;46,2;42,2;2024-04-22T23:33:22.289Z;2024-04-22T23:33:26Z;[{'id': 4974105653, 'qualifierId': 285}, {'id': 4974105651, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974105659, 'qualifierId': 233, 'value': '222'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;c9px4ywqxj5qmstxcun9dkx78;Aerial;;;;;;;;;;;;;;;;;;;;222,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;29;39;Carolina Core;1779;ML;1,0
2677125665;223;1;1;29;39;2nnef9tr9g7m2s6n873qif95g;0;51,5;57,3;2024-04-22T23:33:22.532Z;2024-04-23T00:01:24Z;[{'id': 4974105625, 'qualifierId': 213, 'value': '0.63'}, {'id': 4974105615, 'qualifierId': 168}, {'id': 4974105621, 'qualifierId': 141, 'value': '70.8'}, {'id': 4974105619, 'qualifierId': 140, 'value': '63.5'}, {'id': 4974105613, 'qualifierId': 3}, {'id': 4974105623, 'qualifierId': 212, 'value': '15.6'}, {'id': 4974105617, 'qualifierId': 56, 'value': 'Center'}];ami9xddgghvnly4mwtdj2tlyi;L. Lugo;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;15,6;63,5;;0,63;70,8;;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;63,5;70,8;;;;;;;;0;29;39;Chicago Fire II;1779;AMC;1,0
2677125661;259;43;1;29;40;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-04-22T23:33:23.215Z;2024-04-22T23:33:40Z;[{'id': 4974105587, 'qualifierId': 168, 'value': '0'}, {'id': 4974105595, 'qualifierId': 212, 'value': '0'}, {'id': 4974105589, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974105823, 'qualifierId': 144, 'value': '1'}, {'id': 4974105597, 'qualifierId': 213, 'value': '3.14'}, {'id': 4974105593, 'qualifierId': 141, 'value': '44.2'}, {'id': 4974105585, 'qualifierId': 3, 'value': '0'}, {'id': 4974105591, 'qualifierId': 140, 'value': '44.4'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;c9px4ywqxj5qmstxcun9dkx78;Deleted event;;;;;;;;;;0,0;44,4;;3,14;44,2;;;;0,0;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;44,4;44,2;;;;;;;;0;29;40;Carolina Core;1780;ML;1,0
2677125671;260;43;1;29;40;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-04-22T23:33:23.215Z;2024-04-22T23:33:39Z;[{'id': 4974105817, 'qualifierId': 144, 'value': '44'}, {'id': 4974105647, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974105649, 'qualifierId': 285, 'value': '0'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;c9px4ywqxj5qmstxcun9dkx78;Deleted event;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;29;40;Carolina Core;1780;ML;1,0
2677125667;224;43;1;29;41;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-04-22T23:33:24.511Z;2024-04-23T00:01:22Z;[{'id': 4974120451, 'qualifierId': 144, 'value': '61'}, {'id': 4974105629, 'qualifierId': 56, 'value': 'Center'}];8p0k65b4c26ssfk0zh43lme7e;D. Polanco;;;c9px4ywqxj5qmstxcun9dkx78;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;29;41;Chicago Fire II;1781;FW;1,0
