id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Involved;value_TeamFormation;value_Resume;value_Captain;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_Zone;value_PassEndX;value_Length;value_PassEndY;value_LongBall;value_Chipped;value_MediumGkIntervention;value_KeeperThrow;value_LayOff;value_TouchTypePass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TakeOnSpace;value_DeletedEventType;value_Defensive1V1;value_TakeOnOvertake;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_HeadPass;value_Launch;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Cross;value_DrivenCross;value_Straight;value_LeftFooted;value_IntendedTackleTarget;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_BlockedPass;value_RightFooted;value_OutSwinger;value_BlockedCross;value_Right;value_Left;value_CornerTaken;value_Head;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_Blocked;value_LowCentre;value_RegularPlay;value_BlockedX;value_GkX;value_GkY;value_BoxCentre;value_Assisted;value_GoalmouthY;value_BlockedY;value_DefBlock;value_TouchTypeClearance;value_LowGkIntervention;value_BoxRight;value_IndividualPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_OutOfBoxCentre;value_FreeKick;value_NotAssisted;value_CloseRight;value_Shove/Push;value_InSwinger;value_FlickOn;value_TouchTypeControl;value_VideoCoverageLost;value_OtherObstacle;value_ShirtPull/Holding;value_SwitchOfPlay;value_Handball;value_FloatedCross;value_ThroughBall;value_GkKickFromHands;value_LowRight;value_BoxLeft;value_LowLeft;value_SwerveLeft;value_Hands;value_Stooping;value_Collected;value_BigChance;value_HighLeft;value_TimeWasting;value_OverArm;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_KickOff;value_HighRight;value_FirstTouch;value_SwerveRight;value_Overrun;value_CloseHigh;value_CoachId;value_Dissent;value_FastBreak;value_CloseRightAndHigh;value_High;value_Volley;value_HighGkIntervention;value_NotPastGoalLine;value_BlockedClearance;value_ParriedDanger;value_Diving;value_CaptainChange;value_FromCorner;value_GoalShotTimestamp;value_GoalShotGameClock;value_SmallBoxCentre;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_Standing;value_ParriedSafe;value_HighClaim;value_OverhitCross;value_InjuredPlayerId;value_Injury;value_Deflection;value_RecklessOffence;value_PullBack;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_KeeperTouched;value_Feet;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2675791089;926;1;2;93;55;8ijkk62897so5r3bq0wgwx4bu;0;44,9;36,6;2024-04-20T21:54:09.234Z;2024-04-20T21:54:10Z;[{'id': 4966916677, 'qualifierId': 141, 'value': '41.3'}, {'id': 4966916675, 'qualifierId': 140, 'value': '56.5'}, {'id': 4966916673, 'qualifierId': 56, 'value': 'Center'}, {'id': 4966916681, 'qualifierId': 213, 'value': '0.26'}, {'id': 4966916679, 'qualifierId': 212, 'value': '12.6'}, {'id': 4966916671, 'qualifierId': 3}];58akq0ojntf5n123msb1tzeok;G. Arnold;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;0,26;;56,5;12,6;41,3;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;56,5;41,3;;;;;;;;0;93;55;Sporting KC II;5635;Sub;1,0
2675791111;665;1;2;93;56;7fbej4xwoq4imaf5l39304m37;0;40,9;53,5;2024-04-20T21:54:10.530Z;2024-04-20T21:54:12Z;[{'id': 4966916787, 'qualifierId': 56, 'value': 'Center'}, {'id': 4966916785, 'qualifierId': 3}, {'id': 4966916791, 'qualifierId': 141, 'value': '41.5'}, {'id': 4966916789, 'qualifierId': 140, 'value': '53.7'}, {'id': 4966916795, 'qualifierId': 213, 'value': '5.74'}, {'id': 4966916793, 'qualifierId': 212, 'value': '15.7'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;5,74;;53,7;15,7;41,5;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;53,7;41,5;;;;;;;;0;93;56;Ventura County;5636;Sub;1,0
2675791105;927;49;2;93;57;8ijkk62897so5r3bq0wgwx4bu;1;46,9;59,9;2024-04-20T21:54:11.690Z;2024-04-20T21:54:11Z;[];58akq0ojntf5n123msb1tzeok;G. Arnold;;;cbyrti5ilkq3s4qypjxffnris;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;93;57;Sporting KC II;5637;Sub;1,0
2675791153;928;1;2;93;59;8ijkk62897so5r3bq0wgwx4bu;0;45,4;58,7;2024-04-20T21:54:13.515Z;2024-04-20T21:54:17Z;[{'id': 4966917087, 'qualifierId': 213, 'value': '5.81'}, {'id': 4966917081, 'qualifierId': 140, 'value': '61.6'}, {'id': 4966917085, 'qualifierId': 212, 'value': '19.1'}, {'id': 4966917083, 'qualifierId': 141, 'value': '46.0'}, {'id': 4966917079, 'qualifierId': 56, 'value': 'Center'}];58akq0ojntf5n123msb1tzeok;G. Arnold;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;5,81;;61,6;19,1;46,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;61,6;46,0;;;;;;;;0;93;59;Sporting KC II;5639;Sub;1,0
2675791175;931;61;2;94;1;8ijkk62897so5r3bq0wgwx4bu;0;61,6;46,0;2024-04-20T21:54:15.202Z;2024-04-20T21:54:36Z;[{'id': 4966917191, 'qualifierId': 56, 'value': 'Center'}];4283da2hccprbybkv4nvmos2c;J. Corona;;;cbyrti5ilkq3s4qypjxffnris;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;94;1;Sporting KC II;5641;Sub;1,0
2675791165;666;44;2;94;2;7fbej4xwoq4imaf5l39304m37;1;35,8;55,1;2024-04-20T21:54:16.392Z;2024-04-20T21:54:17Z;[{'id': 4966917129, 'qualifierId': 56, 'value': 'Back'}, {'id': 4966917131, 'qualifierId': 285}, {'id': 4966917167, 'qualifierId': 233, 'value': '929'}];4sw7pq7xhnf7pqii16lhtf7ro;H. Ališah;;;cbyrti5ilkq3s4qypjxffnris;Aerial;;;;;;;;;;;;;;;;;;;;;929,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;94;2;Ventura County;5642;DC;1,0
2675791155;929;44;2;94;2;8ijkk62897so5r3bq0wgwx4bu;0;64,2;44,9;2024-04-20T21:54:16.393Z;2024-04-20T21:54:18Z;[{'id': 4966917093, 'qualifierId': 286}, {'id': 4966917091, 'qualifierId': 56, 'value': 'Center'}, {'id': 4966917181, 'qualifierId': 233, 'value': '666'}];4283da2hccprbybkv4nvmos2c;J. Corona;;;cbyrti5ilkq3s4qypjxffnris;Aerial;;;;;;;;;;;;;;;;;;;;;666,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;94;2;Sporting KC II;5642;Sub;1,0
2675791179;667;1;2;94;2;7fbej4xwoq4imaf5l39304m37;0;33,1;56,2;2024-04-20T21:54:16.438Z;2024-04-26T19:09:20Z;[{'id': 4966917205, 'qualifierId': 212, 'value': '2.1'}, {'id': 4966917203, 'qualifierId': 141, 'value': '56.2'}, {'id': 4966917201, 'qualifierId': 140, 'value': '35.1'}, {'id': 4966917197, 'qualifierId': 3}, {'id': 4966917207, 'qualifierId': 213, 'value': '0.00'}, {'id': 4966917199, 'qualifierId': 56, 'value': 'Back'}];4sw7pq7xhnf7pqii16lhtf7ro;H. Ališah;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;0,0;;35,1;2,1;56,2;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;35,1;56,2;;;;;;;;0;94;2;Ventura County;5642;DC;1,0
2675791171;930;61;2;94;3;8ijkk62897so5r3bq0wgwx4bu;1;61,6;46,0;2024-04-20T21:54:16.986Z;2024-04-20T21:54:17Z;[{'id': 4966917149, 'qualifierId': 56, 'value': 'Center'}];4283da2hccprbybkv4nvmos2c;J. Corona;;;cbyrti5ilkq3s4qypjxffnris;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;94;3;Sporting KC II;5643;Sub;1,0
2675791233;932;1;2;94;5;8ijkk62897so5r3bq0wgwx4bu;1;60,6;40,6;2024-04-20T21:54:19.242Z;2024-04-20T21:54:23Z;[{'id': 4966917495, 'qualifierId': 140, 'value': '59.2'}, {'id': 4966917493, 'qualifierId': 56, 'value': 'Right'}, {'id': 4966917503, 'qualifierId': 212, 'value': '24.9'}, {'id': 4966917505, 'qualifierId': 213, 'value': '4.65'}, {'id': 4966917499, 'qualifierId': 141, 'value': '4.1'}];4283da2hccprbybkv4nvmos2c;J. Corona;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;4,65;;59,2;24,9;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;59,2;4,1;;;;;;;;0;94;5;Sporting KC II;5645;Sub;1,0
