id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Captain;value_Involved;value_TeamKit;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Angle;value_PassEndY;value_Zone;value_Length;value_Chipped;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_Head;value_OutOfPlay;value_NextEventThrowIn;value_NotVisible;value_ThrowIn;value_Launch;value_HeadPass;value_Cross;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_BlockedPass;value_Shove/Push;value_IntendedTackleTarget;value_DeletedEventType;value_OverhitCross;value_NextEventGoalKick;value_Low;value_GoalKick;value_LayOff;value_SwitchOfPlay;value_Handball;value_KeeperThrow;value_IntentionalAssist;value_Assist;value_GkY;value_Assisted;value_GoalmouthZ;value_LeftFooted;value_LowCentre;value_IndividualPlay;value_RelatedEventId;value_GoalmouthY;value_BoxRight;value_BlockedY;value_Blocked;value_GkX;value_BlockedX;value_RegularPlay;value_DefBlock;value_Left;value_CornerTaken;value_InSwinger;value_FirstTouch;value_FromCorner;value_BoxLeft;value_High;value_ShirtPull/Holding;value_BoxCentre;value_NotAssisted;value_RightFooted;value_OutOfBoxCentre;value_CloseLeft;value_TacticalFoul;value_YellowCard;value_Overrun;value_SetPiece;value_Right;value_Straight;value_HighClaim;value_GkKickFromHands;value_PlayersCaughtOffside;value_Indirect;value_LowRight;value_PullBack;value_RecklessOffence;value_LastLine;value_OutSwinger;value_Minutes;value_SmallBoxRight;value_SixYardBlocked;value_OtherBodyPart;value_Sliding;value_ParriedSafe;value_OwnPlayer;value_OwnShotBlocked;value_CloseRight;value_EndType;value_FlickOn;value_AdvantagePlayed;value_LowLeft;value_Hands;value_Collected;value_Stooping;value_Tactical;value_FormationSlot;value_Diving;value_OverArm;value_NotPastGoalLine;value_35Centre;value_BigChance;value_SecondYellow;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_DetailedPositionId;value_BlockedCross;value_HighRight;value_Reaching;value_OtherObstacle;value_GoesToPenalties;value_GoalShotGameClock;value_GoalShotTimestamp;value_Penalty;value_HighLeft;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_Missed;value_Saved;value_Weak;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708290381;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-08-11T20:04:38.929Z;2024-08-11T23:22:47Z;[{'id': 5145296605, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5144817465, 'qualifierId': 30, 'value': '8h2vywep73yn25kus2nda8ga2, 6g7i7z6m8vts105dny1g6z3hm, 2wsgrwgiotfis2l96i0sxlvys, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, 7tpb4dk9meee0utyu4cosnxn8, 9bv0zjyrsopyv3hw8m47sgr9w, aa4v8xfn3ra4digk5h7gdrbze, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, 8isz09ynyz28pkhuio5vnl9g4, 595bi39ikp8s9sfw6q5981mvo, c2b6h5zwjvzdvdcybyuqd6exg, bvb7i5n0j5ltqkv991p40r8yc, 3g6rx9q2duzspubkzzm0852xg, 7r0zyjb523r5phis7b1boqfpw, bebv65gzex5nuihc5mutjrwus'}, {'id': 5145018011, 'qualifierId': 197, 'value': '3378'}, {'id': 5144817467, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5144817469, 'qualifierId': 59, 'value': '99, 30, 29, 53, 54, 68, 23, 56, 32, 49, 34, 55, 62, 59, 61, 65, 90, 60'}, {'id': 5144817473, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5144817471, 'qualifierId': 130, 'value': '8'}, {'id': 5144817475, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;elxd5k5yp52s3274srew6rx1w;Team set up;;;3378,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2708294691;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-08-11T20:11:11.251Z;2024-08-11T21:08:04Z;[{'id': 5144840629, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, 8texi81doeqhy7eu6fnhrstbe, 3xd2kq7cxmvdbqsfzgi644c4q, drt65b9m2f494wnoyep49bn1m, exk9svcdgcbn05ms00fhorvv8, avxfzgoe2y0opif75qu3aeb6c, doqbp8fg8hke6hhifdr4jzklw, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 7ofdnarha4k4b8nggld7gxnqi, 9qhpi9y9iujvkbocafhgrj04q, 7bxp7ho4cmsoviw19q4bxr02c, 54bxvj70tmam1l59vdthq22ac, 7nvpvg46tgsnyp31t3se72e0a, 35i699wz5v6nush729peu776c, 4npcsyrhri5kmeks8gfon146i, avg8cobjwujoc3os8q8755tlg, 3sg9rl2w343fvx1uv046ox4pg, bkfv997rk0vvplqh2e4dot1w, 91zaobrhwte235umn6y1mklxw'}, {'id': 5144840639, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5144840633, 'qualifierId': 59, 'value': '26, 47, 44, 86, 39, 43, 56, 48, 68, 97, 60, 41, 92, 64, 71, 51, 79, 77, 95, 42'}, {'id': 5145017855, 'qualifierId': 197, 'value': '18743'}, {'id': 5144840637, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145028409, 'qualifierId': 194, 'value': 'exk9svcdgcbn05ms00fhorvv8'}, {'id': 5144840631, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5144840635, 'qualifierId': 130, 'value': '4'}];;;;elxd5k5yp52s3274srew6rx1w;Team set up;;;18743,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2708326973;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-08-11T21:03:56.028Z;2024-08-11T21:03:56Z;[{'id': 5145018737, 'qualifierId': 127, 'value': 'Right to Left'}];;;;elxd5k5yp52s3274srew6rx1w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2708326977;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-08-11T21:03:56.028Z;2024-08-11T21:03:59Z;[{'id': 5145018755, 'qualifierId': 127, 'value': 'Left to Right'}];;;;elxd5k5yp52s3274srew6rx1w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2708326981;3;1;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;50,3;50,1;2024-08-11T21:03:56.423Z;2024-08-11T21:03:59Z;[{'id': 5145018773, 'qualifierId': 140, 'value': '25.8'}, {'id': 5145018781, 'qualifierId': 279, 'value': 'S'}, {'id': 5145018779, 'qualifierId': 213, 'value': '2.68'}, {'id': 5145018775, 'qualifierId': 141, 'value': '69.0'}, {'id': 5145018771, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145018777, 'qualifierId': 212, 'value': '28.8'}];drt65b9m2f494wnoyep49bn1m;F. Mirkovic;;elxd5k5yp52s3274srew6rx1w;Pass;;;;;;;;;;25,8;;2,68;69,0;;28,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;25,8;69,0;;;;;;;;0;0;0;Orlando City B;0;MC;1,0
2708327015;4;1;1;0;3;6ubc4y1v6hr63mca7ica4hp90;0;26,2;65,4;2024-08-11T21:03:59.363Z;2024-08-11T21:42:27Z;[{'id': 5145018915, 'qualifierId': 140, 'value': '77.8'}, {'id': 5145018911, 'qualifierId': 155}, {'id': 5145018917, 'qualifierId': 141, 'value': '24.0'}, {'id': 5145018913, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145018919, 'qualifierId': 212, 'value': '61.1'}, {'id': 5145018923, 'qualifierId': 1}, {'id': 5145018921, 'qualifierId': 213, 'value': '5.80'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;elxd5k5yp52s3274srew6rx1w;Pass;;;;;;;;;;77,8;;5,8;24,0;;61,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;77,8;24,0;;;;;;;;0;0;3;Orlando City B;3;DC;1,0
2708327019;3;44;1;0;7;479lsfr4cwlzewpbuda3y2xv4;1;24,0;78,8;2024-08-11T21:04:03.586Z;2024-08-11T21:35:45Z;[{'id': 5145018943, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145018945, 'qualifierId': 285}, {'id': 5145018963, 'qualifierId': 233, 'value': '5'}];2wsgrwgiotfis2l96i0sxlvys;T. Reid-Brown;;elxd5k5yp52s3274srew6rx1w;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;7;Crown Legacy;7;DC;1,0
2708327017;5;44;1;0;7;6ubc4y1v6hr63mca7ica4hp90;0;76,0;21,2;2024-08-11T21:04:03.587Z;2024-08-11T21:42:34Z;[{'id': 5145018983, 'qualifierId': 233, 'value': '3'}, {'id': 5145018939, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145018941, 'qualifierId': 286}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;elxd5k5yp52s3274srew6rx1w;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;7;Orlando City B;7;FW;1,0
2708327023;4;8;1;0;8;479lsfr4cwlzewpbuda3y2xv4;1;27,0;83,5;2024-08-11T21:04:04.268Z;2024-08-11T21:04:05Z;[{'id': 5145018949, 'qualifierId': 15}, {'id': 5145018947, 'qualifierId': 56, 'value': 'Back'}];2wsgrwgiotfis2l96i0sxlvys;T. Reid-Brown;;elxd5k5yp52s3274srew6rx1w;Interception;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;8;Crown Legacy;8;DC;1,0
2708327037;5;61;1;0;10;479lsfr4cwlzewpbuda3y2xv4;0;30,4;88,6;2024-08-11T21:04:06.476Z;2024-08-11T21:04:06Z;[{'id': 5145019025, 'qualifierId': 56, 'value': 'Back'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;elxd5k5yp52s3274srew6rx1w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;10;Crown Legacy;10;AMC;1,0
