id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_JerseyNumber;value_Resume;value_Captain;value_TeamKit;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Zone;value_PassEndY;value_Tap;value_Length;value_Angle;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_DeletedEventType;value_ThrowIn;value_Chipped;value_IntendedTackleTarget;value_FlickOn;value_Cross;value_HighClaim;value_KeeperThrow;value_Head;value_LayOff;value_OutOfPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_OverhitCross;value_IntentionalAssist;value_Assist;value_Assisted;value_BlockedY;value_BoxRight;value_GoalmouthZ;value_RegularPlay;value_RightFooted;value_GoalmouthY;value_LowRight;value_RelatedEventId;value_BigChance;value_BlockedX;value_FirstTouch;value_ParriedDanger;value_Hands;value_Standing;value_LeadingToAttempt;value_LowCentre;value_NotAssisted;value_Feet;value_Sliding;value_Right;value_Left;value_CornerTaken;value_OutSwinger;value_BlockedPass;value_BoxLeft;value_LeftFooted;value_IndividualPlay;value_BlockedClearance;value_GkX;value_OutOfBoxCentre;value_High;value_GkY;value_ThroughBall;value_LowLeft;value_BoxDeepRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_CloseHigh;value_SwerveRight;value_FreeKick;value_AerialFoul;value_Handball;value_LastLine;value_Blocked;value_DefBlock;value_BoxCentre;value_ParriedSafe;value_ShirtPull/Holding;value_HighLeft;value_PullBack;value_NotVisible;value_Shove/Push;value_FromCorner;value_NotPastGoalLine;value_MisHit;value_HighRight;value_HighCentre;value_Collected;value_FastBreak;value_Deflection;value_Diving;value_InSwinger;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_BlockedCross;value_ThrowInSetPiece;value_YellowCard;value_RecklessOffence;value_GkHoof;value_Dissent;value_InjuredPlayerId;value_Injury;value_LeadingToGoal;value_SmallBoxLeft;value_RelatedError1Id;value_Overrun;value_TacticalFoul;value_SmallBoxCentre;value_OwnGoal;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702665345;67;61;1;7;54;5b4ccd62yeeqdl2qk6jzsmjv8;0;78,4;97,5;2024-07-21T22:12:47.896Z;2024-07-21T23:07:53Z;[{'id': 5113755941, 'qualifierId': 56, 'value': 'Left'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;e5k64rxalc0mtxpiptijh96hg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;7;54;Cincinnati II;474;DML;1,0
2702665361;68;5;1;7;55;5b4ccd62yeeqdl2qk6jzsmjv8;0;73,6;101,5;2024-07-21T22:12:49.185Z;2024-07-21T22:22:42Z;[{'id': 5113756071, 'qualifierId': 347}, {'id': 5113780959, 'qualifierId': 233, 'value': '97'}, {'id': 5113756069, 'qualifierId': 56, 'value': 'Left'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;e5k64rxalc0mtxpiptijh96hg;Out;;;;;;;;;;;;;;;;;;;97,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;7;55;Cincinnati II;475;DML;1,0
2702665329;97;5;1;7;55;bd0378yx50xpdcgwkt9p9bmz8;1;26,4;-1,5;2024-07-21T22:12:49.185Z;2024-07-21T22:22:41Z;[{'id': 5113755841, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113755843, 'qualifierId': 347}, {'id': 5113780941, 'qualifierId': 233, 'value': '68'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;e5k64rxalc0mtxpiptijh96hg;Out;;;;;;;;;;;;;;;;;;;68,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;7;55;Columbus Crew II;475;FW;1,0
2702665357;98;1;1;8;8;bd0378yx50xpdcgwkt9p9bmz8;1;25,2;0,0;2024-07-21T22:13:01.711Z;2024-07-21T22:13:05Z;[{'id': 5113756035, 'qualifierId': 107}, {'id': 5113756043, 'qualifierId': 212, 'value': '16.3'}, {'id': 5113756039, 'qualifierId': 140, 'value': '10.9'}, {'id': 5113756037, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113756041, 'qualifierId': 141, 'value': '7.3'}, {'id': 5113756045, 'qualifierId': 213, 'value': '2.74'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;10,9;;;7,3;;16,3;2,74;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;10,9;7,3;;;;;;;0;0;8;8;Columbus Crew II;488;DMR;1,0
2702665377;99;1;1;8;12;bd0378yx50xpdcgwkt9p9bmz8;1;9,9;11,1;2024-07-21T22:13:05.823Z;2024-07-21T22:13:08Z;[{'id': 5113756145, 'qualifierId': 140, 'value': '22.8'}, {'id': 5113756149, 'qualifierId': 212, 'value': '18.4'}, {'id': 5113756151, 'qualifierId': 213, 'value': '0.75'}, {'id': 5113756147, 'qualifierId': 141, 'value': '29.5'}, {'id': 5113756143, 'qualifierId': 56, 'value': 'Back'}];739dnufx6izfhubwow0n1ijxm;L. Aghedo;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;22,8;;;29,5;;18,4;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;22,8;29,5;;;;;;;0;0;8;12;Columbus Crew II;492;DC;1,0
2702665395;100;1;1;8;14;bd0378yx50xpdcgwkt9p9bmz8;1;23,0;29,5;2024-07-21T22:13:08.031Z;2024-07-21T22:13:10Z;[{'id': 5113756269, 'qualifierId': 140, 'value': '36.0'}, {'id': 5113756267, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113756271, 'qualifierId': 141, 'value': '30.1'}, {'id': 5113756273, 'qualifierId': 212, 'value': '13.7'}, {'id': 5113756275, 'qualifierId': 213, 'value': '0.03'}];8sydisziijh84elb8dprtlduy;N. Benalcázar;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;36,0;;;30,1;;13,7;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;36,0;30,1;;;;;;;0;0;8;14;Columbus Crew II;494;DMC;1,0
2702665455;101;1;1;8;16;bd0378yx50xpdcgwkt9p9bmz8;1;35,3;36,3;2024-07-21T22:13:09.936Z;2024-07-21T22:13:40Z;[{'id': 5113756577, 'qualifierId': 140, 'value': '66.2'}, {'id': 5113756579, 'qualifierId': 141, 'value': '81.7'}, {'id': 5113756575, 'qualifierId': 56, 'value': 'Left'}, {'id': 5113756583, 'qualifierId': 213, 'value': '0.76'}, {'id': 5113757643, 'qualifierId': 210, 'value': '15'}, {'id': 5113756585, 'qualifierId': 1}, {'id': 5113756573, 'qualifierId': 155}, {'id': 5113756581, 'qualifierId': 212, 'value': '44.8'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;1,0;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;66,2;;;81,7;;44,8;0,76;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;66,2;81,7;;;;;;;0;0;8;16;Columbus Crew II;496;FW;1,0
2702665457;102;15;1;8;21;bd0378yx50xpdcgwkt9p9bmz8;1;89,4;69,0;2024-07-21T22:13:15.279Z;2024-07-21T22:14:55Z;[{'id': 5113761405, 'qualifierId': 233, 'value': '69'}, {'id': 5113756597, 'qualifierId': 22}, {'id': 5113757647, 'qualifierId': 29}, {'id': 5113757655, 'qualifierId': 103, 'value': '13.9'}, {'id': 5113756601, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113757659, 'qualifierId': 146, 'value': '98.5'}, {'id': 5113757653, 'qualifierId': 102, 'value': '51.5'}, {'id': 5113757663, 'qualifierId': 147, 'value': '53.4'}, {'id': 5113756599, 'qualifierId': 64}, {'id': 5113757649, 'qualifierId': 55, 'value': '101'}, {'id': 5113757453, 'qualifierId': 72}, {'id': 5113757657, 'qualifierId': 215}, {'id': 5113757645, 'qualifierId': 78}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;e5k64rxalc0mtxpiptijh96hg;Attempt Saved;;;;;;;;;;;;;;;;;;;69,0;;;;;;;;;;;;;;;;;;;;;;;1,0;53,4;;13,9;1,0;;51,5;;101,0;;98,5;;;;;;1,0;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;98,5;53,4;51,5;13.9;101,0;1ofx4ncf6w5twjbaam5w0mu7e;0;0;8;21;Columbus Crew II;501;DML;1,0
2702665475;69;10;1;8;21;5b4ccd62yeeqdl2qk6jzsmjv8;1;3,4;46,8;2024-07-21T22:13:15.379Z;2024-07-21T22:14:55Z;[{'id': 5113761389, 'qualifierId': 174}, {'id': 5113756699, 'qualifierId': 178}, {'id': 5113761409, 'qualifierId': 233, 'value': '102'}, {'id': 5113756703, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113756701, 'qualifierId': 182}];9bn2zid7u305xii6alm8a58us;S. Lapkes;;;e5k64rxalc0mtxpiptijh96hg;Save;;;;;;;;;;;;;;;;;;;102,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;8;21;Cincinnati II;501;GK;1,0
2702665531;71;12;1;8;23;5b4ccd62yeeqdl2qk6jzsmjv8;1;3,0;43,8;2024-07-21T22:13:17.560Z;2024-07-21T22:23:32Z;[{'id': 5113782643, 'qualifierId': 397}, {'id': 5113760181, 'qualifierId': 212, 'value': '2.4'}, {'id': 5113760177, 'qualifierId': 140, 'value': '3.3'}, {'id': 5113782645, 'qualifierId': 233, 'value': '103'}, {'id': 5113760179, 'qualifierId': 141, 'value': '40.3'}, {'id': 5113760183, 'qualifierId': 213, 'value': '4.84'}, {'id': 5113757009, 'qualifierId': 56, 'value': 'Back'}];9elhnfsovx9efu5f92mkkls7o;C. Pearson;;;e5k64rxalc0mtxpiptijh96hg;Clearance;;;;;;;;;;3,3;;;40,3;;2,4;4,84;;;103,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;3,3;40,3;;;;;;;0;0;8;23;Cincinnati II;503;DC;1,0
