id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_JerseyNumber;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_TeamKit;value_Captain;value_TeamFormation;value_DirectionOfPlay;value_Length;value_PassEndY;value_Angle;value_Zone;value_KickOff;value_PassEndX;value_LongBall;value_Launch;value_HeadPass;value_DeletedEventType;value_Offensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Defensive;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_Right;value_RightFooted;value_OutSwinger;value_CornerTaken;value_Cross;value_Chipped;value_Head;value_GoalmouthZ;value_Volley;value_GoalmouthY;value_GkX;value_OutOfBoxCentre;value_BlockedX;value_LeftFooted;value_FirstTouch;value_BlockedY;value_LowRight;value_Blocked;value_NotAssisted;value_GkY;value_FromCorner;value_DefBlock;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_TouchTypeControl;value_PlayersCaughtOffside;value_FreeKickTaken;value_Direct;value_Assist;value_RelatedEventId;value_LowLeft;value_Assisted;value_IndividualPlay;value_RegularPlay;value_LowGkIntervention;value_Collected;value_Stooping;value_Hands;value_KeeperThrow;value_Foul;value_Shove/Push;value_InSwinger;value_SetPiece;value_NotPastGoalLine;value_TakeOnSpace;value_ShirtPull/Holding;value_DrivenCross;value_Straight;value_NextEventGoalKick;value_Low;value_GoalKick;value_Handball;value_High;value_TakeOnOvertake;value_IntentionalAssist;value_BoxCentre;value_OtherObstacle;value_NotVisible;value_OverhitCross;value_BlockedPass;value_SwitchOfPlay;value_LayOff;value_LowCentre;value_GkKickFromHands;value_IntendedTackleTarget;value_ParriedSafe;value_Diving;value_MediumGkIntervention;value_HitWoodwork;value_AttemptedTackle;value_ThroughBall;value_HighCentre;value_GkYTimeOfGoal;value_SmallBoxCentre;value_GoalShotTimestamp;value_GoalShotGameClock;value_BigChance;value_GkXTimeOfGoal;value_YellowCard;value_TacticalFoul;value_Dissent;value_Indirect;value_SixYardBlocked;value_BlockedCross;value_BoxRight;value_AerialFoul;value_RefereeDelay;value_OtherReason;value_Argument;value_GkHoof;value_Minutes;value_HighClaim;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BoxDeepRight;value_RecklessOffence;value_OwnPlayer;value_OwnShotBlocked;value_CloseRight;value_OutOfBoxRight;value_FreeKick;value_CloseLeft;value_SmallBoxRight;value_CloseHigh;value_Overrun;value_InjuredPlayerId;value_Injury;value_HighGkIntervention;value_Weak;value_CoachId;value_OverArm;value_SmallBoxLeft;value_ParriedDanger;value_Deflection;value_GoesToExtraTime;value_HighRight;value_BoxLeft;value_OtherBodyPart;value_TempMissed;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2739602449;179;50;1;21;53;1zgjjyruyufrkh4xjvryqsb1i;1;67,2;29,3;2024-10-26T21:25:50.391Z;2024-10-31T22:58:07Z;[{'id': 5316903709, 'qualifierId': 286}, {'id': 5316441013, 'qualifierId': 56, 'value': 'Center'}, {'id': 5329920761, 'qualifierId': 233, 'value': '146'}];45v94x6b8g7n4xa3lsfdp6pzo;D. Vazquez;;;chvdnuoe6g7q6vg7hlhf4r5sk;Dispossessed;;;;;;;;;;;;;;;;;;;;1,0;146,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;21;53;Crown Legacy;1313;MR;1,0
2739602513;146;7;1;21;53;6ubc4y1v6hr63mca7ica4hp90;1;32,8;70,7;2024-10-26T21:25:50.392Z;2024-10-31T14:23:21Z;[{'id': 5316441339, 'qualifierId': 56, 'value': 'Back'}, {'id': 5329027767, 'qualifierId': 384}, {'id': 5316903735, 'qualifierId': 233, 'value': '179'}, {'id': 5316441341, 'qualifierId': 285}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;chvdnuoe6g7q6vg7hlhf4r5sk;Tackle;;;;;;;;;;;;;;;;;;;;;179,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;21;53;Philadelphia Union II;1313;MC;1,0
2741890475;1069;61;1;21;53;6ubc4y1v6hr63mca7ica4hp90;1;27,3;74,6;2024-10-26T21:25:50.713Z;2024-10-31T14:23:56Z;[{'id': 5329028043, 'qualifierId': 56, 'value': 'Back'}];doqbp8fg8hke6hhifdr4jzklw;E. Peña;;;chvdnuoe6g7q6vg7hlhf4r5sk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;21;53;Philadelphia Union II;1313;MC;1,0
2739602481;180;1;1;21;55;1zgjjyruyufrkh4xjvryqsb1i;1;73,0;44,2;2024-10-26T21:25:51.944Z;2024-10-26T21:25:54Z;[{'id': 5316441157, 'qualifierId': 141, 'value': '63.5'}, {'id': 5316441153, 'qualifierId': 56, 'value': 'Center'}, {'id': 5316441155, 'qualifierId': 140, 'value': '69.2'}, {'id': 5316441161, 'qualifierId': 213, 'value': '1.87'}, {'id': 5316441159, 'qualifierId': 212, 'value': '13.7'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;chvdnuoe6g7q6vg7hlhf4r5sk;Pass;;;;;;;;;;13,7;63,5;1,87;;;69,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;69,2;63,5;;;;;;;;0;21;55;Crown Legacy;1315;FW;1,0
2739602509;181;1;1;21;57;1zgjjyruyufrkh4xjvryqsb1i;1;71,1;64,4;2024-10-26T21:25:53.912Z;2024-10-26T21:25:57Z;[{'id': 5316441311, 'qualifierId': 213, 'value': '0.26'}, {'id': 5316441301, 'qualifierId': 140, 'value': '83.6'}, {'id': 5316441309, 'qualifierId': 212, 'value': '13.6'}, {'id': 5316441305, 'qualifierId': 141, 'value': '69.5'}, {'id': 5316441299, 'qualifierId': 56, 'value': 'Center'}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;chvdnuoe6g7q6vg7hlhf4r5sk;Pass;;;;;;;;;;13,6;69,5;0,26;;;83,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;83,6;69,5;;;;;;;;0;21;57;Crown Legacy;1317;ML;1,0
2739602511;182;1;1;22;0;1zgjjyruyufrkh4xjvryqsb1i;0;92,1;71,4;2024-10-26T21:25:56.903Z;2024-10-31T14:24:32Z;[{'id': 5316441323, 'qualifierId': 56, 'value': 'Center'}, {'id': 5316441377, 'qualifierId': 233, 'value': '147'}, {'id': 5316441327, 'qualifierId': 141, 'value': '63.2'}, {'id': 5316441331, 'qualifierId': 213, 'value': '5.09'}, {'id': 5316441329, 'qualifierId': 212, 'value': '6.0'}, {'id': 5316441325, 'qualifierId': 140, 'value': '94.2'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;chvdnuoe6g7q6vg7hlhf4r5sk;Pass;;;;;;;;;;6,0;63,2;5,09;;;94,2;;;;;;147,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;94,2;63,2;;;;;;;;0;22;0;Crown Legacy;1320;DC;1,0
2739602517;147;61;1;22;0;6ubc4y1v6hr63mca7ica4hp90;1;9,0;42,2;2024-10-26T21:25:56.904Z;2024-10-31T14:24:30Z;[{'id': 5316441371, 'qualifierId': 56, 'value': 'Back'}];exk9svcdgcbn05ms00fhorvv8;J. Neeley;;;chvdnuoe6g7q6vg7hlhf4r5sk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;22;0;Philadelphia Union II;1320;DL;1,0
2739602537;148;5;1;22;3;6ubc4y1v6hr63mca7ica4hp90;0;10,4;-1,4;2024-10-26T21:26:00.792Z;2024-10-26T21:46:47Z;[{'id': 5316441511, 'qualifierId': 56, 'value': 'Back'}, {'id': 5316442133, 'qualifierId': 233, 'value': '183'}, {'id': 5316441513, 'qualifierId': 347}];exk9svcdgcbn05ms00fhorvv8;J. Neeley;;;chvdnuoe6g7q6vg7hlhf4r5sk;Out;;;;;;;;;;;;;;;;;;;;;183,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;22;3;Philadelphia Union II;1323;DL;1,0
2739602633;183;5;1;22;3;1zgjjyruyufrkh4xjvryqsb1i;1;89,6;101,4;2024-10-26T21:26:00.792Z;2024-10-26T21:46:47Z;[{'id': 5316442103, 'qualifierId': 233, 'value': '148'}, {'id': 5316442063, 'qualifierId': 56, 'value': 'Left'}, {'id': 5316442065, 'qualifierId': 347}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;chvdnuoe6g7q6vg7hlhf4r5sk;Out;;;;;;;;;;;;;;;;;;;;;148,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;22;3;Crown Legacy;1323;DC;1,0
2739602747;184;1;1;22;21;1zgjjyruyufrkh4xjvryqsb1i;1;86,0;100,0;2024-10-26T21:26:17.920Z;2024-10-31T14:24:57Z;[{'id': 5316442769, 'qualifierId': 141, 'value': '94.2'}, {'id': 5316442771, 'qualifierId': 212, 'value': '5.1'}, {'id': 5316442773, 'qualifierId': 213, 'value': '4.82'}, {'id': 5316442765, 'qualifierId': 56, 'value': 'Left'}, {'id': 5316442763, 'qualifierId': 107}, {'id': 5316442767, 'qualifierId': 140, 'value': '86.5'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;chvdnuoe6g7q6vg7hlhf4r5sk;Pass;;;;;;;;;;5,1;94,2;4,82;;;86,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;86,5;94,2;;;;;;;;0;22;21;Crown Legacy;1341;DC;1,0
