id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_Captain;value_Resume;value_TeamKit;value_Involved;value_DirectionOfPlay;value_Length;value_NotVisible;value_KickOff;value_Angle;value_Zone;value_DeletedEventType;value_PassEndX;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_Chipped;value_FlickOn;value_IntendedTackleTarget;value_TakeOnSpace;value_TouchTypeControl;value_SwitchOfPlay;value_TakeOnOvertake;value_Defensive1V1;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_BlockedPass;value_LayOff;value_TouchTypeClearance;value_OutOfPlay;value_RightFooted;value_IntentionalAssist;value_Assist;value_DrivenCross;value_Straight;value_Cross;value_GkX;value_RelatedEventId;value_GkY;value_RegularPlay;value_High;value_GoalmouthZ;value_FirstTouch;value_BoxRight;value_GoalmouthY;value_Assisted;value_NextEventGoalKick;value_GoalKick;value_Low;value_InSwinger;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_TacticalFoul;value_YellowCard;value_Head;value_OutSwinger;value_LeftFooted;value_Left;value_CornerTaken;value_FromCorner;value_BlockedY;value_BlockedX;value_LowCentre;value_BoxCentre;value_Blocked;value_DefBlock;value_LowRight;value_FastBreak;value_NotAssisted;value_Hands;value_Diving;value_ParriedSafe;value_MediumGkIntervention;value_Right;value_OverArm;value_Handball;value_Overrun;value_IndividualPlay;value_OutOfBoxCentre;value_ShirtPull/Holding;value_Shove/Push;value_HighRight;value_HighCentre;value_Dissent;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_HitWoodwork;value_PlayersCaughtOffside;value_Indirect;value_HitRightPost;value_SwerveLeft;value_PersistentInfringement;value_HighLeft;value_FreeKick;value_ByWall;value_NotPastGoalLine;value_SwerveRight;value_PullBack;value_RecklessOffence;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BoxLeft;value_Reaching;value_InjuredPlayerId;value_Injury;value_LowLeft;value_LowGkIntervention;value_Collected;value_Stooping;value_LeadingToAttempt;value_BigChance;value_RelatedError1Id;value_CloseRight;value_Fingertip;value_PenaltyTakerId;value_Penalty;value_FantasyAssistType;value_CausingPlayer;value_FantasyAssistId;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_Scored;value_BlockedCross;value_2NdAssist;value_ThrowInSetPiece;value_2NdAssisted;value_SmallBoxCentre;value_Volley;value_2NdRelatedEventId;value_SmallBoxLeft;value_CornerNotTaken;value_GoesToPenalties;value_Saved;value_Feet;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695930423;321;1;1;38;54;479lsfr4cwlzewpbuda3y2xv4;1;82,1;44,3;2024-06-13T23:42:57.851Z;2024-06-13T23:43:00Z;[{'id': 5076631775, 'qualifierId': 213, 'value': '3.47'}, {'id': 5076631773, 'qualifierId': 212, 'value': '5.4'}, {'id': 5076631769, 'qualifierId': 140, 'value': '77.2'}, {'id': 5076631771, 'qualifierId': 141, 'value': '41.7'}, {'id': 5076631767, 'qualifierId': 56, 'value': 'Center'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;5,4;;;3,47;;;77,2;41,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;77,2;41,7;;;;;;;;0;38;54;Chattanooga;2334;AMC;1,0
2695930439;322;1;1;38;57;479lsfr4cwlzewpbuda3y2xv4;1;77,2;41,7;2024-06-13T23:43:00.412Z;2024-06-13T23:43:03Z;[{'id': 5076631845, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076631843, 'qualifierId': 155}, {'id': 5076631847, 'qualifierId': 140, 'value': '98.7'}, {'id': 5076631853, 'qualifierId': 213, 'value': '0.67'}, {'id': 5076631851, 'qualifierId': 212, 'value': '28.8'}, {'id': 5076631849, 'qualifierId': 141, 'value': '68.0'}];9bv0zjyrsopyv3hw8m47sgr9w;C. Guske;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;28,8;;;0,67;;;98,7;68,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;98,7;68,0;;;;;;;;0;38;57;Chattanooga;2337;MC;1,0
2695930449;323;1;1;39;0;479lsfr4cwlzewpbuda3y2xv4;1;97,2;68,2;2024-06-13T23:43:03.403Z;2024-06-13T23:43:05Z;[{'id': 5076631885, 'qualifierId': 213, 'value': '4.13'}, {'id': 5076631883, 'qualifierId': 212, 'value': '24.9'}, {'id': 5076631881, 'qualifierId': 141, 'value': '37.5'}, {'id': 5076631879, 'qualifierId': 140, 'value': '84.2'}, {'id': 5076631877, 'qualifierId': 56, 'value': 'Center'}];brzi1qy5hkx7zhxhjykg8ox78;Y. Valencia;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;24,9;;;4,13;;;84,2;37,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;84,2;37,5;;;;;;;;0;39;0;Chattanooga;2340;AML;1,0
2695930453;324;3;1;39;1;479lsfr4cwlzewpbuda3y2xv4;0;84,3;38,0;2024-06-13T23:43:05.116Z;2024-06-19T14:25:45Z;[{'id': 5076631905, 'qualifierId': 286}, {'id': 5081858515, 'qualifierId': 465}, {'id': 5076631903, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076631951, 'qualifierId': 233, 'value': '326'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;dfe6xtgddcqowlgpwfidn1jx0;Take On;;;;;;;;;;;;;;;;;;;;326,0;;1,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;39;1;Chattanooga;2341;DR;1,0
2695930461;326;7;1;39;1;cwnjxlibb02fuh0vwgvac6h45;0;15,7;62,0;2024-06-13T23:43:05.117Z;2024-06-19T14:25:48Z;[{'id': 5076631943, 'qualifierId': 233, 'value': '324'}, {'id': 5076631933, 'qualifierId': 285}, {'id': 5081858545, 'qualifierId': 385}, {'id': 5076631931, 'qualifierId': 56, 'value': 'Back'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dfe6xtgddcqowlgpwfidn1jx0;Tackle;;;;;;;;;;;;;;;;;;;;324,0;1,0;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;39;1;Orlando City B;2341;DMC;1,0
2695930471;325;1;1;39;4;479lsfr4cwlzewpbuda3y2xv4;0;80,8;42,3;2024-06-13T23:43:08.092Z;2024-06-13T23:43:09Z;[{'id': 5076631983, 'qualifierId': 141, 'value': '28.7'}, {'id': 5076631985, 'qualifierId': 212, 'value': '9.5'}, {'id': 5076631979, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076631981, 'qualifierId': 140, 'value': '82.8'}, {'id': 5076631987, 'qualifierId': 213, 'value': '4.94'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;9,5;;;4,94;;;82,8;28,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;82,8;28,7;;;;;;;;0;39;4;Chattanooga;2344;DR;1,0
2695930469;327;8;1;39;5;cwnjxlibb02fuh0vwgvac6h45;1;21,1;67,8;2024-06-13T23:43:09.013Z;2024-06-19T14:25:59Z;[{'id': 5076631975, 'qualifierId': 56, 'value': 'Back'}, {'id': 5081858689, 'qualifierId': 385}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;dfe6xtgddcqowlgpwfidn1jx0;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;39;5;Orlando City B;2345;ML;1,0
2695930495;326;6;1;39;10;479lsfr4cwlzewpbuda3y2xv4;1;81,6;29,1;2024-06-13T23:43:13.974Z;2024-06-14T01:11:58Z;[{'id': 5076632151, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076632169, 'qualifierId': 233, 'value': '328'}, {'id': 5076632153, 'qualifierId': 75}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;dfe6xtgddcqowlgpwfidn1jx0;Corner Awarded;;;;;;;;;;;;;;;;;;;;328,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;39;10;Chattanooga;2350;DR;1,0
2695930493;328;6;1;39;10;cwnjxlibb02fuh0vwgvac6h45;0;18,4;70,9;2024-06-13T23:43:13.974Z;2024-06-19T14:26:03Z;[{'id': 5076632133, 'qualifierId': 73}, {'id': 5076632131, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076632173, 'qualifierId': 233, 'value': '326'}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;dfe6xtgddcqowlgpwfidn1jx0;Corner Awarded;;;;;;;;;;;;;;;;;;;;326,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;39;10;Orlando City B;2350;ML;1,0
2695930601;327;1;1;39;36;479lsfr4cwlzewpbuda3y2xv4;1;99,4;0,5;2024-06-13T23:43:39.838Z;2024-06-19T14:26:15Z;[{'id': 5076638125, 'qualifierId': 210, 'value': '13'}, {'id': 5076632685, 'qualifierId': 155}, {'id': 5076632691, 'qualifierId': 140, 'value': '92.0'}, {'id': 5076632683, 'qualifierId': 6}, {'id': 5076632695, 'qualifierId': 212, 'value': '27.9'}, {'id': 5076632681, 'qualifierId': 2}, {'id': 5076632693, 'qualifierId': 141, 'value': '39.9'}, {'id': 5076632687, 'qualifierId': 224}, {'id': 5076638127, 'qualifierId': 154}, {'id': 5076632689, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076632697, 'qualifierId': 213, 'value': '1.85'}, {'id': 5081858757, 'qualifierId': 20}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;1,0;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;27,9;;;1,85;;;92,0;39,9;;;;;;;;;;1,0;;;;;;;;;;;;;;;;1,0;1,0;13,0;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;92,0;39,9;;;;;;;;0;39;36;Chattanooga;2376;MC;1,0
