id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamKit;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_Involved;value_JerseyNumber;value_DirectionOfPlay;value_Length;value_KickOff;value_PassEndY;value_Angle;value_PassEndX;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_KeeperThrow;value_Chipped;value_LayOff;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_Foul;value_Direct;value_Offensive;value_Shove/Push;value_Defensive;value_IntentionalAssist;value_Assist;value_Cross;value_FreeKickTaken;value_Right;value_GkY;value_SetPiece;value_BoxCentre;value_Assisted;value_NotPastGoalLine;value_Head;value_GoalmouthY;value_BlockedY;value_FirstTouch;value_BlockedX;value_GkX;value_GoalmouthZ;value_RelatedEventId;value_OutOnSideline;value_DeletedEventType;value_NextEventGoalKick;value_ShirtPull/Holding;value_IntendedTackleTarget;value_LeadingToGoal;value_RightFooted;value_RelatedError1Id;value_GoalShotTimestamp;value_GoalShotGameClock;value_NotAssisted;value_KeeperTouched;value_LowCentre;value_RegularPlay;value_SmallBoxRight;value_IndividualPlay;value_AttemptedTackle;value_BlockedPass;value_SwitchOfPlay;value_Left;value_CornerTaken;value_InSwinger;value_FromCorner;value_GoalKick;value_Low;value_PlayersCaughtOffside;value_Indirect;value_Volley;value_CloseHigh;value_Blocked;value_OutOfBoxCentre;value_DefBlock;value_FastBreak;value_LeftFooted;value_FlickOn;value_PullBack;value_AerialFoul;value_BoxLeft;value_NotVisible;value_OutSwinger;value_CloseLeft;value_Collected;value_Hands;value_Standing;value_LowRight;value_LowLeft;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistedBy;value_FantasyAssistId;value_OwnGoal;value_ThroughBall;value_HighLeft;value_HighClaim;value_HighCentre;value_Diving;value_ParriedSafe;value_Minutes;value_High;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Handball;value_CaptainChange;value_BoxRight;value_Overrun;value_GkKickFromHands;value_TacticalFoul;value_YellowCard;value_CloseRight;value_Injury;value_InjuredPlayerId;value_SmallBoxCentre;value_BigChance;value_RecklessOffence;value_GkHoof;value_SixYardBlocked;value_MisHit;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GoesToPenalties;value_HitWoodwork;value_HitLeftPost;value_HighRight;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2712149945;749;5;2;83;44;6ddsx316t3j0z6nolrky9k4r8;1;60,2;-2,0;2024-08-24T01:48:15.135Z;2024-08-24T02:14:21Z;[{'id': 5166287203, 'qualifierId': 233, 'value': '740'}, {'id': 5166287185, 'qualifierId': 56, 'value': 'Right'}, {'id': 5166287187, 'qualifierId': 347}];7csd9e4ga2p90zyawcpgdc82x;T. Romero;;;etwj8o8gw0dqlz3ivjqa29gk4;Out;;;;;;;;;;;;;;;;;;;;;;740,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;83;44;Chicago Fire II;5024;GK;1,0
2712149987;742;18;2;84;12;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-24T01:48:43.389Z;2024-08-24T02:01:06Z;[{'id': 5166287389, 'qualifierId': 44, 'value': 'Forward'}, {'id': 5166287423, 'qualifierId': 55, 'value': '743'}, {'id': 5166287391, 'qualifierId': 59, 'value': '68'}, {'id': 5166287387, 'qualifierId': 42}];9ii1zrimesdnqccy8dki8knx0;V. Hlyut;;;etwj8o8gw0dqlz3ivjqa29gk4;Player off;;;;;;;;68,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;743,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;743,0;cmwt0ezk7xwvni92pnkhgi0b8;;0;84;12;New York City II;5052;ML;1,0
2712149989;743;19;2;84;12;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-24T01:48:43.390Z;2024-08-24T02:01:06Z;[{'id': 5166287403, 'qualifierId': 293, 'value': '1'}, {'id': 5166287393, 'qualifierId': 42}, {'id': 5166287399, 'qualifierId': 59, 'value': '73'}, {'id': 5166287407, 'qualifierId': 55, 'value': '742'}, {'id': 5166287401, 'qualifierId': 292, 'value': '8'}, {'id': 5166287397, 'qualifierId': 145, 'value': '11'}, {'id': 5166287405, 'qualifierId': 44, 'value': 'Forward'}];cmwt0ezk7xwvni92pnkhgi0b8;K. Held;;;etwj8o8gw0dqlz3ivjqa29gk4;Player on;;;;;;;;73,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;11,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;742,0;9ii1zrimesdnqccy8dki8knx0;;0;84;12;New York City II;5052;Sub;1,0
2712149969;750;1;2;84;13;6ddsx316t3j0z6nolrky9k4r8;1;53,7;0,0;2024-08-24T01:48:44.435Z;2024-08-24T01:48:48Z;[{'id': 5166287313, 'qualifierId': 212, 'value': '30.1'}, {'id': 5166287305, 'qualifierId': 107}, {'id': 5166287311, 'qualifierId': 141, 'value': '12.6'}, {'id': 5166287317, 'qualifierId': 1}, {'id': 5166287307, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166287315, 'qualifierId': 213, 'value': '2.81'}, {'id': 5166287309, 'qualifierId': 140, 'value': '26.6'}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;30,1;;12,6;2,81;26,6;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;26,6;12,6;;;;;;;;0;84;13;Chicago Fire II;5053;DR;1,0
2712149983;751;1;2;84;17;6ddsx316t3j0z6nolrky9k4r8;1;25,3;13,5;2024-08-24T01:48:47.939Z;2024-08-24T01:48:50Z;[{'id': 5166287377, 'qualifierId': 212, 'value': '21.8'}, {'id': 5166287371, 'qualifierId': 140, 'value': '14.9'}, {'id': 5166287379, 'qualifierId': 213, 'value': '2.10'}, {'id': 5166287375, 'qualifierId': 141, 'value': '41.2'}, {'id': 5166287367, 'qualifierId': 56, 'value': 'Back'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;21,8;;41,2;2,1;14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;14,9;41,2;;;;;;;;0;84;17;Chicago Fire II;5057;DC;1,0
2712150011;752;1;2;84;19;6ddsx316t3j0z6nolrky9k4r8;0;17,3;43,6;2024-08-24T01:48:50.675Z;2024-08-24T01:48:55Z;[{'id': 5166287521, 'qualifierId': 213, 'value': '0.14'}, {'id': 5166287511, 'qualifierId': 157}, {'id': 5166287517, 'qualifierId': 141, 'value': '49.7'}, {'id': 5166287513, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166287523, 'qualifierId': 1}, {'id': 5166287519, 'qualifierId': 212, 'value': '30.0'}, {'id': 5166287515, 'qualifierId': 140, 'value': '45.6'}];7csd9e4ga2p90zyawcpgdc82x;T. Romero;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;30,0;;49,7;0,14;45,6;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;45,6;49,7;;;;;;;;0;84;19;Chicago Fire II;5059;GK;1,0
2712150003;744;44;2;84;22;8o8m08he36u0j4w08aj2iodn8;1;52,5;50,2;2024-08-24T01:48:53.820Z;2024-08-24T02:15:23Z;[{'id': 5166287495, 'qualifierId': 56, 'value': 'Center'}, {'id': 5166287583, 'qualifierId': 233, 'value': '753'}, {'id': 5166287587, 'qualifierId': 286}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;etwj8o8gw0dqlz3ivjqa29gk4;Aerial;;;;;;;;;;;;;;;;;;;;;;753,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;84;22;New York City II;5062;DL;1,0
2712150013;753;44;2;84;22;6ddsx316t3j0z6nolrky9k4r8;0;47,5;49,8;2024-08-24T01:48:53.821Z;2024-08-24T02:15:23Z;[{'id': 5166287589, 'qualifierId': 233, 'value': '744'}, {'id': 5166287539, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166287543, 'qualifierId': 285}];a0do5kh5akr89kst2p1hohixg;Camil Azzam Ruiz;;;etwj8o8gw0dqlz3ivjqa29gk4;Aerial;;;;;;;;;;;;;;;;;;;;;;744,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;84;22;Chicago Fire II;5062;Sub;1,0
2712150015;745;1;2;84;23;8o8m08he36u0j4w08aj2iodn8;1;48,1;51,0;2024-08-24T01:48:54.083Z;2024-08-24T01:48:56Z;[{'id': 5166287555, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166287561, 'qualifierId': 212, 'value': '7.1'}, {'id': 5166287563, 'qualifierId': 213, 'value': '1.98'}, {'id': 5166287557, 'qualifierId': 140, 'value': '45.4'}, {'id': 5166287559, 'qualifierId': 141, 'value': '60.5'}, {'id': 5166287553, 'qualifierId': 3}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;7,1;;60,5;1,98;45,4;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;45,4;60,5;;;;;;;;0;84;23;New York City II;5063;DL;1,0
2712150041;746;1;2;84;25;8o8m08he36u0j4w08aj2iodn8;1;45,4;60,2;2024-08-24T01:48:55.997Z;2024-08-24T01:48:59Z;[{'id': 5166287707, 'qualifierId': 140, 'value': '58.3'}, {'id': 5166287703, 'qualifierId': 157}, {'id': 5166287709, 'qualifierId': 141, 'value': '7.4'}, {'id': 5166287713, 'qualifierId': 213, 'value': '5.07'}, {'id': 5166287705, 'qualifierId': 56, 'value': 'Right'}, {'id': 5166287717, 'qualifierId': 1}, {'id': 5166287711, 'qualifierId': 212, 'value': '38.4'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;38,4;;7,4;5,07;58,3;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;58,3;7,4;;;;;;;;0;84;25;New York City II;5065;DC;1,0
