id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_JerseyNumber;value_Captain;value_TeamFormation;value_Involved;value_Resume;value_PlayerPosition;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_Angle;value_KickOff;value_PassEndY;value_PassEndX;value_Length;value_Zone;value_Chipped;value_SwitchOfPlay;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_IntentionalAssist;value_RegularPlay;value_Assist;value_GkX;value_LeftFooted;value_BigChance;value_GkY;value_GoalmouthZ;value_LowLeft;value_FirstTouch;value_GoalShotGameClock;value_GoalShotTimestamp;value_RelatedEventId;value_GoalmouthY;value_BoxCentre;value_Assisted;value_Cross;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_DeletedEventType;value_IntendedTackleTarget;value_FastBreak;value_RightFooted;value_IndividualPlay;value_Right;value_BlockedPass;value_CaptainChange;value_NotVisible;value_OverhitCross;value_NextEventGoalKick;value_Low;value_GoalKick;value_Handball;value_AttemptedTackle;value_BlockedX;value_BoxLeft;value_Blocked;value_BlockedY;value_SixYardBlocked;value_DefBlock;value_FlickOn;value_LowCentre;value_OutOfBoxCentre;value_AerialFoul;value_HeadPass;value_KeeperThrow;value_Left;value_CornerTaken;value_InSwinger;value_Head;value_HighClaim;value_CloseRightAndHigh;value_BoxRight;value_Launch;value_CloseRight;value_SmallBoxLeft;value_HighRight;value_LowRight;value_Diving;value_ParriedSafe;value_Hands;value_YellowCard;value_Dissent;value_FreeKick;value_NotAssisted;value_LayOff;value_RefereeDelay;value_DrinksBreak;value_ThroughBall;value_Volley;value_Stooping;value_OtherBodyPart;value_ParriedDanger;value_OverArm;value_Overrun;value_HitWoodwork;value_HitLeftPost;value_FollowsADribble;value_SoloRun;value_HighLeft;value_KeeperTouched;value_Minutes;value_OtherObstacle;value_PlayersCaughtOffside;value_GoalDisallowed;value_Indirect;value_BlockedCross;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_HighCentre;value_Standing;value_Fingertip;value_CloseLeft;value_Injury;value_ShirtPull/Holding;value_GkHoof;value_35Centre;value_High;value_Feet;value_TacticalFoul;value_Collected;value_GkKickFromHands;value_RecklessOffence;value_BoxDeepRight;value_LeadingToAttempt;value_RelatedError1Id;value_OwnPlayer;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713716875;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-08-25T22:05:05.232Z;2024-08-26T00:21:15Z;[{'id': 5174790635, 'qualifierId': 59, 'value': '99, 2, 33, 8, 15, 3, 22, 23, 90, 10, 9, 4, 11, 17, 1, 12, 13, 21, 85, 52'}, {'id': 5174959569, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}, {'id': 5174790637, 'qualifierId': 130, 'value': '8'}, {'id': 5174790631, 'qualifierId': 30, 'value': 'as5066ocmlp4tub6d3tnabi1g, 4kng7wg83mastngy9hw7j6v6y, 4qfqw1u2uvuardvdjw3pp6oyx, cjjvy22j5q0piz5omn2tf18us, bo9momaa9orr52cbwpt348t90, 6lsvk9o6d581sd33g38mr6904, 9z7fz0c95ib7oniguzwbihs0k, 7ve3vmg19c3g91j7zs32oecd0, 8l4bqb8gtyzqpx3pti200phqs, bn5ic0uuxaupf6hs2tgqqq0b8, cliiemf1ih37qhh1wi1olk9ka, c1fvknrf94i05q738d5r7vmdw, 55y26r9mz105vrqmnq739l62, infc7r3a8oktbajwp4pff7dg, 19igj31auu88fhwdpfz8c1coa, 3x8f4j8q49d8hft60a6k8l5as, 9hxomhr5g6zy05ei4z4lhrklw, 7uj52qs9yf21gxixhrowyvswk, 9owtf360wi6ky1cr4qwnnfk0k, 2j2pd9srilpf33l6oo5mqgvmc'}, {'id': 5174790641, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174790633, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5174790639, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174909173, 'qualifierId': 197, 'value': '15001'}];;;;;evfym1jnsr5fsdj10gegj807o;Team set up;;;8,0;;;;;15001,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;0;0;0;0;Chattanooga;0;;
2713717473;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-08-25T22:06:24.534Z;2024-08-26T00:03:59Z;[{'id': 5174912801, 'qualifierId': 197, 'value': '23331'}, {'id': 5175080401, 'qualifierId': 194, 'value': 'ew3qxbn1ev1qv7wi0iwoc642c'}, {'id': 5174794133, 'qualifierId': 130, 'value': '8'}, {'id': 5174794129, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5174794127, 'qualifierId': 30, 'value': 'ew3qxbn1ev1qv7wi0iwoc642c, 1h5rgsol19v1pcl5ksstrv9t6, 2d3dwhrtafkd1b8q1nzerqew9, 4cwccglaxz5sf71eptnj6kzfu, cpbyoj822ivx6qrqbkun1zr3d, 7e8xkqlux0myjc5cwtb7rega1, 6zuton58biybp7ge3mpc17alm, b4te1cxogvhtglhug3sdgkmei, a3eln6gas8765a3pn6ecqjvxm, 5m8hxfvza21t4wfe6v0a18etw, 4hdai9za2ls03tjpcw0ahu5wq, 87nhafgkozygrd5f06ore0xzo, 7jaa504py8qcx30a2p1vgn8d0, 82uh6ad46fvub9b0vfapw2vze, 9gk1m714ni2m8n26uybsgadey, at2xv960peboe9spoag2kn21g, exunlng0cgo9bpqh4x6jpxyax, 998rlczcxbxeg4ac82lvk0max'}, {'id': 5174794135, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174794131, 'qualifierId': 59, 'value': '32, 22, 3, 8, 5, 20, 18, 25, 9, 10, 11, 14, 15, 71, 12, 33, 23, 99'}, {'id': 5174794137, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;evfym1jnsr5fsdj10gegj807o;Team set up;;;8,0;;;;;23331,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2713738353;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-08-25T23:03:53.273Z;2024-08-25T23:03:56Z;[{'id': 5174913257, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;evfym1jnsr5fsdj10gegj807o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;0;0;0;0;Chattanooga;0;;
2713738345;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-08-25T23:03:53.273Z;2024-08-25T23:03:53Z;[{'id': 5174913223, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;evfym1jnsr5fsdj10gegj807o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2713738377;3;1;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;49,8;49,9;2024-08-25T23:03:53.274Z;2024-08-25T23:05:47Z;[{'id': 5174913399, 'qualifierId': 213, 'value': '3.41'}, {'id': 5174913401, 'qualifierId': 279, 'value': 'S'}, {'id': 5174913395, 'qualifierId': 141, 'value': '39.5'}, {'id': 5174913393, 'qualifierId': 140, 'value': '25.6'}, {'id': 5174913397, 'qualifierId': 212, 'value': '26.4'}, {'id': 5174913391, 'qualifierId': 56, 'value': 'Back'}];a3eln6gas8765a3pn6ecqjvxm;M. Ouamri;;;evfym1jnsr5fsdj10gegj807o;Pass;;;;;;;;;;3,41;;39,5;25,6;26,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;25,6;39,5;;;;;;;0;0;0;0;Inter Miami II;0;FW;1,0
2713738391;4;1;1;0;4;cwnjxlibb02fuh0vwgvac6h45;1;25,6;39,5;2024-08-25T23:03:57.999Z;2024-08-25T23:04:00Z;[{'id': 5174913465, 'qualifierId': 141, 'value': '67.9'}, {'id': 5174913467, 'qualifierId': 212, 'value': '19.4'}, {'id': 5174913461, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174913463, 'qualifierId': 140, 'value': '24.2'}, {'id': 5174913469, 'qualifierId': 213, 'value': '1.65'}];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;;evfym1jnsr5fsdj10gegj807o;Pass;;;;;;;;;;1,65;;67,9;24,2;19,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;24,2;67,9;;;;;;;0;0;0;4;Inter Miami II;4;DL;1,0
2713738425;5;1;1;0;6;cwnjxlibb02fuh0vwgvac6h45;1;24,2;67,9;2024-08-25T23:04:00.046Z;2024-08-25T23:04:05Z;[{'id': 5174913637, 'qualifierId': 212, 'value': '15.9'}, {'id': 5174913631, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174913635, 'qualifierId': 141, 'value': '87.7'}, {'id': 5174913639, 'qualifierId': 213, 'value': '1.01'}, {'id': 5174913633, 'qualifierId': 140, 'value': '32.2'}];7e8xkqlux0myjc5cwtb7rega1;D. Viáfara;;;evfym1jnsr5fsdj10gegj807o;Pass;;;;;;;;;;1,01;;87,7;32,2;15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;32,2;87,7;;;;;;;0;0;0;6;Inter Miami II;6;DC;1,0
2713738437;6;1;1;0;12;cwnjxlibb02fuh0vwgvac6h45;1;48,6;79,4;2024-08-25T23:04:05.342Z;2024-08-25T23:04:07Z;[{'id': 5174913705, 'qualifierId': 141, 'value': '74.8'}, {'id': 5174913703, 'qualifierId': 140, 'value': '63.8'}, {'id': 5174913701, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174913707, 'qualifierId': 212, 'value': '16.3'}, {'id': 5174913709, 'qualifierId': 213, 'value': '6.09'}];4cwccglaxz5sf71eptnj6kzfu;A. Jiménez;;;evfym1jnsr5fsdj10gegj807o;Pass;;;;;;;;;;6,09;;74,8;63,8;16,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;63,8;74,8;;;;;;;0;0;0;12;Inter Miami II;12;MC;1,0
2713738449;7;1;1;0;14;cwnjxlibb02fuh0vwgvac6h45;1;63,8;74,8;2024-08-25T23:04:07.726Z;2024-08-25T23:04:08Z;[{'id': 5174913777, 'qualifierId': 213, 'value': '2.85'}, {'id': 5174913771, 'qualifierId': 140, 'value': '43.3'}, {'id': 5174913773, 'qualifierId': 141, 'value': '84.4'}, {'id': 5174913775, 'qualifierId': 212, 'value': '22.5'}, {'id': 5174913769, 'qualifierId': 56, 'value': 'Back'}];6zuton58biybp7ge3mpc17alm;Kwak Min-jae;;;evfym1jnsr5fsdj10gegj807o;Pass;;;;;;;;;;2,85;;84,4;43,3;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;43,3;84,4;;;;;;;0;0;0;14;Inter Miami II;14;AMR;1,0
2713738459;8;1;1;0;15;cwnjxlibb02fuh0vwgvac6h45;1;43,3;84,4;2024-08-25T23:04:08.767Z;2024-08-25T23:04:10Z;[{'id': 5174913841, 'qualifierId': 213, 'value': '3.81'}, {'id': 5174913833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174913839, 'qualifierId': 212, 'value': '18.5'}, {'id': 5174913835, 'qualifierId': 140, 'value': '29.4'}, {'id': 5174913837, 'qualifierId': 141, 'value': '67.6'}];4cwccglaxz5sf71eptnj6kzfu;A. Jiménez;;;evfym1jnsr5fsdj10gegj807o;Pass;;;;;;;;;;3,81;;67,6;29,4;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;29,4;67,6;;;;;;;0;0;0;15;Inter Miami II;15;MC;1,0
