id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_Involved;value_PlayerPosition;value_Resume;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Length;value_Angle;value_PassEndX;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_FlickOn;value_Assist;value_GoalmouthZ;value_OutOfBoxCentre;value_CloseLeft;value_RegularPlay;value_GoalmouthY;value_IndividualPlay;value_GkY;value_Assisted;value_GkX;value_RelatedEventId;value_RightFooted;value_NextEventGoalKick;value_Low;value_GoalKick;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_PlayersCaughtOffside;value_NotVisible;value_FreeKickTaken;value_Indirect;value_BlockedPass;value_IntendedTackleTarget;value_LayOff;value_OutSwinger;value_Cross;value_LeftFooted;value_TouchTypeControl;value_Shove/Push;value_Direct;value_Foul;value_InSwinger;value_HighGkIntervention;value_Right;value_Left;value_CornerTaken;value_OverArm;value_KeeperThrow;value_AttemptedTackle;value_TakeOnOvertake;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_BigChance;value_TouchTypeClearance;value_LowGkIntervention;value_Head;value_LowCentre;value_BlockedY;value_Volley;value_BlockedX;value_Blocked;value_NotAssisted;value_DefBlock;value_DrivenCross;value_Straight;value_OutOfPlay;value_High;value_BoxDeepRight;value_GkKickFromHands;value_BlockedCross;value_DeletedEventType;value_BoxLeft;value_NotPastGoalLine;value_BoxRight;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_Deflection;value_HighRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_HighCentre;value_ParriedSafe;value_Reaching;value_Hands;value_MediumGkIntervention;value_SwerveRight;value_ShirtPull/Holding;value_BoxDeepLeft;value_FromCorner;value_SmallBoxCentre;value_LowRight;value_SixYardBlocked;value_ThroughBall;value_HitWoodwork;value_HitBar;value_1On1;value_ParriedDanger;value_Sliding;value_Feet;value_FastBreak;value_SmallBoxLeft;value_Stooping;value_HighClaim;value_TacticalFoul;value_YellowCard;value_Standing;value_SoloRun;value_Overrun;value_TakeOnSpace;value_Minutes;value_SwerveLeft;value_CloseHigh;value_EndType;value_Caught;value_SetPiece;value_LowLeft;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_HighLeft;value_Diving;value_Collected;value_SwitchOfPlay;value_MisHit;value_CaptainChange;value_RecklessOffence;value_RedCard;value_ProfessionalFoulLastMan;value_FreeKick;value_ByWall;value_NotRetreating;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_VideoCoverageLost;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680203185;349;1;1;36;46;c7c4wwva2u1vb3rr7rwava044;0;39,9;54,2;2024-04-28T19:41:39.121Z;2024-04-28T19:41:40Z;[{'id': 4990762851, 'qualifierId': 141, 'value': '56.3'}, {'id': 4990762847, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990762853, 'qualifierId': 212, 'value': '17.2'}, {'id': 4990762855, 'qualifierId': 213, 'value': '0.08'}, {'id': 4990762849, 'qualifierId': 140, 'value': '56.2'}];1yl2e0y3cglm1nwto5uzs3e5m;L. Sunderland;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;56,3;;17,2;0,08;56,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;56,2;56,3;;;;;;;0;0;36;46;New England II;2206;;1,0
2680203197;361;49;1;36;47;csntc7hucmo21gknxc5y0kc4q;1;52,7;48,8;2024-04-28T19:41:40.812Z;2024-04-28T19:41:40Z;[];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;cg5ihspinpwqdsr1irma22sd0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;36;47;Inter Miami II;2207;DL;1,0
2680203213;362;1;1;36;49;csntc7hucmo21gknxc5y0kc4q;0;59,1;47,9;2024-04-28T19:41:42.718Z;2024-04-28T19:41:45Z;[{'id': 4990763025, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990763207, 'qualifierId': 233, 'value': '350'}, {'id': 4990763033, 'qualifierId': 213, 'value': '0.57'}, {'id': 4990763205, 'qualifierId': 236}, {'id': 4990763027, 'qualifierId': 140, 'value': '59.9'}, {'id': 4990763029, 'qualifierId': 141, 'value': '48.7'}, {'id': 4990763211, 'qualifierId': 286}, {'id': 4990763031, 'qualifierId': 212, 'value': '1.0'}];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;48,7;;1,0;0,57;59,9;;;350,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;59,9;48,7;;;;;;;0;0;36;49;Inter Miami II;2209;DL;1,0
2680203233;350;74;1;36;49;c7c4wwva2u1vb3rr7rwava044;1;34,8;57,1;2024-04-28T19:41:42.719Z;2024-04-28T21:00:48Z;[{'id': 4990763231, 'qualifierId': 233, 'value': '362'}, {'id': 4990763173, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990763175, 'qualifierId': 285}];bmuuex6k6mwfnqmvvq4ai0f10;Y. Bright;;;cg5ihspinpwqdsr1irma22sd0;Blocked Pass;;;;;;;;;;;;;;;;;;362,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;36;49;New England II;2209;;1,0
2680203227;363;61;1;36;51;csntc7hucmo21gknxc5y0kc4q;1;59,9;48,7;2024-04-28T19:41:44.296Z;2024-04-28T19:41:44Z;[{'id': 4990763131, 'qualifierId': 56, 'value': 'Center'}];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;cg5ihspinpwqdsr1irma22sd0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;36;51;Inter Miami II;2211;DL;1,0
2680203237;351;49;1;36;52;c7c4wwva2u1vb3rr7rwava044;1;34,8;57,1;2024-04-28T19:41:45.747Z;2024-04-28T19:41:45Z;[];bmuuex6k6mwfnqmvvq4ai0f10;Y. Bright;;;cg5ihspinpwqdsr1irma22sd0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;36;52;New England II;2212;;1,0
2680203257;352;1;1;36;52;c7c4wwva2u1vb3rr7rwava044;1;34,8;57,1;2024-04-28T19:41:45.954Z;2024-04-28T19:41:47Z;[{'id': 4990763325, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990763333, 'qualifierId': 213, 'value': '5.19'}, {'id': 4990763329, 'qualifierId': 141, 'value': '49.9'}, {'id': 4990763331, 'qualifierId': 212, 'value': '5.5'}, {'id': 4990763327, 'qualifierId': 140, 'value': '37.2'}];bmuuex6k6mwfnqmvvq4ai0f10;Y. Bright;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;49,9;;5,5;5,19;37,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;37,2;49,9;;;;;;;0;0;36;52;New England II;2212;;1,0
2680203325;353;1;1;36;54;c7c4wwva2u1vb3rr7rwava044;1;37,2;49,9;2024-04-28T19:41:47.394Z;2024-04-28T19:42:13Z;[{'id': 4990763825, 'qualifierId': 140, 'value': '67.3'}, {'id': 4990765143, 'qualifierId': 154}, {'id': 4990764181, 'qualifierId': 4}, {'id': 4990763827, 'qualifierId': 141, 'value': '56.6'}, {'id': 4990763821, 'qualifierId': 155}, {'id': 4990763829, 'qualifierId': 212, 'value': '31.9'}, {'id': 4990763831, 'qualifierId': 213, 'value': '0.14'}, {'id': 4990765141, 'qualifierId': 210, 'value': '15'}, {'id': 4990763823, 'qualifierId': 56, 'value': 'Center'}];9z7fz0c95ib7oniguzwbihs0k;A. Flores;1,0;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;56,6;;31,9;0,14;67,3;;;;;;;;15,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;67,3;56,6;;;;;;;0;0;36;54;New England II;2214;;1,0
2680203329;354;15;1;36;58;c7c4wwva2u1vb3rr7rwava044;1;88,4;54,8;2024-04-28T19:41:51.602Z;2024-05-01T17:45:28Z;[{'id': 4990763855, 'qualifierId': 17}, {'id': 4990765207, 'qualifierId': 154}, {'id': 4990765227, 'qualifierId': 147, 'value': '49.8'}, {'id': 4990763853, 'qualifierId': 22}, {'id': 4990765217, 'qualifierId': 214}, {'id': 4990764467, 'qualifierId': 20}, {'id': 4990765215, 'qualifierId': 103, 'value': '3.2'}, {'id': 4990765209, 'qualifierId': 55, 'value': '353'}, {'id': 4990765213, 'qualifierId': 102, 'value': '48.4'}, {'id': 4990765223, 'qualifierId': 138}, {'id': 4990765203, 'qualifierId': 78}, {'id': 4990763857, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990765221, 'qualifierId': 275}, {'id': 4990765257, 'qualifierId': 233, 'value': '364'}, {'id': 4990765205, 'qualifierId': 29}, {'id': 4990765219, 'qualifierId': 89}, {'id': 4990765225, 'qualifierId': 146, 'value': '95.6'}];1874nj27f507jqja4e8zla1as;B. Destin;;;cg5ihspinpwqdsr1irma22sd0;Attempt Saved;;;;;;;;;;;;;;;;;;364,0;;;;;;3,2;;;1,0;48,4;;;1,0;;353,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;1,0;;;;1,0;49,8;;95,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;95,6;49,8;48,4;3.2;353,0;9z7fz0c95ib7oniguzwbihs0k;0;0;36;58;New England II;2218;;1,0
2680203335;364;10;1;36;58;csntc7hucmo21gknxc5y0kc4q;1;4,7;48,3;2024-04-28T19:41:51.702Z;2024-05-01T17:45:40Z;[{'id': 4995948749, 'qualifierId': 376}, {'id': 4990764949, 'qualifierId': 174}, {'id': 4990764951, 'qualifierId': 389}, {'id': 4990765007, 'qualifierId': 233, 'value': '354'}, {'id': 4990763909, 'qualifierId': 56, 'value': 'Back'}, {'id': 4995948747, 'qualifierId': 183}];opnutov04c33y3gq2fjpkaac;J. Gunn;;;cg5ihspinpwqdsr1irma22sd0;Save;;;;;;;;;;;;;;;;;;354,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;36;58;Inter Miami II;2218;GK;1,0
