id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_Involved;value_Resume;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_KickOff;value_PassEndY;value_Length;value_LongBall;value_Chipped;value_HeadPass;value_SwitchOfPlay;value_InSwinger;value_IntentionalAssist;value_RightFooted;value_Assist;value_Cross;value_RelatedEventId;value_GkX;value_Right;value_BigChance;value_GoalmouthZ;value_GkY;value_FirstTouch;value_GoalmouthY;value_RegularPlay;value_SmallBoxRight;value_Assisted;value_Launch;value_LayOff;value_OppositeRelatedEventId;value_BlockedPass;value_Offensive;value_Defensive;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_NotVisible;value_DeletedEventType;value_TouchTypeControl;value_TakeOnOvertake;value_TouchTypeClearance;value_Left;value_CornerTaken;value_Head;value_OutOfPlay;value_Overrun;value_TakeOnSpace;value_TouchTypePass;value_FlickOn;value_NextEventGoalKick;value_High;value_GoalKick;value_LeftFooted;value_OutSwinger;value_CloseLeft;value_FromCorner;value_OutOfBoxCentre;value_IndividualPlay;value_LowCentre;value_Blocked;value_BlockedY;value_NotAssisted;value_BlockedX;value_DefBlock;value_Deflection;value_LowRight;value_Hands;value_Fingertip;value_LowGkIntervention;value_Diving;value_BoxCentre;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkXTimeOfGoal;value_HighRight;value_GkYTimeOfGoal;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_OverArm;value_HighLeft;value_Standing;value_Collected;value_GkKickFromHands;value_LowLeft;value_BoxLeft;value_ParriedSafe;value_Shove/Push;value_OverhitCross;value_SwerveLeft;value_HitWoodwork;value_HitRightPost;value_Low;value_MediumGkIntervention;value_NotPastGoalLine;value_MisHit;value_PullBack;value_SetPiece;value_FastBreak;value_BoxRight;value_RecklessOffence;value_YellowCard;value_Injury;value_InjuredPlayerId;value_AerialFoul;value_Minutes;value_Defensive1V1;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Tap;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_FreeKick;value_OwnGoal;value_SmallBoxCentre;value_FantasyAssistTeam;value_OtherBodyPart;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistedBy;value_Handball;value_ShirtPull/Holding;value_CloseRightAndHigh;value_Volley;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2669649827;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-07T23:05:48.527Z;2024-04-08T00:32:16Z;[{'id': 4933900317, 'qualifierId': 194, 'value': '1o0ew8fp44fuo3o7c8ef8pd2i'}, {'id': 4933922603, 'qualifierId': 197, 'value': '23342'}, {'id': 4933834035, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 7x3sqcf8wtq2qwyqcbv2itw8a, 4blue6g56i3t9iffjcmjs6hhw, 1o0ew8fp44fuo3o7c8ef8pd2i, 2vq2t4ttpcwey95jzofd60qy2, e23yyl43xtcve09dx234uuj8, 5iy3sz4b3mokizd2qlcskl5d6, c44bkncqmptribnxki1dyppbe, 1kl9112b8rcbr3k1s5hs353x0, 4o8ulvahxfb06x5xhvflvwhzo, b4hm7o0o1tlssg0aa1psm704q, al111zqt4j4b3yg8064d9cep6, cap9cd2acljdjbbdmt7zb3uvo, 5zawuirp825t4brhaj90k9duy, e6ocmgjfubq6qvg4wfp8zipsk, 2eoftsi3eznjjmhu8ybft11ck, byzzgz3ix7vuh6c3hqf7580lw, evup6vvfz5q201s8hg6bhxck, 4283da2hccprbybkv4nvmos2c, 7suq9shgwa8fyip80f1zy1mhg'}, {'id': 4933834045, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4933834037, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4933834041, 'qualifierId': 130, 'value': '8'}, {'id': 4933834039, 'qualifierId': 59, 'value': '31, 19, 50, 21, 47, 51, 18, 52, 29, 84, 30, 48, 55, 61, 67, 72, 74, 81, 95, 97'}, {'id': 4933834043, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;c1s7c9syq29pxh0uts7w83xuc;Team set up;;23342,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2669652239;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-04-07T23:13:04.289Z;2024-04-08T02:09:29Z;[{'id': 4933848951, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4933926745, 'qualifierId': 197, 'value': '3365'}, {'id': 4933848947, 'qualifierId': 130, 'value': '13'}, {'id': 4934123769, 'qualifierId': 194, 'value': 'dvk85r457e15hg0pw5rig0222'}, {'id': 4933848945, 'qualifierId': 59, 'value': '50, 41, 54, 83, 53, 56, 59, 49, 92, 43, 55, 51, 46, 52, 95, 99, 73'}, {'id': 4933848949, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 4933848941, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 4933848939, 'qualifierId': 30, 'value': '6cdhdb44atdm9b3n7swgi002y, 441plehxckmdj5gb2mr6y8ne2, 249t35evpr3aasx0uczjs2j9w, 3yk1gwm7jptmbal0vcwr24is4, 5et4reh22bzqjp1wcr5sqldnu, 57yplpr6jgwlqoon231ydqp04, bhzjqo4qidpkmh7lqqir9h4ic, 4lyhopb6ddaz08hd5tu2pos9g, dvk85r457e15hg0pw5rig0222, bh7fb8v7o5wynmapdhlth594a, 1ksu0c3adavx1gqbrhalfpatw, bsufynk2wfvpz40nrndah1kb8, 3jw4ui4rr60p2jb2rt9hhoetw, 84wint64ygxx3pi5fz3mr12j8, 4y4mypo5jyzbp0dtvm6y7ajxm, 1hfhnfbma8w2hxiin3dkxos9g, a1c3kbtkefmrx2vtn304v9s7o'}];;;;;c1s7c9syq29pxh0uts7w83xuc;Team set up;;3365,0;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2669665691;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-04-08T00:04:25.776Z;2024-04-08T00:04:25Z;[{'id': 4933922785, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c1s7c9syq29pxh0uts7w83xuc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2669665699;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-08T00:04:25.776Z;2024-04-12T14:36:33Z;[{'id': 4933922819, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c1s7c9syq29pxh0uts7w83xuc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2669665713;3;1;1;0;0;eo64tqkioegeb09iice2hf8bt;1;49,3;50,7;2024-04-08T00:04:25.777Z;2024-04-08T00:04:28Z;[{'id': 4933922899, 'qualifierId': 56, 'value': 'Back'}, {'id': 4933922907, 'qualifierId': 213, 'value': '2.34'}, {'id': 4933922901, 'qualifierId': 140, 'value': '41.5'}, {'id': 4933922909, 'qualifierId': 279, 'value': 'S'}, {'id': 4933922903, 'qualifierId': 141, 'value': '63.1'}, {'id': 4933922905, 'qualifierId': 212, 'value': '11.8'}];dvk85r457e15hg0pw5rig0222;J. Herdman;;;c1s7c9syq29pxh0uts7w83xuc;Pass;;;;;;;;;;;2,34;41,5;;63,1;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;41,5;63,1;;;;;;;0;0;0;0;Ventura County;0;FW;1,0
2669665717;4;1;1;0;2;eo64tqkioegeb09iice2hf8bt;0;42,1;61,4;2024-04-08T00:04:28.034Z;2024-04-08T00:53:12Z;[{'id': 4933922943, 'qualifierId': 212, 'value': '35.2'}, {'id': 4933922939, 'qualifierId': 140, 'value': '67.4'}, {'id': 4933922941, 'qualifierId': 141, 'value': '27.4'}, {'id': 4933922945, 'qualifierId': 213, 'value': '5.57'}, {'id': 4933922937, 'qualifierId': 56, 'value': 'Center'}, {'id': 4933922947, 'qualifierId': 1}, {'id': 4933922935, 'qualifierId': 155}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;c1s7c9syq29pxh0uts7w83xuc;Pass;;;;;;;;;;;5,57;67,4;;27,4;35,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;67,4;27,4;;;;;;;0;0;0;2;Ventura County;2;MC;1,0
2669682689;495;1;1;0;5;8ijkk62897so5r3bq0wgwx4bu;0;32,5;73,5;2024-04-08T00:04:31.501Z;2024-04-12T14:40:11Z;[{'id': 4934013647, 'qualifierId': 140, 'value': '41.8'}, {'id': 4934013649, 'qualifierId': 141, 'value': '66.4'}, {'id': 4934013651, 'qualifierId': 212, 'value': '10.9'}, {'id': 4934013643, 'qualifierId': 3}, {'id': 4934013645, 'qualifierId': 56, 'value': 'Back'}, {'id': 4934013653, 'qualifierId': 213, 'value': '5.82'}];b4hm7o0o1tlssg0aa1psm704q;G. Vivi;;;c1s7c9syq29pxh0uts7w83xuc;Pass;;;;;;;;;;;5,82;41,8;;66,4;10,9;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;41,8;66,4;;;;;;;0;0;0;5;Vancouver Whitecaps II;5;AML;1,0
2671136527;689;61;1;0;6;eo64tqkioegeb09iice2hf8bt;0;66,1;32,0;2024-04-08T00:04:32.029Z;2024-04-12T14:40:23Z;[{'id': 4941779871, 'qualifierId': 56, 'value': 'Center'}];dvk85r457e15hg0pw5rig0222;J. Herdman;;;c1s7c9syq29pxh0uts7w83xuc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;0;0;0;6;Ventura County;6;FW;1,0
2669665727;3;49;1;0;6;8ijkk62897so5r3bq0wgwx4bu;1;41,9;58,2;2024-04-08T00:04:32.598Z;2024-04-08T00:04:32Z;[];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;c1s7c9syq29pxh0uts7w83xuc;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;6;Vancouver Whitecaps II;6;FW;1,0
2669665751;4;1;1;0;7;8ijkk62897so5r3bq0wgwx4bu;1;41,9;58,2;2024-04-08T00:04:32.895Z;2024-04-08T00:04:37Z;[{'id': 4933923145, 'qualifierId': 56, 'value': 'Back'}, {'id': 4933923153, 'qualifierId': 213, 'value': '4.53'}, {'id': 4933923147, 'qualifierId': 140, 'value': '39.4'}, {'id': 4933923151, 'qualifierId': 212, 'value': '14.5'}, {'id': 4933923149, 'qualifierId': 141, 'value': '37.3'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;c1s7c9syq29pxh0uts7w83xuc;Pass;;;;;;;;;;;4,53;39,4;;37,3;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;39,4;37,3;;;;;;;0;0;0;7;Vancouver Whitecaps II;7;FW;1,0
