id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_Resume;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_DirectionOfPlay;value_Angle;value_PassEndY;value_Zone;value_PassEndX;value_Length;value_KickOff;value_Launch;value_LongBall;value_HeadPass;value_MediumGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_TouchTypeControl;value_AttemptedTackle;value_Offensive;value_OppositeRelatedEventId;value_Foul;value_Direct;value_Defensive;value_FreeKickTaken;value_FlickOn;value_Chipped;value_LayOff;value_SwitchOfPlay;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_OutOfPlay;value_DeletedEventType;value_TouchTypeClearance;value_Straight;value_Cross;value_DrivenCross;value_LeftFooted;value_TakeOnOvertake;value_BlockedPass;value_Assist;value_GoalmouthZ;value_GkX;value_RegularPlay;value_BlockedY;value_GkY;value_Blocked;value_GoalmouthY;value_Assisted;value_BlockedX;value_LowLeft;value_RelatedEventId;value_OutOfBoxCentre;value_IndividualPlay;value_DefBlock;value_NotVisible;value_IntentionalAssist;value_ThroughBall;value_FirstTouch;value_RightFooted;value_ParriedDanger;value_Diving;value_Hands;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_Head;value_ShirtPull/Holding;value_BoxCentre;value_FromCorner;value_Shove/Push;value_OutSwinger;value_PlayersCaughtOffside;value_Indirect;value_NextEventGoalKick;value_GoalKick;value_Low;value_GoalShotTimestamp;value_BigChance;value_HighRight;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_PullBack;value_Handball;value_LowCentre;value_NotAssisted;value_FreeKick;value_ByWall;value_SetPiece;value_ThrowInSetPiece;value_CloseLeftAndHigh;value_SwerveLeft;value_Sliding;value_LowGkIntervention;value_Feet;value_LowRight;value_BoxLeft;value_Deflection;value_ParriedSafe;value_Volley;value_YellowCard;value_RecklessOffence;value_CloseLeft;value_High;value_BoxRight;value_Standing;value_OtherBodyPart;value_SixYardBlocked;value_TakeOnSpace;value_Overrun;value_Minutes;value_GkHoof;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_FastBreak;value_35Right;value_HighClaim;value_HighGkIntervention;value_HighCentre;value_Reaching;value_Fingertip;value_PenaltyTakerId;value_Penalty;value_Dissent;value_Injury;value_InjuredPlayerId;value_Scored;value_FantasyAssistId;value_FantasyAssistedBy;value_CausingPlayer;value_FantasyAssistType;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_Collected;value_GkStart;value_Stooping;value_Caught;value_Weak;value_BlockedCross;value_OverhitCross;value_CloseHigh;value_TacticalFoul;value_DangerousPlay;value_GoesToPenalties;value_Saved;value_HitWoodwork;value_HighLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713752125;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-08-25T23:26:00.127Z;2024-08-26T00:03:43Z;[{'id': 5174985183, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5174985187, 'qualifierId': 130, 'value': '4'}, {'id': 5175079245, 'qualifierId': 197, 'value': '23745'}, {'id': 5174985191, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5175079869, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 5174985189, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174985185, 'qualifierId': 59, 'value': '41, 78, 72, 38, 66, 77, 64, 99, 60, 50, 71, 33, 54, 58, 53, 63, 52, 51, 45, 93'}, {'id': 5174985181, 'qualifierId': 30, 'value': '71y61qa3ywym9sa89dpkzfcyy, f2nxaemhqi8kbtbejnqekgd4a, 3q8dpwqkikbugz3ikwcmkbg4q, 1on6mxrbdqnh12s4h1y0vb3mc, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dhrxi7hj8xh15ky7q6u5wqi5m, 5n1wehugx0qtun8oopg2jbndg, 1bmbt6h6bsiimpzxt07cqwfvu, dwyatw1wz3nrh1fcwu27ie8ve, 7jtxek694d60c5udhyv0zsjro, 3etb72wtwcrim97dyp9g2px5g, bpfl7nj8llr3dfadhtju52rro, 4nzrv75trp05nqos781kk62hg, 3514h23j8mh5m37hsg90245ck, 35jkg2v338kipzlf0iwvvypuy, cac9hjmdwt1gsz0qt3f6d4b2s, 23j7p7rylg9rwke4vbgquzjai, 4h8dml0qrwpqza4kqazp5dnqi, 1f1x4s6m83dyn9tv9faubwob8'}];;;;;expkosdvouobem3kv8ejmmbkk;Team set up;;4,0;23745,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2713754235;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-25T23:29:40.998Z;2024-08-26T00:29:15Z;[{'id': 5174996039, 'qualifierId': 59, 'value': '30, 85, 31, 77, 35, 39, 99, 37, 95, 80, 90, 32, 81, 96, 27, 97, 36, 42, 41'}, {'id': 5174996041, 'qualifierId': 130, 'value': '8'}, {'id': 5175139963, 'qualifierId': 194, 'value': 'dil2b9u1omrsdbxba5swbe9gq'}, {'id': 5174996035, 'qualifierId': 30, 'value': '5rcj1mef6u2jbosy1urou0d7t, 2iusvkm9t8r1widsfvbesnjf8, 7zr3gif60ntltgt3s5yi6qjca, 8khtu1w0lp1f5d5t4zmfxiei, dil2b9u1omrsdbxba5swbe9gq, e1e506479mqo8j3geie6amuj8, e5oov2tctv9yrbh5uldfyrey2, ez0t0pl5qxy0sa3zp1l77sjro, 3y5rrahty1k0l1hnww3bcozmy, 5jal3zhkwodffivsq89wfd15g, s9a51dj3nkad2e53b2jbgl5g, 4s56s6f9nw96wergw7ix5zp0q, b0xuwec3m6rvxwx7gygv34o6i, 3007iihmvmlzgpgtxri3v3hg4, chiwsyjdyk4sn4vxqu9mdr0x6, do5nsl65m35sog9vcp0j3kbh0, 9fbj8njpn0q6j87le4rnafjf8, c73tr75o7gj1p09r8k94g6fx0, 5f1j0xharn07q39c0ymwcdu6s'}, {'id': 5174996045, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174996037, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5175078081, 'qualifierId': 197, 'value': '3515'}, {'id': 5174996043, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;expkosdvouobem3kv8ejmmbkk;Team set up;;8,0;3515,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;;0;0;0;The Town;0;;
2713769665;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-08-26T00:03:04.861Z;2024-09-02T06:36:07Z;[{'id': 5175078695, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;expkosdvouobem3kv8ejmmbkk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2713769673;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-26T00:03:04.861Z;2024-08-26T00:03:07Z;[{'id': 5175078719, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;expkosdvouobem3kv8ejmmbkk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;;0;0;0;The Town;0;;
2713769685;3;1;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;50,0;50,0;2024-08-26T00:03:05.079Z;2024-08-26T00:03:08Z;[{'id': 5175078799, 'qualifierId': 213, 'value': '3.41'}, {'id': 5175078795, 'qualifierId': 141, 'value': '44.2'}, {'id': 5175078791, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175078793, 'qualifierId': 140, 'value': '36.4'}, {'id': 5175078797, 'qualifierId': 212, 'value': '14.8'}, {'id': 5175078801, 'qualifierId': 279, 'value': 'S'}];1bmbt6h6bsiimpzxt07cqwfvu;E. Blancas;;;expkosdvouobem3kv8ejmmbkk;Pass;;;;;;;;;;3,41;44,2;;36,4;14,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;36,4;44,2;;;;;;;;0;0;0;Tacoma Defiance;0;FW;1,0
2713769703;4;1;1;0;3;ew2zirzye0sw1txr2m33nr25y;1;36,4;44,2;2024-08-26T00:03:08.583Z;2024-08-26T00:50:57Z;[{'id': 5175078905, 'qualifierId': 213, 'value': '2.19'}, {'id': 5175078901, 'qualifierId': 141, 'value': '61.0'}, {'id': 5175078897, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175078903, 'qualifierId': 212, 'value': '14.1'}, {'id': 5175078899, 'qualifierId': 140, 'value': '28.6'}];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;;expkosdvouobem3kv8ejmmbkk;Pass;;;;;;;;;;2,19;61,0;;28,6;14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;28,6;61,0;;;;;;;;0;0;3;Tacoma Defiance;3;MC;1,0
2713769729;5;1;1;0;5;ew2zirzye0sw1txr2m33nr25y;0;27,6;64,8;2024-08-26T00:03:10.648Z;2024-08-26T00:03:15Z;[{'id': 5175079075, 'qualifierId': 140, 'value': '85.5'}, {'id': 5175079083, 'qualifierId': 213, 'value': '6.25'}, {'id': 5175079069, 'qualifierId': 157}, {'id': 5175079073, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175079077, 'qualifierId': 141, 'value': '62.2'}, {'id': 5175079081, 'qualifierId': 212, 'value': '60.8'}, {'id': 5175079085, 'qualifierId': 1}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;expkosdvouobem3kv8ejmmbkk;Pass;;;;;;;;;;6,25;62,2;;85,5;60,8;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;85,5;62,2;;;;;;;;0;0;5;Tacoma Defiance;5;DC;1,0
2713769741;3;1;1;0;10;5icuo8utnztpsd9l03gdd68dl;1;18,5;31,0;2024-08-26T00:03:15.306Z;2024-08-26T00:03:17Z;[{'id': 5175079143, 'qualifierId': 213, 'value': '2.47'}, {'id': 5175079139, 'qualifierId': 141, 'value': '45.2'}, {'id': 5175079137, 'qualifierId': 140, 'value': '6.9'}, {'id': 5175079133, 'qualifierId': 3}, {'id': 5175079141, 'qualifierId': 212, 'value': '15.5'}, {'id': 5175079135, 'qualifierId': 56, 'value': 'Back'}];dil2b9u1omrsdbxba5swbe9gq;A. Lopez;;;expkosdvouobem3kv8ejmmbkk;Pass;;;;;;;;;;2,47;45,2;;6,9;15,5;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;6,9;45,2;;;;;;;;0;0;10;The Town;10;DL;1,0
2713769743;4;52;1;0;12;5icuo8utnztpsd9l03gdd68dl;1;8,0;42,4;2024-08-26T00:03:17.050Z;2024-08-30T11:25:21Z;[{'id': 5181397693, 'qualifierId': 377}];5rcj1mef6u2jbosy1urou0d7t;L. Helleren;;;expkosdvouobem3kv8ejmmbkk;Keeper pick-up;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;;0;0;12;The Town;12;GK;1,0
2713769791;5;1;1;0;15;5icuo8utnztpsd9l03gdd68dl;1;11,7;43,1;2024-08-26T00:03:19.867Z;2024-08-26T00:03:27Z;[{'id': 5175079397, 'qualifierId': 141, 'value': '64.8'}, {'id': 5175079393, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175079391, 'qualifierId': 123}, {'id': 5175079395, 'qualifierId': 140, 'value': '12.7'}, {'id': 5175079399, 'qualifierId': 212, 'value': '14.8'}, {'id': 5175079401, 'qualifierId': 213, 'value': '1.50'}];5rcj1mef6u2jbosy1urou0d7t;L. Helleren;;;expkosdvouobem3kv8ejmmbkk;Pass;;;;;;;;;;1,5;64,8;;12,7;14,8;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;12,7;64,8;;;;;;;;0;0;15;The Town;15;GK;1,0
