id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Resume;value_TeamFormation;value_TeamKit;value_Involved;value_Captain;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_PassEndX;value_KickOff;value_Zone;value_Angle;value_PassEndY;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Defensive;value_Offensive;value_TouchTypeControl;value_OutOfPlay;value_Chipped;value_HeadPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_DeletedEventType;value_OutSwinger;value_Cross;value_LeftFooted;value_IntendedTackleTarget;value_SwitchOfPlay;value_BlockedPass;value_TakeOnSpace;value_TouchTypePass;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKick;value_GkY;value_GoalmouthY;value_GkXTimeOfGoal;value_NotAssisted;value_GkX;value_GoalmouthZ;value_GoalShotGameClock;value_OutOfBoxCentre;value_GkYTimeOfGoal;value_LowRight;value_GoalShotTimestamp;value_RightFooted;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_TakeOnOvertake;value_FreeKickTaken;value_LayOff;value_ShirtPull/Holding;value_Head;value_TouchTypeClearance;value_MediumGkIntervention;value_KeeperThrow;value_IntentionalAssist;value_InSwinger;value_Assist;value_BoxCentre;value_BlockedX;value_FirstTouch;value_RegularPlay;value_BlockedY;value_RelatedEventId;value_NotPastGoalLine;value_Assisted;value_Collected;value_Hands;value_Standing;value_Volley;value_TempMissed;value_Blocked;value_IndividualPlay;value_LowCentre;value_DefBlock;value_PlayersCaughtOffside;value_Indirect;value_BoxDeepLeft;value_BigChance;value_FastBreak;value_YellowCard;value_RecklessOffence;value_Stooping;value_LowGkIntervention;value_GkKickFromHands;value_Straight;value_DrivenCross;value_RefereeDelay;value_OtherReason;value_ParriedDanger;value_Sliding;value_OtherBodyPart;value_ThroughBall;value_Shove/Push;value_FlickOn;value_Minutes;value_High;value_FromCorner;value_LowLeft;value_Deflection;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_PenaltyTakerId;value_Penalty;value_FantasyAssistTeam;value_FantasyAssistedBy;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistId;value_FantasyAssistType;value_Scored;value_Diving;value_CaptainChange;value_HighGkIntervention;value_HighClaim;value_Overrun;value_OverArm;value_GkStart;value_CloseLeft;value_SmallBoxLeft;value_NotVisible;value_CloseRight;value_BoxRight;value_SwerveLeft;value_HighCentre;value_ParriedSafe;value_HitBar;value_FollowsShotBlocked;value_BoxLeft;value_CloseRightAndHigh;value_TacticalFoul;value_SixYardBlocked;value_SetPiece;value_FloatedCross;value_HitWoodwork;value_HitLeftPost;value_Weak;value_GoesToPenalties;value_HighRight;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2709459451;451;1;2;46;29;5ou8b446l1sl8frblkz3xi17g;0;89,3;16,5;2024-08-17T03:40:00.734Z;2024-08-21T12:03:19Z;[{'id': 5151363867, 'qualifierId': 2}, {'id': 5151363871, 'qualifierId': 56, 'value': 'Center'}, {'id': 5162645491, 'qualifierId': 20}, {'id': 5151363877, 'qualifierId': 212, 'value': '22.2'}, {'id': 5151363873, 'qualifierId': 140, 'value': '89.7'}, {'id': 5151363875, 'qualifierId': 141, 'value': '49.1'}, {'id': 5151363869, 'qualifierId': 155}, {'id': 5162645489, 'qualifierId': 224}, {'id': 5151363879, 'qualifierId': 213, 'value': '1.55'}];e076q290ab1o6qz9vthl2c0a2;H. Neville;;;eolq3fzt8b3y1siwe72twcx04;Pass;;;;;;;;;;22,2;89,7;;;1,55;49,1;;;;;;;;;;1,0;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;89,7;49,1;;;;;;;;0;46;29;Los Angeles II;2789;DMR;1,0
2711499203;924;12;2;46;30;6gaq85erpkvbyxvivd96wuw44;1;9,0;54,8;2024-08-17T03:40:01.730Z;2024-08-21T12:04:46Z;[{'id': 5162646367, 'qualifierId': 140, 'value': '17.7'}, {'id': 5162646369, 'qualifierId': 141, 'value': '19.0'}, {'id': 5162646371, 'qualifierId': 212, 'value': '26.0'}, {'id': 5162646373, 'qualifierId': 213, 'value': '5.07'}, {'id': 5162646365, 'qualifierId': 56, 'value': 'Back'}];do2o6ka25talswmmillufejqi;D. Rosales;;;eolq3fzt8b3y1siwe72twcx04;Clearance;;;;;;;;;;26,0;17,7;;;5,07;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;17,7;19,0;;;;;;;;0;46;30;Portland Timbers II;2790;DL;1,0
2709459459;452;43;2;46;33;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-08-17T03:40:05.165Z;2024-08-21T12:04:11Z;[{'id': 5151363919, 'qualifierId': 56, 'value': 'Center'}, {'id': 5162645957, 'qualifierId': 144, 'value': '61'}];8p8xhni028mqjv6kz6fdz850q;K. Linhares;;;eolq3fzt8b3y1siwe72twcx04;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;46;33;Los Angeles II;2793;FWR;1,0
2709459475;453;1;2;46;36;5ou8b446l1sl8frblkz3xi17g;1;88,0;88,1;2024-08-17T03:40:08.157Z;2024-08-17T03:40:11Z;[{'id': 5151364029, 'qualifierId': 141, 'value': '90.6'}, {'id': 5151364031, 'qualifierId': 212, 'value': '18.1'}, {'id': 5151364027, 'qualifierId': 140, 'value': '70.8'}, {'id': 5151364033, 'qualifierId': 213, 'value': '3.05'}, {'id': 5151364025, 'qualifierId': 56, 'value': 'Left'}];a5tjyddv4t8eg9wcum3o15qfo;S. Jura;;;eolq3fzt8b3y1siwe72twcx04;Pass;;;;;;;;;;18,1;70,8;;;3,05;90,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;70,8;90,6;;;;;;;;0;46;36;Los Angeles II;2796;DML;1,0
2709459479;454;1;2;46;39;5ou8b446l1sl8frblkz3xi17g;1;69,6;90,3;2024-08-17T03:40:11.341Z;2024-08-17T03:40:13Z;[{'id': 5151364067, 'qualifierId': 141, 'value': '65.2'}, {'id': 5151364063, 'qualifierId': 56, 'value': 'Center'}, {'id': 5151364073, 'qualifierId': 213, 'value': '4.04'}, {'id': 5151364069, 'qualifierId': 212, 'value': '21.9'}, {'id': 5151364065, 'qualifierId': 140, 'value': '56.6'}];a89drfd4adts1cbtqa77l1boq;B. Pope;;;eolq3fzt8b3y1siwe72twcx04;Pass;;;;;;;;;;21,9;56,6;;;4,04;65,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;56,6;65,2;;;;;;;;0;46;39;Los Angeles II;2799;DC;1,0
2709459481;455;1;2;46;41;5ou8b446l1sl8frblkz3xi17g;1;56,6;65,2;2024-08-17T03:40:13.406Z;2024-08-17T03:40:16Z;[{'id': 5151364089, 'qualifierId': 141, 'value': '41.0'}, {'id': 5151364087, 'qualifierId': 140, 'value': '62.4'}, {'id': 5151364093, 'qualifierId': 213, 'value': '5.07'}, {'id': 5151364085, 'qualifierId': 56, 'value': 'Center'}, {'id': 5151364091, 'qualifierId': 212, 'value': '17.5'}];d1xlw5bza316m39f9n82hir1m;K. Rad;;;eolq3fzt8b3y1siwe72twcx04;Pass;;;;;;;;;;17,5;62,4;;;5,07;41,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;62,4;41,0;;;;;;;;0;46;41;Los Angeles II;2801;DC;1,0
2709459495;456;1;2;46;44;5ou8b446l1sl8frblkz3xi17g;1;62,4;41,0;2024-08-17T03:40:16.285Z;2024-08-17T03:40:21Z;[{'id': 5151364161, 'qualifierId': 141, 'value': '26.8'}, {'id': 5151364165, 'qualifierId': 213, 'value': '4.37'}, {'id': 5151364157, 'qualifierId': 56, 'value': 'Center'}, {'id': 5151364163, 'qualifierId': 212, 'value': '10.3'}, {'id': 5151364159, 'qualifierId': 140, 'value': '59.1'}];druwx3n136woly4objqgk7tp0;A. Enriquez;;;eolq3fzt8b3y1siwe72twcx04;Pass;;;;;;;;;;10,3;59,1;;;4,37;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;59,1;26,8;;;;;;;;0;46;44;Los Angeles II;2804;MC;1,0
2709459497;457;3;2;46;50;5ou8b446l1sl8frblkz3xi17g;0;74,4;24,8;2024-08-17T03:40:21.886Z;2024-08-21T12:04:46Z;[{'id': 5151364171, 'qualifierId': 286}, {'id': 5151364169, 'qualifierId': 56, 'value': 'Center'}, {'id': 5162646375, 'qualifierId': 465}, {'id': 5151376305, 'qualifierId': 233, 'value': '603'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;eolq3fzt8b3y1siwe72twcx04;Take On;;;;;;;;;;;;;;;;;;603,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;46;50;Los Angeles II;2810;DC;1,0
2709462631;603;7;2;46;50;6gaq85erpkvbyxvivd96wuw44;1;25,6;75,2;2024-08-17T03:40:21.887Z;2024-08-21T12:04:48Z;[{'id': 5151376273, 'qualifierId': 56, 'value': 'Back'}, {'id': 5162646385, 'qualifierId': 383}, {'id': 5151376295, 'qualifierId': 233, 'value': '457'}, {'id': 5151376275, 'qualifierId': 285}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;eolq3fzt8b3y1siwe72twcx04;Tackle;;;;;;;;;;;;;;;;;;457,0;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;46;50;Portland Timbers II;2810;DC;1,0
2711499295;925;1;2;46;52;6gaq85erpkvbyxvivd96wuw44;0;16,1;94,8;2024-08-17T03:40:24.153Z;2024-08-21T12:41:54Z;[{'id': 5162647011, 'qualifierId': 286}, {'id': 5162667581, 'qualifierId': 233, 'value': '458'}, {'id': 5162646935, 'qualifierId': 213, 'value': '0.27'}, {'id': 5162646929, 'qualifierId': 140, 'value': '17.5'}, {'id': 5162646933, 'qualifierId': 212, 'value': '1.5'}, {'id': 5162646931, 'qualifierId': 141, 'value': '95.4'}, {'id': 5162647009, 'qualifierId': 236}, {'id': 5162646927, 'qualifierId': 56, 'value': 'Back'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;eolq3fzt8b3y1siwe72twcx04;Pass;;;;;;;;;;1,5;17,5;;;0,27;95,4;;;458,0;;;;1,0;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;17,5;95,4;;;;;;;;0;46;52;Portland Timbers II;2812;DC;1,0
