id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_PlayerPosition;value_Captain;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Length;value_Angle;value_KickOff;value_Zone;value_Chipped;value_SwitchOfPlay;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_TouchTypeClearance;value_Head;value_HeadPass;value_Offensive;value_BlockedPass;value_Defensive;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_Cross;value_RightFooted;value_NextEventGoalKick;value_GoalKick;value_Low;value_NotVisible;value_IntendedTackleTarget;value_TakeOnSpace;value_TouchTypePass;value_DeletedEventType;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_TakeOnOvertake;value_TouchTypeControl;value_Shove/Push;value_LowGkIntervention;value_KeeperThrow;value_InjuredPlayerId;value_Injury;value_High;value_FlickOn;value_LayOff;value_LeftFooted;value_PlayersCaughtOffside;value_Indirect;value_OutOfPlay;value_InSwinger;value_FirstTouch;value_GkY;value_BlockedY;value_SixYardBlocked;value_BlockedX;value_NotAssisted;value_LowRight;value_SmallBoxRight;value_FromCorner;value_GkX;value_GoalmouthY;value_Blocked;value_GoalmouthZ;value_DefBlock;value_SmallBoxCentre;value_RegularPlay;value_LowCentre;value_HighGkIntervention;value_BlockedCross;value_Volley;value_BoxLeft;value_CloseRight;value_Assist;value_IndividualPlay;value_BoxCentre;value_Assisted;value_Diving;value_Collected;value_Hands;value_OverArm;value_Defensive1V1;value_FreeKick;value_SwerveLeft;value_OutOfBoxCentre;value_BoxRight;value_ShirtPull/Holding;value_PullBack;value_SwerveRight;value_HighRight;value_ParriedSafe;value_OverhitCross;value_Minutes;value_HighClaim;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Overrun;value_LowLeft;value_ParriedDanger;value_BigChance;value_Stooping;value_GkHoof;value_IntentionalAssist;value_TacticalFoul;value_MediumGkIntervention;value_HighLeft;value_FastBreak;value_CloseLeft;value_MisHit;value_Weak;value_OutOfBoxRight;value_Standing;value_CaptainChange;value_Dissent;value_GkKickFromHands;value_GoesToPenalties;value_Penalty;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Scored;value_Saved;value_HitWoodwork;value_KeeperTouched;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2684919535;909;49;1;6;52;6ddsx316t3j0z6nolrky9k4r8;1;43,8;81,0;2024-05-03T23:40:48.900Z;2024-05-10T11:02:13Z;[];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;ckp7byqdw5hwrggka891suuj8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;6;52;Atlanta United II;412;DC;1,0
2681922819;48;1;1;6;56;6ddsx316t3j0z6nolrky9k4r8;1;37,5;73,3;2024-05-03T23:40:52.045Z;2024-05-03T23:40:53Z;[{'id': 5000154401, 'qualifierId': 140, 'value': '53.7'}, {'id': 5000154399, 'qualifierId': 56, 'value': 'Left'}, {'id': 5000154407, 'qualifierId': 213, 'value': '0.24'}, {'id': 5000154405, 'qualifierId': 212, 'value': '17.5'}, {'id': 5000154403, 'qualifierId': 141, 'value': '79.4'}];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;53,7;79,4;17,5;0,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;53,7;79,4;;;;;;;;0;6;56;Atlanta United II;416;DC;1,0
2681922821;49;43;1;6;57;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-05-03T23:40:52.973Z;2024-05-10T11:02:15Z;[{'id': 5016409713, 'qualifierId': 144, 'value': '49'}];1kuo66geyyz9gu2n39w0bvr4k;J. Arroyave;;ckp7byqdw5hwrggka891suuj8;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;6;57;Atlanta United II;417;MC;1,0
2681922831;50;1;1;6;57;6ddsx316t3j0z6nolrky9k4r8;1;51,3;77,2;2024-05-03T23:40:53.309Z;2024-05-03T23:40:54Z;[{'id': 5000154467, 'qualifierId': 141, 'value': '78.7'}, {'id': 5000154465, 'qualifierId': 140, 'value': '58.2'}, {'id': 5000154463, 'qualifierId': 56, 'value': 'Center'}, {'id': 5000154471, 'qualifierId': 213, 'value': '0.14'}, {'id': 5000154469, 'qualifierId': 212, 'value': '7.3'}];1kuo66geyyz9gu2n39w0bvr4k;J. Arroyave;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;58,2;78,7;7,3;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;58,2;78,7;;;;;;;;0;6;57;Atlanta United II;417;MC;1,0
2681922835;51;1;1;6;58;6ddsx316t3j0z6nolrky9k4r8;1;61,1;79,9;2024-05-03T23:40:54.254Z;2024-05-10T11:02:36Z;[{'id': 5000154525, 'qualifierId': 140, 'value': '56.6'}, {'id': 5000154523, 'qualifierId': 56, 'value': 'Center'}, {'id': 5000154531, 'qualifierId': 212, 'value': '5.9'}, {'id': 5000154527, 'qualifierId': 141, 'value': '74.8'}, {'id': 5000154533, 'qualifierId': 213, 'value': '3.77'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;56,6;74,8;5,9;3,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;56,6;74,8;;;;;;;;0;6;58;Atlanta United II;418;FW;1,0
2681922855;52;1;1;6;59;6ddsx316t3j0z6nolrky9k4r8;1;58,5;69,1;2024-05-03T23:40:55.006Z;2024-05-10T11:02:43Z;[{'id': 5000154583, 'qualifierId': 56, 'value': 'Center'}, {'id': 5000154587, 'qualifierId': 141, 'value': '70.9'}, {'id': 5000154585, 'qualifierId': 140, 'value': '52.0'}, {'id': 5000154591, 'qualifierId': 213, 'value': '2.96'}, {'id': 5000154589, 'qualifierId': 212, 'value': '6.9'}];1kuo66geyyz9gu2n39w0bvr4k;J. Arroyave;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;52,0;70,9;6,9;2,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;52,0;70,9;;;;;;;;0;6;59;Atlanta United II;419;MC;1,0
2681922865;53;1;1;7;1;6ddsx316t3j0z6nolrky9k4r8;1;51,4;64,6;2024-05-03T23:40:57.357Z;2024-05-10T11:02:51Z;[{'id': 5000154643, 'qualifierId': 212, 'value': '12.9'}, {'id': 5000154645, 'qualifierId': 213, 'value': '4.20'}, {'id': 5000154639, 'qualifierId': 140, 'value': '45.4'}, {'id': 5000154637, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000154641, 'qualifierId': 141, 'value': '48.1'}];duj699i9620tuf3ii9z06bqsq;P. Elias;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;45,4;48,1;12,9;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;45,4;48,1;;;;;;;;0;7;1;Atlanta United II;421;MC;1,0
2681922879;54;1;1;7;2;6ddsx316t3j0z6nolrky9k4r8;1;47,4;40,9;2024-05-03T23:40:58.686Z;2024-05-10T11:02:56Z;[{'id': 5000154723, 'qualifierId': 56, 'value': 'Right'}, {'id': 5000154727, 'qualifierId': 141, 'value': '6.6'}, {'id': 5000154725, 'qualifierId': 140, 'value': '65.7'}, {'id': 5000154729, 'qualifierId': 212, 'value': '30.2'}, {'id': 5000154731, 'qualifierId': 213, 'value': '5.40'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;65,7;6,6;30,2;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;65,7;6,6;;;;;;;;0;7;2;Atlanta United II;422;DL;1,0
2681922893;55;1;1;7;5;6ddsx316t3j0z6nolrky9k4r8;1;65,9;9,1;2024-05-03T23:41:01.437Z;2024-05-03T23:41:03Z;[{'id': 5000154819, 'qualifierId': 141, 'value': '22.5'}, {'id': 5000154817, 'qualifierId': 140, 'value': '63.2'}, {'id': 5000154821, 'qualifierId': 212, 'value': '9.5'}, {'id': 5000154823, 'qualifierId': 213, 'value': '1.87'}, {'id': 5000154815, 'qualifierId': 56, 'value': 'Center'}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;63,2;22,5;9,5;1,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;63,2;22,5;;;;;;;;0;7;5;Atlanta United II;425;DR;1,0
2681922901;56;1;1;7;7;6ddsx316t3j0z6nolrky9k4r8;1;63,5;22,7;2024-05-03T23:41:03.294Z;2024-05-03T23:41:06Z;[{'id': 5000154869, 'qualifierId': 212, 'value': '22.9'}, {'id': 5000154871, 'qualifierId': 213, 'value': '3.30'}, {'id': 5000154867, 'qualifierId': 141, 'value': '17.4'}, {'id': 5000154865, 'qualifierId': 140, 'value': '42.0'}, {'id': 5000154863, 'qualifierId': 56, 'value': 'Back'}];cwyml9l4tfvb4ceh8tv3au0wk;M. Carrizo;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;42,0;17,4;22,9;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;42,0;17,4;;;;;;;;0;7;7;Atlanta United II;427;AMC;1,0
