id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Involved;value_Captain;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndY;value_Length;value_PassEndX;value_KickOff;value_Launch;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Cross;value_BlockedPass;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_Chipped;value_NextEventGoalKick;value_GoalKick;value_High;value_FlickOn;value_HeadPass;value_Defensive;value_NotVisible;value_GkHoof;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Unchallenged;value_KeeperThrow;value_Overrun;value_GoalmouthY;value_LowLeft;value_BlockedX;value_GoalmouthZ;value_NotAssisted;value_OutOfBoxCentre;value_RegularPlay;value_BlockedY;value_IndividualPlay;value_RightFooted;value_Collected;value_Hands;value_Stooping;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_OutOfPlay;value_Blocked;value_LeftFooted;value_RelatedEventId;value_LowCentre;value_Assisted;value_GkY;value_GkX;value_DefBlock;value_ShirtPull/Holding;value_Low;value_Assist;value_InSwinger;value_IntentionalAssist;value_Head;value_FirstTouch;value_BoxCentre;value_FromCorner;value_DeletedEventType;value_OverhitCross;value_OutOnSideline;value_NotPastGoalLine;value_SwitchOfPlay;value_RefereeDelay;value_DrinksBreak;value_MisHit;value_HighLeft;value_Shove/Push;value_Minutes;value_EndType;value_Handball;value_PullBack;value_LowRight;value_SoloRun;value_GoalShotGameClock;value_GoalShotTimestamp;value_YellowCard;value_TacticalFoul;value_CloseRight;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_CloseLeft;value_SwerveRight;value_Injury;value_InjuredPlayerId;value_FreeKick;value_ParriedSafe;value_Diving;value_SmallBoxRight;value_Standing;value_BoxRight;value_BigChance;value_OtherBodyPart;value_Volley;value_FantasyAssistTeam;value_KeeperTouched;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistedBy;value_GkKickFromHands;value_OverArm;value_RecklessOffence;value_GoesToPenalties;value_Penalty;value_TempShotOn;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_HighRight;value_Saved;value_HitWoodwork;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710823901;7;1;1;0;50;6ubc4y1v6hr63mca7ica4hp90;1;99,5;0,5;2024-08-18T21:06:18.456Z;2024-08-18T21:06:22Z;[{'id': 5158888187, 'qualifierId': 212, 'value': '10.1'}, {'id': 5158888183, 'qualifierId': 140, 'value': '90.9'}, {'id': 5158888179, 'qualifierId': 6}, {'id': 5158888189, 'qualifierId': 213, 'value': '2.69'}, {'id': 5158888181, 'qualifierId': 56, 'value': 'Right'}, {'id': 5158888185, 'qualifierId': 141, 'value': '7.0'}];6bg69aksa8wb6wmu7w81is8yy;J. Forbes;;;eqh157z70awog38xarc2epjpw;Pass;;;;;;;;;;;2,69;7,0;10,1;90,9;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;90,9;7,0;;;;;;;;0;0;50;Chattanooga;50;DC;1,0
2710823915;8;1;1;0;52;6ubc4y1v6hr63mca7ica4hp90;1;91,4;7,3;2024-08-18T21:06:20.101Z;2024-08-18T22:01:57Z;[{'id': 5158888267, 'qualifierId': 56, 'value': 'Right'}, {'id': 5158888273, 'qualifierId': 212, 'value': '13.7'}, {'id': 5158888271, 'qualifierId': 141, 'value': '14.9'}, {'id': 5158888275, 'qualifierId': 213, 'value': '2.76'}, {'id': 5158888269, 'qualifierId': 140, 'value': '79.3'}];9qhpi9y9iujvkbocafhgrj04q;C. Duke;;;eqh157z70awog38xarc2epjpw;Pass;;;;;;;;;;;2,76;14,9;13,7;79,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;79,3;14,9;;;;;;;;0;0;52;Chattanooga;52;AMC;1,0
2710823921;9;1;1;0;54;6ubc4y1v6hr63mca7ica4hp90;1;78,6;15,0;2024-08-18T21:06:21.559Z;2024-08-18T21:06:32Z;[{'id': 5158888319, 'qualifierId': 213, 'value': '1.07'}, {'id': 5158888311, 'qualifierId': 140, 'value': '95.5'}, {'id': 5158888315, 'qualifierId': 212, 'value': '37.2'}, {'id': 5158888305, 'qualifierId': 2}, {'id': 5158888309, 'qualifierId': 56, 'value': 'Center'}, {'id': 5158888811, 'qualifierId': 1}, {'id': 5158888313, 'qualifierId': 141, 'value': '63.1'}, {'id': 5158888307, 'qualifierId': 155}];6bg69aksa8wb6wmu7w81is8yy;J. Forbes;;;eqh157z70awog38xarc2epjpw;Pass;;;;;;;;;;;1,07;63,1;37,2;95,5;;;1,0;;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;95,5;63,1;;;;;;;;0;0;54;Chattanooga;54;DC;1,0
2710824001;10;61;1;0;56;6ubc4y1v6hr63mca7ica4hp90;0;95,5;63,1;2024-08-18T21:06:24.443Z;2024-08-18T21:57:37Z;[{'id': 5158888815, 'qualifierId': 56, 'value': 'Center'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;eqh157z70awog38xarc2epjpw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;56;Chattanooga;56;FW;1,0
2710824237;5;5;1;0;57;cwnjxlibb02fuh0vwgvac6h45;1;-1,2;30,6;2024-08-18T21:06:25.279Z;2024-08-18T22:03:33Z;[{'id': 5158890133, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159016969, 'qualifierId': 233, 'value': '11'}, {'id': 5158890135, 'qualifierId': 346}];5m8hxfvza21t4wfe6v0a18etw;L. García;;;eqh157z70awog38xarc2epjpw;Out;;;;;;;;;;;;;;;;;;;11,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;57;Crown Legacy;57;AMC;1,0
2710824003;11;5;1;0;57;6ubc4y1v6hr63mca7ica4hp90;0;101,2;69,4;2024-08-18T21:06:25.279Z;2024-08-18T22:03:33Z;[{'id': 5158888821, 'qualifierId': 346}, {'id': 5159016991, 'qualifierId': 233, 'value': '5'}, {'id': 5158888819, 'qualifierId': 56, 'value': 'Center'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;eqh157z70awog38xarc2epjpw;Out;;;;;;;;;;;;;;;;;;;5,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;57;Chattanooga;57;FW;1,0
2710824273;6;1;1;1;28;cwnjxlibb02fuh0vwgvac6h45;1;5,3;57,7;2024-08-18T21:06:55.936Z;2024-08-18T21:06:59Z;[{'id': 5158890343, 'qualifierId': 124}, {'id': 5158890347, 'qualifierId': 140, 'value': '55.6'}, {'id': 5158890353, 'qualifierId': 213, 'value': '0.36'}, {'id': 5158890355, 'qualifierId': 1}, {'id': 5158890359, 'qualifierId': 74}, {'id': 5158890351, 'qualifierId': 212, 'value': '56.4'}, {'id': 5158890345, 'qualifierId': 56, 'value': 'Left'}, {'id': 5158890349, 'qualifierId': 141, 'value': '86.6'}];ew3qxbn1ev1qv7wi0iwoc642c;J. Burke;;;eqh157z70awog38xarc2epjpw;Pass;;;;;;;;;;;0,36;86,6;56,4;55,6;;;1,0;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;55,6;86,6;;;;;;;;0;1;28;Crown Legacy;88;GK;1,0
2710824301;7;1;1;1;32;cwnjxlibb02fuh0vwgvac6h45;1;55,6;86,6;2024-08-18T21:06:59.759Z;2024-08-18T21:38:31Z;[{'id': 5158966139, 'qualifierId': 168}, {'id': 5158890505, 'qualifierId': 140, 'value': '62.6'}, {'id': 5158890515, 'qualifierId': 213, 'value': '6.16'}, {'id': 5158890511, 'qualifierId': 212, 'value': '7.4'}, {'id': 5158890507, 'qualifierId': 141, 'value': '85.3'}, {'id': 5158890503, 'qualifierId': 56, 'value': 'Left'}, {'id': 5158890499, 'qualifierId': 3}];4cwccglaxz5sf71eptnj6kzfu;A. Jiménez;;;eqh157z70awog38xarc2epjpw;Pass;;;;;;;;;;;6,16;85,3;7,4;62,6;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;62,6;85,3;;;;;;;;0;1;32;Crown Legacy;92;MC;1,0
2710824305;8;44;1;1;35;cwnjxlibb02fuh0vwgvac6h45;1;61,1;88,0;2024-08-18T21:07:02.800Z;2024-08-18T21:41:28Z;[{'id': 5158890531, 'qualifierId': 286}, {'id': 5158890983, 'qualifierId': 233, 'value': '13'}, {'id': 5158890529, 'qualifierId': 56, 'value': 'Left'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;eqh157z70awog38xarc2epjpw;Aerial;;;;;;;;;;;;;;;;;;1,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;1;35;Crown Legacy;95;AML;1,0
2710824309;13;44;1;1;35;6ubc4y1v6hr63mca7ica4hp90;0;38,9;12,0;2024-08-18T21:07:02.801Z;2024-08-18T22:02:19Z;[{'id': 5158890563, 'qualifierId': 56, 'value': 'Back'}, {'id': 5158890565, 'qualifierId': 285}, {'id': 5158890991, 'qualifierId': 233, 'value': '8'}];8texi81doeqhy7eu6fnhrstbe;J. Assi;;;eqh157z70awog38xarc2epjpw;Aerial;;;;;;;;;;;;;;;;;;;8,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;1;35;Chattanooga;95;DR;1,0
