id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_Captain;value_Involved;value_TeamKit;value_PlayerPosition;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_PassEndX;value_Length;value_Zone;value_Angle;value_IntendedTackleTarget;value_Offensive;value_TakeOnOvertake;value_OppositeRelatedEventId;value_TouchTypeControl;value_Defensive;value_OutSwinger;value_RightFooted;value_Cross;value_OutOfPlay;value_Right;value_Left;value_CornerTaken;value_LongBall;value_Chipped;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_BlockedPass;value_TakeOnSpace;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_HeadPass;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_InSwinger;value_LeftFooted;value_FlickOn;value_Head;value_DeletedEventType;value_NotAssisted;value_GkY;value_Blocked;value_LowCentre;value_BlockedX;value_GoalmouthZ;value_BoxCentre;value_GkX;value_BlockedY;value_FromCorner;value_FirstTouch;value_GoalmouthY;value_DefBlock;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_TouchTypeClearance;value_Assist;value_Assisted;value_IndividualPlay;value_FastBreak;value_BoxLeft;value_CloseLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_LayOff;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_Unchallenged;value_LowGkIntervention;value_GkKickFromHands;value_Launch;value_AttemptedTackle;value_Shove/Push;value_YellowCard;value_TacticalFoul;value_IntentionalAssist;value_SetPiece;value_Overrun;value_RegularPlay;value_OutOfBoxCentre;value_High;value_HighGkIntervention;value_LowRight;value_ThroughBall;value_Weak;value_GoalShotGameClock;value_GkXTimeOfGoal;value_BigChance;value_GkYTimeOfGoal;value_HighCentre;value_FollowsADribble;value_GoalShotTimestamp;value_LeadingToGoal;value_SoloRun;value_RelatedError1Id;value_KeeperTouched;value_TempMissed;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_HitWoodwork;value_HitLeftPost;value_BoxRight;value_LowLeft;value_DangerousPlay;value_RecklessOffence;value_Straight;value_DrivenCross;value_Standing;value_Hands;value_Collected;value_Volley;value_Feet;value_ParriedSafe;value_Sliding;value_Reaching;value_CloseHigh;value_Stooping;value_EventTypeReview;value_GkHoof;value_35Right;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;value_OtherReason;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2691466397;67;49;1;7;36;cbip96wzs3jc2xadoluhhxotl;1;27,7;42,6;2024-05-25T01:21:46.522Z;2024-05-25T01:21:46Z;[];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;d09222lyv6huaqpw34yeir6z8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;7;36;North Texas;456;DC;1,0
2691466419;68;1;1;7;36;cbip96wzs3jc2xadoluhhxotl;1;27,5;42,6;2024-05-25T01:21:46.713Z;2024-05-25T01:21:49Z;[{'id': 5052060413, 'qualifierId': 140, 'value': '10.1'}, {'id': 5052060411, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060415, 'qualifierId': 141, 'value': '49.4'}, {'id': 5052060419, 'qualifierId': 213, 'value': '2.89'}, {'id': 5052060417, 'qualifierId': 212, 'value': '18.8'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;49,4;;10,1;18,8;;2,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;10,1;49,4;;;;;;;0;0;7;36;North Texas;456;DC;1,0
2691466443;69;1;1;7;39;cbip96wzs3jc2xadoluhhxotl;1;10,7;56,3;2024-05-25T01:21:49.801Z;2024-05-25T01:21:53Z;[{'id': 5052060513, 'qualifierId': 212, 'value': '25.1'}, {'id': 5052060509, 'qualifierId': 140, 'value': '27.6'}, {'id': 5052060507, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060511, 'qualifierId': 141, 'value': '82.5'}, {'id': 5052060515, 'qualifierId': 213, 'value': '0.79'}];d8jipeh184bc6p9c0uervzytw;W. Mackay;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;82,5;;27,6;25,1;;0,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;27,6;82,5;;;;;;;0;0;7;39;North Texas;459;GK;1,0
2691466447;70;1;1;7;43;cbip96wzs3jc2xadoluhhxotl;1;28,9;86,4;2024-05-25T01:21:53.833Z;2024-05-25T01:21:56Z;[{'id': 5052060543, 'qualifierId': 213, 'value': '3.80'}, {'id': 5052060535, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060541, 'qualifierId': 212, 'value': '19.6'}, {'id': 5052060539, 'qualifierId': 141, 'value': '68.7'}, {'id': 5052060537, 'qualifierId': 140, 'value': '14.2'}];asy97zdxk0352toy38huzk222;T. Silva;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;68,7;;14,2;19,6;;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;14,2;68,7;;;;;;;0;0;7;43;North Texas;463;DC;1,0
2691466459;71;1;1;7;46;cbip96wzs3jc2xadoluhhxotl;1;14,2;68,6;2024-05-25T01:21:56.810Z;2024-05-25T01:21:59Z;[{'id': 5052060583, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060585, 'qualifierId': 140, 'value': '21.4'}, {'id': 5052060591, 'qualifierId': 213, 'value': '5.52'}, {'id': 5052060587, 'qualifierId': 141, 'value': '57.9'}, {'id': 5052060589, 'qualifierId': 212, 'value': '10.5'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;57,9;;21,4;10,5;;5,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;21,4;57,9;;;;;;;0;0;7;46;North Texas;466;DC;1,0
2691466471;72;1;1;7;49;cbip96wzs3jc2xadoluhhxotl;1;21,5;55,9;2024-05-25T01:21:59.386Z;2024-05-25T01:22:01Z;[{'id': 5052060659, 'qualifierId': 140, 'value': '12.0'}, {'id': 5052060665, 'qualifierId': 213, 'value': '3.93'}, {'id': 5052060661, 'qualifierId': 141, 'value': '41.2'}, {'id': 5052060657, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060663, 'qualifierId': 212, 'value': '14.1'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;41,2;;12,0;14,1;;3,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;12,0;41,2;;;;;;;0;0;7;49;North Texas;469;MC;1,0
2691466489;73;1;1;7;50;cbip96wzs3jc2xadoluhhxotl;1;12,1;40,6;2024-05-25T01:22:01.337Z;2024-05-25T01:22:04Z;[{'id': 5052060755, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060757, 'qualifierId': 140, 'value': '19.9'}, {'id': 5052060759, 'qualifierId': 141, 'value': '12.1'}, {'id': 5052060761, 'qualifierId': 212, 'value': '21.0'}, {'id': 5052060763, 'qualifierId': 213, 'value': '5.11'}];ahl3kfbfeubf6zfl7x8qrlm38;K. Storlie;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;12,1;;19,9;21,0;;5,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;19,9;12,1;;;;;;;0;0;7;50;North Texas;470;DL;1,0
2691466503;74;1;1;7;53;cbip96wzs3jc2xadoluhhxotl;0;20,2;7,0;2024-05-25T01:22:04.185Z;2024-05-25T01:22:05Z;[{'id': 5052060835, 'qualifierId': 140, 'value': '33.1'}, {'id': 5052060837, 'qualifierId': 141, 'value': '0.0'}, {'id': 5052060839, 'qualifierId': 212, 'value': '14.9'}, {'id': 5052060833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052060841, 'qualifierId': 213, 'value': '5.86'}];48vc423tkz4mx7oql1ahqneac;O. Alba;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;0,0;;33,1;14,9;;5,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;33,1;0,0;;;;;;;0;0;7;53;North Texas;473;DR;1,0
2691466507;75;5;1;7;55;cbip96wzs3jc2xadoluhhxotl;0;37,6;-2,0;2024-05-25T01:22:05.557Z;2024-05-25T01:22:23Z;[{'id': 5052060863, 'qualifierId': 347}, {'id': 5052061377, 'qualifierId': 233, 'value': '76'}, {'id': 5052060861, 'qualifierId': 56, 'value': 'Back'}];48vc423tkz4mx7oql1ahqneac;O. Alba;;;d09222lyv6huaqpw34yeir6z8;Out;;;;;;;;;;;;;;;;;;;76,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;7;55;North Texas;475;DR;1,0
2691466585;76;5;1;7;55;99l7fsj6ykgbyqcb9zqqu9dgq;1;62,4;102,0;2024-05-25T01:22:05.557Z;2024-05-25T01:45:51Z;[{'id': 5052061373, 'qualifierId': 233, 'value': '75'}, {'id': 5052061349, 'qualifierId': 347}, {'id': 5052061347, 'qualifierId': 56, 'value': 'Left'}];19ckwd2oz9uyfjznuq2c41btg;T. Scott;;;d09222lyv6huaqpw34yeir6z8;Out;;;;;;;;;;;;;;;;;;;75,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;7;55;Real Monarchs;475;FW;1,0
2691466593;77;1;1;8;11;99l7fsj6ykgbyqcb9zqqu9dgq;1;63,9;100,0;2024-05-25T01:22:22.127Z;2024-05-25T01:22:25Z;[{'id': 5052061403, 'qualifierId': 56, 'value': 'Left'}, {'id': 5052061411, 'qualifierId': 213, 'value': '4.59'}, {'id': 5052061409, 'qualifierId': 212, 'value': '9.9'}, {'id': 5052061407, 'qualifierId': 141, 'value': '86.9'}, {'id': 5052061401, 'qualifierId': 107}, {'id': 5052061405, 'qualifierId': 140, 'value': '62.7'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;86,9;;62,7;9,9;;4,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;62,7;86,9;;;;;;;0;0;8;11;Real Monarchs;491;DML;1,0
2691466595;78;1;1;8;14;99l7fsj6ykgbyqcb9zqqu9dgq;0;66,1;81,7;2024-05-25T01:22:25.343Z;2024-05-25T01:22:26Z;[{'id': 5052061425, 'qualifierId': 140, 'value': '57.6'}, {'id': 5052061427, 'qualifierId': 141, 'value': '75.9'}, {'id': 5052061429, 'qualifierId': 212, 'value': '9.8'}, {'id': 5052061423, 'qualifierId': 56, 'value': 'Center'}, {'id': 5052061431, 'qualifierId': 213, 'value': '3.56'}];akgtib8zyv5lrvh9mxunj2rdg;T. Pondeca;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;75,9;;57,6;9,8;;3,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;57,6;75,9;;;;;;;0;0;8;14;Real Monarchs;494;MC;1,0
2691466599;76;49;1;8;16;cbip96wzs3jc2xadoluhhxotl;1;41,2;27,1;2024-05-25T01:22:27.169Z;2024-05-25T01:22:27Z;[];72xq9zy27facbbowtwsuzw0lw;Z. Gozo;;;d09222lyv6huaqpw34yeir6z8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;8;16;North Texas;496;FW;1,0
