id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Resume;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_Captain;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_Zone;value_PassEndY;value_Angle;value_PassEndX;value_Length;value_KickOff;value_LongBall;value_Launch;value_DeletedEventType;value_IntendedTackleTarget;value_OppositeRelatedEventId;value_Offensive;value_TakeOnSpace;value_Defensive;value_TouchTypePass;value_BlockedPass;value_HeadPass;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_Assist;value_TakeOnOvertake;value_Blocked;value_BlockedX;value_RelatedEventId;value_Assisted;value_BlockedY;value_RegularPlay;value_LowCentre;value_GkX;value_GkY;value_GoalmouthY;value_BoxLeft;value_GoalmouthZ;value_RightFooted;value_DefBlock;value_Left;value_Cross;value_CornerTaken;value_Chipped;value_InSwinger;value_SwitchOfPlay;value_OutOfPlay;value_Head;value_NextEventThrowIn;value_IntentionalAssist;value_ThrowIn;value_ThrowInSetPiece;value_BoxCentre;value_OwnPlayer;value_LeftFooted;value_OwnShotBlocked;value_BigChance;value_FirstTouch;value_MisHit;value_SmallBoxCentre;value_NextEventGoalKick;value_Low;value_GoalKick;value_MediumGkIntervention;value_KeeperThrow;value_LowGkIntervention;value_LayOff;value_High;value_OverArm;value_AttemptedTackle;value_OutSwinger;value_HighGkIntervention;value_HighClaim;value_TouchTypeControl;value_TouchTypeClearance;value_CloseRight;value_SmallBoxLeft;value_FromCorner;value_VideoCoverageLost;value_PullBack;value_Collected;value_Hands;value_Diving;value_FlickOn;value_ThroughBall;value_ShirtPull/Holding;value_LowLeft;value_IndividualPlay;value_NotAssisted;value_ParriedDanger;value_PlayersCaughtOffside;value_Indirect;value_NotVisible;value_DrivenCross;value_Straight;value_ParriedSafe;value_Stooping;value_Right;value_BoxRight;value_LowRight;value_Fumble;value_GkKickFromHands;value_OutOfBoxCentre;value_Overrun;value_YellowCard;value_TacticalFoul;value_BlockedCross;value_AerialFoul;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_NotPastGoalLine;value_CloseHigh;value_RecklessOffence;value_SetPiece;value_LastLine;value_Standing;value_SecondYellow;value_FastBreak;value_2NdAssist;value_2NdRelatedEventId;value_KeeperTouched;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_2NdAssisted;value_CloseLeft;value_1On1;value_PersistentInfringement;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693768837;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-06-01T22:05:56.829Z;2024-06-06T12:37:39Z;[{'id': 5064706097, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5064706105, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064706103, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064706095, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, exunlng0cgo9bpqh4x6jpxyax, 1h5rgsol19v1pcl5ksstrv9t6, b4te1cxogvhtglhug3sdgkmei, 87nhafgkozygrd5f06ore0xzo, 7e8xkqlux0myjc5cwtb7rega1, at2xv960peboe9spoag2kn21g, 4cwccglaxz5sf71eptnj6kzfu, a3eln6gas8765a3pn6ecqjvxm, 82uh6ad46fvub9b0vfapw2vze, adfocor2tbcmxo03ednm8vywa, 6zuton58biybp7ge3mpc17alm, jb43adjmhnwysrrwwmvuojfu, 2d3dwhrtafkd1b8q1nzerqew9, cpbyoj822ivx6qrqbkun1zr3d, 9pnleeb8crwe625807assjkk, 5m8hxfvza21t4wfe6v0a18etw, 4hdai9za2ls03tjpcw0ahu5wq, 9gk1m714ni2m8n26uybsgadey, ew3qxbn1ev1qv7wi0iwoc642c'}, {'id': 5064706101, 'qualifierId': 130, 'value': '4'}, {'id': 5064720979, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}, {'id': 5064706099, 'qualifierId': 59, 'value': '15, 23, 22, 25, 14, 20, 33, 8, 9, 71, 58, 18, 2, 3, 5, 7, 10, 11, 12, 32'}, {'id': 5064797665, 'qualifierId': 197, 'value': '23330'}];;;;;d5x5je7kb1uy27cqrgp1xdses;Team set up;;;;;4,0;;;23330,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;0;New England II;0;;
2693773959;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-06-01T22:20:14.117Z;2024-06-06T12:39:18Z;[{'id': 5064732551, 'qualifierId': 59, 'value': '27, 30, 3, 17, 5, 43, 13, 31, 45, 32, 11, 23, 9, 73, 37, 42, 34, 67, 74, 77'}, {'id': 5064732543, 'qualifierId': 30, 'value': '6j4ibkpbos6w5ikle58u2vo, dbyiafdyf93b8rtpceqitgopg, 906i3qf1bf6nx6pla85e869lg, 40qi53orb0eur2jevowkvrcb8, ahgclh3e05evznhrpa32z6g6i, 357vd87hv0jvljqtt2qf4vmz8, 5adul4r3hifu5x4tv8efr05ey, et772m1f5cqceeffckpnty1p0, bnspew1iw2jxr1s3a5oubp4ic, bzv3yqbc7ttf7fftbm2nelxck, 6han4f5xq1d0ii0ol2drgi4bu, akwjik09wytzzr3yras0diqz8, d043ppr554ym2j2xf3fcmbqsq, opnutov04c33y3gq2fjpkaac, 8jyizfwg7woybyfyu8djpfjmc, c1z6mxuhvuegd4c5b3hau93ze, 3o7f3ozutbsry5xl2l7ktct0, 3vyyckwi6rnttlh2m531bf504, 6u8g6eh0uhpiqf6ddec4s8mzu, 8uuv4kori0gzmulpxvdyqfk7o'}, {'id': 5064732555, 'qualifierId': 130, 'value': '4'}, {'id': 5064797673, 'qualifierId': 197, 'value': '23734'}, {'id': 5064732561, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064732557, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064732559, 'qualifierId': 194, 'value': 'ahgclh3e05evznhrpa32z6g6i'}, {'id': 5064732547, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;d5x5je7kb1uy27cqrgp1xdses;Team set up;;;;;4,0;;;23734,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;0;Chattanooga;0;;
2693786331;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-06-01T23:04:16.481Z;2024-06-06T12:20:00Z;[{'id': 5064798549, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d5x5je7kb1uy27cqrgp1xdses;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;0;New England II;0;;
2693786337;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-06-01T23:04:16.481Z;2024-06-01T23:04:19Z;[{'id': 5064798569, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d5x5je7kb1uy27cqrgp1xdses;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;0;Chattanooga;0;;
2693786351;3;1;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;50,0;50,0;2024-06-01T23:04:16.482Z;2024-06-01T23:04:20Z;[{'id': 5064798637, 'qualifierId': 56, 'value': 'Back'}, {'id': 5064798641, 'qualifierId': 141, 'value': '46.3'}, {'id': 5064798645, 'qualifierId': 213, 'value': '3.23'}, {'id': 5064798639, 'qualifierId': 140, 'value': '23.7'}, {'id': 5064798643, 'qualifierId': 212, 'value': '27.7'}, {'id': 5064798647, 'qualifierId': 279, 'value': 'S'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;d5x5je7kb1uy27cqrgp1xdses;Pass;;;;;;;;;;;46,3;3,23;23,7;27,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;23,7;46,3;;;;;;;0;0;0;0;New England II;0;MC;1,0
2693786371;4;1;1;0;3;cwnjxlibb02fuh0vwgvac6h45;1;23,5;46,3;2024-06-01T23:04:20.362Z;2024-06-06T12:27:49Z;[{'id': 5064798741, 'qualifierId': 140, 'value': '68.0'}, {'id': 5064798745, 'qualifierId': 212, 'value': '51.9'}, {'id': 5064798739, 'qualifierId': 56, 'value': 'Left'}, {'id': 5064798743, 'qualifierId': 141, 'value': '79.6'}, {'id': 5064798747, 'qualifierId': 213, 'value': '0.45'}, {'id': 5064798749, 'qualifierId': 1}, {'id': 5070653157, 'qualifierId': 157}];87nhafgkozygrd5f06ore0xzo;F. Sar-Sar;;;d5x5je7kb1uy27cqrgp1xdses;Pass;;;;;;;;;;;79,6;0,45;68,0;51,9;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;68,0;79,6;;;;;;;0;0;0;3;New England II;3;DL;1,0
2693786377;5;1;1;0;6;cwnjxlibb02fuh0vwgvac6h45;1;69,1;83,3;2024-06-01T23:04:23.369Z;2024-06-01T23:04:25Z;[{'id': 5064798773, 'qualifierId': 56, 'value': 'Left'}, {'id': 5064798775, 'qualifierId': 140, 'value': '55.8'}, {'id': 5064798781, 'qualifierId': 213, 'value': '2.68'}, {'id': 5064798779, 'qualifierId': 212, 'value': '15.6'}, {'id': 5064798777, 'qualifierId': 141, 'value': '93.5'}];a3eln6gas8765a3pn6ecqjvxm;M. Ouamri;;;d5x5je7kb1uy27cqrgp1xdses;Pass;;;;;;;;;;;93,5;2,68;55,8;15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;55,8;93,5;;;;;;;0;0;0;6;New England II;6;FW;1,0
2693786387;6;1;1;0;8;cwnjxlibb02fuh0vwgvac6h45;1;58,3;84,4;2024-06-01T23:04:25.321Z;2024-06-06T12:29:22Z;[{'id': 5064798811, 'qualifierId': 212, 'value': '10.5'}, {'id': 5064798809, 'qualifierId': 141, 'value': '70.5'}, {'id': 5064798805, 'qualifierId': 56, 'value': 'Center'}, {'id': 5064798807, 'qualifierId': 140, 'value': '54.0'}, {'id': 5064798813, 'qualifierId': 213, 'value': '4.27'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;d5x5je7kb1uy27cqrgp1xdses;Pass;;;;;;;;;;;70,5;4,27;54,0;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;54,0;70,5;;;;;;;0;0;0;8;New England II;8;DC;1,0
2693786389;7;1;1;0;10;cwnjxlibb02fuh0vwgvac6h45;1;52,0;80,2;2024-06-01T23:04:26.529Z;2024-06-01T23:04:27Z;[{'id': 5064798823, 'qualifierId': 212, 'value': '18.0'}, {'id': 5064798821, 'qualifierId': 141, 'value': '92.6'}, {'id': 5064798817, 'qualifierId': 56, 'value': 'Left'}, {'id': 5064798827, 'qualifierId': 213, 'value': '0.49'}, {'id': 5064798819, 'qualifierId': 140, 'value': '67.1'}];at2xv960peboe9spoag2kn21g;A. McGrath;;;d5x5je7kb1uy27cqrgp1xdses;Pass;;;;;;;;;;;92,6;0,49;67,1;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;67,1;92,6;;;;;;;0;0;0;10;New England II;10;MC;1,0
2693786397;8;1;1;0;11;cwnjxlibb02fuh0vwgvac6h45;1;67,6;93,3;2024-06-01T23:04:27.865Z;2024-06-01T23:05:21Z;[{'id': 5064798857, 'qualifierId': 212, 'value': '7.3'}, {'id': 5064798851, 'qualifierId': 56, 'value': 'Left'}, {'id': 5064798859, 'qualifierId': 213, 'value': '2.94'}, {'id': 5064798853, 'qualifierId': 140, 'value': '60.8'}, {'id': 5064798855, 'qualifierId': 141, 'value': '95.4'}];a3eln6gas8765a3pn6ecqjvxm;M. Ouamri;;;d5x5je7kb1uy27cqrgp1xdses;Pass;;;;;;;;;;;95,4;2,94;60,8;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;60,8;95,4;;;;;;;0;0;0;11;New England II;11;FW;1,0
