id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_Captain;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_PassEndY;value_Length;value_Angle;value_Zone;value_PassEndX;value_KickOff;value_IntendedTackleTarget;value_Direct;value_Shove/Push;value_OppositeRelatedEventId;value_Offensive;value_Foul;value_Defensive;value_FreeKickTaken;value_TouchTypePass;value_DeletedEventType;value_LongBall;value_Launch;value_HeadPass;value_ShirtPull/Holding;value_PlayersCaughtOffside;value_Handball;value_Chipped;value_Indirect;value_LayOff;value_LeadingToAttempt;value_RelatedError1Id;value_RightFooted;value_IndividualPlay;value_NotAssisted;value_HighRight;value_RegularPlay;value_OutOfBoxCentre;value_GkY;value_GkX;value_GoalmouthZ;value_GoalmouthY;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnSpace;value_ThroughBall;value_SwitchOfPlay;value_TakeOnOvertake;value_OutOfPlay;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_BlockedPass;value_Left;value_Cross;value_InSwinger;value_CornerTaken;value_HighGkIntervention;value_Head;value_HighClaim;value_KeeperThrow;value_OverArm;value_FlickOn;value_LeadingToGoal;value_IntentionalAssist;value_Assist;value_GkYTimeOfGoal;value_Assisted;value_LowLeft;value_GoalShotTimestamp;value_BoxCentre;value_RelatedEventId;value_GoalShotGameClock;value_BigChance;value_GkXTimeOfGoal;value_BlockedX;value_BlockedY;value_Blocked;value_DefBlock;value_Volley;value_NotPastGoalLine;value_MisHit;value_ThrowInSetPiece;value_Right;value_SwerveRight;value_LeftFooted;value_OutSwinger;value_OverhitCross;value_SmallBoxRight;value_LowRight;value_SixYardBlocked;value_FromCorner;value_CloseLeft;value_AttemptedTackle;value_Defensive1V1;value_YellowCard;value_RecklessOffence;value_MediumGkIntervention;value_GkKickFromHands;value_LowGkIntervention;value_BoxLeft;value_NotVisible;value_Overrun;value_High;value_GkHoof;value_Argument;value_35Right;value_CloseRight;value_LowCentre;value_Minutes;value_VideoCoverageLost;value_FreeKick;value_Diving;value_Hands;value_ParriedSafe;value_CornerNotTaken;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_PenaltyTakerId;value_Penalty;value_Dissent;value_FantasyAssistTeam;value_FantasyAssistedBy;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_FantasyAssistType;value_Scored;value_FastBreak;value_ParriedDanger;value_HighCentre;value_Strong;value_Reaching;value_PullBack;value_OtherObstacle;value_OtherReason;value_RefereeStop;value_BallHitsReferee;value_HitWoodwork;value_HighLeft;value_HitBar;value_SmallBoxLeft;value_SwerveLeft;value_Injury;value_InjuredPlayerId;value_LastLine;value_BlockedCross;value_HitLeftPost;value_BoxRight;value_SecondYellow;value_ViolentConduct;value_RedCard;value_CoachId;value_Standing;value_Collected;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_NewStartTime;value_WeatherProblem;value_OfficiallyAnnounced;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2716785929;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-09-01T22:26:27.239Z;2024-09-01T23:23:43Z;[{'id': 5191613811, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, 6zuton58biybp7ge3mpc17alm, 1h5rgsol19v1pcl5ksstrv9t6, 7e8xkqlux0myjc5cwtb7rega1, cpbyoj822ivx6qrqbkun1zr3d, 87nhafgkozygrd5f06ore0xzo, 6zbb5xiauoixj3clxdgud8lxw, 4cwccglaxz5sf71eptnj6kzfu, 4hdai9za2ls03tjpcw0ahu5wq, a3eln6gas8765a3pn6ecqjvxm, at2xv960peboe9spoag2kn21g, ew3qxbn1ev1qv7wi0iwoc642c, 3a8bghw11ttrstr4jlopadd9m, exunlng0cgo9bpqh4x6jpxyax, 2d3dwhrtafkd1b8q1nzerqew9, b4te1cxogvhtglhug3sdgkmei, adfocor2tbcmxo03ednm8vywa, 9gk1m714ni2m8n26uybsgadey, 82uh6ad46fvub9b0vfapw2vze, 998rlczcxbxeg4ac82lvk0max'}, {'id': 5191613821, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}, {'id': 5191613815, 'qualifierId': 59, 'value': '15, 18, 22, 20, 5, 14, 6, 8, 11, 9, 33, 32, 24, 23, 3, 25, 58, 12, 71, 99'}, {'id': 5191613817, 'qualifierId': 130, 'value': '12'}, {'id': 5191613819, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191613823, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191748967, 'qualifierId': 197, 'value': '23331'}, {'id': 5191613813, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;f1vbiu4xein9vebil7iiape6s;Team set up;;;;12,0;;;23331,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2716786521;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-01T22:28:30.728Z;2024-09-01T23:17:58Z;[{'id': 5191617569, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191617573, 'qualifierId': 59, 'value': '42, 23, 50, 45, 36, 95, 55, 86, 43, 30, 41, 51, 38, 75, 2, 48, 94, 62, 99'}, {'id': 5191617579, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191617587, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191749913, 'qualifierId': 197, 'value': '6108'}, {'id': 5191617585, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5191617567, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, 216tgeofjnxr75ehcftkvxkpg, f69xf0cdfn1qe63t5tr5in10, 6ahu72g0u39bxbjiz7ggefai1, 3uzxhd8g0jnft5xcd59yztm95, 2iz7apzo49byqz0ws65h9d7v8, 7y5v3oex0pnupaahm8arguluc, d5kcfgycj51y6aw82r38sl7o4, 5zeta56pml2qki1q095myhvys, 1b9b97pxox77ia41cilqqm4iy, astn4ytzoaav30ifi17s4dn8, a0wpfy3ac4q8lwyiwvlj6m590, 3lafo3mzfkp2kmf2fj8d6lnv8, bjk2ns3xadow18v3tkvqqrkh6, erjg1qs9modbqfkfiz6picyqx, 8dcbkmm7ktscumo0c6qcpy1p0, 2xkp7vkeqahj9hg171ramritw, ax2y5fvc4dzwn4qkxrfutapsk, eg5gobm8zylt21enud00dfnmy'}, {'id': 5191617575, 'qualifierId': 130, 'value': '8'}];;;;;f1vbiu4xein9vebil7iiape6s;Team set up;;;;8,0;;;6108,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Chattanooga;0;;
2716811667;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-01T23:19:41.584Z;2024-09-01T23:19:44Z;[{'id': 5191757279, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f1vbiu4xein9vebil7iiape6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Chattanooga;0;;
2716811657;3;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-09-01T23:19:41.584Z;2024-09-05T05:32:14Z;[{'id': 5191757239, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f1vbiu4xein9vebil7iiape6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2716811709;4;1;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;50,1;49,7;2024-09-01T23:19:41.585Z;2024-09-05T05:32:20Z;[{'id': 5191757445, 'qualifierId': 141, 'value': '44.3'}, {'id': 5191757447, 'qualifierId': 212, 'value': '8.2'}, {'id': 5191757449, 'qualifierId': 213, 'value': '3.60'}, {'id': 5191757441, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191757443, 'qualifierId': 140, 'value': '43.1'}, {'id': 5191757451, 'qualifierId': 279, 'value': 'S'}];a3eln6gas8765a3pn6ecqjvxm;M. Ouamri;;;f1vbiu4xein9vebil7iiape6s;Pass;;;;;;;;;;44,3;8,2;3,6;;43,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;43,1;44,3;;;;;;;;0;0;0;Atlanta United II;0;FW;1,0
2716811715;5;1;1;0;2;cwnjxlibb02fuh0vwgvac6h45;1;43,1;44,2;2024-09-01T23:19:43.656Z;2024-09-01T23:20:16Z;[{'id': 5191757475, 'qualifierId': 140, 'value': '32.6'}, {'id': 5191757477, 'qualifierId': 141, 'value': '49.1'}, {'id': 5191757481, 'qualifierId': 213, 'value': '2.85'}, {'id': 5191757479, 'qualifierId': 212, 'value': '11.5'}, {'id': 5191757473, 'qualifierId': 56, 'value': 'Back'}];6zbb5xiauoixj3clxdgud8lxw;C. Watson;;;f1vbiu4xein9vebil7iiape6s;Pass;;;;;;;;;;49,1;11,5;2,85;;32,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;32,6;49,1;;;;;;;;0;0;2;Atlanta United II;2;MC;1,0
2716811743;6;1;1;0;3;cwnjxlibb02fuh0vwgvac6h45;1;32,8;49,1;2024-09-01T23:19:44.679Z;2024-09-01T23:19:48Z;[{'id': 5191757645, 'qualifierId': 141, 'value': '19.4'}, {'id': 5191757647, 'qualifierId': 212, 'value': '20.3'}, {'id': 5191757641, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191757649, 'qualifierId': 213, 'value': '4.61'}, {'id': 5191757643, 'qualifierId': 140, 'value': '30.9'}];at2xv960peboe9spoag2kn21g;A. McGrath;;;f1vbiu4xein9vebil7iiape6s;Pass;;;;;;;;;;19,4;20,3;4,61;;30,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;30,9;19,4;;;;;;;;0;0;3;Atlanta United II;3;AMC;1,0
2716811783;7;1;1;0;6;cwnjxlibb02fuh0vwgvac6h45;1;29,4;20,6;2024-09-01T23:19:48.391Z;2024-09-01T23:19:52Z;[{'id': 5191757821, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191757827, 'qualifierId': 212, 'value': '21.6'}, {'id': 5191757825, 'qualifierId': 141, 'value': '48.5'}, {'id': 5191757829, 'qualifierId': 213, 'value': '2.07'}, {'id': 5191757823, 'qualifierId': 140, 'value': '19.5'}];87nhafgkozygrd5f06ore0xzo;F. Sar-Sar;;;f1vbiu4xein9vebil7iiape6s;Pass;;;;;;;;;;48,5;21,6;2,07;;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;19,5;48,5;;;;;;;;0;0;6;Atlanta United II;6;DC;1,0
2716811841;8;1;1;0;10;cwnjxlibb02fuh0vwgvac6h45;1;22,0;49,3;2024-09-01T23:19:52.104Z;2024-09-01T23:19:55Z;[{'id': 5191758125, 'qualifierId': 213, 'value': '1.58'}, {'id': 5191758117, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191758121, 'qualifierId': 141, 'value': '78.8'}, {'id': 5191758123, 'qualifierId': 212, 'value': '20.1'}, {'id': 5191758119, 'qualifierId': 140, 'value': '21.8'}];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;;f1vbiu4xein9vebil7iiape6s;Pass;;;;;;;;;;78,8;20,1;1,58;;21,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;21,8;78,8;;;;;;;;0;0;10;Atlanta United II;10;DC;1,0
2716811865;9;1;1;0;13;cwnjxlibb02fuh0vwgvac6h45;1;23,2;83,2;2024-09-01T23:19:55.512Z;2024-09-01T23:19:57Z;[{'id': 5191758257, 'qualifierId': 213, 'value': '0.74'}, {'id': 5191758255, 'qualifierId': 212, 'value': '12.3'}, {'id': 5191758251, 'qualifierId': 140, 'value': '31.8'}, {'id': 5191758253, 'qualifierId': 141, 'value': '95.4'}, {'id': 5191758249, 'qualifierId': 56, 'value': 'Back'}];7e8xkqlux0myjc5cwtb7rega1;D. Viáfara;;;f1vbiu4xein9vebil7iiape6s;Pass;;;;;;;;;;95,4;12,3;0,74;;31,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;31,8;95,4;;;;;;;;0;0;13;Atlanta United II;13;DC;1,0
