id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Involved;value_Resume;value_Captain;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Angle;value_Zone;value_PassEndX;value_PassEndY;value_Length;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_NextEventThrowIn;value_NotVisible;value_ThrowIn;value_IntendedTackleTarget;value_DeletedEventType;value_FastBreak;value_Assist;value_IntentionalAssist;value_GkXTimeOfGoal;value_FirstTouch;value_GoalmouthZ;value_GkY;value_Assisted;value_LowRight;value_BoxCentre;value_GoalmouthY;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_RelatedEventId;value_GoalShotGameClock;value_LeftFooted;value_GkX;value_Defensive;value_Offensive;value_HeadPass;value_Launch;value_TakeOnSpace;value_FlickOn;value_BlockedPass;value_TakeOnOvertake;value_TouchTypePass;value_Foul;value_AttemptedTackle;value_Direct;value_OutSwinger;value_FreeKickTaken;value_RightFooted;value_Cross;value_BlockedY;value_Left;value_Head;value_SetPiece;value_BlockedX;value_NotPastGoalLine;value_OutOfPlay;value_Right;value_CornerTaken;value_InSwinger;value_NextEventGoalKick;value_Low;value_GoalKick;value_Defensive1V1;value_MediumGkIntervention;value_KeeperThrow;value_IndividualPlay;value_BoxRight;value_RegularPlay;value_Diving;value_ParriedDanger;value_Hands;value_LowGkIntervention;value_TouchTypeClearance;value_AerialFoul;value_LayOff;value_BigChance;value_High;value_OutOfBoxCentre;value_PlayersCaughtOffside;value_Indirect;value_LowCentre;value_Blocked;value_DefBlock;value_PullBack;value_SmallBoxRight;value_ParriedSafe;value_Standing;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_HighGkIntervention;value_HighClaim;value_TouchTypeControl;value_SwitchOfPlay;value_Overrun;value_SwerveLeft;value_FreeKick;value_NotAssisted;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_Obstruction;value_BlockedCross;value_OwnPlayer;value_OverhitCross;value_Shove/Push;value_BoxLeft;value_Minutes;value_Argument;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_SecondYellow;value_Penalty;value_PenaltyTakerId;value_FantasyAssistedBy;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_LowLeft;value_Scored;value_Collected;value_SmallBoxCentre;value_OverArm;value_Sliding;value_OtherBodyPart;value_35Centre;value_ByWall;value_HighRight;value_Volley;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689879701;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-05-19T20:05:55.673Z;2024-05-19T23:27:52Z;[{'id': 5043408153, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043408151, 'qualifierId': 130, 'value': '2'}, {'id': 5043408147, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5043408145, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, o3gftw0hatp1r62ynjmlaaui, 92np3jwhxchmtfeov82ehe13o, 8u0efvao8rym6mdx0tl0h0qac, e2tuar1frliervcr2mnmvfspg, 59kitnlge8bjsxmhy850bsutw, es0bxxdxf6bco25evmg19ic4, 5u3ohty1lsm0fn2ltez4g7o5w, 4akvdujqbywk628gok9xbh2j8, 8y7kqet5swj9dmqama0z5ngus, afqry84j23xgkhqryrontj190, nhhmltlm3ayn7vqmp6etck5w, e23u0x31okggroh6dkoqx5fdg, gz9dek1oxgman9jslfku0zmy, 4gp2d7oltfq4uwzj78gr6q9sk, 8q2wozyqz4nveabn71hc614dm, 65g50zt5gbo1lnrbc7uvwsbo4, e4rpnf90oa672lcm8ego7vllg, ov4fk38lrcculu6tdbnrto2c'}, {'id': 5043408155, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043940559, 'qualifierId': 194, 'value': 'bvtvko74cyeqe297mp6shrf2s'}, {'id': 5043408149, 'qualifierId': 59, 'value': '21, 46, 42, 44, 23, 34, 37, 91, 97, 16, 82, 24, 27, 35, 50, 65, 66, 79, 90'}, {'id': 5043622495, 'qualifierId': 197, 'value': '23373'}];;;;;cx70uz96lren52uvzhybl1lw4;Team set up;;2,0;;;;;;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Cincinnati II;0;;
2689893703;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-05-19T20:24:28.856Z;2024-05-23T14:23:19Z;[{'id': 5043493615, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043493609, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5043493617, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043493607, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 739dnufx6izfhubwow0n1ijxm, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, bfm4xr4ue74v0li53slarf9t6, aw0ngrym0lzn2paoz70wtlgyc, 9asj8t10cvfumot9hr3dprsic, bpr7u1cp7bzt1w2t1tsmru73e, 1ofx4ncf6w5twjbaam5w0mu7e, b82dmhiv5rfrczfcx26cnvo16, 6hq9a0pz5ybc67wdttd54xvbp, 8za8xvdiyduedk2i99bdqv4es, 9enx01mc6yh8oqiat336gfcpg, bh6ncbb98ru6ox5oth7kle51w, 6ihxsnp8rmyvu0xjm4oquxd04'}, {'id': 5043912395, 'qualifierId': 194, 'value': '3fjb8lymm7grc7nqyfpzw1a8k'}, {'id': 5043493611, 'qualifierId': 59, 'value': '25, 42, 45, 34, 38, 96, 41, 49, 77, 44, 43, 46, 30, 40, 48, 55, 61, 64'}, {'id': 5043616797, 'qualifierId': 197, 'value': '23703'}, {'id': 5043493613, 'qualifierId': 130, 'value': '17'}];;;;;cx70uz96lren52uvzhybl1lw4;Team set up;;17,0;;;;;;23703,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2689914709;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-05-19T21:03:34.551Z;2024-05-19T21:03:37Z;[{'id': 5043620355, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cx70uz96lren52uvzhybl1lw4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2689914707;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-05-19T21:03:34.551Z;2024-05-23T10:44:47Z;[{'id': 5043620315, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cx70uz96lren52uvzhybl1lw4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Cincinnati II;0;;
2689914715;3;1;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;50,3;49,7;2024-05-19T21:03:34.552Z;2024-05-19T23:27:38Z;[{'id': 5043620433, 'qualifierId': 279, 'value': 'S'}, {'id': 5043620431, 'qualifierId': 213, 'value': '2.29'}, {'id': 5043620423, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043620425, 'qualifierId': 140, 'value': '47.4'}, {'id': 5043620427, 'qualifierId': 141, 'value': '54.8'}, {'id': 5043620429, 'qualifierId': 212, 'value': '4.6'}];8y7kqet5swj9dmqama0z5ngus;J. Hall;;;cx70uz96lren52uvzhybl1lw4;Pass;;;;;;;;;;;2,29;;47,4;54,8;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;47,4;54,8;;;;;;;;0;0;0;Cincinnati II;0;FW;1,0
2689914719;4;1;1;0;3;4g68p0t2f5jzhzfr67i2rj1ex;1;55,7;48,1;2024-05-19T21:03:38.471Z;2024-05-19T21:59:43Z;[{'id': 5043620495, 'qualifierId': 213, 'value': '5.32'}, {'id': 5043620487, 'qualifierId': 56, 'value': 'Right'}, {'id': 5043620491, 'qualifierId': 141, 'value': '10.3'}, {'id': 5043620489, 'qualifierId': 140, 'value': '72.6'}, {'id': 5043620493, 'qualifierId': 212, 'value': '31.2'}];afqry84j23xgkhqryrontj190;I. Kasule;;;cx70uz96lren52uvzhybl1lw4;Pass;;;;;;;;;;;5,32;;72,6;10,3;31,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;72,6;10,3;;;;;;;;0;0;3;Cincinnati II;3;ML;1,0
2689914731;5;1;1;0;6;4g68p0t2f5jzhzfr67i2rj1ex;1;70,4;15,1;2024-05-19T21:03:40.552Z;2024-05-19T21:03:45Z;[{'id': 5043620583, 'qualifierId': 212, 'value': '27.2'}, {'id': 5043620581, 'qualifierId': 141, 'value': '24.1'}, {'id': 5043620579, 'qualifierId': 140, 'value': '45.2'}, {'id': 5043620577, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043620585, 'qualifierId': 213, 'value': '2.91'}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;;cx70uz96lren52uvzhybl1lw4;Pass;;;;;;;;;;;2,91;;45,2;24,1;27,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;45,2;24,1;;;;;;;;0;0;6;Cincinnati II;6;DR;1,0
2689914739;6;1;1;0;10;4g68p0t2f5jzhzfr67i2rj1ex;1;48,9;26,4;2024-05-19T21:03:45.400Z;2024-05-23T11:34:33Z;[{'id': 5043620655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043620657, 'qualifierId': 140, 'value': '46.5'}, {'id': 5043620659, 'qualifierId': 141, 'value': '53.9'}, {'id': 5043620663, 'qualifierId': 213, 'value': '1.70'}, {'id': 5043620661, 'qualifierId': 212, 'value': '18.9'}];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;;cx70uz96lren52uvzhybl1lw4;Pass;;;;;;;;;;;1,7;;46,5;53,9;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;46,5;53,9;;;;;;;;0;0;10;Cincinnati II;10;DL;1,0
2689914767;7;1;1;0;13;4g68p0t2f5jzhzfr67i2rj1ex;1;46,6;54,6;2024-05-19T21:03:48.056Z;2024-05-19T21:03:57Z;[{'id': 5043620895, 'qualifierId': 212, 'value': '23.4'}, {'id': 5043620899, 'qualifierId': 213, 'value': '1.27'}, {'id': 5043620893, 'qualifierId': 141, 'value': '87.5'}, {'id': 5043620889, 'qualifierId': 56, 'value': 'Left'}, {'id': 5043620891, 'qualifierId': 140, 'value': '53.2'}];59kitnlge8bjsxmhy850bsutw;J. Gutierrez;;;cx70uz96lren52uvzhybl1lw4;Pass;;;;;;;;;;;1,27;;53,2;87,5;23,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;53,2;87,5;;;;;;;;0;0;13;Cincinnati II;13;DC;1,0
2689914781;8;1;1;0;23;4g68p0t2f5jzhzfr67i2rj1ex;1;49,0;87,1;2024-05-19T21:03:57.724Z;2024-05-23T11:35:14Z;[{'id': 5043620991, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043620999, 'qualifierId': 213, 'value': '4.24'}, {'id': 5043620993, 'qualifierId': 140, 'value': '38.0'}, {'id': 5043620995, 'qualifierId': 141, 'value': '54.2'}, {'id': 5043620997, 'qualifierId': 212, 'value': '25.2'}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;cx70uz96lren52uvzhybl1lw4;Pass;;;;;;;;;;;4,24;;38,0;54,2;25,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;38,0;54,2;;;;;;;;0;0;23;Cincinnati II;23;DC;1,0
