id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_Involved;value_Resume;value_TeamKit;value_DirectionOfPlay;value_Angle;value_Length;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_Defensive;value_OppositeRelatedEventId;value_TouchTypeClearance;value_Offensive;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_OutOfPlay;value_DeletedEventType;value_TouchTypeControl;value_SwitchOfPlay;value_OutSwinger;value_Cross;value_RightFooted;value_BlockedCross;value_Assist;value_TakeOnSpace;value_BoxRight;value_CloseHigh;value_Assisted;value_RegularPlay;value_SwerveRight;value_GkX;value_IndividualPlay;value_GkY;value_GoalmouthZ;value_RelatedEventId;value_LeftFooted;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_Low;value_BlockedX;value_LowCentre;value_NotAssisted;value_Blocked;value_BlockedY;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_Handball;value_TakeOnOvertake;value_IntentionalAssist;value_ThroughBall;value_FastBreak;value_CloseLeft;value_1On1;value_BigChance;value_Overrun;value_LowGkIntervention;value_KeeperThrow;value_TouchTypePass;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_LowLeft;value_GoalShotGameClock;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_LayOff;value_InSwinger;value_NotPastGoalLine;value_BoxCentre;value_Head;value_FirstTouch;value_FromCorner;value_PullBack;value_TempBlocked;value_MediumGkIntervention;value_RecklessOffence;value_YellowCard;value_OutOfBoxDeepLeft;value_FreeKick;value_Stooping;value_Hands;value_Collected;value_OverArm;value_OverhitCross;value_FlickOn;value_ShirtPull/Holding;value_Argument;value_Minutes;value_EndType;value_Tactical;value_Shove/Push;value_Defensive1V1;value_TacticalFoul;value_FloatedCross;value_Straight;value_BoxLeft;value_SwerveLeft;value_HighLeft;value_HighGkIntervention;value_HighClaim;value_Penalty;value_PenaltyTakerId;value_LowRight;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistId;value_Diving;value_Scored;value_DrivenCross;value_AerialFoul;value_High;value_Dissent;value_SmallBoxCentre;value_GkKickFromHands;value_ParriedSafe;value_GoesToPenalties;value_HighCentre;value_HitWoodwork;value_HighRight;value_Saved;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665936511;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-03-31T23:03:12.921Z;2024-04-01T00:08:30Z;[{'id': 4913755531, 'qualifierId': 59, 'value': '31, 22, 99, 40, 34, 56, 24, 39, 77, 27, 49, 41, 42, 44, 47, 48, 52, 54, 55'}, {'id': 4913755533, 'qualifierId': 130, 'value': '4'}, {'id': 4913755529, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4913767111, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 4913755537, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913755527, 'qualifierId': 30, 'value': '1o5qnb5ktq4u6t11lj3fqntg, 8qqehla9xvhut6uua4a0zcju2, 1keonaeqvrkqhbw9sjaaxsff8, 38z2cuwmbeanujqho9cqwozmy, dw8iyfupgsqkt8ogxssmtss4q, 8p3y7tm4lzwp39tojonnohaay, 6kfmf44wdx1btf9mwqdmo36z8, ew8oodr9hiuqve7xlz24xznfu, btqe4tigm004n7dj039au2sfe, ajrr99t1qsj4sy5zcx0t5ksgk, 6hh057kb54ovy3lqxo5bvxlhw, 3gzatxlefe9axcrqyllbtrzmc, etyqw24tl6zko0qarctyv6ane, a9w6952jyw6x83gxp94zs8ro4, 28kg6zbpgbb8zrnhidogpxi0a, 1ss7pdaxmlk0sijax5brwpkyy, 2pdh5wkdejywgaf38crbxzims, 63r5yw1u82xzwndp8c6rwvzoq, 86piuxs9tep01rcbsp3t8vx90'}, {'id': 4913755543, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913755541, 'qualifierId': 197, 'value': '23381'}];;;;bytb7hv1ld07ucu44cse2t7o4;Team set up;;4,0;;;;;;23381,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2665937951;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-03-31T23:07:38.947Z;2024-04-01T00:09:54Z;[{'id': 4913762899, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 24rxb4eeoakxkmritog6a7x90, m8clu51iu7443ig9q6vn6fbo, 8f5h44hnjdt4rdflu8qqhx5d6, do2o6ka25talswmmillufejqi, 1pv6xhgaeshfrhzenz7y14glw, er0xm9k5zv8kcvcy7bnwp086i, 6mm2h3x9hmyea3bu2wt80uo7o, 36e17qrefearxp7lxb1eibwbu, 18b4rpeia26xq688ieqaw2z2s, 17ni4ntnt7b6b0bwst3e4djze, b04uukw5ec0mngnwqjih7oqac, 1efr6u06hvhm9drygb9qsi92i, cuxpxs76g96vwhrnhw9rw2ihg, aqfi30ki1v3wczywxu79ufqj8, 1flsu0b92eflc2wkg9m1wwufo, 5reylt0uyetl6qavkvd8inai, baixarx1kvqgs5c8d0v1xd9g4'}, {'id': 4913762911, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913762907, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913762905, 'qualifierId': 130, 'value': '4'}, {'id': 4913762909, 'qualifierId': 197, 'value': '23554'}, {'id': 4913782189, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 4913762901, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4913762903, 'qualifierId': 59, 'value': '31, 32, 42, 36, 43, 44, 18, 70, 27, 77, 91, 39, 48, 49, 51, 52, 55, 82'}];;;;bytb7hv1ld07ucu44cse2t7o4;Team set up;;4,0;;;;;;23554,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2665955831;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-04-01T00:04:53.384Z;2024-04-01T00:04:54Z;[{'id': 4913855229, 'qualifierId': 127, 'value': 'Left to Right'}];;;;bytb7hv1ld07ucu44cse2t7o4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2665955839;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-04-01T00:04:53.384Z;2024-04-05T10:40:15Z;[{'id': 4913855249, 'qualifierId': 127, 'value': 'Right to Left'}];;;;bytb7hv1ld07ucu44cse2t7o4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2665955857;3;1;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;49,8;50,1;2024-04-01T00:04:53.385Z;2024-04-01T00:04:58Z;[{'id': 4913855353, 'qualifierId': 213, 'value': '3.00'}, {'id': 4913855351, 'qualifierId': 212, 'value': '23.4'}, {'id': 4913855347, 'qualifierId': 140, 'value': '27.7'}, {'id': 4913855349, 'qualifierId': 141, 'value': '54.9'}, {'id': 4913855355, 'qualifierId': 279, 'value': 'S'}, {'id': 4913855343, 'qualifierId': 56, 'value': 'Back'}];ajrr99t1qsj4sy5zcx0t5ksgk;K. Stewart-Baynes;;bytb7hv1ld07ucu44cse2t7o4;Pass;;;;;;;;;;3,0;23,4;27,7;54,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;27,7;54,9;;;;;;;;0;0;0;Los Angeles II;0;FWR;1,0
2665955875;4;1;1;0;3;iiolvosiuokkrl5iuoxcjo4p;0;33,1;51,7;2024-04-01T00:04:57.354Z;2024-04-05T06:37:45Z;[{'id': 4913855459, 'qualifierId': 141, 'value': '72.2'}, {'id': 4913855455, 'qualifierId': 56, 'value': 'Center'}, {'id': 4913855463, 'qualifierId': 213, 'value': '0.34'}, {'id': 4913855461, 'qualifierId': 212, 'value': '41.9'}, {'id': 4913855457, 'qualifierId': 140, 'value': '70.7'}, {'id': 4913855465, 'qualifierId': 1}, {'id': 4922518423, 'qualifierId': 157}];dw8iyfupgsqkt8ogxssmtss4q;M. Edwards;;bytb7hv1ld07ucu44cse2t7o4;Pass;;;;;;;;;;0,34;41,9;70,7;72,2;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;70,7;72,2;;;;;;;;0;0;3;Los Angeles II;3;DL;1,0
2665955915;3;1;1;0;7;6gaq85erpkvbyxvivd96wuw44;0;22,1;30,9;2024-04-01T00:05:01.093Z;2024-04-01T00:53:31Z;[{'id': 4913855595, 'qualifierId': 3}, {'id': 4913855605, 'qualifierId': 213, 'value': '5.98'}, {'id': 4913855601, 'qualifierId': 141, 'value': '8.8'}, {'id': 4913855603, 'qualifierId': 212, 'value': '51.1'}, {'id': 4913855599, 'qualifierId': 140, 'value': '68.6'}, {'id': 4913855597, 'qualifierId': 56, 'value': 'Right'}, {'id': 4913855607, 'qualifierId': 1}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;bytb7hv1ld07ucu44cse2t7o4;Pass;;;;;;;;;;5,98;51,1;68,6;8,8;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;68,6;8,8;;;;;;;;0;0;7;Colorado Rapids II;7;MC;1,0
2665955927;5;1;1;0;10;iiolvosiuokkrl5iuoxcjo4p;1;45,0;75,6;2024-04-01T00:05:03.970Z;2024-04-01T00:05:06Z;[{'id': 4913855653, 'qualifierId': 213, 'value': '2.70'}, {'id': 4913855651, 'qualifierId': 212, 'value': '15.9'}, {'id': 4913855645, 'qualifierId': 56, 'value': 'Back'}, {'id': 4913855649, 'qualifierId': 141, 'value': '85.5'}, {'id': 4913855647, 'qualifierId': 140, 'value': '31.3'}];1keonaeqvrkqhbw9sjaaxsff8;J. Travis;;bytb7hv1ld07ucu44cse2t7o4;Pass;;;;;;;;;;2,7;15,9;31,3;85,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;31,3;85,5;;;;;;;;0;0;10;Los Angeles II;10;DC;1,0
2665955959;6;1;1;0;13;iiolvosiuokkrl5iuoxcjo4p;1;30,1;83,3;2024-04-01T00:05:06.410Z;2024-04-01T00:05:11Z;[{'id': 4913855813, 'qualifierId': 212, 'value': '23.2'}, {'id': 4913855811, 'qualifierId': 141, 'value': '63.0'}, {'id': 4913855815, 'qualifierId': 213, 'value': '3.78'}, {'id': 4913855809, 'qualifierId': 140, 'value': '12.3'}, {'id': 4913855807, 'qualifierId': 56, 'value': 'Back'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;bytb7hv1ld07ucu44cse2t7o4;Pass;;;;;;;;;;3,78;23,2;12,3;63,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;12,3;63,0;;;;;;;;0;0;13;Los Angeles II;13;DC;1,0
2665956009;7;1;1;0;18;iiolvosiuokkrl5iuoxcjo4p;1;11,1;58,7;2024-04-01T00:05:11.674Z;2024-04-01T00:05:18Z;[{'id': 4913856019, 'qualifierId': 1}, {'id': 4913856011, 'qualifierId': 212, 'value': '32.3'}, {'id': 4913856007, 'qualifierId': 140, 'value': '32.2'}, {'id': 4913856015, 'qualifierId': 213, 'value': '0.82'}, {'id': 4913856005, 'qualifierId': 56, 'value': 'Back'}, {'id': 4913856009, 'qualifierId': 141, 'value': '93.3'}, {'id': 4913856003, 'qualifierId': 155}];1o5qnb5ktq4u6t11lj3fqntg;A. Beaudry;;bytb7hv1ld07ucu44cse2t7o4;Pass;;;;;;;;;;0,82;32,3;32,2;93,3;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;32,2;93,3;;;;;;;;0;0;18;Los Angeles II;18;GK;1,0
