id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_Involved;value_TeamKit;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_DeletedEventType;value_PassEndX;value_Length;value_Angle;value_PassEndY;value_KickOff;value_LongBall;value_Launch;value_IntendedTackleTarget;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_TouchTypeControl;value_Defensive;value_TouchTypePass;value_Straight;value_DrivenCross;value_RightFooted;value_Cross;value_NotVisible;value_LeftFooted;value_OutSwinger;value_HeadPass;value_LayOff;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_NotAssisted;value_BigChance;value_GkX;value_GkY;value_GoalmouthY;value_GoalmouthZ;value_FantasyAssistId;value_GoalShotGameClock;value_LowCentre;value_GoalShotTimestamp;value_FirstTouch;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_RegularPlay;value_SmallBoxCentre;value_FantasyAssistTeam;value_FantasyAssistedBy;value_FantasyAssistType;value_OutOfPlay;value_TouchTypeClearance;value_Overrun;value_AttemptedTackle;value_MediumGkIntervention;value_KeeperThrow;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnOvertake;value_Defensive1V1;value_SixYardBlocked;value_FreeKick;value_BlockedX;value_OutOfBoxDeepRight;value_Blocked;value_BlockedY;value_LowLeft;value_DefBlock;value_Left;value_Right;value_InSwinger;value_CornerTaken;value_HighGkIntervention;value_OutOfBoxCentre;value_SavedOffLine;value_FromCorner;value_Volley;value_LastLine;value_BoxCentre;value_LowRight;value_BlockedPass;value_BlockedCross;value_ShirtPull/Holding;value_RelatedEventId;value_YellowCard;value_TacticalFoul;value_IncorrectOutOfPlayDecision;value_IntentionalAssist;value_Assist;value_Assisted;value_NotPastGoalLine;value_Head;value_Handball;value_OtherObstacle;value_RefereeDelay;value_OtherReason;value_BallHitsReferee;value_LeadingToGoal;value_1On1;value_BoxRight;value_RelatedError1Id;value_ThroughBall;value_IndividualPlay;value_BoxDeepLeft;value_Hands;value_Diving;value_ParriedDanger;value_Minutes;value_HighRight;value_ThrowInSetPiece;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_PullBack;value_2NdAssist;value_2NdAssisted;value_2NdRelatedEventId;value_OverhitCross;value_LeadingToAttempt;value_Collected;value_LowGkIntervention;value_FlickOn;value_SwerveRight;value_FastBreak;value_High;value_Stooping;value_InjuredPlayerId;value_Injury;value_RecklessOffence;value_FloatedCross;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708409815;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-12T01:05:03.160Z;2024-08-20T06:32:28Z;[{'id': 5145479427, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145479419, 'qualifierId': 59, 'value': '29, 85, 31, 37, 35, 39, 93, 77, 95, 80, 90, 32, 83, 81, 96, 30, 97, 36'}, {'id': 5145479415, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 2iusvkm9t8r1widsfvbesnjf8, 7zr3gif60ntltgt3s5yi6qjca, ez0t0pl5qxy0sa3zp1l77sjro, dil2b9u1omrsdbxba5swbe9gq, e1e506479mqo8j3geie6amuj8, 4dji8lgdl3psnfchdwpllvod0, 8khtu1w0lp1f5d5t4zmfxiei, 3y5rrahty1k0l1hnww3bcozmy, 5jal3zhkwodffivsq89wfd15g, s9a51dj3nkad2e53b2jbgl5g, 4s56s6f9nw96wergw7ix5zp0q, e2t6sxwsa5ll4zvsxh96512zu, b0xuwec3m6rvxwx7gygv34o6i, 3007iihmvmlzgpgtxri3v3hg4, 5rcj1mef6u2jbosy1urou0d7t, do5nsl65m35sog9vcp0j3kbh0, 9fbj8njpn0q6j87le4rnafjf8'}, {'id': 5145479425, 'qualifierId': 197, 'value': '3515'}, {'id': 5145479417, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145592477, 'qualifierId': 194, 'value': 'dil2b9u1omrsdbxba5swbe9gq'}, {'id': 5145479423, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145479421, 'qualifierId': 130, 'value': '8'}];;;;;enswumy4bzfogye70d9a11atw;Team set up;;;;3515,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2708411355;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-12T01:13:29.955Z;2024-08-14T15:39:05Z;[{'id': 5145488777, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145488769, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145488767, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, 48vc423tkz4mx7oql1ahqneac, asy97zdxk0352toy38huzk222, bxnegxnynd1glae8g0vfigfvu, 1z750xyx7stmv6uf51h1y6ehh, f5cmlyf69p88bb6qabbjhris5, 72xq9zy27facbbowtwsuzw0lw, 3wkej06590b61lyqm7vt1kwes, eswp4t4r8ktirsnkodz26gyui, 6kpb5yyfk2ifjgtfkspb8xwd0, 17x0wwjg47boyx7jua6vqf0gk, 9p86jgzpsokma52ifxswk4woa, 2ig362xub2syd45v3usgymbkk, 5gl31qop7zlj9mfbtolvj7xuc, 5gg2mxmy9ff40oku3s09gavl6, aqqbh1ugeh2f8jjiq8fu2qwru, dzo2odov052991qseshgfruju, ahl3kfbfeubf6zfl7x8qrlm38, 8y2nsfsangmn1qa389y25b76c, tw82u87mw6kggtjblt1hhdzo'}, {'id': 5145488775, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145556957, 'qualifierId': 194, 'value': 'bxnegxnynd1glae8g0vfigfvu'}, {'id': 5145542375, 'qualifierId': 197, 'value': '8379'}, {'id': 5145488773, 'qualifierId': 130, 'value': '8'}, {'id': 5145488771, 'qualifierId': 59, 'value': '95, 51, 33, 92, 20, 30, 72, 81, 28, 77, 12, 99, 57, 37, 32, 27, 41, 42, 40, 39'}];;;;;enswumy4bzfogye70d9a11atw;Team set up;;;;8379,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2708420725;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-12T02:04:50.587Z;2024-08-20T06:31:25Z;[{'id': 5145543015, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;enswumy4bzfogye70d9a11atw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2708420731;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-12T02:04:50.587Z;2024-08-12T02:07:16Z;[{'id': 5145543045, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;enswumy4bzfogye70d9a11atw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2708420741;3;43;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-12T02:04:50.588Z;2024-08-12T02:20:39Z;[{'id': 5145543091, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145560703, 'qualifierId': 144, 'value': '1'}, {'id': 5145543093, 'qualifierId': 140, 'value': '69.2'}, {'id': 5145543097, 'qualifierId': 212, 'value': '22.2'}, {'id': 5145543099, 'qualifierId': 213, 'value': '5.84'}, {'id': 5145543095, 'qualifierId': 141, 'value': '36.1'}];8khtu1w0lp1f5d5t4zmfxiei;S. Kitahara;;;enswumy4bzfogye70d9a11atw;Deleted event;;;;;;;;;;;1,0;69,2;22,2;5,84;36,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;69,2;36,1;;;;;;;0;0;0;0;Real Monarchs;0;MC;1,0
2708420735;3;1;1;0;1;cbip96wzs3jc2xadoluhhxotl;1;50,0;50,0;2024-08-12T02:04:51.588Z;2024-08-12T02:20:47Z;[{'id': 5145543069, 'qualifierId': 213, 'value': '3.05'}, {'id': 5145543061, 'qualifierId': 140, 'value': '32.1'}, {'id': 5145543059, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145543063, 'qualifierId': 141, 'value': '52.5'}, {'id': 5145543067, 'qualifierId': 212, 'value': '18.9'}, {'id': 5145543071, 'qualifierId': 279, 'value': 'S'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;enswumy4bzfogye70d9a11atw;Pass;;;;;;;;;;;;32,1;18,9;3,05;52,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;32,1;52,5;;;;;;;0;0;0;1;Tacoma Defiance;1;MC;1,0
2708420745;4;1;1;0;3;cbip96wzs3jc2xadoluhhxotl;0;31,7;52,2;2024-08-12T02:04:54.540Z;2024-08-12T02:27:08Z;[{'id': 5145543141, 'qualifierId': 1}, {'id': 5145543131, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145543133, 'qualifierId': 140, 'value': '79.8'}, {'id': 5145565359, 'qualifierId': 157}, {'id': 5145543137, 'qualifierId': 212, 'value': '58.0'}, {'id': 5145543139, 'qualifierId': 213, 'value': '5.77'}, {'id': 5145543135, 'qualifierId': 141, 'value': '10.3'}];1z750xyx7stmv6uf51h1y6ehh;E. Holt;;;enswumy4bzfogye70d9a11atw;Pass;;;;;;;;;;;;79,8;58,0;5,77;10,3;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;79,8;10,3;;;;;;;0;0;0;3;Tacoma Defiance;3;DL;1,0
2708420743;4;49;1;0;4;5icuo8utnztpsd9l03gdd68dl;1;25,5;94,6;2024-08-12T02:04:54.968Z;2024-08-14T08:26:54Z;[];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;enswumy4bzfogye70d9a11atw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;4;Real Monarchs;4;DC;1,0
2708429111;510;83;1;0;5;cbip96wzs3jc2xadoluhhxotl;0;78,7;6,4;2024-08-12T02:04:55.587Z;2024-08-12T04:29:09Z;[{'id': 5145630921, 'qualifierId': 399, 'value': '7zr3gif60ntltgt3s5yi6qjca'}];72xq9zy27facbbowtwsuzw0lw;Z. Gozo;;;enswumy4bzfogye70d9a11atw;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;5;Tacoma Defiance;5;AMR;1,0
2708420769;5;1;1;0;6;5icuo8utnztpsd9l03gdd68dl;0;20,8;89,3;2024-08-12T02:04:57.368Z;2024-08-12T04:26:22Z;[{'id': 5145543293, 'qualifierId': 213, 'value': '0.14'}, {'id': 5145543291, 'qualifierId': 212, 'value': '16.0'}, {'id': 5145543287, 'qualifierId': 140, 'value': '35.9'}, {'id': 5145586077, 'qualifierId': 155}, {'id': 5145543289, 'qualifierId': 141, 'value': '92.6'}, {'id': 5145543285, 'qualifierId': 56, 'value': 'Back'}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;enswumy4bzfogye70d9a11atw;Pass;;;;;;;;;;;;35,9;16,0;0,14;92,6;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;35,9;92,6;;;;;;;0;0;0;6;Real Monarchs;6;DC;1,0
