id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamKit;value_Captain;value_PlayerPosition;value_Resume;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_Zone;value_Length;value_Angle;value_PassEndY;value_PassEndX;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TouchTypeControl;value_TakeOnOvertake;value_DeletedEventType;value_Direct;value_Foul;value_Shove/Push;value_NextEventThrowIn;value_FreeKickTaken;value_Chipped;value_TouchTypeClearance;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_NotVisible;value_AttemptedTackle;value_ThroughBall;value_RegularPlay;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_GoalShotTimestamp;value_LeftFooted;value_Assisted;value_GkY;value_GoalmouthY;value_BoxCentre;value_BigChance;value_GkX;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_LowCentre;value_FirstTouch;value_GoalShotGameClock;value_RelatedEventId;value_LayOff;value_OutOfBoxCentre;value_IndividualPlay;value_High;value_RightFooted;value_NextEventGoalKick;value_GoalKick;value_ThrowIn;value_OutOfPlay;value_Indirect;value_TouchTypePass;value_ShirtPull/Holding;value_Left;value_CornerTaken;value_BlockedPass;value_Head;value_OutSwinger;value_Cross;value_BlockedCross;value_InSwinger;value_Handball;value_LowGkIntervention;value_KeeperThrow;value_SwitchOfPlay;value_TakeOnSpace;value_AerialFoul;value_Low;value_CloseRight;value_PullBack;value_CloseLeft;value_Defensive1V1;value_YellowCard;value_Argument;value_BlockedX;value_Blocked;value_FreeKick;value_NotAssisted;value_BlockedY;value_DefBlock;value_ByWall;value_InjuredPlayerId;value_Injury;value_MediumGkIntervention;value_GkHoof;value_SmallBoxCentre;value_LowLeft;value_HighClaim;value_HighGkIntervention;value_Right;value_Minutes;value_Straight;value_FloatedCross;value_Sliding;value_Feet;value_ParriedDanger;value_EndType;value_Volley;value_LowRight;value_SixYardBlocked;value_BoxRight;value_Stooping;value_Hands;value_SmallBoxRight;value_Deflection;value_Diving;value_Fumble;value_HighCentre;value_Collected;value_NotPastGoalLine;value_BoxLeft;value_FromShotOffTarget;value_Dissent;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_OverArm;value_FastBreak;value_FromCorner;value_Standing;value_Overrun;value_OtherObstacle;value_BallHitsReferee;value_ParriedSafe;value_HighRight;value_TacticalFoul;value_GoesToPenalties;value_Penalty;value_HitWoodwork;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_KeeperTouched;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2682585421;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-05-04T20:16:37.546Z;2024-05-04T21:04:19Z;[{'id': 5003893651, 'qualifierId': 197, 'value': '23330'}, {'id': 5003734035, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}, {'id': 5003734027, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5003734039, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5003734025, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, 1h5rgsol19v1pcl5ksstrv9t6, 2d3dwhrtafkd1b8q1nzerqew9, 4cwccglaxz5sf71eptnj6kzfu, cpbyoj822ivx6qrqbkun1zr3d, 7e8xkqlux0myjc5cwtb7rega1, 4hdai9za2ls03tjpcw0ahu5wq, b4te1cxogvhtglhug3sdgkmei, a3eln6gas8765a3pn6ecqjvxm, at2xv960peboe9spoag2kn21g, adfocor2tbcmxo03ednm8vywa, jb43adjmhnwysrrwwmvuojfu, 9pnleeb8crwe625807assjkk, 5m8hxfvza21t4wfe6v0a18etw, 9gk1m714ni2m8n26uybsgadey, 87nhafgkozygrd5f06ore0xzo, 246vnjq690m4ju1wkfrezlql1, 3a8bghw11ttrstr4jlopadd9m, ew3qxbn1ev1qv7wi0iwoc642c, 82uh6ad46fvub9b0vfapw2vze'}, {'id': 5003734033, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5003734029, 'qualifierId': 59, 'value': '15, 22, 3, 8, 5, 20, 11, 25, 9, 33, 58, 2, 7, 10, 12, 14, 19, 24, 32, 71'}, {'id': 5003734031, 'qualifierId': 130, 'value': '8'}];;;;;cm8b3670jp7hdcqioiu7a3or8;Team set up;23330,0;;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;0;Orlando City B;0;;
2682586419;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-04T20:18:10.077Z;2024-05-04T21:01:41Z;[{'id': 5003887611, 'qualifierId': 197, 'value': '16418'}, {'id': 5003740107, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5003740097, 'qualifierId': 30, 'value': 'c2j0af3amobjhnadwf8cucbca, 37uh4n2zngcixlzo8vnk50vtg, 4ulfw4ik3i6ks2t7utgek5l3o, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, aa4v8xfn3ra4digk5h7gdrbze, 9bv0zjyrsopyv3hw8m47sgr9w, 7tpb4dk9meee0utyu4cosnxn8, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, cqlc423f6bid2uy3togwkvlgq, 6g7i7z6m8vts105dny1g6z3hm, 2meqkx9av039q3cvedrp6jg4q, c2b6h5zwjvzdvdcybyuqd6exg, brzi1qy5hkx7zhxhjykg8ox78, 595bi39ikp8s9sfw6q5981mvo, 25rizu4n91uyax4z6l5jv6dqs, 9g0pycttkbuyuetispcb2hij8, 8h2vywep73yn25kus2nda8ga2'}, {'id': 5003740103, 'qualifierId': 130, 'value': '8'}, {'id': 5003740105, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5003740101, 'qualifierId': 59, 'value': '50, 96, 64, 53, 54, 68, 32, 56, 23, 49, 34, 28, 30, 48, 59, 66, 62, 95, 97, 99'}, {'id': 5003740109, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5003740099, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cm8b3670jp7hdcqioiu7a3or8;Team set up;16418,0;;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;0;Chattanooga;0;;
2682615327;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-05-04T21:04:45.644Z;2024-05-10T07:24:04Z;[{'id': 5003894717, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cm8b3670jp7hdcqioiu7a3or8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;0;Orlando City B;0;;
2682615319;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-04T21:04:45.644Z;2024-05-04T21:04:45Z;[{'id': 5003894673, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cm8b3670jp7hdcqioiu7a3or8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;0;Chattanooga;0;;
2682615333;3;1;1;0;1;cwnjxlibb02fuh0vwgvac6h45;1;49,9;50,0;2024-05-04T21:04:46.976Z;2024-05-10T07:24:26Z;[{'id': 5003894767, 'qualifierId': 279, 'value': 'S'}, {'id': 5003894757, 'qualifierId': 56, 'value': 'Back'}, {'id': 5003894763, 'qualifierId': 212, 'value': '21.6'}, {'id': 5003894765, 'qualifierId': 213, 'value': '3.74'}, {'id': 5003894761, 'qualifierId': 141, 'value': '32.2'}, {'id': 5003894759, 'qualifierId': 140, 'value': '32.9'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;cm8b3670jp7hdcqioiu7a3or8;Pass;;;;;;;;;;;;21,6;3,74;32,2;32,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;32,9;32,2;;;;;;;;0;0;1;Orlando City B;1;MC;1,0
2682615397;4;1;1;0;4;cwnjxlibb02fuh0vwgvac6h45;0;33,6;35,7;2024-05-04T21:04:49.840Z;2024-05-04T21:04:56Z;[{'id': 5003895167, 'qualifierId': 157}, {'id': 5003895177, 'qualifierId': 213, 'value': '0.55'}, {'id': 5003895173, 'qualifierId': 141, 'value': '79.0'}, {'id': 5003895175, 'qualifierId': 212, 'value': '56.7'}, {'id': 5003895169, 'qualifierId': 56, 'value': 'Left'}, {'id': 5003895171, 'qualifierId': 140, 'value': '79.7'}, {'id': 5003895179, 'qualifierId': 1}];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;;cm8b3670jp7hdcqioiu7a3or8;Pass;;;;;;;;;;;;56,7;0,55;79,0;79,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;79,7;79,0;;;;;;;;0;0;4;Orlando City B;4;DL;1,0
2682615379;3;44;1;0;7;479lsfr4cwlzewpbuda3y2xv4;1;19,2;23,8;2024-05-04T21:04:53.372Z;2024-05-04T21:04:57Z;[{'id': 5003895077, 'qualifierId': 56, 'value': 'Back'}, {'id': 5003895079, 'qualifierId': 285}, {'id': 5003895217, 'qualifierId': 233, 'value': '5'}];ex99a6zbacpkkhgvynu80qpzo;N. Kibunguchy;;;cm8b3670jp7hdcqioiu7a3or8;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;7;Chattanooga;7;DL;1,0
2682615399;5;44;1;0;7;cwnjxlibb02fuh0vwgvac6h45;0;80,8;76,2;2024-05-04T21:04:53.373Z;2024-05-04T21:55:08Z;[{'id': 5003895239, 'qualifierId': 233, 'value': '3'}, {'id': 5003895183, 'qualifierId': 56, 'value': 'Center'}, {'id': 5003895185, 'qualifierId': 286}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;cm8b3670jp7hdcqioiu7a3or8;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;7;Orlando City B;7;AML;1,0
2682615389;4;1;1;0;8;479lsfr4cwlzewpbuda3y2xv4;0;18,0;26,7;2024-05-04T21:04:53.772Z;2024-05-04T21:04:54Z;[{'id': 5003895135, 'qualifierId': 213, 'value': '6.00'}, {'id': 5003895127, 'qualifierId': 56, 'value': 'Back'}, {'id': 5003895131, 'qualifierId': 141, 'value': '21.9'}, {'id': 5003895125, 'qualifierId': 3}, {'id': 5003895133, 'qualifierId': 212, 'value': '11.6'}, {'id': 5003895129, 'qualifierId': 140, 'value': '28.6'}];ex99a6zbacpkkhgvynu80qpzo;N. Kibunguchy;;;cm8b3670jp7hdcqioiu7a3or8;Pass;;;;;;;;;;;;11,6;6,0;21,9;28,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;28,6;21,9;;;;;;;;0;0;8;Chattanooga;8;DL;1,0
2682615421;6;50;1;0;10;cwnjxlibb02fuh0vwgvac6h45;1;71,6;81,1;2024-05-04T21:04:55.986Z;2024-05-10T07:33:36Z;[{'id': 5003895277, 'qualifierId': 286}, {'id': 5003895325, 'qualifierId': 233, 'value': '5'}, {'id': 5003895275, 'qualifierId': 56, 'value': 'Left'}];2d3dwhrtafkd1b8q1nzerqew9;J. Pérez;;;cm8b3670jp7hdcqioiu7a3or8;Dispossessed;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;10;Orlando City B;10;DC;1,0
