id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_Resume;value_TeamKit;value_Involved;value_DeletedEventType;value_VideoCoverageLost;value_DirectionOfPlay;value_Angle;value_PassEndY;value_KickOff;value_Zone;value_Length;value_PassEndX;value_Minutes;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_IntendedTackleTarget;value_Chipped;value_Assist;value_GoalmouthZ;value_RelatedEventId;value_GkY;value_IndividualPlay;value_Left;value_GkX;value_RegularPlay;value_Assisted;value_GoalmouthY;value_LeftFooted;value_BoxRight;value_SwerveRight;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnOvertake;value_Defensive1V1;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_OutOfPlay;value_TouchTypePass;value_PlayersCaughtOffside;value_Indirect;value_Head;value_NotVisible;value_BlockedX;value_LowCentre;value_RightFooted;value_BlockedY;value_Feet;value_LowGkIntervention;value_Sliding;value_ParriedDanger;value_FirstTouch;value_SwerveLeft;value_FantasyAssistTeam;value_Deflection;value_GoalShotGameClock;value_NotAssisted;value_FantasyAssistedBy;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_FantasyAssistType;value_LowLeft;value_FantasyAssistId;value_GkYTimeOfGoal;value_KeeperThrow;value_LayOff;value_BlockedPass;value_Cross;value_OutSwinger;value_ShirtPull/Holding;value_TakeOnSpace;value_MediumGkIntervention;value_SwitchOfPlay;value_IntentionalAssist;value_OutOfBoxCentre;value_Shove/Push;value_LeadingToGoal;value_FollowsADribble;value_HighRight;value_AerialFoul;value_FlickOn;value_Right;value_CornerTaken;value_Handball;value_InSwinger;value_ThroughBall;value_BoxCentre;value_BigChance;value_FastBreak;value_1On1;value_OverArm;value_SetPiece;value_Volley;value_SmallBoxCentre;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Overrun;value_CloseRightAndHigh;value_CaptainChange;value_BlockedClearance;value_BoxLeft;value_HighGkIntervention;value_HighClaim;value_YellowCard;value_TacticalFoul;value_Blocked;value_SixYardBlocked;value_DefBlock;value_Collected;value_Stooping;value_Hands;value_PullBack;value_OutOfBoxDeepLeft;value_BlockedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2687876229;4;1;1;0;7;6ubc4y1v6hr63mca7ica4hp90;0;21,9;17,1;2024-05-16T00:17:05.909Z;2024-05-21T10:27:05Z;[{'id': 5032524833, 'qualifierId': 141, 'value': '15.6'}, {'id': 5032524837, 'qualifierId': 213, 'value': '6.22'}, {'id': 5032524835, 'qualifierId': 212, 'value': '17.3'}, {'id': 5032524829, 'qualifierId': 56, 'value': 'Back'}, {'id': 5032524831, 'qualifierId': 140, 'value': '38.3'}, {'id': 5032524827, 'qualifierId': 3}];exk9svcdgcbn05ms00fhorvv8;J. Neeley;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;6,22;15,6;;;17,3;38,3;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;38,3;15,6;;;;;;;0;0;0;7;Chattanooga;7;DR;1,0
2687876265;7;1;1;0;12;cwnjxlibb02fuh0vwgvac6h45;1;62,4;75,6;2024-05-16T00:17:10.743Z;2024-05-16T01:11:19Z;[{'id': 5032525013, 'qualifierId': 140, 'value': '66.1'}, {'id': 5032525017, 'qualifierId': 212, 'value': '9.7'}, {'id': 5032525019, 'qualifierId': 213, 'value': '1.16'}, {'id': 5032525015, 'qualifierId': 141, 'value': '88.6'}, {'id': 5032525009, 'qualifierId': 3}, {'id': 5032525011, 'qualifierId': 56, 'value': 'Left'}];4cwccglaxz5sf71eptnj6kzfu;A. Jiménez;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;1,16;88,6;;;9,7;66,1;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;66,1;88,6;;;;;;;0;0;0;12;Crown Legacy;12;MC;1,0
2687876273;8;1;1;0;13;cwnjxlibb02fuh0vwgvac6h45;0;66,8;93,2;2024-05-16T00:17:11.633Z;2024-05-16T02:24:55Z;[{'id': 5032525051, 'qualifierId': 212, 'value': '3.2'}, {'id': 5032525055, 'qualifierId': 1}, {'id': 5032525045, 'qualifierId': 56, 'value': 'Left'}, {'id': 5032525049, 'qualifierId': 141, 'value': '92.0'}, {'id': 5032525047, 'qualifierId': 140, 'value': '69.7'}, {'id': 5032525043, 'qualifierId': 157}, {'id': 5032525053, 'qualifierId': 213, 'value': '6.02'}];2d3dwhrtafkd1b8q1nzerqew9;J. Pérez;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;6,02;92,0;;;3,2;69,7;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;69,7;92,0;;;;;;;0;0;0;13;Crown Legacy;13;DC;1,0
2687876261;5;61;1;0;13;6ubc4y1v6hr63mca7ica4hp90;1;31,7;4,9;2024-05-16T00:17:11.978Z;2024-05-16T00:17:12Z;[{'id': 5032524979, 'qualifierId': 56, 'value': 'Left'}];ds4avrkvrp4jxq9lp02ssci22;N. Scardina;;;cu6z12tr59ds3suh4k5w7zwgk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;0;0;0;13;Chattanooga;13;FWR;1,0
2687904183;361;1;1;0;14;6ubc4y1v6hr63mca7ica4hp90;1;31,1;6,7;2024-05-16T00:17:12.324Z;2024-05-16T01:09:59Z;[{'id': 5032676667, 'qualifierId': 3}, {'id': 5032676669, 'qualifierId': 56, 'value': 'Back'}, {'id': 5032676677, 'qualifierId': 213, 'value': '0.20'}, {'id': 5032676673, 'qualifierId': 141, 'value': '9.5'}, {'id': 5032676671, 'qualifierId': 140, 'value': '39.9'}, {'id': 5032676675, 'qualifierId': 212, 'value': '9.4'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;0,2;9,5;;;9,4;39,9;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;39,9;9,5;;;;;;;0;0;0;14;Chattanooga;14;MC;1,0
2687905625;575;83;1;0;16;cwnjxlibb02fuh0vwgvac6h45;0;61,4;88,3;2024-05-16T00:17:14.324Z;2024-05-16T01:18:02Z;[{'id': 5032706999, 'qualifierId': 399, 'value': '1dk0bdadfdnycriqp8u21ulpm'}];4cwccglaxz5sf71eptnj6kzfu;A. Jiménez;;;cu6z12tr59ds3suh4k5w7zwgk;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;16;Crown Legacy;16;MC;1,0
2687876313;6;49;1;0;19;6ubc4y1v6hr63mca7ica4hp90;1;31,0;6,7;2024-05-16T00:17:17.748Z;2024-05-16T00:17:17Z;[];1dk0bdadfdnycriqp8u21ulpm;B. Bender;;;cu6z12tr59ds3suh4k5w7zwgk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;0;0;0;19;Chattanooga;19;MC;1,0
2687904491;362;1;1;0;21;6ubc4y1v6hr63mca7ica4hp90;1;31,2;14,3;2024-05-16T00:17:19.324Z;2024-05-16T01:10:23Z;[{'id': 5032678425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5032678437, 'qualifierId': 213, 'value': '2.26'}, {'id': 5032678433, 'qualifierId': 141, 'value': '38.3'}, {'id': 5032678435, 'qualifierId': 212, 'value': '21.1'}, {'id': 5032678429, 'qualifierId': 140, 'value': '18.5'}];1dk0bdadfdnycriqp8u21ulpm;B. Bender;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;2,26;38,3;;;21,1;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;18,5;38,3;;;;;;;0;0;0;21;Chattanooga;21;MC;1,0
2687904985;363;1;1;0;24;6ubc4y1v6hr63mca7ica4hp90;1;20,7;29,7;2024-05-16T00:17:22.324Z;2024-05-16T01:11:00Z;[{'id': 5032681017, 'qualifierId': 140, 'value': '23.2'}, {'id': 5032681019, 'qualifierId': 141, 'value': '74.8'}, {'id': 5032681023, 'qualifierId': 213, 'value': '1.49'}, {'id': 5032681015, 'qualifierId': 56, 'value': 'Back'}, {'id': 5032681021, 'qualifierId': 212, 'value': '30.8'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;1,49;74,8;;;30,8;23,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;23,2;74,8;;;;;;;0;0;0;24;Chattanooga;24;DL;1,0
2687905305;364;1;1;0;27;6ubc4y1v6hr63mca7ica4hp90;1;22,3;73,6;2024-05-16T00:17:25.324Z;2024-05-16T01:11:24Z;[{'id': 5032682833, 'qualifierId': 213, 'value': '4.23'}, {'id': 5032682831, 'qualifierId': 212, 'value': '18.3'}, {'id': 5032682829, 'qualifierId': 141, 'value': '49.7'}, {'id': 5032682825, 'qualifierId': 56, 'value': 'Back'}, {'id': 5032682827, 'qualifierId': 140, 'value': '14.2'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cu6z12tr59ds3suh4k5w7zwgk;Pass;;;;;;;;;;;;4,23;49,7;;;18,3;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;14,2;49,7;;;;;;;0;0;0;27;Chattanooga;27;DC;1,0
