id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_TeamFormation;value_Captain;value_Resume;value_DirectionOfPlay;value_PassEndY;value_Angle;value_Zone;value_KickOff;value_PassEndX;value_Length;value_Launch;value_LongBall;value_Chipped;value_HeadPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TakeOnSpace;value_Overrun;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_SwitchOfPlay;value_DrivenCross;value_IntentionalAssist;value_Cross;value_RightFooted;value_Straight;value_Assist;value_GoalmouthZ;value_BoxCentre;value_Assisted;value_GkX;value_GoalmouthY;value_RegularPlay;value_RelatedEventId;value_GkY;value_FirstTouch;value_HighLeft;value_LeftFooted;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypeClearance;value_TakeOnOvertake;value_PenaltyTakerId;value_Penalty;value_AttemptedTackle;value_Saved;value_Diving;value_Left;value_BlockedX;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_BigChance;value_BlockedY;value_LowRight;value_NotAssisted;value_LowGkIntervention;value_ParriedDanger;value_Hands;value_OutSwinger;value_DeletedEventType;value_PullBack;value_FastBreak;value_LowCentre;value_Blocked;value_DefBlock;value_NotVisible;value_CornerTaken;value_TouchTypeControl;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_KeeperThrow;value_OverhitCross;value_OutOfPlay;value_BlockedCross;value_Right;value_Head;value_FromCorner;value_Deflection;value_LowLeft;value_MediumGkIntervention;value_Standing;value_Collected;value_OverArm;value_BoxRight;value_IndividualPlay;value_OutOfBoxCentre;value_HighRight;value_GkXTimeOfGoal;value_Volley;value_SmallBoxCentre;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_InSwinger;value_OwnPlayer;value_SixYardBlocked;value_LayOff;value_ThroughBall;value_PlayersCaughtOffside;value_Indirect;value_TouchTypePass;value_HighGkIntervention;value_LeadingToAttempt;value_RelatedError1Id;value_Sliding;value_Feet;value_ParriedSafe;value_High;value_InjuredPlayerId;value_Injury;value_BoxLeft;value_Minutes;value_EndType;value_OtherBodyPart;value_CloseRight;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Stooping;value_SoloRun;value_KeeperTouched;value_FollowsADribble;value_FlickOn;value_HighClaim;value_SavedOffLine;value_LastLine;value_BoxDeepRight;value_1On1;value_NotPastGoalLine;value_CloseRightAndHigh;value_CaptainChange;value_SwerveLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2731818145;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-10-06T16:12:29.013Z;2024-10-06T17:07:25Z;[{'id': 5273835187, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5273835185, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, a12t1zv0y8gzzf6p3jrotkoic, ba9m1xd2b3b2zvuuogn4uxkwk, agw4ksz62ddb0q7h7lon4na0a, bezle40rjwnkdskjbf9yg4sq2, 6yy07mnoy3tybp2wpvmq2ghec, 37zynr7fwzqg4c9w5ydefywyy, xxu2xv2n6f5d51ksa8z4rv2s, e0pkyzm6eqzlrxme33k7dwgt0, dgosg1mymhuajg0rz2ts6alpm, 290iohuheoqdrdocbg25ipgk4, 4nvz6yrxluelbpsjavcjtgnx0, 3me8mlpj9tgn82v2mwyibpkb8, ej430my7aij4crwaycjsw0qhg, 9jy9vyn7y1bomsbjhjujynb4k, e1jku8gmpckc900s9y6z1gn4k'}, {'id': 5273835193, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5274106787, 'qualifierId': 197, 'value': '14907'}, {'id': 5273835189, 'qualifierId': 59, 'value': '13, 17, 45, 5, 24, 12, 56, 10, 9, 52, 18, 43, 49, 22, 58, 20, 27'}, {'id': 5273835191, 'qualifierId': 130, 'value': '13'}, {'id': 5273835195, 'qualifierId': 194, 'value': 'bezle40rjwnkdskjbf9yg4sq2'}, {'id': 5273835197, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;lnl62p79qgjnrle68w8wvmz8;Team set up;;;;14907,0;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;New England II;0;;
2731825765;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-10-06T16:18:41.761Z;2024-10-06T17:03:45Z;[{'id': 5273877315, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5273877327, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273877311, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dbyiafdyf93b8rtpceqitgopg, bzv3yqbc7ttf7fftbm2nelxck, c8wq3ofarkeeisqr49fhrvwno, ahgclh3e05evznhrpa32z6g6i, 9a5pacvk3wisje1491zslwkr8, 5e00w1rqym73habcl01wm7jtg, et772m1f5cqceeffckpnty1p0, d043ppr554ym2j2xf3fcmbqsq, 9u37akzkhdyszhevgrjghq99m, 69ypla76c710iv0yegix1maz8, 6j4ibkpbos6w5ikle58u2vo, 51y94mgf4wxkk5f4tysztc60a, anysxg2z6niqapc5m3f4tzims, akwjik09wytzzr3yras0diqz8, 6han4f5xq1d0ii0ol2drgi4bu, 40qi53orb0eur2jevowkvrcb8, 5adul4r3hifu5x4tv8efr05ey, dc8u2bssrhxycx8vtn0kutp4a, c1z6mxuhvuegd4c5b3hau93ze'}, {'id': 5273877333, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273877319, 'qualifierId': 59, 'value': '73, 30, 32, 35, 5, 88, 7, 31, 9, 14, 39, 27, 29, 16, 23, 11, 17, 13, 41, 42'}, {'id': 5274107233, 'qualifierId': 197, 'value': '18745'}, {'id': 5273877331, 'qualifierId': 194, 'value': 'ahgclh3e05evznhrpa32z6g6i'}, {'id': 5273877323, 'qualifierId': 130, 'value': '4'}];;;;;lnl62p79qgjnrle68w8wvmz8;Team set up;;;;18745,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2731868583;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-10-06T17:04:44.245Z;2024-10-10T05:51:34Z;[{'id': 5274112175, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;lnl62p79qgjnrle68w8wvmz8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2731868589;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-10-06T17:04:44.245Z;2024-10-06T17:04:47Z;[{'id': 5274112215, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;lnl62p79qgjnrle68w8wvmz8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;New England II;0;;
2731868605;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;49,8;50,1;2024-10-06T17:04:44.250Z;2024-10-06T17:04:48Z;[{'id': 5274112261, 'qualifierId': 141, 'value': '38.9'}, {'id': 5274112265, 'qualifierId': 213, 'value': '3.85'}, {'id': 5274112257, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274112267, 'qualifierId': 279, 'value': 'S'}, {'id': 5274112259, 'qualifierId': 140, 'value': '41.4'}, {'id': 5274112263, 'qualifierId': 212, 'value': '11.7'}];xxu2xv2n6f5d51ksa8z4rv2s;J. Da;;;lnl62p79qgjnrle68w8wvmz8;Pass;;;;;;;;;;38,9;3,85;;;41,4;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;41,4;38,9;;;;;;;;0;0;0;New England II;0;FW;1,0
2731868689;4;1;1;0;3;5b4ccd62yeeqdl2qk6jzsmjv8;1;41,4;38,9;2024-10-06T17:04:47.307Z;2024-10-06T17:57:00Z;[{'id': 5274112659, 'qualifierId': 213, 'value': '0.93'}, {'id': 5274112651, 'qualifierId': 140, 'value': '69.4'}, {'id': 5274112657, 'qualifierId': 212, 'value': '49.2'}, {'id': 5274112647, 'qualifierId': 157}, {'id': 5274112653, 'qualifierId': 141, 'value': '96.9'}, {'id': 5274112649, 'qualifierId': 56, 'value': 'Left'}, {'id': 5274112661, 'qualifierId': 1}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;lnl62p79qgjnrle68w8wvmz8;Pass;;;;;;;;;;96,9;0,93;;;69,4;49,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;69,4;96,9;;;;;;;;0;0;3;New England II;3;MC;1,0
2731868723;5;1;1;0;5;5b4ccd62yeeqdl2qk6jzsmjv8;1;69,4;96,9;2024-10-06T17:04:50.011Z;2024-10-06T17:04:51Z;[{'id': 5274112849, 'qualifierId': 155}, {'id': 5274112853, 'qualifierId': 140, 'value': '75.1'}, {'id': 5274112851, 'qualifierId': 56, 'value': 'Center'}, {'id': 5274112857, 'qualifierId': 212, 'value': '15.4'}, {'id': 5274112855, 'qualifierId': 141, 'value': '76.0'}, {'id': 5274112859, 'qualifierId': 213, 'value': '5.11'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;lnl62p79qgjnrle68w8wvmz8;Pass;;;;;;;;;;76,0;5,11;;;75,1;15,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;75,1;76,0;;;;;;;;0;0;5;New England II;5;DML;1,0
2731868797;6;1;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;1;75,1;76,0;2024-10-06T17:04:51.485Z;2024-10-06T17:57:08Z;[{'id': 5274113239, 'qualifierId': 141, 'value': '67.0'}, {'id': 5274113233, 'qualifierId': 3}, {'id': 5274113241, 'qualifierId': 212, 'value': '6.5'}, {'id': 5274113243, 'qualifierId': 213, 'value': '4.38'}, {'id': 5274113237, 'qualifierId': 140, 'value': '73.1'}, {'id': 5274113235, 'qualifierId': 56, 'value': 'Center'}];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;lnl62p79qgjnrle68w8wvmz8;Pass;;;;;;;;;;67,0;4,38;;;73,1;6,5;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;73,1;67,0;;;;;;;;0;0;7;New England II;7;FWL;1,0
2731868875;7;1;1;0;11;5b4ccd62yeeqdl2qk6jzsmjv8;1;72,6;86,8;2024-10-06T17:04:55.564Z;2024-10-06T17:05:00Z;[{'id': 5274113657, 'qualifierId': 56, 'value': 'Left'}, {'id': 5274113671, 'qualifierId': 212, 'value': '20.0'}, {'id': 5274113677, 'qualifierId': 213, 'value': '3.01'}, {'id': 5274113663, 'qualifierId': 140, 'value': '53.7'}, {'id': 5274113667, 'qualifierId': 141, 'value': '90.8'}];e0pkyzm6eqzlrxme33k7dwgt0;C. Adams;;;lnl62p79qgjnrle68w8wvmz8;Pass;;;;;;;;;;90,8;3,01;;;53,7;20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;53,7;90,8;;;;;;;;0;0;11;New England II;11;FWR;1,0
2731868929;8;1;1;0;15;5b4ccd62yeeqdl2qk6jzsmjv8;1;47,3;84,4;2024-10-06T17:05:00.091Z;2024-10-06T17:05:03Z;[{'id': 5274113935, 'qualifierId': 1}, {'id': 5274113929, 'qualifierId': 141, 'value': '32.4'}, {'id': 5274113931, 'qualifierId': 212, 'value': '35.5'}, {'id': 5274113925, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274113933, 'qualifierId': 213, 'value': '4.63'}, {'id': 5274113927, 'qualifierId': 140, 'value': '44.6'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;lnl62p79qgjnrle68w8wvmz8;Pass;;;;;;;;;;32,4;4,63;;;44,6;35,5;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;44,6;32,4;;;;;;;;0;0;15;New England II;15;DC;1,0
